<title>秋夜</title>,<text>天空白露零。夜寂凉風生。最愛一輪月。長懸萬古明。</text>
<title>望白馬山城有感</title>,<text>細路緣山轉。歸雲傍客飛。孤城一悵望。不覺淚沾衣。</text>
<title>途中</title>,<text>地僻人家少。山深樹木多。孤城何所有。唯見石嵯峨。</text>
<title>聞老妓談白馬舊事。有感。</title>,<text>少時爲客處。今日夢依然。猶有佳人在。慇懃說往年。</text>
<title>引月驛</title>,<text>白雪孤村裏。靑燈一點明。關心多少事。坐到曉雞鳴。</text>
<title>新安驛</title>,<text>遠峀千重霧。梨花一樹春。前村芳草路。落日見歸人。</text>
<title>弘慶寺舊基。次白玉峯韻。</title>,<text>篆暗蒼苔蝕。糢糊星斗文。千秋空片石。萬古一浮雲。</text>
<title>春日幽懷</title>,<text>淸明好時節。芳草上階生。日午春眠覺。窓前一鳥鳴。</text>
<title>里仁驛。謹次竹陰從祖韻。</title>,<text>碧沼圓疑智。靑山靜似仁。高樓無俗物。松竹許相隣。</text>
<title>店舍</title>,<text>店屋小如笠。遮人烈日中。君看無礙障。能受四方風。</text>
<title>曉霧</title>,<text>野樹依微見。川原隱映無。乾坤畫笥裏。高掛曉天圖。</text>
<title>贈汾翁申寅伯 晸</title>,<text>山靑知霧重。山白見雲過。山靑山白裏。乞與醉翁哦。</text>
<title>寄汾翁酒</title>,<text>斗酒復斗酒。慇懃又慇懃。有客宜同酌。無人可獨醺。</text>
<title>曉發</title>,<text>村色逐雞曙。客行天正寒。霜飛四野白。氷斷小橋灣。</text>
<title>大隱巖</title>,<text>石磵潺潺水。松林淡淡風。淸樽芳草色。人在畫圖中。</text>
<title>永安尉宅。呼邊字。</title>,<text>有梅還有酒。呼我到君邊。相對酌金斝。醉來花下眠。</text>
<title>月夜聞子規</title>,<text>月白靑山靜。林深蜀魄啼。幽人愁不寐。獨立小庭西。</text>
<title>謹次外舅白軒先生寄示韻</title>,<text>一札天邊至。華緘再拜開。故園春色晩。日日待余來。</text>
<title>夜詠</title>,<text>夢裏分明見。覺來怳惚疑。心中多少事。只有一燈知。</text>
<title>贈申甥彦脩 琢</title>,<text>一札緣何事。能令匹馬東。相逢却相笑。意在不言中。又聞道淸平勝。水流花落時。獨令年少到。不與老夫期。</text>
<title>看香山。歸到晴川上流。回望有詠。</title>,<text>洞壑碧雲隔。江天斜日輝。遊人袖偏大。羃得香山歸。</text>
<title>臨瀛舘</title>,<text>八景關東勝。春風處處遊。歸程猶有恨。未上竹西樓。</text>
<title>逢雨</title>,<text>亂峀暝雲外。行人細雨邊。白鷺忽飛去。依然西塞前。</text>
<title>義祥臺</title>,<text>古事今誰信。居僧但自誇。登臺何所見。紅日照滄波。</text>
<title>述懷</title>,<text>文章一小技。富貴豈長留。唯有千鍾酒。能忘萬古愁。又飮酒且吟詩。此樂不可易。醉來卧枕書。靜聽簷溜滴。</text>
<title>戲吟</title>,<text>李白上天去。吟詩誰與同。獨留一片月。照我酒盃中。</text>
<title>大隱巖</title>,<text>容齋與挹翠。於此醉還醒。人去烟霞在。無因勸玉甁。</text>
<title>迎軒翁于長湍。有作。</title>,<text>髮爲憂時白。心因戀闕丹。西關千里道。風雪不知寒。</text>
<title>田家秋雨</title>,<text>寂寞空山裏。閉門秋雨中。前村夕烟斂。洞口見樵童。</text>
<title>松風琴</title>,<text>誰將綠綺琴。斜倚畫欄曲。夜靜松風來。泠泠敲碧玉。</text>
<title>偶吟</title>,<text>霜落鴈聲寒。秋風旅思起。徘徊故國心。日暮渡江水。</text>
<title>自笑</title>,<text>自笑浮生事。偏驚日月忙。關山愁獨立。天地又斜陽。</text>
<title>謹次軒翁途中韻</title>,<text>塞上風威獵獵。路中行色遲遲。賴有春光送客。相隨更到天涯。</text>
<title>途中</title>,<text>天陰陰而欲雨。風剪剪而吹衣。尋孤店而寄宿。伴夕禽而俱歸。</text>
<title>贈申彦脩</title>,<text>有身莫說夷險。有口莫言是非。一飮一啖皆數。惟當順其自然。</text>
<title>白馬山城。奉別軒翁。</title>,<text>窄窄庭階密密籬。僅窺天日不勝悲。莫恨天涯相識少。赤心還有彼蒼知。</text>
<title>百祥樓</title>,<text>尋山訪水莫遲留。千里關西辦勝遊。野闊江淸汀樹遠。春風人倚百祥樓。</text>
<title>春田見菜</title>,<text>去歲田租盡納官。春來咬得菜根寒。從知此味蒼生苦。願備朱門盤上飡。</text>
<title>路中</title>,<text>病僕呻吟我馬黃。春泥沒膝道途長。今朝漸喜鶴林近。却望新安如故鄕。</text>
<title>春夜</title>,<text>郡齋寥落數寒更。風動空階竹有聲。明月入窓人不寐。臥看河漢向西橫。</text>
<title>南陔奇巖</title>,<text>登高望遠久徘徊。奇石嵯峨自作臺。萬里長風吹海立。怒濤聲裏坐銜盃。</text>
<title>鑑湖</title>,<text>鑑湖湖水逈無塵。日照澄澄月照新。翠竹白沙明鏡裏。古今長映去來人。</text>
<title>叢石亭</title>,<text>秦皇欲見日生處。驅石當年到海東。閱盡滄桑猶不轉。千秋獨立碧叢叢。</text>
<title>月夜</title>,<text>爐香一炷篆烟凝。靜坐還如入定僧。淸月入窓明似晝。壁間新去讀書燈。</text>
<title>暮行</title>,<text>山霧霏霏細濕衣。暎空搖颺作絲飛。炊烟起處前村暗。時見騎牛野叟歸。</text>
<title>曉行</title>,<text>戒曉鄰雞喔喔鳴。僕夫驚報夜將明。出門騎馬尋前路。十里靑山和夢行。</text>
<title>小店</title>,<text>寒天暮雨細濛濛。秋草荒溪小路通。客至柴門山犬吠。炊烟孤起一村中。</text>
<title>旅舘聞鴈</title>,<text>數閒茅屋臥如弓。破壁星河四望通。一夜行人愁不寐。鴈聲低度月明中。</text>
<title>暮行</title>,<text>石川流處斷橋橫。落日蕭蕭風亂鳴。沙岸雨餘村路缺。一眉新月護人行。</text>
<title>禪房夜宿</title>,<text>龍華洞裏水雲臺。金碧煌煌佛殿開。盡夜淙淙石泉響。一燈明滅照銜杯。</text>
<title>夜歸</title>,<text>栖鴉歸盡斷來往。仰見靑天星滿空。獨騎瘦馬客歸去。新月在西人影東。</text>
<title>聽流堂少憇</title>,<text>塘柳巖花景物幽。臨溪盡日爲淹留。行人只愛潺湲響。不覺年光共此流。</text>
<title>閑居聞雨</title>,<text>靜室初開萬卷書。牙籤散帙未全齊。睡鴨香殘無一事。卧看簷雨落階除。</text>
<title>月夜</title>,<text>隔水松風拂面吹。枕流堂下步遲遲。鳴泉靜夜聲方好。聽到前峯月上時。</text>
<title>閨怨</title>,<text>蕭蕭霜葉響庭柯。深院無人掩綺羅。獨抱琵琶彈夜月。數行淸淚落秋波。</text>
<title>金時習</title>,<text>九死丹心不改移。紫宸召見在兒時。紺園落髮非其意。千載東方有伯夷。</text>
<title>春日途中</title>,<text>大野茫茫入望平。水田春雨見人耕。布糓亦知農事急。隔林終日盡情鳴。</text>
<title>題山寺</title>,<text>葉下空山聲似雨。花開古寺景疑春。日落郊平秋色遠。暮鍾鳴處獨歸人。</text>
<title>夏日</title>,<text>花殘戲蝶依芳草。葉密啼禽隱綠枝。斜着葛巾慵不整。北窓時有好風吹。</text>
<title>西湖漫遊</title>,<text>綠酒頻斟金屈巵。滿船明月欲斜時。幽人醉倚篷窓睡。流下前江也不知。</text>
<title>偶吟</title>,<text>書齋幽景十分淸。盡日松風溪水聲。返照暎林暮烟碧。忽有雙鳩深樹鳴。</text>
<title>陪南坡沈相國 悅。下楊根。舟中偶吟。</title>,<text>相國朝辭丹鳳闕。秋風掛席下楊州。兩岸靑山明鏡裏。扁舟閑泛大江流。</text>
<title>寄舍弟</title>,<text>枯桐彈罷欲希聲。裊裊爐烟一縷橫。靜對圖書無語坐。莫將詩句惱閑情。</text>
<title>謹次軒翁寄示南漢城韻</title>,<text>岧嶤粉堞護行宮。扃鐍天開疊嶂中。莫道金湯能固國。至今人說晉陽功。</text>
<title>送江原都事權禮卿</title>,<text>紅蓮幕裏一官閑。萬二千峯入望間。自笑聞名空老去。送君今日踏仙山。</text>
<title>過龍崗。見李士原遺愛碑有感。</title>,<text>幾年冥漠隔重泉。今日經過古縣前。偶見羊公一片石。故人那得不潸然。</text>
<title>鴨綠江。送丁書狀。</title>,<text>江上風寒雪似銀。天涯此別足沾巾。行行燕薊莫回首。回首龍灣愁殺人。</text>
<title>次義山韻</title>,<text>雙眉日日待君低。君自何來醉似泥。酒醒半夜忽歸去。獨背寒燈掩袖啼。</text>
<title>鄭松江墓</title>,<text>墓前溪水日流聲。墓上白楊風亂鳴。到此行人翻掩淚。可堪重憶短歌行。</text>
<title>安州</title>,<text>烏帽裹頭誤策名。一年強半住箕城。可憐閱盡繁華地。羅綺無情月有情。</text>
<title>謁武烈祠</title>,<text>百萬貔貅手指揮。南夷氣奪漢旌旗。秖今遼海風塵暗。笑說將軍鎖鑰威。</text>
<title>次副使車輦悼盤松韻</title>,<text>老榦空傳屈曲奇。蒼髯無復歲寒姿。如今路上經行處。時有詞人感舊詩。</text>
<title>小車</title>,<text>匹馬驅馳千里程。安身今御小車行。遼河氷合茫茫路。去轍長轟霹靂聲。</text>
<title>贈李士休 行逸</title>,<text>菊蕊初黃楓葉紅。別來樽酒與誰同。遙知握手風流飮。不是淸平卽益豐。又漠漠陰雲釀雪催。春寒又勒小窓梅。甕頭新熟共誰酌。我病閉門君不來。</text>
<title>郊居</title>,<text>何處喧譁夜唱歌。田翁扶醉舞婆娑。稻秔盡熟秋霜晩。村鼓鼕鼕奈樂何。又霜露凄凄天氣淸。碧空無際白雲輕。幽人起步庭前月。何處秋風送鴈聲。</text>
<title>待人</title>,<text>音信疎來轉憶京。誰知今日待人情。柴門欲掩還遲掩。數問寒籬犬吠聲。</text>
<title>偶吟</title>,<text>野外幽棲物外情。無官自覺一身輕。閉門盡日山窓靜。卧聽蕭蕭風雪聲。</text>
<title>立春</title>,<text>鬢邊華髮雪毿毿。病裏春愁自不堪。只有淸樽知客恨。略容殘醉夢江南。</text>
<title>酆城劒</title>,<text>成得雷張博物名。延津風雨二龍驚。鄷城一掘終何用。只合千秋紫氣成。</text>
<title>照膽鏡</title>,<text>鏡裏心肝片片明。一懸何物敢逃形。如何照膽名猶在。不燭深宮鹿馬庭。</text>
<title>漸離筑</title>,<text>風色蕭蕭易水寒。樽前擊筑髮衝冠。秦宮一入終虛擲。猶自千秋意氣看。</text>
<title>偶吟</title>,<text>一卧郊扉碧樹秋。松關遙望白雲浮。年來漸解人間事。歸去滄江理釣舟。</text>
<title>肅寧新舘。次壁上韻。</title>,<text>落花香逕燕銜泥。垂柳陰陰黃鳥啼。想得故園春色晩。歸心都付尺書題。</text>
<title>歲除日聞雨</title>,<text>霏霏細雨滴簷前。獨向書窓坐悄然。惆悵光陰容易過。只除今日是明年。</text>
<title>十五夜。枕流堂對月。</title>,<text>白玉盤光凈客心。滿庭松檜影蕭森。鳴泉日夜潺湲響。正是雲山韶濩音。</text>
<title>夢作</title>,<text>山自峨峨水自流。幽人不用惹閑愁。白鷗波上忘歸去。落日繁陰隱遠洲。</text>
<title>贈金大有 昌業</title>,<text>紛紛翠盖七香車。冠帶春遊滿狹斜。林下誰人猶掩戶。未知桃李發新花。</text>
<title>小亭</title>,<text>洞裏玄亭紫閣陰。樽中綠酒與君斟。白雲深鎖紅塵斷。幽鳥隔林時一吟。</text>
<title>舍弟揚卿家石澗</title>,<text>窓外淙淙石澗鳴。山中昨夜雨新晴。幽人欹枕不成夢。萬籟初沉松月明。</text>
<title>白軒宅感舊</title>,<text>空園寥落鳥空啼。綺席稱觴一夢迷。依舊杜鵑花欲發。春風淚灑小堦西。</text>
<title>贈李有初燕京之行</title>,<text>沙磧陰陰白雪飛。朔風寒透黑貂衣。燕京此去四千里。十月行人三月歸。</text>
<title>詠懷示舍弟</title>,<text>謗議喧喧萬口騰。此公心地不模稜。紫陽遺旨誰輕毁。撫卷中宵涕滿膺。</text>
<title>冬夜</title>,<text>燈火靑熒一點明。夜深風雪隔窓聲。幽人隱几機心息。坐對香烟裊裊生。</text>
<title>到牙州。行望闕禮。次壁上韻。</title>,<text>天意端由知困窮。臣心恐忝使臣風。再拜北宸猶咫尺。仰瞻初日照顔紅。</text>
<title>昌城客亭</title>,<text>湖外秋風落日斜。客來何處望京華。天邊疊巘參差出。獨立高亭數暮鴉。</text>
<title>途中</title>,<text>江海茫茫劃野廻。秋來積水忽爲災。村氓亦識朝家意。夾路傳呼御史來。</text>
<title>錦江拱北樓。謹次軒翁韻。</title>,<text>日落汀洲烟霧收。澄波如練自知秋。錦江春色來天地。今古登臨共此樓。</text>
<title>拱北樓。謹次南坡韻。</title>,<text>秋日依依獨倚樓。朱欄迢遆壓江頭。秖今已作他年恨。孤負滄洲月一舟。</text>
<title>道溫陽</title>,<text>今朝驅馬向長安。七月離家九月還。預想慈闈迎笑喜。繡衣兒自五雲間。</text>
<title>自嘲</title>,<text>迢迢驛路入雲開。銜命湖西幹事回。堪笑驅馳淹日月。何人道有福星來。</text>
<title>贈金斯百 錫胄 接倭之行</title>,<text>片舸初從日本來。星槎東盡海天迴。山河表裏千年恨。只許萊州一舘開。</text>
<title>亡室忌日曉。述感示金甥仲裕 盛後。</title>,<text>忍見空床一簟留。凝塵漠漠夢悠悠。可憐孤燭寒窓淚。獨對潘生到曉流。</text>
<title>謾吟寄金仲裕江榭</title>,<text>纔出紅塵十里餘。碧窓丹檻漾江虛。朝來漁市腥風起。買得盤中白白魚。</text>
<title>次揚卿遊仙詞韻</title>,<text>宴罷蓬萊最上頭。玉虬催駕向丹丘。靑烟一點依微小。何處人間是九州。又白玉壺前白玉碁。碧天紅日影遲遲。一局未終靑鳥喚。仙風吹鶴向瑤池。又閬苑高高十二樓。瑞霞郁郁彩雲浮。曲欄明月羣仙醉。笑指三山碧海頭。又王母騎龍上紫烟。回看滄海變桑田。人閒日月忙如許。洗髓從來幾萬年。又朝遊北海暮三山。袖裏金丹解駐顔。黃鶴樓中吹玉笛。淸風捲入白雲間。又霱雲深鎖蘂珠宮。瓊樹琪花落晩風。夜讀參同淸不寐。彩鸞啼起月明中。</text>
<title>曉思次韻</title>,<text>漏斷重城月入欄。銀河欲落曉星殘。手披黃卷和眠誦。燈火靑熒小屋寒。又手炷爐香起篆烟。靑燈欲滅枕書眠。病中藥餌身差健。始覺長年不在天。</text>
<title>寄士休</title>,<text>雲卧身閑世事疎。碧苔紅葉野人居。可知別後長相憶。寂寞玄亭獨寄書。</text>
<title>聞曉鍾</title>,<text>疎星靨靨曉鍾鳴。玉漏初殘發一聲。碧城十二開金鎖。多少行人大道行。</text>
<title>虛菴</title>,<text>士林奇禍獨推知。一去飄然雙履遺。宇宙孤筇詩句在。莫言魚腹楚臣隨。</text>
<title>范質</title>,<text>蒼黃遣將豈無人。點檢黃袍已卽眞。一死可辭亡國責。白頭何忍贊經綸。</text>
<title>王旦</title>,<text>拜賜彤墀白玉壺。上樽開處燦明珠。翻緘金口泥金日。西祀東封作廟謨。</text>
<title>白芍藥</title>,<text>翠葉氷葩相映深。春光留得小庭陰。瑤池宴罷仙娥醉。一路香風欹玉簪。</text>
<title>春日集句</title>,<text>寒食淸明次第來。天時人事日相催。細看造物元無物。春雨聲中花自開。</text>
<title>與人</title>,<text>世上功名已掉頭。銜杯遙望白雲浮。誰將十丈紅塵色。擬換湖西百頃秋。</text>
<title>禮山次曺梅溪韻</title>,<text>秋水無涯大野殘。蒼生無計脫飢寒。可憐御史憂民意。只遣行厨不飣盤。</text>
<title>失題</title>,<text>洞門深處白雲飛。玉節寒光映繡衣。自有山僧傳勝會。不須題記姓名歸。</text>
<title>夜雨</title>,<text>夜雨霏霏止復鳴。聲聲偏攪客窓情。欣欣慰却三農望。不管幽人眠不成。</text>
<title>塵</title>,<text>沉沉漠漠又微微。道上街頭拂面飛。自是隨風容易起。不須多事歎元規。</text>
<title>小雨</title>,<text>江風吹鬢曰絲絲。立馬沙頭有所思。日夜江流流不盡。人生那住少年時。</text>
<title>次揚卿韻</title>,<text>靑山不被白雲遮。矯首烏紗醉半斜。莫道桐陰今已老。簷前又發木蓮花。</text>
<title>鶴雛</title>,<text>院落微凉暑氣無。銀床相對一氷壺。綠陰庭畔榴花影。仙鶴雙行引一雛。</text>
<title>慰趙茂朱失火</title>,<text>劫火難焚無盡藏。眼前燒却一書堂。胸中萬卷猶無𧏮。玉軸揚灰總不妨。</text>
<title>戲贈尹扞城</title>,<text>世事空知一醉歌。春來擬欲到君家。君家未到三春病。落盡園中桃李花。</text>
<title>初夏</title>,<text>槐葉陰陰覆短墻。微風輕颺麥秋凉。如何萬事人間世。不及春窓午夢長。</text>
<title>三月三日</title>,<text>春風春雨日相催。寒食淸明次第來。階上萋萋幽草色。偏知今夕踏靑廻。</text>
<title>贈趙汝吉 嘉錫 謫行</title>,<text>一片丹心獨不疑。世人難識聖君知。莫將慷慨孤臣淚。更灑炎風朔雪陲。</text>
<title>幽懷</title>,<text>是是非非同不同。紛紛馬耳過東風。半醒半醉人間世。無毁無譽一禿翁。</text>
<title>戲題</title>,<text>十里五里長短亭。前行後行往來程。擾擾紛紛路傍事。多於日日庭草生。</text>
<title>雉岳山城。偶吟奉牧伯督郵。</title>,<text>躋攀石角上崚嶒。紅樹秋山碧萬層。夢斷酒醒幽澗近。洞天霜後月澄澄。禫扃把酒暫遲留。勝士風流尙黑頭。莫向淸秋興感慨。古城殘堞不禁愁。</text>
<title>謹次軒翁韻</title>,<text>戀主丹心在。憂時白髮新。催驅長路日。遙憶故園春。絶塞猶吾土。朝廷有大臣。行裝明鏡裏。不愧鬢如銀。</text>
<title>白馬城</title>,<text>落日登高望。偏傷遠客情。天低滄海濶。城入白雲平。地僻人稀到。山深鳥不鳴。蕭條景物異。唯有月同明。</text>
<title>大將臺</title>,<text>曠野人烟杳。孤城遠客來。山河千里遠。眼界四望開。日落長天外。風寒大將臺。朝宗滄海近。極目更徘徊。</text>
<title>過李甲山林庄</title>,<text>福地何蕭爽。幽人卜築宜。閑雲時出峀。曲水細通池。洞裏烟霞富。山中日月遲。林泉難再到。欲別更躕踟。</text>
<title>履</title>,<text>此物元非俗。何人織縷成。累經東郭曳。耻作尙書聲。立雪偏知暖。穿雲自覺輕。毗盧花爛熳。與爾暮春行。</text>
<title>曉行</title>,<text>暮入孤山裏。懸燈獨客眠。僕夫催曉飯。征馬困吟鞭。遠寺明殘火。幽林咽暗泉。春泥深沒膝。曙色又蒼然。</text>
<title>奉別申使君 最 狼川之行</title>,<text>誰遣銅符佩。曾將彩筆簪。浮雲時事改。斜日別懷深。古峽蒼烟合。高齋白雪吟。遙知明月夜。閑坐獨鳴琴。又鳳闕巢痕掃。狼山邑治殘。折腰元亮米。追躅葛洪丹。峽束靑天小。巖排古樹攢。紅塵隔幾許。高臥郡齋寒。又幾年叨問字。今日罷論文。曉漏螭頭隔。春風馬首分。離亭一樽酒。客路萬重雲。別後如相憶。金聲且遣聞。</text>
<title>七月初三日</title>,<text>寂寂書齋夜。悠悠客意驚。碧窓淸露滴。玉宇淡河明。病葉蕭蕭響。寒蛩咽咽聲。已驚秋氣色。人自不平鳴。</text>
<title>閑詠</title>,<text>寂寂幽齋晩。携筇獨自行。前林殘照斂。遠峀暮烟生。山月千秋色。松風太古聲。會心還在此。長嘯劃然淸。</text>
<title>古津江</title>,<text>古渡淸樽會。居然十四秋。石橋芳草岸。春日大川流。物色還今夕。行裝記昔遊。京華消息斷。天末更回頭。</text>
<title>庚申夜。次軒翁韻。</title>,<text>兀坐當庚夜。流光惜暮年。六根初凈後。萬感未萌前。雪映靑燈冷。風催玉漏傳。非關虫訴過。淸極自無眠。</text>
<title>除夜陪軒翁聯句</title>,<text>守歲吾今老。通宵爾莫辭。軒翁。 靑燈寒照壁。綠酒細傳巵。勉卿。 節序兒童喜。光陰鬢髮知。軒翁。 緇帷今夕會。留與百年期。勉卿。</text>
<title>見李君實 世華 書</title>,<text>塞雲昏漠漠。關樹遠重重。謫去家千里。秋來書一封。每思江上別。只有夢中逢。幾日蒙恩澤。歸聽長樂鐘。</text>
<title>次人韻</title>,<text>役役百年內。人生可奈勞。風塵多白眼。日月競霜毛。拙宦抽簪早。空齋伏枕高。聖朝無棄物。不必詠離騷。又曲肱咻衆楚。刺股陋蘇秦。禮法寧吾輩。淸談自可人。廟堂眞有策。邊塞靜無塵。杞國緣何事。殷憂亦小臣。又世人皆笑我。宜古不宜今。一曲廣陵散。平生梁甫吟。白雲無俗態。明月自知心。綠酒有何好。有時連日斟。又綠酒有何好。有時連日斟。自陶無事趣。能泯不平心。五柳先生宅。一張榮啓琴。此時微此物。無以發淸吟。又一枕供高臥。蓬門少客開。遣閒書萬卷。通道酒三盃。遠抱誰相識。流光逝莫廻。向人雙白眼。阮籍信狂哉。又彩筆隋珠落。華緘明月開。怳如前夕飮。相勸故人盃。浮世朱絃絶。豐城紫氣迴。平生經濟學。懷古意悠哉。</text>
<title>次滄洲韻</title>,<text>偃蹇薇垣客。蹉跎謬筭違。風塵供藥餌。日月掩柴扉。吾道思滄海。高人隱少微。疎狂招積毁。諫草豈全非。又有枕還供卧。無門不遣關。白歸憎俗眼。靑對滿庭山。杖策浮雲變。抽簪盡日閑。逍遙能自適。未覺在人間。</text>
<title>豐沛樓</title>,<text>自作咸關客。先登豐沛樓。地盤王氣大。神護閟宮幽。蘩弱徵天錫。松長認歲遒。小臣今日祝。聖業萬年休。</text>
<title>途中逢雨</title>,<text>漠漠千山雨。悠悠萬里程。澗氷添水滿。嶠日漏雲明。霧樹孤村隱。烟橋匹馬行。故園春色早。歸及百花迎。</text>
<title>甘露湯</title>,<text>滴滴雲間露。微微盞裏通。入氷宜助爽。調蜜更兼融。淸峭伯夷節。和溫柳下風。微醺發長嘯。直欲超蒙鴻。</text>
<title>寄舍弟。兼示申寅伯。</title>,<text>碧溪尋洞遠。黃葉滿山飛。此日雲空在。千年鶴不歸。夕陽催客返。新月映人微。醉裏勤相勸。停杯各把衣。</text>
<title>郊居</title>,<text>小逕無人問。空山信馬行。天盤荒野大。日射小溪明。原穀垂秋實。郊花綴露英。抽簪終底樂。心跡喜雙淸。又梨棗亂成行。村居自一鄕。禾舂翻碓雪。果熟摘林霜。對客呼尊綠。登盤劈蟹黃。平郊延晩眺。日暮見牛羊。</text>
<title>述行</title>,<text>秋天增黯黯。秋雨晩霏霏。畫角靑山響。平郊匹馬飛。關心長路惡。回首片雲歸。縱使身千里。覊䰟不受圍。</text>
<title>曉發九連城</title>,<text>驅馬凌晨發。天寒霜雪繁。山回知有路。樹老認藏村。脉脉思鄕國。悠悠入塞門。君親千里隔。回首欲消䰟。</text>
