<title>自嘲 丙午</title>,<text>文章眞富貴。經學大功名。誰信茅茨裏。剩留不世榮。</text>
<title>靑鶴洞漫詠 壬子</title>,<text>决决泉舂石。嘈嘈風撼松。幽人不成夢。坐數五更鍾。</text>
<title>醉題公子擧卿扇面 癸丑</title>,<text>濁世佳公子。淸時良大夫。相逢落花節。大醉古城隅。</text>
<title>臨瀛之北。有石臨海。翼然若飛鳳之形。其頂可坐數十人。銀濤萬里。極目無礙。盖絶境也。俗號牛巖。名甚不典。余改之曰飛鳳臺。題詩其上。丙辰</title>,<text>東海最奇處。莫如飛鳳臺。銀濤日舂撞。羽客來徘徊。</text>
<title>醉題峴山東軒 丙辰</title>,<text>落花紅點點。流水碧粼粼。使君無一事。長醉大堤春。</text>
<title>贈錦城妓 丁巳</title>,<text>一曲瑤琴怨。千年故國歌。秋風錦城舘。明月奈爾何。</text>
<title>贈長城琴妓秋香女孫 丁巳</title>,<text>我來訪香娘。人亡琴亦亡。唯有女孫在。白頭傳芬芳。</text>
<title>夢題人扇面 戊午</title>,<text>何處相逢處。長安細雨天。殘花點芳草。深樹鎖輕烟。</text>
<title>贈尹養一敬敎赴鏡城 己未</title>,<text>靺鞨最深處。君爲通判去。去去摠君恩。猶得居官署。</text>
<title>送姜叔夏碩昌赴鐘城 庚申</title>,<text>故人向愁州。愁州連大漠。何似草原時。只得鬢邊玉。</text>
<title>生日酬贈崔汝和錫鼎 號明谷，韓魯瞻泰東。乙丑</title>,<text>余初度之辰。兩學士爲枉弊廬。盛有所詠。以侈鄙夫。而久病中不能和。却以五言絶謝厚意。慇懃兩學士。爲賀弊弧辰。却憶城南會。回頭暗損神。在靑鶴洞時。値初度。周卿光甫來會。今亡故云。次韻 明谷靑蓮降生日。毓秀應星辰。岳老千年後。詩成也泣神。次韻 魯瞻才子趍庭日。文星降曜辰。淸新五字句。披讀覺精神。</text>
<title>漁父 戊戌</title>,<text>曉色蒼茫水氣寒。漸看輕霧繞江干。漁翁收網烟波底。辛苦挐舟上淺灘。</text>
<title>睡起戲贈崔周卿後尙 戊申</title>,<text>故人珂馬赴城上。日暮歸來泥沒靴。何似草堂新睡罷。臥聽疎雨打秋荷。</text>
<title>送洪丈錫箕赴靈光 己酉</title>,<text>法浦秋生五馬催。海鷗猶識舊漕臺。應恠當年衣繡客。白頭今日佩符來。</text>
<title>夜聞溪瀑有感 壬子</title>,<text>夢寐何曾到事功。筭來浮念摠成空。終宵淅瀝窻前瀑。滌盡平生磊磈胸。</text>
<title>題康陵齋壁 癸丑</title>,<text>雜樹陰陰恠鳥譁。閉門終日似蘭闍。寢郞宴坐無餘事。時喚齋奴掃落花。</text>
<title>世子宮延祥詩 甲寅</title>,<text>慶善堂前討古文。胄筵重設講劘勤。微臣勸導容何力。睿學高明已十分。</text>
<title>新嘗菜羹戲題</title>,<text>素綠初萌薺葉開。靑魚新自海州來。糝羹發越調三味。不羨侯家煮豹胎。</text>
<title>題天安客舍 乙卯</title>,<text>征軺冉冉到天安。欲寫羈愁倚畫欄。莊柳村花無意緖。獨憐階竹傲春寒。</text>
<title>又戲題</title>,<text>冠盖紛紛官吏愁。主人倦色在眉頭。極知牽挽非眞意。爲愛華軒且少留。</text>
<title>將赴襄陽。出宿東郭。與內弟吳貫之道一。號西坡 燒燭對坐詠懷。</title>,<text>離懷擾擾似懸旒。殘月依依又滿樓。回首峴山千里路。使君行色摠堪愁。</text>
<title>洛山觀日出</title>,<text>宿醉昏昏睡正濃。晨光侵戶尙瞳矓。居僧蹴我看朝日。銀海蒼茫萬里紅。</text>
<title>洛寺醉題</title>,<text>白浪翻天風撼山。佛燈明處寺僧閑。門前滄海庭前月。獨占奇觀天地間。</text>
<title>蟻戰 丙辰○以下三首。課製居首。</title>,<text>床下誰將牛闘聞。槐陰春日蟻成羣。道人靜坐看蠻觸。擾擾俄驚覆九軍。</text>
<title>葡萄架</title>,<text>細擺繁莖小架成。高張密葉午陰淸。休論療渴含風味。箇箇磨垂碧水晶。</text>
<title>石榴盆</title>,<text>樹杪離離揭絳紗。盆中灼灼繞紅霞。茜裾太赤猩衫淺。長使佳人妬此花。</text>
<title>戲題</title>,<text>老年詩律漸覺難。自歎詞源已枯乾。雖然喜作天機語。留與千秋具眼看。</text>
<title>偶出行春。自靈穴寺抵林泉李纘元家賞牧丹。題一絶。</title>,<text>百朶姚黃爛紫霞。峴山西畔日初斜。使君不向習池去。來醉林泉豪士家。</text>
<title>戲題東軒壁上</title>,<text>屋後飛花紅點點。溪邊芳草碧萋萋。自是官居勝仙界。使君那不醉如泥。</text>
<title>大堤素稱多妙舞淸歌。余蒞玆土。暇日徵按則信然。有五娘者。以善謳聞。少時爲東淮都尉所眄。贈扇面兩絶。澤老，潛谷，白軒諸公繼而和之。余招見五娘。年已六旬。髮齒墮落。使之歌。尙有嫋嫋舊音。掩抑宛轉。似有慨惋少日之意。家甚貧。只有二女曰楚雲，采雲。俱繼家聲。而采雲尤善新聲。能作阿母錢樹子矣。前數公。余所敬慕者。筆蹟宛然。古人不可作。而五娘又老矣。撫卷悲感。仍次卷中韻贈之。</title>,<text>淸歌一曲大堤邊。詩卷當年作募緣。惆悵佳人今已老。那堪擁髻更悽然。</text>
<title>次淸澗亭板上韻</title>,<text>白浪千層舟泛泛。靑天萬里鳥雙雙。樓頭宿客寒無夢。坐待紅曦曉倚窻。</text>
<title>洛寺宴席。吟呈李弼卿翊相 號梅澗，尹養一。</title>,<text>碧海無波明月高。歌聲嫋嫋笛聲豪。使君誰道風流薄。十隊紅粧擁錦袍。</text>
<title>白香山守杭州時。元微之在越州。白送歌者商玲瓏於越州。往返時輒有贈詩。爲詩話中好事。余送采雲於尹使君養一。養一曾有書以勿爲愛惜戲余。余亦以一絶戲贈雲。仍令轉呈使君。</title>,<text>一曲離歌曉月寒。佳人此去幾時還。使君陶寫無他物。早使凾關趙璧完。</text>
<title>酒席戲贈養一</title>,<text>梨花亭下海揚波。一曲淸歌月已斜。今夜大堤行樂處。風流誰屬一枝花。妓名一花</text>
<title>洛山酒席。憶擇之。仍寄示。</title>,<text>半夜淸歌響欲低。陟州雲樹望中迷。梨花亭上今宵月。應自分輝照竹西。</text>
<title>留題峴山客舍</title>,<text>海上分符僅二年。使君雙鬢已蕭然。北風斜日西歸路。嶺雪參差照碧天。</text>
<title>留別峴山諸生</title>,<text>政拙心勞已自知。媿無治績補毫絲。憧憧一念難忘處。只在諸生進學時。</text>
<title>峴山素稱有歌無絃。甚是烟花缺事。皆言習俗已然。雖勸無成。余慨然有改絃之意。廣鳩琴材。遠延琴師。選兒妓五六人。方欲敎之。而適解歸未果。分授琴張於兒妓而去。其中一琴。卽臨瀛良工所斲。制極精妙。余甚寶惜。留與兒妓之最佳者。妓年今方十歲矣。或有譏余。琴是風物。不妨持去。而强留沽名者。此不知余意。余之留此。盖欲遂余初志。後賢倘能識余苦心。繼此勸敎。致令家家絃管。則豈唯助琴堂閑趣而已。庶可增大堤風流云爾。</title>,<text>辛勤爲斲嶧陽桐。絃上泠泠太古風。留與大堤兒妓去。彈時能復憶衰翁。</text>
<title>乙卯秋。赴襄州。路過黃庭。戲次壁間韻。丙辰冬。承召上京。壁題宛然。深慨吾生行止之靡定。而別有所感者。重次其韻以志之。且去時憂其路險。有不樂之意。來時不無係戀不忘之心。佛氏不欲三宿桑下者。良以此也。亦可一笑。</title>,<text>浮生行止似雲烟。却望襄州更愴然。今向紅塵倘失脚。此身那直一文錢。</text>
<title>寄聰師 丁巳</title>,<text>老子新從滄海歸。慇懃爲寄舊題詩。洛山東畔銀濤濶。恨不邀師共看之。</text>
<title>看花有感</title>,<text>杏花欲落桃花發。從此千花次第開。萬事皆如花有序。當塲何必苦相催。</text>
