<title>偶吟</title>,<text>看書要看理。求道又求心。行遠知由邇。須追聖域尋。</text>
<title>次羅子長 世器 韻。上尤庵先生。乙卯</title>,<text>陽去陰來奈若何。聖路將湮可咄嗟。自是孤蘭難倂世。城頭惟見暮鴉多。附尤庵先生次韻白首孤臣負大何。風饕雪虐兩堪嗟。逢君試問江南事。柳綠梅殘草色多。</text>
<title>次趙子直 相愚 所示韻</title>,<text>窮途少知己。幸此話平生。叙我萬般意。留君千里程。論心要吐實。託契豈徇名。風雪分携後。不堪獨去情。附原韻王父分憂地。家君此降生。逢人如舊識。問俗駐忙程。人幷高苔出。山稱瑞石名。襄陽墮淚處。况復小孫情。</text>
<title>奉別趙子直蒙恩北歸</title>,<text>天恩廣大子還歸。吾道從今有庶幾。蘆嶺寒程雲外遠。鰲山征旆望中依。窮途送別情何極。暮境分携淚欲揮。臨發祝君須好去。北堂千歲舞斑衣。</text>
<title>夢中吟 乙卯七月一日夜夢。與友人相別。贈此詩。</title>,<text>子非我。焉識我之心。富貴不能淫。澗底幽蘭自抱香。歲寒松栢猶蒼蒼。男兒處身亦如此。君不見范孟博願埋西山陽。</text>
<title>贈別鄭馨叔 治</title>,<text>黔翁才遠別。鄭子又西行。白首堪愁寂。無人更叙情。</text>
<title>贈別金弟休徵 時瑞 卜居于淳昌福興地</title>,<text>玉川西北占閑邱。昔我先生講道遊。吾弟此行知有意。勉修斯學守箕裘。</text>
<title>偶吟題壁 四首</title>,<text>誰言聖道邈難攀。我若希顔是亦顔。莫將細行等閒視。一簣終九仞山。萬慾紛挐攻一心。獨居幽處最難禁。若不於斯加猛省。靈㙜終作夜沉沉。吾人心體本虗靈。物慾交攻或晦暝。若因明處能推擴。方是天君得妥寧。出入無時莫的向。操之存內舍而亡。若能省察恒加敬。便覺胷中天理行。</text>
<title>夢中。與友人相別而作。</title>,<text>君今去去天門裏。我自閒閒草屋中。榮枯有數何須說。從此閑忙自不同。</text>
<title>謹次地主李公 敏叙 傷貧詩</title>,<text>窮巷無人鷰獨歸。數椽茅屋炊烟微。不將燕玉暖吾老。何憶楚萍療苦飢。予有慈母。年老家貧。不得如意養之。今見此詩。曀欝難抑。故敬次寫懷。</text>
<title>奉呈族叔黔巖 致道 求和</title>,<text>年來多病掩柴扉。平昔親朋漸覺稀。惟有吾公情莫逆。頻尋床席志無違。逢塲無喜添新興。別後還愁减舊肥。獨向幽窓私語口。好風多意入書幃。</text>
<title>次二友堂韻</title>,<text>暫出紅塵志未伸。卷懷今日作閒人。淸風竹裏三間屋。細草庭邊一㨾春。床滿詩書隨意覽。門無車馬與誰親。山蔬可采酒新熟。便是主翁眞樂辰。</text>
<title>謹次地主李公 敏叙 韻。上尤庵先生。丁巳</title>,<text>東海有我師。荊棘圍作屛。誰復摶天翼。潛鱗卧窮溟。道大固難容。處困心猶寧。一室涔寂裡。囂囂絶視聽。經書常滿案。披玩手不停。笑他名利子。紛紛如亂萍。徒耽靑紫貴。出入在公庭。詎意聖明時。夫子斯飄零。北塞與南荒。艱苦已飽經。髭髮勝平昔。夫子餘稀齡。卞玉自爲寶。何傷刖足刑。小子昏且愚。埴道久冥。今來奉玄訓。入德庶無扃。附原韻先生昔在山。蒼翠繞門屛。先生今在東。浩浩觀滄溟。去來山海間。先生心自寧。小子強喜慍。瑣屑不足聽。屈伸如朝暮。大化固不停。世故適相値。眞如水上萍。子今往問道。斯言豈徑庭。高秋霜滿地。原樹葉盡零。道途饒佳趣。山水飽所經。男兒貴遠游。愧我非壯齡。恨不從子行。寤寐想典刑。願聞第一義。庶幾開昏冥。子能傳兩喜。何必親扣扃。附尤庵先生次韻昔我紫陽翁。身居大隱屛。道全集大成。乾坤涵八溟。顚躓慶元間。寂寞歸順寧。朱子墳菴 二千徒弟泣。天不傾耳聽。而我抱遺編。問思兩無停。雖未一斑窺。如飢憶楚萍。珍重光山伯。早自立門庭。還將壁立志。抵死未凋零。更闡白鹿䂓。章甫儼橫經。異世諒同符。不覺已千齡。生徒皆俊彦。初不煩敎刑。逢君徵所得。豁若陞靑冥。歸哉共遐尋。聖門元不扃。附宋叙九 疇錫 次韻地偏瘴癘多。日夕侵帷屛。誰意千里客。聯翩此南溟。主人媿其勤。感歎心不寧。况蒙示佳什。淸越更滿聽。一唱有遺音。遠追陶雲停。抵今吾黨人。何者不浮萍。衝飈動哀壑。嚴霜被中庭。良辰竟何許。哀此衆芳零。所貴君子操。險難必須經。閉戶賾前訓。自足慰暮齡。雖不殄人禍。庶以免天刑。珍重各努力。此道本不冥。無入不自得。何須在巖扃。</text>
<title>高靈舘。遇星州牧李汝老 壽蔓 以詩贈。余卽次以謝。</title>,<text>踏遍山根與海潯。嶠南無處可開心。靈川此日逢賢宰。始吐覊懷作話林。附原韻好客初從大海潯。他鄕邂逅共論心。樽前莫問人間事。地是高陽對竹林。</text>
<title>陜川道玉村。別柳叔起 漢徵 之居昌。用唐詩體。</title>,<text>君向居昌去。我尋智異歸。同來不同返。淚濕遠征衣。</text>
