<title>與二三鄕人。訪甘露寺。</title>,<text>菊花臨水亞。楓葉滿山堆。甘露題名後。煙波短棹廻。</text>
<title>謝諸公觀魚之會</title>,<text>蘭若曾同賞。濠梁又見招。登臨無限興。落木更蕭蕭。</text>
<title>葛巾</title>,<text>細葛含風軟。裁成頭上冠。政宜陶氏漉。無復貢生彈。</text>
<title>燕山歌。贈輔行崔國子汝和 錫鼎。兼示贊价李中丞進吾 墪。</title>,<text>聞道使車行。折梅聊贈語。燕山雪正深。須讀春翁疏。往在丙午年間。有辱及上躬之事。而使臣不能爭執。同春堂陳疏論責。至有埋骨燕山等語。今行亦有可憂者。故以此勉之。</text>
<title>庚午春帖子 二首</title>,<text>欲窮天地妙。看取小園春。萬物皆生意。洋洋發育仁。座滿金蘭契。樽盈麴米春。年年鄕飮會。俱是里中仁。</text>
<title>種瀟湘竹</title>,<text>亭擅岳陽勝。岸移湘竹叢。恨無工部作。爭得洞庭雄。</text>
<title>金友最良 盛最 以琉璃甁。盛新淸酒以惠。</title>,<text>苦吟詩未就。窮蟄氣難蘇。忽得金莖露。臨風盡一壺。</text>
<title>重陽前一日。示內外同隣。</title>,<text>九日明朝是。黃花昨夜開。佳辰宜酩酊。携酒上山來。</text>
<title>簡寄壺谷南判書 龍翼 明川謫所</title>,<text>萬事皆天定。公今七寶山。分明前夜夢。風雨鬼門關。南公少時夢中。有蕭蕭十里雨。夜度鬼門關之句。今有此行。莫非前定。惻然有作。</text>
<title>天逸臺留別悅瑞二僧</title>,<text>宿雨開千洞。新詩和二師。虎溪相別後。何處是前期。</text>
<title>望毗盧峰</title>,<text>萬二千峰上。秋風蠟屐孤。夜來疎雨響。遺恨在毗盧。</text>
<title>雲水洞</title>,<text>昨觀萬瀑流。今尋雲水洞。獨無蓬萊書。溪山是伯仲。</text>
<title>大殿迎祥詩 戊申</title>,<text>天時政屬月正元。晝漏初稀瑞日暄。頭上銀幡霑雨露。侍臣咸戴聖君恩。</text>
<title>大殿春帖子</title>,<text>禁苑祥禽得氣先。千門寶帖一時宣。和風已占豐登瑞。八域行看大有年。</text>
<title>次壺谷南雲卿詞伯韻</title>,<text>酒醒孤枕鴈賓霜。牕外疎松動晩凉。秉燭忽吟壺谷作。一江秋夜未渠央。</text>
<title>翠野亭</title>,<text>玉節登臨翠野亭。諸生雲集小民迎。傍人莫笑褰帷問。千里澄淸在此行。</text>
<title>廣石雨後</title>,<text>洋洋一曲七絃收。雨後前溪水石幽。携妓風流君莫笑。聖恩新許極遨遊。</text>
<title>沈應敎 濡 挽 三首</title>,<text>東璧文星遽晦光。九重亡鑑士林傷。嗟君宦道如薪積。名姓空留玉署香。曾閱玄翁卷裏詩。舍人哀挽最堪悲。靑雲半路歸黃壤。又是吾君薤露詞。每憶金鑾共直年。淸宵良晤尙依然。悠悠往事渾如夢。可堪揮涕暮江邊。</text>
<title>題信上人詩軸</title>,<text>雲衲來從雪嶽山。自言居在百潭間。僊源窮處迷樵逕。未到沙門意已閒。</text>
<title>以扁舟。訪柳悠久 尙運 不遇。津吏妄稱柳已移往廣陵云。</title>,<text>蘭橈桂棹遡洄游。我所懷人在水洲。鼓枻閒蹤無定處。扁舟已向廣陵流。</text>
<title>聞柳悠久尙在陽江。沂流相尋。</title>,<text>江湖浪迹極優游。更逐沙鷗下晩洲。渡口行人如有問。爲言垂釣在安流。</text>
<title>復用前韻。寄柳悠久。</title>,<text>聞道僊舟過上游。已收漁艇繫前洲。歸時倘許倉江會。爲報篙師且溯流。</text>
<title>次吳貫之 道一</title>,<text>灑落淸詩眼忽開。臨風吟詠兩三回。田家秋興惟鷄黍。淨掃江亭待子來。</text>
<title>示家弟道實 光涑 求盆梅</title>,<text>處士幽居宜冷蘂。西湖明月可疎枝。聞君新得雙梅樹。一朶何妨健步移。</text>
<title>鄭殷山 東龍 挽</title>,<text>投筆有懷班定遠。封侯無相李將軍。雄圖壯志今安在。旅櫬凄凉廣漢濆。</text>
<title>盆梅呼韻</title>,<text>春光先入小齋梅。雪裏氷姿次第開。却恐暗香藏不得。明朝重引遠蜂來。</text>
<title>卽事</title>,<text>卧病江湖萬念休。忽聞庭樹已驚秋。滿林棗栗風前落。分付兒孫次第收。</text>
<title>失釣舟</title>,<text>早把緋貂換釣舟。泛虗亭下繫安流。夜來風雨移藏壑。從此漁竿又見休。</text>
<title>洞中有感</title>,<text>三十年前辦此遊。芒鞋徧踏白雲秋。人間存沒嗟何及。今日重來雪滿頭。</text>
<title>次家姪質夫徵殷韻</title>,<text>午夜寒蟾上碧岑。紫霄淸切洞門深。眞遊千載誰相似。天柱峰前玩月心。</text>
<title>出山</title>,<text>緣溪處處玉爲屛。把酒論詩却忘行。騎馬出山山更遠。白雲秋色滿歸程。</text>
<title>次質夫韻</title>,<text>淸秋同賞白雲岑。古寺蕭條澗壑深。霽月恒沙前夜會。至今搖落在中心。</text>
<title>是年冬。家兒及家姪徵奎，從孫正明皆生子。俱有宗事之托。而爲家兄唐津府君之孫若曾。喜與感幷。玆以一絶志之。</title>,<text>三家宗子一時生。謝氏庭前寶樹盈。責報後昆如左契。始知餘慶在吾兄。</text>
<title>又次生字。寄質夫。仍示正明。</title>,<text>江湖白髮尙全生。每遇悲歡涕自盈。何幸吾孫能早達。旣爲人叔又爲兄。</text>
<title>詠盆梅</title>,<text>氷腮初綻靚新粧。漏洩春光暗吐香。疑上月宮窺半面。素娥身着白霓裳。</text>
<title>次質夫閒居雜詠 二首</title>,<text>狂風不識暮春闌。動地偏驚午夢殘。捲我三重茅去屋。空留突兀眼前看。野客年來不出門。地偏湖海遠啾喧。閒中手植蟠桃種。枝葉扶疎結子繁。</text>
<title>題己巳鞫廳事實後</title>,<text>中宵霹靂殷乾坤。百辟羣僚噤不言。惟有三良同日死。九原無負顯宗恩。</text>
<title>還泛虗亭</title>,<text>雨後江山物色新。小亭迢遞絶囂塵。百花園裏爭含笑。爲喜重迎舊主人。</text>
<title>與同里諸人泛舟 二首</title>,<text>虗舟重泛鏡光新。四座渾無一點塵。宛在中流消永日。白鷗飛下故隨人。由來世事好更新。幾見滄溟變作塵。瀟灑江湖經日月。孰知元祐有完人。</text>
<title>庚申秋。余自南郡承召上來。叔氏自唐津枉轡來迎。穩做郵亭一日之歡。今日居停。又是當日所寓之家。追念前事。愴然志感。</title>,<text>憶昨承綸向玉墀。吾兄遠自洞庭歸。郵亭恰作鴒原會。十一年來萬事非。</text>
<title>次正明 二首</title>,<text>早發行人未辨光。只看山色遠微茫。馬蹄輕處飛如霰。始覺寒程踏曉霜。十里長江凍不流。冷風飛雪助淸遊。南行捴是神僊窟。羽化樓連駕鶴樓。</text>
<title>次弟姪輩與兩趙酬唱韻</title>,<text>喜爾耽書夜不眠。焚膏直待五更天。古來勤苦能成業。定見揚名在妙年。</text>
<title>金生仲輔 時佐 琉璃甁。盛銀鱗。養以玉粒。口占一絶。</title>,<text>銀鱗活潑碧琉璃。怪底煙波案上移。縱荷主人濡沫惠。豈如湖海兩忘時。</text>
<title>歸來亭。聽主人彈琴。用琴上韻。</title>,<text>歸來亭上鼓玄琴。收入長江萬里心。自有漁翁能解聽。不須鍾子是知音。</text>
<title>與金最良父子及朴生 汝興。觀魚于無憂川上。路過淸平墓下。最良與都尉有舊。頗有感舊之情。馬上口號。</title>,<text>緱氏山前夕照殘。秦樓寂寞鳳簫寒。知君別有西門痛。擧手催鞭過翠巒。</text>
<title>後九日。最良佩壺來訪。醉題二首。</title>,<text>登高罷後菊猶黃。江月明時酒政香。引滿樽前花作筭。九秋何日不重陽。酒因霜蘂色增黃。花泛霞觴倍引香。更對寒花傾綠酒。西湖風味過潯陽。</text>
<title>次最良 三首</title>,<text>南隣酒老咏新詩。爲笑疎慵斷飮癡。秋晩江樓風色冷。一杯還覺雨中宜。晩來閒興酒兼詩。點檢初心已大癡。江海非無廊廟志。一休其奈有三宜。徙倚欄干待月輪。秋江涵影鴈來賓。湖亭一罷鴒原夢。歲暮幽期在故人。</text>
<title>最良携酒來訪。席上呼韻。二首</title>,<text>湖上幽棲遠酒家。無端飛雪下平沙。近聞水月開新釀。宜泛東籬未落花。門掩西湖處士家。卧聽鳴鴈落寒沙。朝來竹葉嗟無分。虗對盈盆晩節花。</text>
<title>十月之望。會泛虗亭。次少輩酬唱韻。示最良。二首</title>,<text>平生流水與高山。此日遊君父子間。處處頻開詩酒會。百年湖海一身閒。盈盈素月上東山。來照西湖酒席間。正似蘇郞遊赤壁。夢中僊客羽衣閒。是日。卽蘓僊後赤壁遊之日也。</text>
<title>次最良</title>,<text>天雨蕭蕭昨夜來。寒聲淅淅動疎槐。泛虗亭上荊花滿。催喚隣翁進酒杯。</text>
<title>微雨</title>,<text>秋光先入鳳儀濃。五馬催尋萬二峰。僊境本嫌人世跡。爲行微雨洗塵容。</text>
<title>山陽驛</title>,<text>暮年人事轉凄凉。絃斷牙琴月滿樑。牛背牧童休弄笛。不堪斜日過山陽。</text>
<title>發通溝</title>,<text>此去僊山隔幾重。前登斷嶺卽瀛蓬。秦皇若學通溝路。不用樓船五百童。</text>
