<title>華陽感吟</title>,<text>尤老棲遲地。遺風起後人。數叢巖下樹。花發大明春。</text>
<title>敬次尤庵先生贈行上人韻</title>,<text>雲衲自何處。道高年亦稀。相將心裏慟。論說却忘歸。</text>
<title>旅榻偶吟</title>,<text>月明籠遠樹。風動響林巒。客裏悄無寐。倚軒獨見山。</text>
<title>春帖</title>,<text>新春吾有祝。心界淨無塵。舊習從今革。工夫日日新。</text>
<title>夜憶星山歸客</title>,<text>客散離亭夕。春留小砌花。星山歸去路。滯雨宿誰家。</text>
<title>次南措大韻</title>,<text>旅館逢迎地。山中歲暮天。夕陽君莫去。吾已閉柴門。其二多少胷中事。擧頭欲問天。如何生我晩。未入仲尼門。</text>
<title>樵童</title>,<text>樵童歌絶壁。遙看若飛仙。堪笑空齋客。獨吟日似年。其二嗟吾生世晩。未入竹林仙。多少無竆意。長歌惜暮年。</text>
<title>道中作</title>,<text>日暮山行險。風寒雪亦寒。玉峯今遠近。宜待月明看。</text>
<title>盆梅</title>,<text>小屋藏春色。吟詩到夜深。一枝燈下影。能識主人心。</text>
<title>歲暮</title>,<text>歲暮山中客。高吟步謫仙。家貧乏樽酒。何以餞舊年。其二男兒生此世。何事老蓽門。撫劒孤嘯發。長風起暮天。</text>
<title>別李直齋 箕疇 謫會寧</title>,<text>向來橫議日紛繽。朝野無非醜正人。斯世孰能知大義。歲寒松栢見君身。</text>
<title>詠葩山</title>,<text>山爲錦帳石爲盤。水自潺湲雲自閒。景物無竆看不厭。欲將身世老巖間。</text>
<title>次思齋主人韻</title>,<text>俗蹤塵迹不曾到。獨掩空山山下門。最是這間無限興。疾風飛雪舞長天。</text>
<title>偶吟</title>,<text>騎驢頭戴浩然巾。白雪橋邊霽月新。堪笑世間名利輩。不知何似此閒人。</text>
<title>憶李萬亨</title>,<text>萬疊雲山隔兩湖。波流九曲更縈紆。相思一夜心千里。坐對窓間月影孤。</text>
<title>偶吟</title>,<text>雪月三更爽氣侵。新詩詠罷夜已深。吾儒所業先竆格。莫向殘燈費苦吟。</text>
<title>聞四郡多遯藏之地。行到淸風有作。</title>,<text>生涯淡薄野農同。樂土曾聞日出東。斯世讀書無用處。欲尋竆峽敎兒童。</text>
<title>登玉溪山口占</title>,<text>山角崚嶒亂石連。緣溪一道樹林邊。征鞭暫歇回頭望。落照漁村鎖暮煙。</text>
<title>巖棲齋。次詠松韻。</title>,<text>凌雲直幹碧森森。貞節齊高萬丈岑。樹木猶爲人愛惜。風來時自送淸音。</text>
<title>金沙潭</title>,<text>金沙潭外雨霏霏。蹙石驚波若雪飛。寥落風光今失主。淸流嗚咽向人悲。</text>
<title>感懷</title>,<text>葉落庭前樹。幽懷更悄然。踈林聽雨過。空壁伴燈燃。夜永難成寐。爐寒不起煙。無竆霜露感。明發淚漣漣。</text>
<title>奉呈仲兄蔚山謫中 仲兄晩悔堂胄亨。上䟽攻斥崔錫鼎禮記類編。謫蔚山。</title>,<text>未洽團圓樂。明朝卽別筵。同衾夜十五。分袂路三千。羈旅影還隻。去留涕自漣。越江當日恨。千載足凄然。</text>
<title>謹次仲兄韻</title>,<text>相思千里恨。明月有高樓。孤燭燃鄕夢。殘砧搗客愁。棹謳寒透岸。漁火夜歸洲。昨得平安字。恩深勝地遊。其二北宸雲漠漠。南紀路茫茫。嶺海三秋節。家山四美堂。四美。卽仲兄堂號。而尤翁所命。 白頭愁瘴沴。靑草夢池塘。最是鴒原恨。誰憐病在床。其三孤露餘生在。相依弟及兄。保身無遠策。衛道有微誠。別後三秋盡。愁中兩鬢明。忽聞北來語。倍覺心魂驚。</text>
<title>昨日。鳳雲來傳一封書。兼得瓊琚。喜甚次呈。</title>,<text>不見吾兄久。華岑秘遯蹤。火山新草綠。樽酒舊醅濃。月色侵書榻。風聲送遠鐘。那堪懷壹鬱。離恨滿心胷。其二不見吾兄久。離愁幾日休。晩煙籠遠樹。斜景到林丘。簣土從勤積。源泉不舍流。淸宵無限意。遙聽鴈南遊。其三不見吾兄久。蟾光倐再圓。憂時言有激。仗義氣無前。筆奪羲之妙。詩傾白也篇。悵然空佇立。春雨灑征鞭。</text>
<title>昨日。春煦甚和。强病扶策登松臺。偶得詩。贈朴啓三。</title>,<text>故人終不至。僧屋滯幽蹤。落日鄕心動。春山酒氣濃。路長迷遠夢。夜永聞寒鍾。况復親庭邈。愁來氣塞胷。其二故人終不至。獨自任行休。乘趣涉前澗。消憂步遠丘。洞雲當峀出。春日向西流。搔首含愁立。還思去歲遊。</text>
<title>奉呈鳳城使君</title>,<text>客來情繾綣。梅閣醉深巵。吏隱山花落。官閒院柳垂。仁聲騰百里。儒化最南陲。琴罷仍無事。佇看太古治。</text>
<title>夜雨朝雪</title>,<text>春雨前林濕。風聲半夜多。窓扉寒自語。村巷寂無譁。一枕三更夢。千山萬水波。覺來朝日晩。殘雪眼中花。</text>
<title>華陽感懷</title>,<text>磅礴層巖一洞開。後人來到獨徘徊。尊周大義千年在。宗海長川萬折迴。葩谷煙霞迷絶壑。皇明日月照蒼苔。斜陽九曲悲吟久。不是芳春取適來。</text>
<title>華陽宣額</title>,<text>王使朝臨訪廟門。千年盛擧萬人喧。葩溪魚鳥知天寵。華嶽煙霞帶聖恩。明鑑燭奸排異學。至誠通道見眞源。楣間昭揭黃金字。輸與斯文永世存。其二一出綸音萬世休。榮光喜氣洞天浮。玄機宇宙初陽月。泰運風雷渙發秋。澤及重泉偏雨露。恩覃華額耀琳璆。縟儀何幸身親見。白首微臣感涕流。</text>
<title>作關西之行。拜別伯仲兄。</title>,<text>春風二月啓西行。逖矣三千里外程。早識師生恩義重。却令兄弟別離輕。鄕山歸夢逾關嶺。浿水寒雲接塞城。今日斯文天喪痛。去留昆季一般情。</text>
<title>次南措大韻</title>,<text>居鄰虎豹早扃門。樵客催歸日向昏。鴉帶暮煙投遠樹。客霑山雨入前村。空齋有思心長語。卽事成詩孰與論。一曲高歌山寂寂。呼燈端坐歲寒天。</text>
<title>偶吟</title>,<text>歲暮龍蛇歸大澤。天寒鴻鵠盡南翔。達人從古皆明哲。世道如今可遁藏。淸洛浮雲隨劒佩。故山明月照茅堂。請看否泰陰陽理。大易床頭聖訓長。</text>
<title>華陽洞。留別三從弟 胄爀。</title>,<text>征馬嘶風出洞隈。惜離情緖也難裁。孤松倚壁遙成蓋。危石臨流迥作臺。半世同門論臭味。一旬聯榻許襟懷。臨分脉脉還無語。摻手慇懃望再來。</text>
<title>玉溪偶吟</title>,<text>何年卜築玉溪陽。收拾煙霞共一堂。泣露黃花香自濕。帶霜丹葉氣初凉。吟詩對月幽情愜。把酒臨風逸興長。紫陌紅塵非我願。誓同樵牧老江鄕。</text>
<title>次鄭上舍 齊檜 韻</title>,<text>世路之難難上天。江湖卜築已經年。新詩只爲騷人倡。幽事休敎俗子傳。暫伴漁翁遊柳外。更携琴友向樽前。高歌一曲靑山暮。豪興何如葛穉川。</text>
