<title>戲贈盆梅主人</title>,<text>戶外寒猶緊。房中別有春。漑根徒要實。淸翫也誰人。</text>
<title>晞陽途中。同族大父牧牛子 台亨 望葛隱洞匪所而作。</title>,<text>古涪州是今晞陽。立雪門前路正長。匹馬斜陽投水驛。孤燈疎雨臥蓬床。家山迢遞鴈無信。湖海迷茫魚自忘。卻望函筵知不遠。晨星催發理輕裝。</text>
<title>雙溪寺</title>,<text>雙溪水石問如何。遠客探眞此偶過。海上靑山方丈出。江南明月岳陽多。祇宮屭贔藏千佛。法界淸嚴呵百魔。夜靜沙門爭入定。楞床對話數頭陀。</text>
<title>喚鶴臺</title>,<text>喚鶴臺邊結鶴緣。山行良苦暫成眠。夢裏玄裳來攪我。飄然如化羽衣仙。</text>
<title>佛日菴</title>,<text>杖策攀登佛日菴。白雲終日洞門涵。冥翁信筆疇能貳。靑鶴須從這裏探。</text>
<title>鍤巖 巖是韓錄事遺臺。而我叔祖茅村公移寓晉西之日。搆亭於此。文進士弘運有詩曰。疎竹巖邊誰卜築。淸州刺史舊朝官。以公曾爲淸州牧。</title>,<text>巨靈天鑿立頎然。錄事遺臺刺史沿。興廢無常關造運。亭墟猶有好名傳。</text>
<title>七佛菴</title>,<text>七佛菴中偶投宿。兩僧俱不凡緇流。文談貝語消長夜。茶果香厨供接優。</text>
<title>蟾津江</title>,<text>蟾津沽酒膾鱸遊。江雨初霑江水悠。百里風烟通巨海。兩沿魚米載中流。巖花日暖紅爭艶。渚柳春深綠政油。回首頭流千萬疊。孤舟忽撼蠧翁愁。</text>
<title>淸源席上。敬次葛庵先生原韻。己卯九月。先生自光陽承宥命。發道至晉州淸源。聞臺章未息。待命經年。庚辰正月。族親賓朋來候者甚衆。先生賦五律一首以示座中。</title>,<text>中途涪駕返。高會屬良辰。宗族重歡日。賓朋一座春。覊愁都滌累。德業漸看新。小子陪淸讌。折梅筭酒廵。附原韻淸源堂上會。時節屬佳辰。款接情親話。歡成滿座春。衝寒梅綻早。和雨鳥嚶新。盡醉酬今日。休言酒幾廵。</text>
<title>密庵族祖陪尊堂。涪駕至晉陽待命。訪茅谷先墟。賦感求和。</title>,<text>自北歸南始向東。故山花樹訪遺叢。風霜敲撼園林敝。門戶維持德蔭隆。遠路誰知臨長德。後生多愧墜儒風。追惟骨肉情逾密。原始由來是反終。附原韻壯元峯西飽德東。先墟猶記紫薇叢。短墻埋沒從榛莽。敗礎分明認棟隆。世代空悲斬遺澤。雲仍且喜述家風。不才敢忘垂休意。庶奉餘規勉始終。</text>
<title>靈山倅蒼雪權丈 斗經 自汾湖歸</title>,<text>瓊瑰栗栗錦囊中。汾上淸遊儘不空。浮世百年寒暑促。良緣四海弟兄同。梅開水驛春成雪。波撼詩樓夜有風。恨未梁園趍末席。使君盃酒借顔紅。</text>
<title>追次牧牛子和權蒼雪韻</title>,<text>使君行過牧翁里。華帖題詩動墨烟。也識從遊聲氣應。師門回首感悠然。附原韻客自汾陽過放牧。牧翁高屋出風烟。淸修行誼聞名下。半日相酬腹果然。蒼雪車騎光臨蓬蓽里。麈談半日卻塵烟。星斗高名欽仰久。乍逢旋別悵悠然。牧牛</text>
