<title>爲屋</title>,<text>爲屋不加茅。雨暘俱可畏。今朝覆其半。天日有顯晦。</text>
<title>夜入陶淵口占</title>,<text>天借松間月。人居江上亭。山靈如有待。爲我露眞形。</text>
<title>田家</title>,<text>綠樹凉風起。田家時雨過。農人荷鍤歸。新月欲西墮。</text>
<title>松石。次從弟敬伯 聖欽 韻三絶。</title>,<text>石斷長川掛。松深片月開。淸風吹不絶。仙鶴幾時回。對壁心愈靜。看雲興更幽。相看不相厭。惟有一沙鷗。雲裏來淸磬。林端起夕煙。漁翁謀夜獵。持罩下沙邊。</text>
<title>陶淵。贈別諸友。</title>,<text>一會情無極。奇遊可再爲。周王留宿債。會待鶴歸時。</text>
<title>追遊白雲亭</title>,<text>五日江山會。浮生足解憂。還嫌情未極。更上白雲樓。</text>
<title>次王荊公韻寫懷</title>,<text>莫說升沈世事。三杯春酒方酣。草沒錦陽舊宅。山圍古驛村南。惆悵舊遊殆盡。徘徊殘日欲西。莫道山蹊已黑。武陵未必終迷。</text>
<title>次再從弟行彥 道欽 韻</title>,<text>僧定夜闌坐榻。客閒日久忘家。雨宿澗流不歇。境深雲樹從遮。</text>
<title>仙遊亭。夜吟。</title>,<text>淸宵獨立對前川。風送高梧月滿天。爲問蓬萊何處在。世間無欲是眞仙。</text>
<title>夜坐有感</title>,<text>孤村雨氣近黃昏。溫凊無由問九原。昨夜西風霜露降。滿庭黃葉獨消魂。</text>
<title>贈安國華 命夏</title>,<text>江潭芳草綠萋萋。匹馬明朝渡錦溪。春到驛梅書不到。客窻何處聽鶯啼。</text>
<title>過龜潭。憶愚潭丁先生。</title>,<text>白石蒼苔鏁寂寥。江流百尺去滔滔。浮空翠壁何時折。長使人人仰止高。</text>
<title>慶山旅館。夜坐口占。時以權孝祥病。與權一甫諸人。同留。</title>,<text>二月江南天雨濕。郡城孤館閉深深。誰知不寐懸燈處。眽眽相看此夜心。</text>
<title>靑巖亭。感舊。</title>,<text>庭院陰陰近夕暉。客心何事轉依依。一行疎柳靑山裏。秋到庭中人不歸。</text>
<title>訪崔守愚故宅</title>,<text>憶昔守愚崔處士。身將一鶴卧深林。今日淸風未頓絶。滿庭明月竹森森。</text>
<title>晉陽旅館。曉起思家二絶。</title>,<text>空階霜葉亂如花。歸夢迢迢不到家。終夜自吟還自怪。爲誰奔走落天涯。霏霏秋雨打黃花。孤興無心問酒家。寒早北堂消息遠。西風吹夢到天涯。</text>
<title>苦吟 時留京</title>,<text>簷雨支離夜不晨。古龕殘燭對愁人。歸鴻不報南來札。虛送天涯一半春。</text>
