<title>五絶 題九千洞 乙未</title>,<text>赤葉秋將晩。靑山日欲昏。多情東嶺月。入夜滿禪門。</text>
<title>正月卄八日生朝。孫綾州 景錫 餽以三種珍味數盃仙露。兼以五言一絶。以示眷意。孤露餘生。益增悲感。忘拙扳和以謝。</title>,<text>淸味三盃餽。慇懃壽此辰。撫時孤露感。濡雨屬新春。</text>
<title>南庵偶吟</title>,<text>巖蹲千古意。花發一春心。無語燒香坐。淸流自爽襟。</text>
<title>次鄭鳳沙伯英 儁 韻</title>,<text>舊境成佳會。庭松不改陰。題詩攄積襞。講學滌煩襟。雖有絲毫得。莫如咀嚼深。偲偲終夕罷。西日下山岑。</text>
<title>詠松</title>,<text>尺許孤松捲土移。庭前翠盖雪中奇。淵明會有盤桓日。羽客寧無列坐時。自歎人情衰晩節。偏憐物性保寒姿。朝朝幸免牛羊牧。日夜生成雨露滋。</text>
<title>霽月</title>,<text>霽月團團印碧波。竹林踈影滿庭多。千載濂溪好氣象。想來今夜更如何。</text>
<title>過龍湫有吟</title>,<text>蕭灑龍湫上。風光逈出凡。老松垂翠壁。霜葉護蒼巖。逸興笙歌幷。淸遊少長咸。暮投蕭寺裡。零露濕征衫。</text>
<title>和族姪紀夫  韻</title>,<text>屋漏深深怕四知。邪思妄想揔由私。須臾或失操存戒。焦火凝氷轉益危。</text>
<title>路上吟</title>,<text>淸泉白石水潺潺。綠樹啼禽自在閑。只恨此行歸未早。巖厓花事已凋殘。</text>
<title>題金生 錫龜 舊庄 甲辰</title>,<text>憶昔從遊地。今來不見人。依然舊宅裡。寂寞鎖殘春。</text>
<title>題玉溪洞</title>,<text>春日玉溪洞。淸流汩㶁鳴。停鞭坐石上。長嘯付閒情。巖花初欲綻。山竹始抽芽。信馬緣溪下。峽村人數家。</text>
<title>題龍泉寺</title>,<text>暮向龍泉寺。山花爛熳開。流水不暫息。知有源頭來。</text>
<title>次贈權淸㙜台仲 相一</title>,<text>山間斂踪跡。不肯聞時象。架疊書籍千。籠藏鵝鶴兩。幸得朋自遠。携手共淸賞。嘉子學力進。充然神氣旺。箴䂓皆藥石。反省追旣往。切磋永今夕。庶幾慰瞻仰。風塵賦歸來。衰病相沈綿。誅茅闢幽逕。種秫拓荒田。區區養拙計。剩得一壑專。佳客惠然來。暇日開勝筵。叙懷忘寢食。相質討簡編。雅論多警發。服膺保殘年。原韻沙潭淨無物。玉峯奇有象。幽花發巖罅。老枝綴三兩。適玆淸和節。與子同遊賞。亨嘉物漸滋。發舒神稍旺。藏菴名固好。此意非長往。勖哉養新德。庶不愧俯仰。山齋掩晝靜。杳與人境綿。架上藏古書。山前開石田。玆焉息華念。心源淸且專。我來得佳晤。促膝坐高筵。共許峨洋音。聊吟切磋編。永保幽貞懷。努力惜餘年。</text>
