<title>贈別宣水使 居怡</title>,<text>北去同勤苦。南來共死生。一杯今夜月。明日別離情。</text>
<title>無題六韻</title>,<text>蕭蕭風雨夜。耿耿不寐時。懷痛如摧膽。傷心似割肌。山河猶帶慘。魚鳥亦吟悲。國有蒼黃勢。人無任轉危。恢復思諸葛。長驅慕子儀。經年防備策。今作聖君欺。</text>
<title>閑山島夜吟</title>,<text>水國秋光暮。驚寒鴈陣高。憂心輾轉夜。殘月照弓刀。</text>
<title>閑山島夜吟 附追和諸作 判書洪處亮</title>,<text>忠烈華夷伏。聲名日月高。遺孫不忘郢。夜夜撫長刀。</text>
<title>閑山島夜吟 又 判書南龍翼</title>,<text>聞笛睢陽詠。千秋節並高。時危憶良將。中夜撫龍刀。</text>
<title>閑山島夜吟 又 判書柳赫然</title>,<text>號令山河動。功名日月高。如今破壁上。夜吼舊龍刀。</text>
<title>閑山島夜吟 又 參判李秞</title>,<text>北來星斗近。南望嶺天高。自笑書生老。雄心倚寶刀。</text>
<title>閑山島夜吟 又 右議政申翼相</title>,<text>雲海將星落。麟臺勳業高。英雄滿襟淚。遺恨泣龍刀。</text>
<title>閑山島夜吟 又 參判李寅煥</title>,<text>千秋精爽在。萬里海雲高。一絶看忠義。猶存匣裏刀。</text>
<title>閑山島夜吟 又 參議任奎</title>,<text>日月精忠貫。山河壯氣高。鯨鯢猶跋浪。怊悵撫龍刀。</text>
<title>閑山島夜吟 又 副提學趙持謙</title>,<text>大海旌旗耀。將軍意氣高。千秋留一絶。詠罷撫長刀。</text>
<title>閑山島夜吟 又 監司李喜龍</title>,<text>閱盡南征錄。公勳第一高。英靈猶未泯。匣裏吼龍刀。</text>
<title>閑山島夜吟 又 修撰李寅賓</title>,<text>大樹飄零後。芳名百歲高。何人傳寶唾。忠赤凜霜刀。</text>
<title>閑山島夜吟 又 判府事尹拯</title>,<text>睢陽遺響遠。諸葛大名高。八哀思勁翮。一割愧鉛刀。</text>
<title>閑山島夜吟 又 領議政李畬</title>,<text>第一中興將。身殲勳更高。閑山秋夜意。舊匣尙雙刀。</text>
<title>閑山島夜吟 又 領議政李濡</title>,<text>義與秋爭烈。名將日並高。平生報國意。看取匣中刀。</text>
<title>閑山島夜吟 又 判府事趙相愚</title>,<text>萬斛龍驤駛。千層虎帳高。雄心猶不死。碧血染霜刀。</text>
<title>閑山島夜吟 又 判書李墪</title>,<text>江淮唐保障。功烈較誰高。舊物猶遺恨。龍吟大小刀。</text>
<title>閑山島夜吟 又 參判任弘望</title>,<text>欲識吾鄕事。唯當着眼高。至今牛斗上。餘氣射龍刀。</text>
<title>閑山島夜吟 又 參判兪集一</title>,<text>賊勢風雷疾。將軍氣槩高。營門秋月夜。閑坐撫龍刀。</text>
<title>閑山島夜吟 又 右議政閔鎭遠</title>,<text>功盖三韓大。名垂萬代高。人亡憂轉劇。慷慨撫腰刀。</text>
<title>閑山島夜吟 又 參議宋徵殷</title>,<text>赫赫勳名壯。三韓義節高。平生手裏物。惟有兩龍刀。</text>
<title>閑山島夜吟 又 參議趙湜</title>,<text>氣作山河壯。名將星斗高。露梁千載月。曾照匣中刀。</text>
<title>閑山島夜吟 又 參議李三碩</title>,<text>師出身先死。功尊節益高。平生滿襟淚。霑灑舊龍刀。</text>
<title>閑山島夜吟 又 參議呂必容</title>,<text>海嶽勳名重。秋天節義高。哀榮紆聖渥。不賣舊時刀。</text>
<title>閑山島夜吟 又 監司吳命峻</title>,<text>諸葛祁山烈。千秋較孰高。閑山殘月恨。夜夜吼龍刀。</text>
<title>閑山島夜吟 又 牧使任弘亮</title>,<text>德水人豪挺。閑山韻更高。三韓再造烈。看取舊龍刀。</text>
<title>閑山島夜吟 又 牧使任弘亮 其2</title>,<text>秋光入咳唾。忠義可爭高。先烈知無忝。晟刀卽愬刀。</text>
<title>閑山島夜吟 又 牧使任弘亮 其3</title>,<text>酆城菀狴氣。光射斗牛高。一試將軍手。千秋作寶刀。</text>
<title>閑山島夜吟 又 牧使任弘亮 其4</title>,<text>仙李樓船將。拔鞘天爲高。試問將軍劍。何如大食刀。</text>
<title>閑山島夜吟 又 都事李畯</title>,<text>聲名雲水白。忠義秋天高。餘事乃文墨。奇勳在大刀。</text>
<title>閑山島夜吟 又 大提學金楺</title>,<text>雲愁孤島立。水咽海天高。萬古英靈在。時時夜擊刀。</text>
<title>閑山島夜吟 又 掌令李聖肇</title>,<text>忠烈爭秋凜。威名盖世高。誅鯨餘舊物。光出匣中刀。</text>
<title>閑山島夜吟 又 從孫之綱</title>,<text>功盖靑丘域。名懸白日高。至今餘壯氣。光吐匣中刀。</text>
<title>無題一聯</title>,<text>誓海魚龍動。盟山草木知。</text>
<title>閑山島歌</title>,<text>閑山島月明夜。上戍樓。撫大刀深愁時。何處一聲羌笛更添愁。</text>
<title>宣諭閑山島。呈李統制。校理趙彭年</title>,<text>喪亂孤殘兩可傷。見公便覺意差强。傍船彩鷁隨風舞。橫海長鯨見劍藏。塞上水軍飛俊鶻。腰間羽箭射天狼。從今要續浯溪頌。莫笑書生迂且狂。</text>
<title>唐浦。呈李統制。從事官丁景達</title>,<text>一片靑邱固莫强。向來天下不能當。隋皇渡鴨全師敗。唐帝征遼合陣亡。廿萬紅巾殲女聖。三千拔道殞坡良。達梁小醜千鋒血。損竹殘兇一箭殤。萬世子孫長肯搆。百年家國繫苞桑。堯天舜日諸祥集。君唱臣賡庶事康。可惜廟謨顚且倒。只應天道變還常。倭船蔽海來充斥。將卒投戈競遁藏。小礟一聲空列陣。大軍三退缺人望。兇鋒撲地閭家赤。兵火漫天日色凉。世祿近臣逃底處。叨恩名將走何方。忠臣只有金兵使。男子惟看朴密陽。慶府受傷徒自悔。金山小捷亦云光。閉戶李公兇不測。徵兵郭氏義難忘。商山戰敗由倉卒。黃澗虛驚是刦腸。忠野輕挑宜不利。王城勢急固難防。宗祊詎作腥塵汚。玉輦聊廵浿上湟。宮闕煙生星日暗。廟陵塵合地天荒。猛將風生旗脚遍。義師雲合劍鋒鋩。退軍龍縣兵威損。奏捷山城國勢張。關路支撑豈人力。臨津走敗是天殃。堤防畿甸知金將。鎭拒完山有趙郞。父死子承忠節炳。弟亡兄繼義聲彰。忠勞誰比號天闕。罪惡咸稱膝犬羊。人戴聖君扶北極。天敎諸將護南鄕。橫遮嶺路爲屛翰。把截閑山作保障。統制將軍元倜儻。扶持雄略屬搶攘。手提神箭餘三尺。撞破倭奴幾萬航。斬級不須論箇箇。血流終見海汪汪。威風已振扶桑國。壯氣應摧日本王。李鄭宣權同赫世。安金裵具共流芳。二三豪傑輸忠力。五十餘城保女牆。德勝凶亡關理勢。仁王强敗有穹蒼。南夷罪戾通神鬼。東土瘡痍徹聖皇。礟手雲興空冀浙。騎兵響起捲荊襄。鷹飛鶴翼鏖城砦。雷震風馳蕩虎狼。神武揚時嚴殺戮。餘威及處走顚僵。奉迎龍馭回京洛。驅逐餘兇縮海傍。風掃乾坤淸舊闥。令行朝野振頹綱。仁儲奉廟還宮殿。賢相隨班佐廟廊。知我聖君忠有効。感吾皇上德難量。堪嗟刑賞乖輕重。不是恩威太抑揚。白首不知馳戰陣。滄波何事駕風檣。三年賊窟雄心死。廿朔兵塵元氣傷。受命只堪殲府地。臨危何忍去吾疆。洛東已獻零兇䤋。海上還調戰艦糧。邑渴民飢徒費慮。人輕責重只招謗。惟思奉贊將軍令。不念勞傷從事狂。危悃崢嶸懸斗極。孤身漂泊寄滄浪。蛇梁堡外顚風作。唐浦城邊大雨滂。獨倚篷窓心咄咄。橫磨長劍意堂堂。舟師已整成芳約。大將方期棹戰艎。一劍直將屠醜穴。千帆應見沒茫洋。初爲汲汲呑舟計。終作區區拒轍螗。臨戰逗遛雖有責。提師輕進戒無妨。務農固是兵家本。播種要令趁節忙。論賞亦當均厚薄。臨刑先可示慈詳。舟中吟罷長回首。風雨茫茫鎖戰塲。</text>
<title>挽李統制判書李睟光</title>,<text>威名久懾犬羊羣。盖世奇功天下聞。蠻祲夜收湖外月。將星晨落海中雲。波濤未洩英雄恨。竹帛空垂戰伐勳。今日男兒知幾箇。可憐忠義李將軍。</text>
<title>左水營李睟光</title>,<text>地勢連南極。雄臨日出東。孤城前左水。一島古今風。控禦關防重。丹靑海廟空。哀哉李統制。千載誦奇功。</text>
<title>忠愍祠李睟光</title>,<text>第一中興將。艱危活我東。山河餘怒氣。宇宙有雄風。對馬春濤息。扶桑曙靄空。至今滄海上。誰復嗣戎功。</text>
<title>忠愍祠二參奉丁運熙</title>,<text>灑泣誓孤軍。殺身淸塞氛。凶門應不避。亡地豈圖存。陣磧開新廟。祁山像舊墳。精忠今不泯。香火兩朝恩。</text>
<title>哀李統制領議政柳成龍</title>,<text>閑山島古今島。大海之中數點碧。當時百戰李將軍。隻手親扶天半壁。鯨鯢戮盡血殷波。烈火燒竭馮夷窟。功高不免讒妬搆。性命鴻毛安足惜。君不見峴山東頭一片石。羊公去後人垂泣。凄凉數間愍忠祠。風雨年年𪚥𪚥𪚥。𪚥𪚥𪚥𪚥𪚥不修。時有蜑戶呑聲哭。</text>
<title>伏波館忠簡公尹棨</title>,<text>城下滄溟萬里開。獨携雄劍倚高臺。天慳景物千年在。地歷華夷百戰來。落日銷霞添逸興。長風送月促深盃。可憐統制招魂處。海曲淸秋畫角哀。</text>
<title>寧波堂尹棨</title>,<text>華夷區域此橫分。大浸稽天瘴霧熏。銅柱威聲無戰伐。金城方略重耕耘。麗譙直壓龍王窟。列鎭平臨馬島雲。最是龜船舊制度。居人猶說李將軍。</text>
<title>感李統制尹棨</title>,<text>倚天看劍坐生風。溟海茫茫浸碧空。可惜當年李統制。飄零大樹九原中。</text>
<title>次尹忠簡公韻參判李景義</title>,<text>將軍一去颯餘風。鯨海波濤萬里空。幾箇英雄墮淚處。峴山碑在瘴雲中。</text>
<title>悼李將軍奉常正車天輅</title>,<text>宇宙無雙將。樓船第一功。鯨鯢談笑外。熊虎指揮中。蒼兕排雲嶠。晴雲捲海風。先鳴百戰壯。獨立萬夫雄。南越驚揚僕。東吳避阿童。扶桑漢甲照。析木楚氛空。捷報飛天上。威聲懾日東。兵休可以國。星落奈何公。匣吼雙蛟劍。櫜收八札弓。南宮未畫鄧。大樹忽摧馮。玉帳韜鈐在。靑油皷角終。蠻兒欣酌酒。漢將痛臨戎。此老眞無敵。餘人若發蒙。特書歸史筆。哀贈軫宸衷。太白英魂帶。靈胥怒氣通。誰能鐫美石。偉績動昭融。</text>
<title>哀李忠武趙慶男</title>,<text>六載閑山擁虎熊。幾時龜艦剪狐叢。偃城金字招鵬擧。河上單師返魏公。三捷碧波生盡節。一朝瓦海死輸忠。揮旗鳴皷盟山說。留與英雄淚不窮。</text>
<title>題露梁忠烈祠錦山君誠胤</title>,<text>將軍忠勇冠東韓。杖鉞桓桓再上壇。還拾敗船猶破賊。謾追窮寇獨當丸。心知功大終難賞。志决身殲竟露肝。萬古英靈何處在。一間祠屋野雲寒。</text>
<title>讀忠武公行狀有感掌令趙克善</title>,<text>丈夫風骨異諸人。夢報平生岳降神。勳業盛來扶宇宙。將星流處哭軍民。幾年統制專三道。千載威名動四隣。烈士聞聲增意氣。遺文讀罷涕沾巾。</text>
<title>過統制使李公墓參奉朴𥠷</title>,<text>將軍墓臨大路。將軍墓有大樹。大樹烈風吹不盡。當年想像將軍怒。將軍擊賊四十萬。大海洋中白日暮。白日暮兮大樹摧。天公爲泣眞宰訴。公之毅魂鎭東南。狐貍竄穴鯨鯢怖。公之忠烈。求之古人無其伍。當與諸葛武侯。同駕而並騖。我逢亂離偶過之。再拜空山一抔土。吁嗟乎有山屹屹高萬丈。萬古英風振河滸。</text>
<title>太平亭左參贊李慶全</title>,<text>塞門秋思動牙旌。南鴈來時客倚楹。萬里關防形勝地。百年勳業丈夫名。鳴梁古渡寒煙積。沃島孤城遠靄平。無數舳艫潮滿處。夜深明月伏波營。</text>
<title>哀李統制承旨崔有淵</title>,<text>昔倭窺我邦。獻馬與孔雀。虔若小事大。卑辭厚幣帛。朝廷信不疑。志士徒仰屋。有人謂宰臣。漆齒何以敵。宰臣綽髯笑。蠻兵類鴈鶩。原野一馬蹄。擧鞭可殲滅。海戍廢舟師。艅艎沙岸閣。維時李節度。小少自穎脫。受任造山堡。大蹂鹿屯賊。羣醜不敢動。猛氣振沙漠。歸來朝市間。陸沈千夫側。淸鑑在相公。豈無吹噓力。湖南左水閫。拔擢自井邑。大修陰雨備。隱若一敵國。蠻船蔽滄海。殺氣亘南陸。羣帥皆褫魄。兇鋒更難遏。公乃擊楫來。閑山雄所搤。隻手捍暴客。一戰海成血。遂加統制命。天書紆寵秩。賊不進一步。荏苒三歲月。蠻酋巧行間。他將殘卽墨。我邦喜得諜。易置太神速。公旋下金吾。中權換趙括。關防一失險。生靈盡魚肉。國事已去後。更授公旌節。公又大獻捷。直欲呑日域。天將都督璘。比營聲勢合。値賊更陸梁。瘴海旌旗獵。公浴夜祈天。殲寇卽殞絶。雞鳴戰方酣。慘憺將星落。笳皷齊獻凱。哭聲旋天徹。凄凉餘部曲。故山歸素紼。都督見吾王。涕淚衣裳濕。掃蕩南海淸。其功誰比列。健筆太史褒。古廟遺像肅。昔過松廣寺。惠煕有老衲。從公矢石間。爲余前致說。非徒公智謀。神明助戰伐。至今有海警。夢裏見髣髴。最悼鄭萬戶。斗膽更無匹。被甲杖大槍。擊皷促柁楫。渠酋畏如虎。所向皆辟易。方戰中石砲。身先死未捷。余遊方丈山。露梁送遠目。是公古戰塲。誰人今復作。龜船徒自橫。一詩慰忠魄。混沌倘不死。幽冥應感激。</text>
<title>題忠愍祠判書洪宇遠</title>,<text>靑邱地形天下壯。涵空巨浸環三陲。名山喬岳鬱磅礴。大川洪河相浩瀰。千年間氣鍾秀異。往往人傑生魁奇。堂堂統制天所挺。氣岸卓犖眞男兒。頎頎八尺猿臂長。燕頷虬鬚仍虎眉。早年投筆學敵萬。赳赳勇力如熊羆。秋蓮秘術笑白猿。明月妙藝超由基。淸霜紫電閃武庫。豹略龍韜誰得窺。霜蹄早合騁亨衢。長翮久嗟栖卑枝。黃雲塞上一躍馬。縛取狂虜如狐貍。囊中穎脫物不隔。九重一朝垂鴻私。金章纔暎滿浦月。玉帳還開滄海涯。煌煌龍節照虎符。肅肅兵甲羅貅豼。魚麗鵰翼自訓勵。赤雀黃龍朝暮治。巍然一方作長城。海寇强梁還可笞。半夜南溟怒濤立。奔鯨噴湧搖凶鬐。東萊城中賊如霧。殺氣漠漠迷朝曦。國家昇平百年久。將相文武方恬嬉。大嶺以南無堅壘。㺚川戰骨高嵾嵯。玉輦西幸渡龍灣。漢京血雨腥風吹。紛紛閫帥爭棄甲。慷慨捐軀知是誰。將軍擊楫洒雪涕。天日慘憺三軍悲。扶桑怒視裂雙眥。斗膽輪囷揚赤髭。桓桓大義激壯士。掃蕩仇讎相與期。轅門畫角雜金皷。號令如山山可移。長戈利戟凜霜雪。白旆黃旗交翠蕤。班聲朝動漢挐岑。組練夜照蛇梁湄。樓船岌嶪若羅星。戰艦嵬峩如列碁。層楯密排片雲疊。大帆高張鵬翼垂。千槳競催躍怒虬。萬棹齊奮騰翔螭。飛廉先驅列缺後。海神水伯來迎師。千勻之重鳥卵上。百萬驕賊何能爲。玉浦嘗兵水建瓴。露梁乘銳山崩披。煙埋唐項爆猛焰。血漲閑山浮積屍。雷霆隱隱生叱吒。霹靂轟轟隨指麾。飜空白鏃驟雨下。震海赤丸流星馳。風揮電掃詎敢當。破竹之中胡命危。妖氛欲豁瘴塞昏。市虎翻成投杼疑。空令紫氣射斗牛。坐遣封狼隳藩籬。陳陶四萬同日死。敵勢憑凌誰復支。專征再膺板蕩餘。散卒加額爭來隨。軍容一新士氣倍。玉枹金鞭親自持。龍驤萬斛下蜀日。赤壁千舟焚魏時。雄威燀赫百戰餘。幾斬其將搴其旗。湖南千里百萬民。倚公爲命如母慈。遊魂佇見不日平。大樹如何風折之。皷聲未絶將星落。颯爽精靈箕尾騎。哀哀部曲眼流血。浦思山愁神鬼嘻。家家號哭若親戚。耆老童子皆嗟咨。君王拊髀八彩顰。十行哀詔如綸絲。驃騎營北海山上。突兀金碧開神祠。輝輝三字自御賜。畫棟朱樑光陸離。鰲城老相壁上記。佶屈灝噩瓊琚辭。蕉黃荔丹籩䇺凈。歲時香火供牲粢。昭明英魄在其上。廟庭不敢窺妖魑。客來傴僂薦脯酒。靈風窣窣生寒帷。公亡三十有六載。南服追思曾未衰。瀛波帖息不敢動。至今餘威驚島夷。落落中興第一功。宇宙大名無時隳。古之名將孰能過。金甌賴公今不虧。當今北狄正桀黠。豕突蛇食恒侵欺。楓宸宵旰已多年。主辱何人思死綏。嗚呼安得起九原。一掃煙塵平月氏。</text>
<title>露梁吊李統制右尹孟胄瑞</title>,<text>東土聖人昔御極。駿骨必須千金募。李侯骨聳精爽緊。熊虎姿兼廊廟具。金戈鐵馬鎭北塞。眼底呼韓安足數。定遠還催日邊夢。玉帳多年荷恩遇。黑龍之歲月建午。島夷射天干天怒。投鞭銳志叶凶圖。千里滄溟倐飛渡。九廟不守乘輿西。三韓白日騰風雨。公時持節駐南紀。猛氣咆𠷺長虹吐。天戈一揮楚氛豁。大河以南金湯固。故用將軍作都統。要使威聲鎭三路。捐軀誓答主恩厚。提携玉龍肝膽露。大帆如雲略東極。馮夷辟易魚龍懼。欃槍熒惑不敢動。我侯重有此節度。行將跨海斬長鯨。直欲掛弓扶桑樹。參旗井鉞百戰餘。八尺全軀神鬼護。金天忽落將星芒。火維先秋大樹仆。扶顚終賴仗遺策。再造山河廓天步。自是一死知有意。後人那得揣其故。身亡之日國活時。太史褒墨誠非誤。當年倘非藉公力。未必西關回玉輅。哀榮竟荷聖主眷。麟閣元功光繪素。峴山殘碑落照邊。咽咽寒波如有訴。感古頻沾志士淚。傷時幾費騷人句。爲吊英魂魂不來。但聞竹枝江城暮。君不見一片龜船盡日橫。致令彤闈軫東顧。何當喚起不死魄。再鎭邊疆揮白羽。</text>
<title>自永登浦乘船向統營判書金昌協</title>,<text>風借樓船便。天兼渤海淸。帆開永登浦。棹入水軍營。龍動隨旗影。鼉奔避皷聲。長懷李統制。此地舊揚兵。</text>
<title>吊李將軍判府事李頤命</title>,<text>受王命而敵所愾兮。義在援枹而死綏。死勤事而捍大患兮。禮合享祀而建祠。君臣之道兩臻其極兮。曷爲使余流涕而霑胷。嗟將軍之首事兮。越封疆而奮忠。射金甲而焚舴艋兮。鯨鯢瑟縮而路窮。屹若中流之砥柱兮。竟使西海而波靜。中興之勢十八九成兮。乃反媒糵其一眚。夫誰秉國之成兮。忍能中廢其干誠。秦睢，宋檜之禍心兮。幸莫售於王明。世或謂河魁不墜於滄津兮。終與忠勇而同歸。又疑將軍之烱幾兮。遂乃免胄而赴之。我固知將軍之心兮。寧復怵禍而輕生。苟殲賊而報主兮。雖萬戮其亦榮。我不悲將軍之一死兮。悶讒賊之中傷。承嘉惠而過海兮。舵將軍之露梁。風雷相薄而驅雨兮。想當日之壯烈。瞻遺廟而敬吊兮。尙余言之深察。</text>
<title>忠烈祠左議政趙顯命</title>,<text>忠烈遺祠古渡潯。靑春駐節海雲深。得如公死眞無愧。也識天生早有心。誓後魚龍猶怒氣。化餘猿鶴自悲吟。檀香欲歇靈風過。蕭寺鐘鳴月掛林。</text>
<title>忠烈祠二判書鄭益河</title>,<text>忠武遺祠志士尋。翠筠蒼檜自成陰。人能義若鰲山大。天仗功收鷺海深。向者西原埋碧血。得於南國秉丹心。螭頭別有如椽筆。彷彿英姿倚劍吟。</text>
<title>忠烈祠三判書金尙星</title>,<text>古廟丹靑碧海潯。寒潮嗚咽怨何深。風雷菀結三呼恨。星斗昭森六出心。落日樓船猶壯迹。淸秋皷角自悲吟。有時方斷神靈雨。楓樹蕭蕭篁竹林。</text>
