<title>船遊</title>,<text>一葉舟輕薄。隨風任去留。若將浮世比。安穩似唐虞。</text>
<title>佛巖寺有吟 丁巳</title>,<text>南寺鍾鳴晝已曛。宿禽飛急遡歸雲。山中自有情人約。時復開窓望洞門。</text>
<title>題亡妾鏡</title>,<text>十年臼鼎備辛艱。情意寧論婦妾間。半夜驚魂招不得。不堪和淚對孤鸞。</text>
<title>以副元帥到灣上。得見崔完城書。戊辰正月</title>,<text>鼓鼙聲裏又新春。誰念黃龍塞上人。賴有平生崔學士。隔年書札到江濱。</text>
<title>駐安州賀正 壬申</title>,<text>宵柝催更曙色殘。賀班唯是兩三官。天涯此日風飛雪。猶念丹墀翠輦寒。</text>
<title>夢中。領大兵掃平虜庭。正是春暮也。覺後。喜賦一絶。以記吉徵。</title>,<text>雨洗輕塵綠滿街。凱歌齊唱萬人諧。千官祝罷山呼慶。環佩丁丁下玉階。</text>
<title>夢題尹文肅碑</title>,<text>千秋陳跡鳥飛間。文肅殘碑碧蘚斑。可笑玉門班定遠。幾多辛苦乞生還。</text>
<title>雨雪 二月</title>,<text>淸明節後三朝雨。爭道今秋大有年。爲報慇懃民部長。早敎人力各歸田。</text>
<title>苦雨 六月</title>,<text>人言鳩喚雨將休。極目南天雲未收。萬古蒼天今已老。弗聞人語況聞鳩。</text>
<title>戲贈李質夫 十一月</title>,<text>更樓吹角客愁繁。病榻殘燈夜色寒。誰料平生李處士。薛公門下是馮驩。</text>
<title>謫唐津有感 癸酉三月</title>,<text>天恩如海得全生。編管唐城近漢城。半夜月明春雁北。戀君悲淚却沾纓。</text>
<title>避暑望日菴。謝李都事杭來訪。同年六月</title>,<text>六月蒸炎大地焚。多君匹馬訪山門。連床盡日無塵語。却恨蟬聲一樹喧。</text>
<title>讀老子有感 同月</title>,<text>道本無爲豈有名。可將身退待功成。百年擾擾終何事。晩向槐亭一夢驚。</text>
<title>登望日庵北望</title>,<text>欲爲排悶上危樓。望裏金天落照流。山外白雲雲外水。長安不見更添愁。</text>
<title>雨後逢秋 七月</title>,<text>碧樹蟬聲擾客愁。雨餘山色忽新秋。蓬萊渺渺蒼波闊。天外終南一點愁。</text>
<title>讀南華經有感</title>,<text>技係勞形晩悟嗟。三機靜處是流波。嵬然獨立眞吾事。其奈君恩刻骨何。</text>
<title>蟾江有吟 十月</title>,<text>日把江樓無事酒。如何衣帶漸寬圍。長安北望三千里。秋盡湖西雁亦稀。</text>
<title>蟾江有吟 十月 其2</title>,<text>萬死全骸歸故園。今生何以答君恩。橋西舊宅桑楡晩。水北新村橘柚繁。有味檢書孤燭夜。無心射虎灞陵原。只憐老驥逢秋動。櫪下悲鳴向塞門。</text>
<title>立春大雪 甲戌正月</title>,<text>田家占歲瑞徵多。雪後千村萬樹花。舊日征西老大帥。焚香閒坐讀南華。</text>
<title>赴慶尙左兵營。宣醞于南關王廟。感恩。甲戌十一月</title>,<text>南郊雪日內醞香。行路榮看引滿長。稽首拜天揮感淚。丹心默自誓關王。</text>
<title>古站。憶元虞候守身。</title>,<text>薊北人何遠。江南路正漫。相分纔數夕。回望已千山。別恨逢秋切。危魂入夢殘。涼風起玉塞。却念病中顏。</text>
<title>遊利城侍中臺</title>,<text>臺號何年始。茫茫不可求。白沙松十里。滄海月千秋。目極天窮界。身遊地盡頭。神仙如不妄。便是一丹丘。</text>
<title>登統軍亭</title>,<text>日暮山光瞑。城歌閣影移。江寒龍蟄早。野闊鶴歸遲。薊北音書斷。遼陽鼓角悲。百年惟涕淚。萬事獨登危。</text>
<title>安州土豪李昌業。來示閔方伯聖徵。韻。要和。走筆以贈。壬申正月。</title>,<text>野闊開千畝。江深護一村。有人成小築。無客對淸樽。獨樂非關道。多錢不爲門。羨君隨意足。世事尙堪論。</text>
<title>次閔上舍希顏韻 同月</title>,<text>海內無堅壘。君今不定家。逢人心更苦。爲客路還賖。詩愛唐音盛。歌憐楚曲多。空看射斗劍。何處見張華。</text>
