<title>聖居山僧軸。次石洲韻。</title>,<text>玆山本不二。天聖名何異。我今脫俗來。坐弄姑潭水。</text>
<title>送子文明之瀋陽</title>,<text>渠今還作瀋陽行。惜別難堪父子情。病廢三年猶不死。佇看銅輦遄回京。</text>
<title>次庚辰契帖韻 幷跋</title>,<text>吾庚修契集群公。白髮偏多笑此翁。泉下曾悲四友逝。世間今幸八人同。升沈榮悴由前定。先後存亡付化工。病久無緣拚勝會。詩篇留玩畫圖中。</text>
<title>次庚辰契帖韻 幷跋 原韻 竹所</title>,<text>庚弟庚兄七八公。人間六十摠成翁。先衰後老休分別。白髮蒼顏略異同。勝日開尊簪幾盍。他年記蹟畫須工。終歸一處非虛語。更續玆遊九地中。</text>
<title>次庚辰契帖韻 幷跋 次韻 潛谷</title>,<text>白髮人間亦不公。吾庚尙有綠髥翁。雌辰豈與雄辰異。小戊應將大戊同。醉舞春風心益壯。長吟秋月句還工。年年歲歲宜如此。莫說相從誕妄中。</text>
<title>次庚辰契帖韻 幷跋 又</title>,<text>修契當年十二公。卽今圖畫八衰翁。方知老境多悲感。且把深情數會同。酒欲忘憂須盡醉。詩將寓興不要工。願言家國恒無事。歌舞春臺壽域中。</text>
<title>啓運別宮挽詞</title>,<text>奕世門闌大。宗藩淑德彰。休光繁玉葉。遐慶毓銀潢。天祿歸南頓。靈暉誕濟陽。姜嫄追盛美。簡狄竝遺芳。寶璽三淸夢。眞龍五采翔。乾坤恢再造。日月啓重光。睿孝期尊養。敦仁保壽康。那知晉二豎。未效越千方。蠶館春暉短。星宮婺彩亡。雲輧看杳杳。飆駕去茫茫。聖主方含慟。群臣亦助傷。終天哀鳳扆。擇地卜牛岡。率禮參情義。崇封備典章。衣冠咸在列。紼翣儼成行。懿烈鑱貞石。徽音隔帝鄕。金陵佳氣滿。萬歲薦馨香。</text>
<title>完平李公 元翼 挽 五首</title>,<text>白髮先朝舊。黃扉上相姿。勳庸垂竹帛。進退係安危。名播兒童誦。民依父母慈。秦舂今遽輟。不忍寫哀詞。</text>
<title>完平李公 元翼 挽 五首 其二</title>,<text>彝倫方斁絶。荒野又棲遲。瀝盡刳肝血。緘封滿紙辭。危言猶凜烈。大羲獨扶持。爽氣今宵滅。終悲殄瘁詩。</text>
<title>完平李公 元翼 挽 五首 其三</title>,<text>日月重光會。乾坤再造時。台司還大老。聖代作元龜。翊戴功誰比。艱危志不移。盛名終未泯。唯許汗靑垂。</text>
<title>完平李公 元翼 挽 五首 其四</title>,<text>几杖歸蓬蓽。淸貧衆所知。賜衾彰素志。營室荷隆私。一代榮光盛。千年際遇奇。皇天何奪速。深痛哲人萎。</text>
