<title>秋夜雨中</title>,<text>秋風惟苦吟。擧世少知音。囱外三更雨。燈前萬古心。</text>
<title>郵亭夜雨</title>,<text>旅館窮秋雨。寒囱靜夜燈。自憐愁裏坐。眞箇定中僧。</text>
<title>晚望</title>,<text>李杜嘲啾後。乾坤寂寞中。江山自閑暇。片月掛長空。</text>
<title>寓古 三首 其三</title>,<text>大禹理洪水。未平人心險。睚眦生狂瀾。萬人平地墊。</text>
<title>詠桐</title>,<text>漠漠陰成幄。飄飄葉散圭。本因高鳳植。空有衆禽栖。</text>
<title>石竹花</title>,<text>節肖此君高。花開兒女𧰟。飄零不耐秋。爲竹能無濫。</text>
<title>謝友人送酒</title>,<text>邇來盃酒乾。是我一家旱。感子餉芳醪。快如時雨灌。</text>
<title>全朴兩生見和。復答之。</title>,<text>區區此一壺。僅若漑湯旱。誰能倒滄溟。向我燥脣灌。</text>
<title>園中聞蟬 二首</title>,<text>不敢傍高柳。恐驚枝上蟬。莫敎移別樹。好聽一聲全。</text>
<title>園中聞蟬 二首 其二</title>,<text>輕蛻草間遺。淸吟枝上嘒。聆音不見刑。綠葉深深翳。</text>
<title>路中。聞樓上棊聲。</title>,<text>隔簾人隱映。晴雹散紋枰。不問手高下。唯憐落子聲。</text>
<title>呈柳承宣 二首○予於門下登進士</title>,<text>一樹門前李。逢春喜漸暄。有心承雨露。莫謂久無言。</text>
<title>呈柳承宣 二首○予於門下登進士 其二</title>,<text>出谷鸎猶在。低徊漸下喬。禁林期託柳。願借一長條。</text>
<title>群蟲詠 八首 其二蛙</title>,<text>無怒亦無瞋。皤然長逬腹。兩部爾莫誇。人將焚牡菊。</text>
<title>群蟲詠 八首 其三鼠</title>,<text>眼如劈豆角。伺暗狂蹂蹈。任爾穿我墉。滔滔皆大盜。</text>
<title>群蟲詠 八首 其四蝸</title>,<text>見人頻縮角。有屋解藏身。莫敎蠻觸戰。千里血成津。</text>
<title>群蟲詠 八首 其五蟻</title>,<text>穴竅珠中度。隨輪磨上奔。誰知槐樹下。別占一乾坤。</text>
<title>群蟲詠 八首 其六蛛</title>,<text>緣簷懸縠網。罥壁作錢窠。好趁穿針日。來栖乞巧瓜。</text>
<title>群蟲詠 八首 其七蠅</title>,<text>疾爾誤鳴鷄。畏爾點白玉。驅之又不去。宜見王思逐。</text>
<title>群蟲詠 八首 其八蠶</title>,<text>吐絲工騁巧。作繭反逢煎。似黠還似癡。吾於汝獨憐。</text>
<title>草堂詠雨 二首 其二</title>,<text>風狂紙障濕。地潤土墻崩。硯滴何須涸。簷端送臂承。</text>
<title>重憶吳德全</title>,<text>不見吳季重。于今四五年。欲飛身欠翼。相憶眼成泉。</text>
<title>寒食</title>,<text>龍騰騈脅君。蛇死焚骸士。冷食慰其魂。九泉蒙底利。</text>
<title>明日將還。用古人韻。書壁上示主人。</title>,<text>挽袖留云切。趨塵意不同。雖然微雨濕。猶有敗天公。</text>
<title>題畫虎</title>,<text>已是非眞態。猶存可怕威。小雀畏死鷂。斯言其亦幾。</text>
<title>奇尙書宅。賦美人鸚鵡。</title>,<text>粲彼能言鳥。誇於解語花。與君來貴宅。受嬖孰爲多。</text>
<title>鸚鵡最善導客來。公又令賦之。</title>,<text>語語尙堪聽。玲瓏豈不明。知公偏喜士。最善客來聲。</text>
