<title>贈別宣水使 居怡</title>,<text>北去同勤苦。南來共死生。一杯今夜月。明日別離情。</text>
<title>無題六韻</title>,<text>蕭蕭風雨夜。耿耿不寐時。懷痛如摧膽。傷心似割肌。山河猶帶慘。魚鳥亦吟悲。國有蒼黃勢。人無任轉危。恢復思諸葛。長驅慕子儀。經年防備策。今作聖君欺。</text>
<title>閑山島夜吟</title>,<text>水國秋光暮。驚寒鴈陣高。憂心輾轉夜。殘月照弓刀。附追和諸作 判書洪處亮忠烈華夷伏。聲名日月高。遺孫不忘郢。夜夜撫長刀。又 判書南龍翼聞笛睢陽詠。千秋節並高。時危憶良將。中夜撫龍刀。又 判書柳赫然號令山河動。功名日月高。如今破壁上。夜吼舊龍刀。又 參判李秞太廟郞李弘毅甫。袖持忠武公遺句二幅來示秞。要得一言而帖之。槩以追感之盛意。而忠武公於余。宗姓之先輩也。平生忠節。後世所仰。而至於知字韻一聯。槩可見之。幸此一聯。流傳世間。而獨恨其未見全篇。且閑山島絶句。可想鎭邊憂國之誠也。噫。世之相後八十有餘年。而何幸二詩見寄於絶塞之行。其亦異矣。今余來守北邊戍樓。辛苦之餘。尤想忠武公爲國之一心也。遂感而擊節。忘其固陋。尾而和之。時自觀焉。北來星斗近。南望嶺天高。自笑書生老。雄心倚寶刀。又 右議政申翼相雲海將星落。麟臺勳業高。英雄滿襟淚。遺恨泣龍刀。又 參判李寅煥千秋精爽在。萬里海雲高。一絶看忠義。猶存匣裏刀。又 參議任奎日月精忠貫。山河壯氣高。鯨鯢猶跋浪。怊悵撫龍刀。又 副提學趙持謙大海旌旗耀。將軍意氣高。千秋留一絶。詠罷撫長刀。又 監司李喜龍閱盡南征錄。公勳第一高。英靈猶未泯。匣裏吼龍刀。又 修撰李寅賓大樹飄零後。芳名百歲高。何人傳寶唾。忠赤凜霜刀。又 判府事尹拯張中丞睢陽城中。有門開邊月近。戰苦陣雲深之句。與將軍此作。意思一般。諸葛丞相諡忠武。將軍勳業。宜其同受大名也。國家南北受敵。讎恥未雪。人之思將軍。當愈久而不已。如吾輩腐儒。直鉛刀耳。脫有緩急。安有一割之用。感慨之極。情見于辭云。睢陽遺響遠。諸葛大名高。八哀思勁翮。一割愧鉛刀。又 領議政李畬第一中興將。身殲勳更高。閑山秋夜意。舊匣尙雙刀。又 領議政李濡義與秋爭烈。名將日並高。平生報國意。看取匣中刀。又 判府事趙相愚萬斛龍驤駛。千層虎帳高。雄心猶不死。碧血染霜刀。又 判書李墪忠武公水國秋光暮一絶。少幸得賞於世人傳誦之餘。居常諷詠而扼腕流涕者久矣。今其玄孫都事字致遠者。卽余友也。請于大學士德水李公。推其詩意而略序其事。又歷請于諸名士和其韻。其意非藉此以圖不朽。欲垂諸子孫而不忘焉耳。屬余和有年。而固有所不敢者。輒辭之矣。今於遆官而歸也。其請益懇。義不當終拒。不以蕪拙。而書以贐之。致遠其恕之。江淮唐保障。功烈較誰高。舊物猶遺恨。龍吟大小刀。又 參判任弘望欲識吾鄕事。唯當着眼高。至今牛斗上。餘氣射龍刀。又 參判兪集一賊勢風雷疾。將軍氣槩高。營門秋月夜。閑坐撫龍刀。又 右議政閔鎭遠功盖三韓大。名垂萬代高。人亡憂轉劇。慷慨撫腰刀。又 參議宋徵殷丁丑春。余出守牙州。洎至縣卽詢訪舊蹟。父老言忠武公之墓在某里。噫。公當壬辰之歲。蛇豕荐食。起自末將。受命閫臬。蔽遮湖海之間。卒能弭兇靖難。再奠國步。其精忠偉烈。焯焯在人耳目。居平。未嘗不欽仰。矧公衣冠之藏。在吾所莅之地。其感慨敬慕。尤何如哉。一日。其後孫新寧公。袖公閑山島中所詠一絶以示余。卽盥手展紙。諷咏一餉。其氣豪而志烈。詞高而格淸。雖殘膏賸馥。足以見公忠義之溢於辭而不可揜也。夫古之屬櫜鞬治韜略者。宜若與觚墨踈。而餘事文章。或能攘羭於文苑。詞繢暎發。可傳於後。豈其天賦通才。不習而能者耶。昔韓文公稱張廵好學無所不讀。誦漢書不錯一字。公亦能於弓馬之暇。染指書史。其蘊於中形於言者有如是。夫公之不朽於世。顧非藉於此。而唯其咳唾之餘。有不容泯沒者。近世諸公。多次公韻。殆十數篇。新寧公屬余拚和。不可以文拙辭。謹步而略叙之。以寓高山景行之意云爾。赫赫勳名壯。三韓義節高。平生手裏物。惟有兩龍刀。又 參議趙湜氣作山河壯。名將星斗高。露梁千載月。曾照匣中刀。又 參議李三碩師出身先死。功尊節益高。平生滿襟淚。霑灑舊龍刀。又 參議呂必容海嶽勳名重。秋天節義高。哀榮紆聖渥。不賣舊時刀。又 監司吳命峻諸葛祁山烈。千秋較孰高。閑山殘月恨。夜夜吼龍刀。又 牧使任弘亮德水人豪挺。閑山韻更高。三韓再造烈。看取舊龍刀。二秋光入咳唾。忠義可爭高。先烈知無忝。晟刀卽愬刀。右秋光句。用原韻意。寄李宣傳鳳祥。以寓期待勖勉之意。古語曰。忠義之氣。與秋色爭高。昔唐李晟。乃中興名臣也。有寶劍克成中興之功。以其劍傳諸子孫。其後李愬又以先劍平淮蔡。故用其事。庸眎區區之望。三酆城菀狴氣。光射斗牛高。一試將軍手。千秋作寶刀。四仙李樓船將。拔鞘天爲高。試問將軍劍。何如大食刀。又 都事李畯聲名雲水白。忠義秋天高。餘事乃文墨。奇勳在大刀。又 大提學金楺雲愁孤島立。水咽海天高。萬古英靈在。時時夜擊刀。又 掌令李聖肇忠烈爭秋凜。威名盖世高。誅鯨餘舊物。光出匣中刀。又 從孫之綱功盖靑丘域。名懸白日高。至今餘壯氣。光吐匣中刀。</text>
<title>無題一聯</title>,<text>誓海魚龍動。盟山草木知。附 題跋 右議政李端夏右詩一絶一聯。忠武李公之所作。而出於公日記中。日記年久。缺破其一。不得爲完篇。可惜也。嗚呼。公之勳烈盖邦家。忠貞貫日月。其事蹟。載諸史乘。勒之金石。播於國人之思詠者。垂宇宙而將不泯矣。惟此咳唾之遺。卽其精神所寓。其曰誓海魚龍動。盟山草木知者。可見其壯志精忠。成就得大功底氣像。其曰水國秋光暮。驚寒鴈陣高。憂心輾轉夜。殘月照弓刀者。亦可見其忠義與秋色爭高。而語其氣像。殆是大星將殞之時乎。念我先君子。嘗撰公諡狀。有曰每夜休士。必自理箭羽。亦與憂心輾轉殘月弓刀之語意相符。莊誦感歎。令人釀涕。公之玄孫直長弘毅。以其詩爲帖。要余跋其後。余雖不文。義不敢辭故識。又 文正公宋時烈余每讀岳武穆送張紫微詩。未嘗不擊節而三復。以爲其忠毅雄勇固其所也。至於文詞。亦何其奇且新也。今見李忠武閑山之作。可謂千載而同符者也。余嘗作露梁碑。略記公偉蹟。孝宗大王聞之。亟徵草本而讀之。極有漢帝鉅鹿意。今公玄孫弘毅。持是作見示。一唱三歎。不能去手。仍喟然而嘆曰。使逮孝廟時得蒙乙覽。則必將益加睿奬。愛及於屋上烏矣。今弘毅以不附權貴人。失官落魄。人不知爲忠義家子孫。嗚呼。其有能以告於執政者耶。</text>
<title>閑山島歌</title>,<text>閑山島月明夜。上戍樓。撫大刀深愁時。何處一聲羌笛更添愁。按趙慶男亂中雜錄。有閑山吟咏二十韻云。而屢經兵燹。散佚不傳。只有一聯一歌傳於世。可勝惜哉。</text>
<title>伸救箚[右議政鄭琢]</title>,<text>伏以李某身犯大罪。律名甚嚴。而聖明不卽加誅。原招之後。又許嚴推。非但按獄體段爲然。抑豈非聖上體仁一念。期於究得其實。冀有以或示可生之道也。我聖上好生之德。亦及於有罪必死之地。臣不勝感激之至。臣嘗承乏命官。推鞫按囚。固非一再。凡罪人一次經訊。或多傷斃。其間雖或有可論之情。徑自隕命。已無所及。臣嘗竊憫焉。今某旣經一次刑訊。若又加刑。則嚴鞫之下。難保其必生。恐或傷聖上好生之本意也。當壬辰倭艘蔽海。賊勢滔天之日。守土之臣。棄城者多。專閫之將。全師者少。朝廷命令。幾乎不及於四方。某倡率舟師。乃與元均。頓挫兇鋒。國內人心。稍有生意。倡義者增氣。附賊者回心。厥功鉅萬。朝廷嘉甚。至加崇秩。賜以統制使之號。非不宜也。當進兵討賊之初。突戰先登之勇。不及元均。人或致疑。是固然矣。元均所領船隻。適於其時。謬承朝廷指揮。多數燒沈。不有某之全師。則無以做出形勢。克辦奇功矣。某爲大將。見可以進。不失時機。能擧舟師。大振聲勢。則臨亂不避之勇。元均固有之。而畢竟摧陷之功。某亦不多讓於元均矣。但於其時。元均不無如許大功。而朝廷恩典。全及於某。於元均則還以大損。中外至今稱寃。此則最可惜也。元均於舟師之事。才有偏長。天性忠實。當事不避。善於衝突。兩將協心勠力。則賊不難退。臣每於榻前。啓達此事。朝廷以兩將不相能故。不復用元均。而獨留某以專舟師之事。某諳鍊備禦。手下才勇。咸樂爲用。未嘗喪師。威聲如舊。倭奴之最怕舟師者。未或不在於此。其有功於鎭壓邊陲。大段如此。或者以爲某一度建功之後。更無可記之功。以此少之。臣則竊以爲不然。四五年來。天將主和。皇朝東封之事又起。我國大小將士。不許措手於其間。某不復宣力者。非其罪也。近日倭奴之再擧入寇也。某之不及周旋者。其間情勢亦或有可論。盖凡當今邊將之一番動作。必待朝廷之成命。無復有將軍專閫之事。倭奴未過海之前。朝廷秘密下敎。登時傳致與否。未可知也。海上風勢之順逆。舵𨓏之便否。亦未可知也。而舟師分番。不得已之事。昭載於都體察使自劾狀啓中。則舟師之臨急不得致力者。事勢亦然。似不可以此全歸於某也。往日馳啓之中。其所陳之事。涉於虛妄。極可怪駭。而此說如或得於下輩之誇張。則恐亦容有中間不察之理。不然。某亦非病風之人。敢爲如是。臣竊未解。若夫亂初軍功馳啓之中。不爲一一從實。貪人之功。以爲己功。委涉誣罔。以此而問罪。則某亦何辭焉。然而除非全德之人。則於物我相形之際。能無欲上人之心者盖寡。因循苟且之間。鮮不做錯。特上之人。察其所犯之大小而有所輕重之耳。夫將臣者軍民之司命。國家安危之所係。其重如此。故古之帝王。委任閫寄。別示恩信。非有大何。則曲護而全安之。以盡其用。厥意有在。大抵人才國家之利器。雖至於譯官筭士之類。苟有才藝。則皆當愛惜。况如將臣之有才者。最關於敵愾禦侮之用。其可一任用法而不爲之饒貸耶。某實有將才。才兼水陸。無或不可。如此之人。未易可得。邊民之所屬望。敵人之所嚴憚。若以律名之甚嚴而不暇容貸。不問功罪之相準。不念功能之有無。不爲徐究其情勢。而終致大譴之地。則有功者無以自勸。有能者無以自勵。雖至挾憾如元均者。恐亦未能自安。中外人心。一㨾解體。此實憂危之象。而徒爲敵人之幸。一某之死。固不足惜。於國家所關非輕。豈不重可爲之慮乎。古者。不遞將臣。終收大功。秦穆之於孟明者。固非一二。臣不暇遠引。只以聖上近日之事啓之。朴名賢亦一時之猛將也。嘗觸邦憲。朝廷特原其罪。未幾。有湖右之變。變過己丑。而名賢一擧戡定。功在宗祊。其棄瑕責效之意至矣。今某罪陷大辟。幾犯十惡。律名甚嚴。誠如聖敎。某亦知公論之至嚴。常刑之可畏。無望自全。乞以恩命特减訊次。使之立功自效。其感戴聖恩。如天地父母。隕首圖報之志。必不居名賢之下。而我聖主中興圖閣之勳。臣安知不起於今日胥靡乎。然則聖主禦將用才之道。議功議能之典。許人改過自新之路。一擧而俱得。其有補於聖主撥亂之政。豈淺淺哉。是時。元均煽謗於內。狡倭設詐於外。以疑惑朝廷。衆口交騰。必欲置公於死地。今以此箚觀之。公之罪狀。盖無所不有而皆均之故也。向非宣廟明聖。其得免於杜郵之死。不亦難乎。均始以敗將。倚公却敵。是均之功。皆公之功也。及公去而均代之。立見敗䘐。身死賊鋒。而公之功益著。然則公之是非。固不待辨而明矣。世稱公幾死得脫。自知功大難容。遂臨陣。以殞其身。公之一死。固所素定。而其所遭之境。所處之勢。殆亦有近於是言者。嗚呼可悲也。公卒後百十四年辛卯。李畬書。</text>
<title>與李統制書[參判鄭士信]</title>,<text>詮聞朝命嚴重。縲絏在道。驚恐惶惑。無以形喩。豈意幺麽一小酋。巧言詐欵。能爲蔽天之雲耶。天日孔昭。必照幽盆。雪寃伸枉。非所慮也而恐自此邊機一誤。兇鋒益肆。天地誰仗而立心。蒼生何賴而係命。夫然則顚沛禍福。豈獨令公一身而已。言念國事。良可於悒。見溺而援。人情之常。而况廟堂公議。猶或不泯。則豈使巍勳卓節。終歸於暗昧之地乎。恭竢處分伸理之外。更何望哉。第念嚴程指日。易致傷損。願千萬勉扶。以答聖恩而慰慈念也。小官於變初。失職狼狽。非獨家累之故。而飄淪關東。假守襄陽。偶有激勵奬率之小勞。斬獲首級之微功。而是則迫死求生之一事。故曾不自留於己。不意姜公登聞。蒙恩別叙。自顧甚慚。無足向人言者。是後始達行朝謝恩。以散秩僶勉從事。扈駕還都。受命南下。而詣判府公寓邸。聞令公有是命。與判府公相對扼腕。而職事難緩。不能小遲徊。以觀供對發落。留書付邸吏而去。只增哽塞之至。</text>
<title>宣諭閑山島。呈李統制。[校理趙彭年]</title>,<text>喪亂孤殘兩可傷。見公便覺意差强。傍船彩鷁隨風舞。橫海長鯨見劍藏。塞上水軍飛俊鶻。腰間羽箭射天狼。從今要續浯溪頌。莫笑書生迂且狂。</text>
<title>唐浦。呈李統制。[從事官丁景達]</title>,<text>一片靑邱固莫强。向來天下不能當。隋皇渡鴨全師敗。唐帝征遼合陣亡。廿萬紅巾殲女聖。三千拔道殞坡良。達梁小醜千鋒血。損竹殘兇一箭殤。萬世子孫長肯搆。百年家國繫苞桑。堯天舜日諸祥集。君唱臣賡庶事康。可惜廟謨顚且倒。只應天道變還常。倭船蔽海來充斥。將卒投戈競遁藏。小礟一聲空列陣。大軍三退缺人望。兇鋒撲地閭家赤。兵火漫天日色凉。世祿近臣逃底處。叨恩名將走何方。忠臣只有金兵使。男子惟看朴密陽。慶府受傷徒自悔。金山小捷亦云光。閉戶李公兇不測。徵兵郭氏義難忘。商山戰敗由倉卒。黃澗虛驚是刦腸。忠野輕挑宜不利。王城勢急固難防。宗祊詎作腥塵汚。玉輦聊廵浿上湟。宮闕煙生星日暗。廟陵塵合地天荒。猛將風生旗脚遍。義師雲合劍鋒鋩。退軍龍縣兵威損。奏捷山城國勢張。關路支撑豈人力。臨津走敗是天殃。堤防畿甸知金將。鎭拒完山有趙郞。父死子承忠節炳。弟亡兄繼義聲彰。忠勞誰比號天闕。罪惡咸稱膝犬羊。人戴聖君扶北極。天敎諸將護南鄕。橫遮嶺路爲屛翰。把截閑山作保障。統制將軍元倜儻。扶持雄略屬搶攘。手提神箭餘三尺。撞破倭奴幾萬航。斬級不須論箇箇。血流終見海汪汪。威風已振扶桑國。壯氣應摧日本王。李鄭宣權同赫世。安金裵具共流芳。二三豪傑輸忠力。五十餘城保女牆。德勝凶亡關理勢。仁王强敗有穹蒼。南夷罪戾通神鬼。東土瘡痍徹聖皇。礟手雲興空冀浙。騎兵響起捲荊襄。鷹飛鶴翼鏖城砦。雷震風馳蕩虎狼。神武揚時嚴殺戮。餘威及處走顚僵。奉迎龍馭回京洛。驅逐餘兇縮海傍。風掃乾坤淸舊闥。令行朝野振頹綱。仁儲奉廟還宮殿。賢相隨班佐廟廊。知我聖君忠有効。感吾皇上德難量。堪嗟刑賞乖輕重。不是恩威太抑揚。白首不知馳戰陣。滄波何事駕風檣。三年賊窟雄心死。廿朔兵塵元氣傷。受命只堪殲府地。臨危何忍去吾疆。洛東已獻零兇䤋。海上還調戰艦糧。邑渴民飢徒費慮。人輕責重只招謗。惟思奉贊將軍令。不念勞傷從事狂。危悃崢嶸懸斗極。孤身漂泊寄滄浪。蛇梁堡外顚風作。唐浦城邊大雨滂。獨倚篷窓心咄咄。橫磨長劍意堂堂。舟師已整成芳約。大將方期棹戰艎。一劍直將屠醜穴。千帆應見沒茫洋。初爲汲汲呑舟計。終作區區拒轍螗。臨戰逗遛雖有責。提師輕進戒無妨。務農固是兵家本。播種要令趁節忙。論賞亦當均厚薄。臨刑先可示慈詳。舟中吟罷長回首。風雨茫茫鎖戰塲。</text>
<title>挽李統制[判書李睟光]</title>,<text>威名久懾犬羊羣。盖世奇功天下聞。蠻祲夜收湖外月。將星晨落海中雲。波濤未洩英雄恨。竹帛空垂戰伐勳。今日男兒知幾箇。可憐忠義李將軍。</text>
<title>左水營[李睟光]</title>,<text>地勢連南極。雄臨日出東。孤城前左水。一島古今風。控禦關防重。丹靑海廟空。哀哉李統制。千載誦奇功。</text>
