<title>巖上卽事</title>,<text>北望城千堞。西瞻山萬疊。一帶烟波中。漁歌聲斷續。</text>
<title>詠喜贈朴凌虛 敏</title>,<text>見子婦性順。見孫婦心良。良順吾所喜。杯杯興味長。</text>
<title>鑷鬢吟 幷序</title>,<text>戊午夏五之念。翁卧浮査亭。令兒輩用鑷拔兩鬢白毛。兒輩曰。若欲拔白。鬢毛殆盡矣。翁椎枕驚起曰。翁之老一至此乎。翁甞用杜工部竊比稷契之語。竊比於已。而稷契做未得。晩年自稱少仙。而眞仙亦未成。今鑷鬢而招兒輩之笑。良可笑也。然有命焉。其如命何。聖人云。七十從心所欲不踰矩。余庸人也。安敢以聖人自期。雖未能不踰矩。自放於佳山美水。從所欲而遊之。則亦庶幾乎從心矣。						比契徒虛語。求仙亦未詳。君民計已左。休鑷鬢邊霜。</text>
<title>謝李汝義來訪</title>,<text>乘月故人來。秋風黄葉裏。重期何處宜。甘巖山上寺。</text>
<title>觀節序</title>,<text>壠壟麥波千頃。吳蠶入再眠。倚窓觀節序。田野頌豊年。</text>
<title>和鄭希善一甲會新舊吟</title>,<text>雲山無改變。世事多紛更。惟有臺前水。泠泠非世情。</text>
<title>槽溪新亭</title>,<text>靑山亭上下。流水屋西東。客到淸和節。階前芍藥紅。</text>
<title>贈別李希仁 宗榮○二首</title>,<text>君渡松江水。我倚龜村樹。江村從此分。佇立空回首。						取友已半百。斯人豈易得。空懷兒女情。悵望宜春北。</text>
<title>雞黍會。吟贈諸君。</title>,<text>楓葉心同赤。黄花志共香。百年雞黍樂。松栢雪中剛。</text>
<title>金陵途中。贈別鄭輝遠 蘊 韻。號桐溪</title>,<text>共渡千尋漢。同排九重雲。金陵此分手。離思奈紛紛。													壬寅春。先生與鄭蘊，李堉諸賢。䟽崔守愚，郭義士寃。歸路至金陵驛前。分手相贈。桐溪詩曰。洛城千里共排雲。今日臨歧不忍分。芳草夕陽歸路永。君思我處我思君。</text>
<title>次李山立 屹 韻 號蘆坡</title>,<text>橋邊驅馬日。溪上眼靑時。山齋天又雪。添卻一淸詩。</text>
<title>過灌圃遺墟</title>,<text>芙蓉峯下水。流過混沌庵。灌圃翁何去。遺墟鎖翠嵐。</text>
<title>次孫七休 舜孝 韻 幷序</title>,<text>圃隱鄭先生。殷民中伯夷。宋臣中天祥。其精忠直節。撑柱乾坤。凜凜千秋。常有生氣。孫按察之褒美。權貳相之崇奬。豈不宜哉。吾鄕有鄭秀才頠。一日。袖一紙來示余。余披而閱之。乃先生追贈職號及孫，權兩賢褒慕詩也。余於是。見而三復焉三歎焉。頠乃先生八代孫也。亂離之餘。不先此紙。而使後人歎賞之。豈非幸歟。噫。孫，權兩賢。亦當世節義士也。其精神氣槩。呈露於二絶句。煒煌於一紙中。當與忠義伯。合爲一傳。豈不偉歟。余次兩賢詩韻。追錄於兩詩之後。續狗之誚。其可免乎。然好善之性。慕賢之心。不以賢愚而豊嗇。敢不吟出吾性情。咏言吾微志也哉。丁巳春初。誌。						孤竹聳蒼空。肯爲霜雪侵。顛風雖折半。活葉表貞心。						附原韻 七休						老竹中自空。不憚風雨侵。風伯莫高怒。恐傷此君心。</text>
<title>贈趙鳳岡 㻩</title>,<text>休休査上老。落落鳳岡仙。共入雲山裏。同遊石室邊。看棊連席坐。論抱對牀眠。又有槽溪叟。仍成膠漆堅。</text>
<title>龍潭渡口。和鄭輝遠韻。</title>,<text>昨日萍逢樂。今朝遠別愁。行鞭挽不得。追袂到前流。楓老紅粧峽。蘆飛雪蒲洲。臨分一杯酒。那得慰區區。						附原韻 桐溪						千里如期至。三年不見愁。悲歡驚舊面。離合問江流。秋晩霜風岸。鷗寒蘆荻洲。懸知歸去後。一夢在淸區。</text>
<title>次䥬寄兩弟韻。目寄鐄，錞。</title>,<text>自汝離吾抱。誰敎汝學詩。倚閭今久矣。陟屺我知之。花發淸流洞。魚躍綠漲池。去年遊賞地。春暮更爲期。</text>
<title>贈別李咸陽 大期</title>,<text>此日足可惜。與君分手時。韶華能幾許。鬢髮各成絲。得酒惟須飮。逢歡且莫違。尋眞方丈約。宜速不宜遅。</text>
<title>贈別南兵使 以興 移節關西</title>,<text>數闋驪駒曲。秋天肅氣生。㫌旗明日月。號令迅風霆。直指關西路。期淸漠北腥。歸來報聖主。麟閣煥功名。</text>
<title>次李長而，文汝幹 弘運 酬唱韻。</title>,<text>平生堪自笑。辛苦事炊沙。晩得休休法。時吟浩浩歌。澄心防慾浪。愼語戒風波。敬服無求訓。浮名於我何。</text>
<title>挽李咸陽 戊辰</title>,<text>王樹臨風逈。瓊枝耀日明。峩洋鍾伯契。膠漆孟韓情。西塞悲身謫。東邊頌政淸。風燈七十八。題誄淚沾纓。</text>
<title>挽李茅村 瀞○癸丑</title>,<text>慟哭斯文喪。吾儕有幾人。德成才不展。學就善無隣。一䟽緣明主。三鄕活瘵民。山齋寥静處。誰復誨諄諄。</text>
<title>挽吳府尹 澐。號白巖</title>,<text>天上雙星耀。人間五福專。採蓮仍妙歲。折桂又青年。金玉三朝老。絃歌百里賢。庭邊羅寶樹。膝下簇貂蟬。避世江東地。乘箕洛北天。路遥違執紼。題挽涕潸然。</text>
<title>挽鄭進士 承尹</title>,<text>早歲名蓮籍。稀年卽夜臺。淸貧原憲介。俊逸鮑昭才。得趣棊千局。忘憂酒一杯。東臯幽絶處。逕草爲誰媒。</text>
<title>和王摩詰白髮歎</title>,<text>昨見黑雲黑。今看白雲白。悠悠百歲間。倐忽一過客。徘徊倍惆悵。回頭日已夕。黄葉落何時。碧草生蒲陌。</text>
<title>病起吟</title>,<text>病卧春未歸。病起春已去。簷間見鷰舞。林末聞鶯語。萬物知時來。四時相代序。悠悠發長歎。人生能幾許。</text>
