<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>題書傳卷面</title>,<text>虞舜非私禹。成湯豈怨周。公心懸日月。千載劇悠悠。一作塵世自悠悠</text>
<title>偶吟</title>,<text>久臥鳥窺牖。烹茶笙響甌。楂梨一陣雨。驚起坐搔頭。</text>
<title>贈別柳西厓</title>,<text>白雪滿平陸。陰風吹古木。登臨漢江樓。天末人如玉。</text>
<title>閉戶</title>,<text>閉戶南郊雨。新春斷往來。梅花竹外發。時送暗香回。</text>
<title>題唐人扇面</title>,<text>骨爲吟詩瘦。眸緣見客靑。東風吹又過。長嘯下江亭。</text>
<title>讀周易</title>,<text>窓外梅花發。橫琴覺曉寒。天心會岑寂。羲易不須看。</text>
<title>題伯牙彈琴圖牙顧視落日</title>,<text>平生愛親心。寫之龍門曲。我亦一鍾期。君心在落日。</text>
<title>題畫帖 六絶</title>,<text>漁舟不再來。林樾烟如織。桃花不可尋。山外靑螺出。撚髭覔詩苦。驢背身穹窿。柳風吹不覺。忘却橋西東。離離稻梁田。奈此蒹葭沜。飛鳴自無心。明月來相伴。白雲晦蒼竹。但見湘江綠。雲應閟湘絃。畫亦無聲曲。松下彈棊者。何須綺里季。第去問龍眠。安知吾與子。始終畫同像。首尾遙相向。囿爲一乾坤。莊此無多相。</text>
<title>晚香亭八景。錄奉悅城宋君侯靈老。</title>,<text>種花不種松。秋來無好意。龍山當徂徠。歲晩猶含翠。右龍山晚翠鳳去寺空在。烟蘿歲月深。疏鍾日夕至。莫是岐山音。右鳳寺疏鍾溪流細如線。五曲縈畫墻。玲瓏響琴筑。枕席生微凉。右五曲溪流濂溪愛蓮花。幽賞無人續。鑿池種植勞。擬承君子德。右一池荷香官庭老䨥樹。縣人迷歲年。濃陰護我亭。靈籟生晴天。右䨥樹濃陰亭東得大野。黃雲知歲熟。使君但琴歌。豐年是誰力。右滿野黃雲簷梅隔夜暗。不省㡬分開。三更月送影。玉貌入窓來。右梅簷朗月小磎歷蒼竹。萬竿齊搶頭。不覺雪壓重。却說迎君侯。右竹磎晴雪</text>
<title>晩笑亭八詠。爲韓上舍 謙 賦之。</title>,<text>海色漲東嶺。蒼髥影畫䦨。俄然玉輪輾。照我江亭寒。右松亭霽月橫空氣颯然。入竹聲彌急。昨日醉忘碁。應沾林下局。右竹林寒雨巖頭人兩兩。撒網截玻瓈。須臾去換酒。散入紅杏西。右場巖撒網初看眇如鳥。漸近大如樓。漁翁莫慢視。安知張翰舟。右王浦歸帆轉仄金鴉翅。半下灘村樹。掩映竹籬間。及夕晒漁罟。右灘村夕照暝色動江村。小亭偏夐寂。太守暮歸衙。角聲吹空碧。右山城暮角將軍釣龍處。潮頭見白馬。成忠眼如電。強弩休相射。右白馬古渡花落水無語。萬古平湖淥。年年湖草靑。王孫歸不得。右靑草平湖</text>
