<title>題畫簇</title>,<text>遠岫日沈霧。寒江風起波。小溪穿柳去。隔岸有人家。</text>
<title>靑鶴洞</title>,<text>危棧補飛路。搖搖跨絶壑。履之若平地。幽討眞成癖。右棧路始到佛日菴。入定有高釋。煙火斷已久。形神似枯木。右佛日菴來尋靑鶴洞。欲從靑鶴遊。靑鶴去不返。石老今千秋。右靑鶴峯奔流飛白練。劈破蒼崖色。還嫌境寂寥。晴天生霹靂。右瀑布手携紫玉杖。飛上香爐峯。仙人舊遊處。落落餘蒼松。右香爐峯寺下有深潭。毒龍所潛處。欲往驚睡眠。懸崖不得去。右龍潭此地隱孤雲。白衣岸綠幘。我欲從之遊。同騎千歲鹿。右懷崔孤雲</text>
<title>次崔御史大容 有海 贈房妓韻</title>,<text>且盡一杯酒。堅持方寸心。人生有離合。別恨幾重深。其二芳迹曾遊地。劉郞今又來。年年傳驛使。折盡幾枝梅。其三風流杜御史。能識紫雲聲。破鏡如圓月。如何太薄情。繡衣曾所眄。而今爲暗行却之。故以此調之。</text>
<title>九日溪遊 在海州作</title>,<text>閒隨鷗鷺傍淸川。佳節無端到客邊。濁酒一杯今夕會。此生嗟不負流年。</text>
<title>鏡湖堂。次外王父韻。</title>,<text>春寒釀雪晩霏微。湖上人家盡掩扉。惟有遊人貪勝賞。輕舟容易泛斜暉。</text>
<title>銅山道中。次申企齋 光漢 韻。</title>,<text>海天寥闊散羈愁。馹騎翩翩杜若洲。棠花未吐鳴沙啞。辜負仙區訪勝遊。</text>
<title>次桂娘韻 扶安詩妓</title>,<text>閒愁壓夢覺偏多。籹淚盈盈濕枕紗。滿地落花春色去。一簾微雨篆煙斜。</text>
<title>次落花巖韻</title>,<text>千尋絶壁落花時。萬世金甌此夕虧。擧目山河無限意。一聲長篴倚風吹。</text>
<title>松廣寺</title>,<text>丹靑殿宇鬱岹嶢。煙火當年未盡燒。獨臥上房眠不得。數聲淸磬動寒宵。</text>
<title>次太能見贈韻</title>,<text>萬里秋風動別愁。旅窓歸夢漫悠悠。遙知此夜峯頭寺。明月鍾聲正隱樓。其二萬事人間任彼天。算來榮辱更茫然。累臣無計超塵網。辜負還山此百年。其三浮世炎涼已白顚。瘴江憔悴又經年。聖恩倘許歸山野。重與吾師對榻眠。其四天涯悄悄影爲隣。異服殊音漸可親。魂夢不知身是放。夜來依舊拱楓宸。</text>
<title>過崑磯魚別監家。訪主不遇。</title>,<text>問竹尋花到野居。靑山隱映樹扶疏。主人採藥今何去。惟見飛泉響砌除。</text>
<title>題九萬李執義 慶生 溪亭 九萬。固城邨名。</title>,<text>長夏柴門晝不開。聯鑣齊到坐溪隈。黃梅雨過沾衣袂。碧樹風來拂酒杯。其二繞屋溪聲響玦環。滿林蒼翠掩松關。幻人榮辱知多少。爭似先生老此間。其三飮因隨量何須勸。歸亦非家爲暫留。桑下已存三宿戀。澤邊差免獨醒愁。</text>
<title>送尹生 三起</title>,<text>瘴雨蠻煙接素秋。百年身世足離憂。江南芳草今凋歇。何事王孫耐薄遊。</text>
<title>漫書</title>,<text>窮愁咄咄坐書空。酒暈時時上面紅。夢裏分明見鄕國。不知關塞隔重重。</text>
<title>河丈 憕 見訪。仍徵鄙詩。書此以呈。</title>,<text>五十而聞斯可畏。年來茹破道腴眞。晉陽自古賢豪窟。不獨文貞啓後人。其二義戰勝來私慮退。天機深處俗緣疏。日長茅舍無餘事。且喜挑燈看古書。其三文字看他須理會。世人枉自費工夫。說到前賢所未道。孰云東國少通儒。其四宗元昔記先人友。小子親紆長者車。均在南荒淪謫裏。以今視古更何如。其五且銜杯酒接慇懃。三世通家舊義敦。只恨纍臣常見縶。未隨屨杖奉林園。</text>
<title>法泉寺。本倅呼韻賦詩。</title>,<text>休將短綆汲寒泉。萬事人間一任天。好是東風無限意。夕陽扶醉寺門前。其二幾年豐獄閉龍泉。紫氣空衝半夜天。若敎磨洗爲時用。亂領妖腰詎敢前。</text>
<title>敬次聽松先生軸上韻</title>,<text>琴書寂寂滿筐床。荷有紅衣菊有裳。一壑松聲鳴過耳。靜中相伴味偏長。</text>
<title>次金去非 地粹 贈李實伯 葩 戚丈韻</title>,<text>雪晴雲散北風寒。楚水吳山道路難。怊悵今朝相送罷。峨洋絃在爲誰彈。其二弊裘無力障輕寒。歲晏天涯旅食難。莫道書生甘落魄。向來人事指頻彈。其三世味嘗來齒亦寒。樊籠一入出誠難。此身還似傷弓鳥。虛向空中幾怯彈。</text>
<title>次辛 翊 韻。兼示金去非。</title>,<text>北來音信近尤稀。秋盡南天雁獨飛。莫道家山隔千里。分明昨夜夢中歸。其二柴扉岑寂客來稀。落葉憑風作意飛。却羨村翁生計足。山頭賽罷醉扶歸。其三冥鴻高擧鳳儀稀。日下烏鴉陣陣飛。惟有冤禽啼吐血。年年苦道不如歸。</text>
<title>箕城偶成。錄示延慰使趙玄洲善述 纘韓 令公。</title>,<text>嬋娟洞裏月黃昏。環佩依俙返夜魂。莫道巫山能感夢。朝朝此地起行雲。</text>
