<title>題金溝鳳頭山</title>,<text>梧枝已凋落。竹實爲誰存。鳳去空懷想。高岡揷厚坤。</text>
<title>金城東軒</title>,<text>客路秋風落。吟哦興杳然。溪山雲影簿。松菊露華鮮。倦鳥知何往。征驢更不前。平生無寸效。慙愧老承宣。</text>
<title>扶安聚遠樓</title>,<text>高峯戴石堡。象緯逼樓中。海日紅搖浪。雲岑翠揷空。振依擺俗累。換骨上仙宮。晚向長林下。泠泠兩腋風。</text>
<title>眞寶鴨脚臺</title>,<text>鴨脚生顏色。新臺面勢便。多君心豁若。幸我意翛然。弊政從玆袪。喜聲自此傳。題詩非好事。要與說來賢。</text>
<title>次伊川客館韻</title>,<text>再過花山路。今來忽慘傷。蓽門誰灑掃。松逕欲蕪荒。撫跡身多誤。歸田策最良。却思爲郡處。翦伐豈存棠。</text>
<title>羅州碧梧軒</title>,<text>菶菶碧梧樹。軒前一蓋團。颸淸條合抱。陰厚葉如盤。可使伐琴瑟。將看棲鳳鸞。羈懷賴有此。乘月坐闌干。</text>
<title>屛巖聯句 按金荷潭時讓海上雜識曰。江陵有椒井。吉冶隱再，李白巖行同往浴焉。元耘谷天錫亦不期爲浴而至。相留十日。甚歡。府使鄭華世來見。仍成聯句題于屛巖壁上云。</title>,<text>再到山中客 李 同行海上仙 吉 地開華世界 元 天錫好因緣 李 雨後楓逾艶 元 霜餘菊更鮮 李 巡杯相痛飮 鄭 明日是離筵 吉</text>
<title>次朴淸道 晉○完山人。號竹亭。 廬墓韻 二首</title>,<text>有德必有壽。吾觀聖賢句。強康且樂易。固自幽潛富。尙志更無違。神明能勿佑。蕭然乘化歸。終始孰當究。承家淸道公。偶得我來覯。一展平生言。蔚乎有傳授。又出搢紳詩。珠玉照衣袖。促膝讀琅然。果得使願副。余何贊一辭。寫字恐遷就。淸道之大人病革。以絶句詩遺其子而歿。其外孫校書郞崔直之求和於當時諸賢。</text>
<title>次李孝靖公 貞幹 慶壽韻。得堂字。</title>,<text>九十慈母堂。七旬孝兒郞。舋舋壺儀範。煕煕仁壽鄕。貞正神所勞。康寧無癙痒。復玆德有報。閥閱增輝光。和風起庭宇。佳氣浮陽陽。事稀世耳目。慶祚未渠央。仙李深出地。枝柯繁更將。盍簪響珂玉。門巷連鏗鏘。脩長美風度。伯氏最純良。養志日在側。綵衣舞相佯。生辰歲一耳。日進華觴。視聽無形聲。豈徒備烹嘗。惟孝貫天地。曰仁人性綱。斯人素履往。左右逢嘉祥。言之恐蕪拙。肯足發揮揚。載賡盡今夕。眷眷念穹蒼。</text>
<title>淸河縣 榮川人閔寅時爲淸河倅。築邑城設義倉。○陽村記。爲閔天佐云。</title>,<text>淸河之爲縣。僻在滄海傍。田疇與戶口。蓋不下富昌。一自倭竊發。喪耗日相將。閭井與丘壟。久爲麋鹿鄕。縣官築城市。萬戶置符章。製船泊介浦。水陸軍威張。流亡四鳩集。耕鑿安其常。閔候吾故人。視事年二強。服膺恤民隱。慨然復義倉。又從立廨宇。稍稍備廳堂。賓客安寢息。吏民免飢荒。由來守令識。只此無他方。</text>
<title>高敞縣</title>,<text>溪水靑蛇走。巒峯翠障橫。缺</text>
<title>瑞興縣</title>,<text>小縣架山崖。突兀群峯聚。缺</text>
<title>平海越松亭</title>,<text>滄溟白月半浮松。叩角歸來興轉濃。吟罷亭中仍醉倒。丹丘仙侶夢相逢。</text>
<title>偶題</title>,<text>白巖西畔掩茅茨。海闊天高騁望時。欲向東籬謀一醉。黃花初發兩三枝。</text>
<title>題成桑谷 石珚 衛生堂</title>,<text>蕭灑新堂白板平。圖書花竹有深情。墻頭軟綠三槐樹。好箇黃鸝一兩聲。</text>
<title>次成獨谷 石璘 韻</title>,<text>樹木深嚴擁廢城。還疑白日見妖情。傍人莫道監司懶。八郡三州已扁行。</text>
<title>免山縣</title>,<text>山高暗松櫟。谷邃饒狐兔。缺</text>
<title>茂長縣</title>,<text>溪聲水影共淸幽。又有長風百尺樓。缺</text>
<title>關西謾詠 遠接使時</title>,<text>鴨江如帶去悠悠。歲月無情共逐流。萬里胡天雲出塞。一聲羌笛客登樓。長風吹送燕山雨。斷雁含來鶴野秋。覽物懷鄕偏有感。孤城落日獨搔頭。</text>
<title>輓曹兵使 信忠</title>,<text>缺 誰知冬嶺孤松節。不耐風霜歲暮寒。按曹氏家乘。曰。人謂騎牛子李公輓詞。顯有未安之意。不可謄置云爾。則喪人提學尙治曰。誄者。記其人之事行也。譽之則諛墓。毀之則誣人。不譽不毀而從其實錄。則何害之有。況且前日親知情好之友而題輓。則爲子者何可任意陞黜之哉。遂錄不删云。</text>
<title>英廟朝不朝峴聯句</title>,<text>庚申。辛松京。駐駕不朝峴。親賦一句。命從臣聯賡。勝國忠臣勉繼世 御製 分明鑑戒在興替 都承旨閔亨洙 地因人重名猶傳 同副承旨金尙魯一 里隔山深跡自翳 左副承旨韓師得 積累周開八百年 左承旨趙明謙 狂昏秦失千萬計 左副承旨宋敎明 杜門洞邃餘風聲 記事官李會元 善竹橋荒尙晝曀 別兼春秋金漢喆 豈但彝倫當日扶 兼春秋權瑞東 須看懿節至今揭 廳注書洪益三 愚忠只願爲良臣 修撰金尙迪 聖德宜思鑄盛際 修撰鄭彙良 七字銳珉還輦道。猗歟褒綍詔來裔。校理南泰齊</text>
