<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>月暈 丙寅</title>,<text>嫦娥竊靈藥。逃入廣寒宮。天帝將捕治。長圍萬里空。</text>
<title>綿弓</title>,<text>綿弓弓㨾製。彈綿學彈弓。恰似初弦月。半出白雲中。</text>
<title>答奴告買月 丁卯</title>,<text>僮僕欺余曰。今宵買月懸。不知何處市。費得幾文錢。</text>
<title>讀楚辭</title>,<text>湘江流不盡。屈子怨無窮。楚聲留萬古。蕭瑟起秋風。</text>
<title>筆花</title>,<text>彤管天然尖且團。化翁巧製滿林間。若使蒙恬曾見此。不勞當日獵中山。</text>
<title>杜鵑花 戊辰</title>,<text>薰風麗日氣淸和。起拓南窓玩物華。一夜雨聲春滿眼。遶山紅錦杜鵑花。</text>
<title>桃花</title>,<text>三月春天暮。桃花亂落時。坐看如紅雨。高吟李賀詩。</text>
<title>喜晴 己巳</title>,<text>連旬積雨喜初收。習習淸風散我愁。槐柳洗容晴景媚。鳧鷗樂意暖波游。若非王子山陰夜。疑是蘇仙赤壁秋。安得金樽與玉笛。錦帆沿泝大江流。</text>
<title>夜坐</title>,<text>夜久羣囂息。憑欄意獨淸。踈星垂大野。落月半遙城。潦盡金潭淨。雲開玉宇平。靑林來爽籟。胸海覺虛明。</text>
<title>七夕</title>,<text>七襄終日不成章。爲是今朝嫁鼓郞。靈氣慘悽雙宿動。仙風飄拂兩旗張。相逢未盡相離恨。一歲堪嗟一夜忙。猶勝嫦娥空竊藥。年年獨宿廣寒堂。</text>
<title>喜雨 庚午</title>,<text>隨風潤物細霏霏。颯爽眞能排烈暉。枯槁禾苗顔發澤。凋傷草木氣還肥。三旬大旱咨千口。一夜神功浹四畿。雨玉雨珠胡可比。萬民從此庶無饑。</text>
<title>秋曉卽事</title>,<text>雲散星稀柳拂風。竹簾影黑月朦朧。鐘聲滅沒寒江渡。樹色依微遠峀籠。何事有哀蟲切切。阿誰相促鴈怱怱。蘆花十里蒼茫際。一曲漁歌興不窮。</text>
<title>霽月</title>,<text>積雨新收霽色呈。今宵光景十分淸。纖雲凈掃天如鏡。大火初流桂吐英。灑落襟懷梧上照。從容氣象室中迎。若爲邀得吾同志。共倒盈盈月下觥。</text>
<title>聽蟬</title>,<text>七月鳴蟬洗耳新。一聲寥亮徹蒼旻。濃烟細柳風來夕。落日高梧露下辰。斷續不知何律呂。凄淸只覺爽精神。前生定慕緱仙術。學得簫音遂蛻身。</text>
<title>春祝 辛未</title>,<text>今日東君按節來。新春淑氣一天開。我如草木乘生意。願作名花學圃栽。</text>
<title>詠火</title>,<text>炎炎相續未嘗絶。朝夕烟橫萬竈炊。若使燧人曾不鑽。黎民那得免寒飢。</text>
<title>七夕</title>,<text>梧桐葉落火星流。七日佳辰七月秋。不是無端終夕雨。天孫淚盡別牽牛。</text>
