<title>江上別友人</title>,<text>缺月漁村曉。孤舟水國秋。杯傾人已遠。停棹更夷猶。</text>
<title>贈趙獻納 惟誠</title>,<text>元日客京塵。故鄕千里外。相逢情略同。酒罷還相對。</text>
<title>贈盧玉溪 禛</title>,<text>四十已云老。百年能幾何。官堂春雨夜。把酒看梅花。</text>
<title>讀書堂前。江心有沙。</title>,<text>江心一帶沙。隔斷雲天影。若比群山高。剗去功差省。</text>
<title>絶句</title>,<text>細雨迷歸路。騎驢十里風。野梅隨處發。魂斷暗香中。</text>
<title>淸風院樓。念愼君居廬。</title>,<text>淸風樓上望。林靄起天東。渚鷺踰峯去。巢應寄寺松。</text>
<title>絶句</title>,<text>靈籟飄空壑。纖雲纈碧岑。僧窓今夜話。江郭昔年心。</text>
<title>贈金英禎</title>,<text>天寒愁郭路。多病㥘村杯。未了梅花癖。煩君折得來。</text>
<title>戱題梁忠順衛壁上</title>,<text>厭客梁忠順。常慳酒一杯。司書何事者。大醉夜深廻。</text>
<title>題友蓮亭</title>,<text>池荷秋摵摵。松日晩暉暉。一醉難爲別。紅粧更挽衣。</text>
<title>醉題</title>,<text>呼命福何許人。假命福崇山月。眞命福在天涯。欲見之腸斷絶。</text>
<title>暮烟</title>,<text>白屋殘籬細細生。轉看桑柘一村平。霏霏薄晩長風過。百丈高山半失靑。</text>
<title>犯馬</title>,<text>遠郊初日眩西東。搏面塵沙滾北風。誤觸牙旌知不恨。浪仙從此識韓公。</text>
<title>聞箏</title>,<text>江洲二月聽箏夜。白髮新生不願聞。如今格是頭成雪。彈到天明亦任君。</text>
<title>閨怨四時詞</title>,<text>白白紅紅麗日陰。空園春色等閑深。妾身祗似庭前柳。眉樣雖新已朽心。右春野色連雲麥漾濤。自家田壠信蓬蒿。還時不恨囊金盡。滿篋新絲手自繅。右夏舊日蓬秋特地哀。空閨秋至却蘇哉。玉門關路知何許。聞道西風自此來。右秋料得邊風虜騎橫。寸心長夜爲誰明。願將熨斗灰中火。爍盡黃河萬里氷。右冬</text>
<title>次梁松川韻</title>,<text>官閣高臨百里風。翻簷雲幕日光中。柳絲也動吟詩興。影着淸池漾碧空。元韻南平東館倚微風。詩伯騷英一座中。更喜使君寬作念。稻畦新漲四連空。</text>
<title>次盧士訓韻</title>,<text>水丘莫道非遊釣。片石何時立墓墟。夢裡寸心還耿耿。白頭歸去結茅廬。元韻某丘迢遞牛村外。宰樹蒼凉冶洞墟。十年已飫蓬山寵。何事吾鄕欠一廬。</text>
<title>無題</title>,<text>春盡江南雁已還。相思千里寄書難。德津龍種眞憐我。含素悠然沂漢瀾。</text>
<title>題河西詩後</title>,<text>江南嗜酒謫仙人。眞契長參夢寐親。咳唾偶收瀟灑句。世間珠玉摠非珍。</text>
<title>贈惟晶</title>,<text>梅花院裡惟離幻。後五百年湯德休。一夜舟中話巖壑。江南歸思正悠悠。</text>
<title>罷衙還家</title>,<text>槐院先生老病兼。火生肝肺雪生髥。春風不管花開落。衙罷歸來月滿簷。</text>
<title>答友人</title>,<text>景叔柴門臨大路。元之茅舍隔重山。人情本是無深淺。地勢如何有易難。</text>
<title>月下</title>,<text>月下扁舟泛碧江。沙頭驚鷺起雙雙。飄然忽去歸天際。醉叩銀河織女窓。</text>
<title>傳鐵狗書</title>,<text>秋齋苦語辭南月。冬帶堅封駕北風。可笑靑蓮老居士。往來長作繫書鴻。</text>
<title>題竹巖</title>,<text>巖際蕭蕭竹數竿。幽蹊略勺步蹣跚。陰池日日無塵事。雲影天光一樣看。</text>
<title>次寄從弟朴承林</title>,<text>厚祿淸時食不貧。廚中婁煮漢江鱗。自知一飽如籠鳥。遠憶藍溪斫膾人。</text>
<title>題兪內翰醉別佳人圖</title>,<text>岸樹矇矓霧不開。舟中殘醉首空擡。江流若不深千尺。得載離愁萬斛來。</text>
<title>無題</title>,<text>小屋高懸近紫微。月邊僧影渡江飛。西湖處士來相訪。東岳白雲沾草衣。</text>
<title>次二友堂申靈川 潛 韻</title>,<text>北嶺林巒拱揖來。南山蒼翠望中廻。一村樓館家家好。獨愛玆堂眞地開。元韻二友堂中偶入來。層軒徙倚却忘廻。最憐月出山如畵。落日烟鬟照耀開。</text>
<title>野路</title>,<text>野路梅花點客衫。夕陽行色照溪潭。如何不踏橋邊草。孤負靑春三月三。</text>
<title>登第下鄕途中。寄知禮使君盧玉溪。</title>,<text>匹馬單童行色惡。官人誤道摘梨郞。誰知獻賦明光殿。頭上天葩五色香。</text>
<title>藏春塢</title>,<text>萬紫千紅續續開。天公不信有環回。藏春不獨慳花卉。鎭得童顔換背鮐。</text>
<title>仁壽橋</title>,<text>一石方橋數尺平。偏憐耆興作閑行。扶携煩却冠童輩。自愛鏗然曳杖聲。</text>
<title>觀魚臺</title>,<text>少日塵埃老可咍。平沙流水石臺危。兒孫不識知魚樂。白白徒誇入饌來。</text>
<title>百花潭</title>,<text>潭水滄浪燭鬂霜。灌秔餘浪漾寒光。縱無翠竹娟娟靜。行見紅蕖冉冉香。</text>
<title>松菊逕</title>,<text>過盡群芳節獨强。逕中天地屬氷霜。人間年少凋零半。白髮徘徊感慨長。</text>
<title>安處士</title>,<text>帶方南畔足江山。過客悤悤跡未還。獨立沙頭延佇久。白鷗無侶古磯閑。</text>
<title>題薛上舍 瑭 環翠堂</title>,<text>虛窓明月夜。環坐醉鄕人。蠟燭暉紗幕。庭花糝玉塵。絃歌酬遠客。羅綺艶芳春。自笑淸狂態。前身賀季眞。</text>
<title>次玉果縣校軒宴席韻</title>,<text>座客幷都鄙。盤蔬雜苦甘。亂峯春燎遠。凉月夕霜添。縱酒高談合。聽歌麗興兼。半生經過地。此日忝同酣。</text>
<title>次松竹軒韻</title>,<text>竹脩松更老。翠入一堂高。筍美那思肉。苓肥亦勝螯。月搖盈砌玉。風撼半天濤。几案森相對。何須三逕勞。</text>
<title>次盧玉溪溪亭韻</title>,<text>緣雲登絶磴。脫險下中流。邑老能誇酒。山僧解刺舟。林香花沒岸。沙白月迷洲。不盡沿洄興。丁丞謾縮頭。</text>
<title>二月梅花方開。不數日盡落無餘。</title>,<text>待爾嗔年晩。開時已仲陽。階簷纔索笑。風雨又成狂。艶杏非無色。夭桃亦有香。吾詩難動興。柱杖更懷傷。</text>
<title>無題</title>,<text>協化賢從事。平友大相公。聲威曾亦熟。杯酒偶相同。古驛臨寒澗。空林振朔風。應知別後夢。長在此山中。</text>
<title>挽白評事 光弘號岐峯</title>,<text>茂材膺重望。長策指亨衢。可忍關西別。空驚洛下癯。風霜時忽改。宇宙我還孤。汭水他年恨。村壺獨自酤。</text>
<title>贈月出山僧</title>,<text>九井巉巉柱碧旻。吾師此下養靈眞。衲衣冷帶伽倻月。杖錫香留方丈春。烟斷法廚初絶粒。帚閑禪榻不生塵。天花落處無餘臭。溢壑崇蘭未要紉。</text>
<title>題居昌枕流亭</title>,<text>四十年前丱角流。入司綸綍禁園幽。身還白髮初欹領。帶重黃金漫鍍鉤。邑老凋零山幾腫。世情遷變事千頭。灘聲不改憑欄地。倒盡深杯未破愁。</text>
<title>次天使漢江韻</title>,<text>使事初竣且出遊。陋邦何幸有玆樓。階平碧浪漫無際。天闊遙雲散不收。風陣放顚誰作戱。宴筵狼藉秪堪羞。悤悤未盡登臨興。歸路翻然雪滿裘。</text>
<title>挽盧玉溪子膺</title>,<text>德宇淵亭量海渾。妙齡聞道志彌敦。儒傳自是明誠事。時論宜居鼎軸尊。毁極三年終痼疾。訃承長樂更哀奔。邦家殄瘁丁今日。童稚情親不暇言。</text>
<title>集勝亭</title>,<text>塵中奔走爲浮名。鏡裡那堪白髮生。官渡弄舟愁不盡。野亭憑檻眼還明。汀空落木蕭蕭下。天闊遙岑點點橫。南國江山無此勝。一杯聊遣望鄕情。</text>
<title>奉使西出</title>,<text>朝辭魏闕出西郊。松日蒼凉宿霧消。祖道親朋尊榼共。客亭堠置短長交。靑山歷亂吟邊過。大野微茫望裡遙。更苦炎塵團馬鬣。好風吹月上林梢。</text>
<title>寒甚不寐</title>,<text>臘近寒威特地嚴。一燈孤坐夜厭厭。疏鍾隱隱傳淸漏。急雪騷騷打矮簷。世事不堪遲暮意。天機還訝歲年淹。杯中酒盡無人送。欹枕風軒只撚髥。</text>
<title>送友歸鄕</title>,<text>勝地人言嶺表多。遠含山水更堪誇。尋仙方丈時乘鶴。把釣藍溪却泛槎。厚祿十年吾負國。倦遊今日子還家。篠驂舊侶如相問。貪戀君恩鬂已華。</text>
<title>哭韓都事 胤明</title>,<text>京洛交遊摠俊英。通家於子更深情。硏窮性理聖賢學。瀟洒風姿氷雪淸。一死豈知無起日。此身還恨迫嚴程。綿茅竟乏阡間奠。東望高陽涕泗橫。</text>
<title>幽居卽事</title>,<text>籬外松槮擁翠微。朝來山氣透窓扉。雲輕碧落鴻微叫。巢冷虛簷燕已歸。風動敗荷聲摵摵。露晞寒菊艶輝輝。秋光起我田園思。自戀君恩未拂衣。</text>
<title>送友人落第歸鄕</title>,<text>湖海相逢昔少年。苦心螢雪對陳篇。禪房想靜雲沈竹。橫舍吟淸雨打蓮。籍着天門吾已濫。賦遺官韻子堪憐。蕭條獨伴孤鴻去。千里霜風匹馬邊。</text>
<title>奉使湖南偶吟</title>,<text>江水涵秋碧玉明。光翻斜日動簷楹。霜洲木葉蕭蕭墮。風浦仙帆片片輕。望眼欲迷山靄遠。吟魂偏覺月華淸。悠然更荷君恩重。何必歸田愜野情。</text>
<title>送聖節使</title>,<text>年年西笑想中華。奉使今隨八月槎。萬古山河爭戰地。五雲城闕帝王家。貢連狼鹿庭陳盛。舟達荊關稅運賖。收拾壯遊憑健筆。歸來驚起蹶泥蛙。</text>
<title>白蓮社 康津萬德寺 僧印牛。袖軸求詩。爲賦近體三首餉之。</title>,<text>蓮山壓海碧層層。中有談空物外僧。身寄百年輕一沫。學傳三昧炯千燈。心如古井波難起。道似寒灰焰不騰。等覺天中從住着。法門能自貫宗乘。巖壑潛身學瞿曇。雲衣霞佩謝纓簪。生涯秪作龜藏六。世事何煩狙怒三。花雨落時禪業做。石頭點處理源探。恒河普化參精進。一法千乘得指南。詩壇跌宕靑蓮老。佛域幽潛白足僧。語不驚人心自率。功能濟衆化無憑。茶烹石鼎淸如水。衣製江荷冷似氷。淨社同盟知幾日。攢眉歸去學何曾。</text>
<title>余旣以三詩題上人軸。徐又自解之曰夫上人之求余詩。必欲聞吾道。余之作徒記其山阿隱遯之態。此其厭飫者耳。豈能塞其望。於是步退之贈文暢之意成一律。</title>,<text>太古鴻荒民物混。宮居粒食自羲堯。君臣父子倫惟重。禮樂文章道孔昭。飽暖逸居眞自棄。明誠遺敎且須繇。問渠何獨捐慈愛。麋鹿爲群寄岳椒。</text>
<title>次愼參議 喜男 書齋韻</title>,<text>小屋新開三十椽。幽居長日興相牽。峯連晩嶂橫天外。雪泛回風漲竹邊。雲谷正追論性妙。博山還愧卜基先。如今懶拙迷歸定。獨借僧牀伴老眠。</text>
<title>比丘僧</title>,<text>錦州城裡比丘僧。獨立城頭喚不應。遠憶親鄕連歲饉。苦看來麥幾時登。風搖翠浪愁初減。日曝黃雲喜却增。泣樹餘生聞此語。不堪腸肚亂摧崩。</text>
<title>瑞葱臺 應制</title>,<text>北苑岡巒邐迤回。東邊斷阜割稱臺。天開奕業蠲煩地。葱表靈祗效瑞栽。日摠萬機臨幸簡。運丁中否宴遊催。築增欲軋姑蘇壯。樂極都忘社稷災。眞界不容生草棘。中興初喜淨塵埃。丕承永鑑荒亡迹。暇日閑移仗魏來。閱武省農防逸弛。荷香松翠侑徘徊。淸秋盡召周行彦。黼座親傳暖玉杯。凡骨隔塵那易到。當時執戟偶叨陪。仙班一輟還迷路。怳似三淸夢裡廻。</text>
