<title>三月晦日。寄崔孤竹。</title>,<text>昨日不見君。今朝春亦去。獨坐雨聲中。煩襟亂如絮。</text>
<title>次白仲悅韻</title>,<text>小雨苦終日。使我不團欒。未坐溪上石。空懷溪上蘭。</text>
<title>無題</title>,<text>丹心一斗血。寫出美人顔。脉脉空相對。中情道得難。</text>
<title>蚩尤旗</title>,<text>此星聞昔有。今我見曾無。無乃君心裡。妖芒不入乎。</text>
<title>別金都事歸嶺南</title>,<text>汝弟眞堪惜。吾兄亦可憐。梅花嶺南路。明月滿長天。</text>
<title>畫牛</title>,<text>剡藤一幅畫。令人生遠情。江南有數畒。時作夢中耕。</text>
<title>贈琴者李龍壽</title>,<text>流落江南歲暮天。前身應是李龜年。空將舊曲彈深夜。松鶴㙜邊月滿川。</text>
<title>題僧壁 入靑丘風雅</title>,<text>樵笛依依隔暮林。佛龕寥落白雲深。寒天古木棲鴉盡。流水空山處處陰。又蕭蕭霜葉下前林。江畔秋山易夕陰。倦客倚欄頻悵望。白雲千里未歸心。</text>
<title>蓮㙜寺。次趙子美。</title>,<text>廣石舟中日欲曛。蓮㙜寺裡夜將分。山僧取火看衣屨。半是蒼苔半是雲。</text>
<title>次榮川館壁上</title>,<text>獨坐寥寥聽暗溪。燭光空向醉顔低。夜深忽覺秋衣冷。露下西園萬竹啼。</text>
<title>龍湫</title>,<text>陰壑沉沉白日凉。深湫無底毒龍藏。欲將鞭起騎長鬣。蹙踏風雲騁八荒。</text>
<title>次禹義臣</title>,<text>臞仙消息別來稀。人道題詩海上歸。明月在天雲路隔。玉琴彈罷鶴南飛。</text>
<title>送李贄歸京</title>,<text>山木蒼蒼初日凉。故人逢處卽離觴。我家脩竹淸溪上。君帶靑春入洛陽。</text>
<title>送宋評事象賢歸關北</title>,<text>漢月高懸塞鴈迴。相思何處可停盃。黃沙磧裡單于笛。吹落江南二月梅。</text>
<title>練光亭次韻</title>,<text>氷塞長江數尺餘。行人利涉似平途。向來舟楫將焉用。顚仆泥沙不管渠。</text>
<title>採蓮曲。次大同江樓船韻。入箕雅</title>,<text>南湖兒女採蓮多。曉日明粧相應歌。不到盈裳不廻楫。有時遙渚阻風波。</text>
<title>端午</title>,<text>少日欣逢端午來。新成白苧襯身裁。菖蒲作帶橫垂地。狂拂鞦韆幾百回。</text>
<title>次義州板上韻</title>,<text>簫皷崩雲畫角䧺。塞城楊柳舞東風。胡兒且莫誇身大。未滿書生一目中。</text>
<title>閑居</title>,<text>庭院寥寥獨掩扉。亂鸎啼過海棠枝。幽人睡起愁無着。雨後靑小已夕暉。</text>
<title>贈僧兼懷友</title>,<text>江草萋萋近寒食。江烟漠漠濕靑苔。東風惆悵寺門路。落盡梅花人不來。</text>
<title>見館壁題孫大年 億 名</title>,<text>掃壁驚看姓字新。老夫重濕寢門巾。靑山最是無情物。埋却孫郞作例塵。</text>
<title>題姜克禮蘸波亭</title>,<text>危檻懸雲石路斜。微風落日水生波。隔溪何處吹長笛。童子騎牛過晩沙。又微逕纔通入亂山。數家鷄犬掩雲關。慇懃報與淸溪道。莫遣桃花出世間。又好是春風溪上亭。春風淡蕩柳條靑。我來不道來何處。笑指雲林索酒甁。</text>
<title>萬竹亭四時詞</title>,<text>村口溪深繞草堂。小舟容與卽滄浪。濯纓歌罷無人見。醉睡花陰白日長。又水檻微風午睡遅。亂鸎啼散綠楊枝。歸雲晩作前灘雨。正是西崖種竹時。又酒已酤時菊又開。江天秋晩鴈聲哀。黃昏獨倚東樓柱。彈罷瑤琴待月來。又氷塞長川雪滿天。望中村戶斷人烟。叩門時有山僧到。竹屋懸燈夜不眠。</text>
<title>題僧軸</title>,<text>古寺無僧葉滿床。自敲霜磬夜眠凉。明朝客去門還掩。唯有泉聲繞石廊。</text>
<title>次具爕韻</title>,<text>具生送我向神州。生道多愁我不愁。大丈夫心一寸鉄。萬恒沙界好眞遊。</text>
<title>題甲子榜目</title>,<text>榜中二百盡奇男。二百人中我亦參。折桂如今三十五。事功他日孰無慚。</text>
<title>遊天磨山。示韓益之。俊謙。</title>,<text>松檜陰陰大道通。客來登睡畫堂空。催調白飯寒泉水。更策蹇驢落照中。</text>
<title>嘲僧</title>,<text>好去慇懃合掌辭。中心眞僞有誰知。唾痕筆跡留窓壁。急喚沙彌剝去之。</text>
<title>遊金剛題僧軸 栗谷臨終時。見此詩嘆曰。噫。此人又不壽矣。</title>,<text>淸泉激激石峨峩。鶴洞龍湫爽氣多。他夜月明山鬼宿。自吹長笛更經過。</text>
<title>咸興樂民樓。次崔孤竹 慶昌 韻。</title>,<text>無端一涕忽沾巾。天下人爲地下塵。爲問橋頭楊柳樹。見如崔子幾多人。</text>
<title>贈僧 入國朝詩刪</title>,<text>郊外逢僧坐晩沙。白巖歸路亂山多。江南物候春猶冷。野寺叢梅未着花。</text>
<title>靑城唱酬</title>,<text>山竹蕭蕭夜雪留。主人淹客歲將遒。笛聲吹落寒沙水。可笑蛟龍不自謀。</text>
<title>題僧軸</title>,<text>獨坐寒溪舍。情來自不言。山僧因乞米。秋雨到蓬門。短景侵黃髮。脩篁映碧樽。知心在方外。於世幾人存。</text>
<title>別高霽峰敬命歸京</title>,<text>晩得高員外。狂歌痛飮中。子寧今世士。吾有古人風。惜別山光晩。停盃劒氣䧺。明年御溝柳。同繫五花騘。</text>
<title>題彩雲江亭</title>,<text>一宿湖亭上。蒼茫雨滿山。漁燈歸遠浦。宿鳥下空灣。稚子出門望。漁翁乘夜還。主人緣住久。風景等渾閑。</text>
<title>題蘸波亭</title>,<text>洞闢千峰豁。亭臨一水幽。烟雲幾拋擲。樽酒暫遅留。潭影當簷亂。山光入檻浮。吾生幸今夕。得與故人遊。</text>
<title>漢陽秋雨</title>,<text>旅次愁多雨。閑扉久不開。竈沉移夜火。廳濕長秋苔隣女催眷急。家僮賣菊廻。山僧寄書至。明日出江來。</text>
<title>書懷示友</title>,<text>愁病應吾道。殘生只可哀。孰知山路遠。猶爲美人來。古木棲鴉早。寒天短景催。菊花今寂寞。從此不須開。</text>
<title>題雙溪寺</title>,<text>一路雙溪寺。寒雲古木間。浮生自多事。淸境爾猶閑。過雨風生竹。踈鍾葉滿山。居僧聞客至。明火候松關。</text>
<title>詠懷</title>,<text>剩有千憂集。都無一鬼亡。龍鍾何太劇。出處兩相妨。地理鄕關隔。天時令節當。空思去年夜。風雨宿僧房。</text>
<title>寄洪荷衣廸</title>,<text>長沙洪太古。吾甚惜高才。世事枉多淚。遠懷頻倒盃。難憑千里信。愁折一枝梅。獨坐彈瑤瑟。空簾明月來。</text>
<title>隱仙菴題僧軸</title>,<text>龍華峰西麓。名庵少世緣。有禽啼晝白。於此養吾玄。地主來何事。山僧到偶然。披襟坐相笑。微雨夕陽天。</text>
<title>題道巖詩軸</title>,<text>世事不堪說。逢春空旅遊。離心㤪芳草。回鴈別南州。一日豈無樂。百年長在愁。同君憶鄕者。相對劇悠悠。</text>
<title>南府尹彦經送酒</title>,<text>故人寄美酒。知我有天眞。樹蜜鸎身隱。人稀鵲語頻。氣候是初夏。風光餘暮春。停杯覔花處。惆悵屬流塵。</text>
