<title>次景淳韻 尹㵓</title>,<text>石巒秋霜厚。紅葉爲誰粧。有約人來晩。前郊已夕陽。</text>
<title>豆滿河有笛聲</title>,<text>隴雪初殘缺月微。有人吹笛傍河歸。笛聲似有梅花落。客淚春風與襲衣。</text>
<title>絶句 夢陪伯氏吟告。第二句後足之。</title>,<text>千里獨遊空自苦。五年相別豈能堪。偶然前夜關河夢。歸對容顔得笑談。</text>
<title>偶吟兩絶。書與珠上人。</title>,<text>古殿簷高璧月明。佛爐香燼夜寒生。井華漱向泉聲裡。淸凈因緣始得成。又身落紅塵萬丈深。愛山淸債負初心。偶乘天借來靈境。終日焚香對碧岑。</text>
<title>洛山殿獨吟</title>,<text>佛爐香篆細沾衣。半岸綸巾望翠微。窓日已斜山欲夕。木橋溪路有僧歸。</text>
<title>遣寐一絶。書與安上人。</title>,<text>洞天空翠自生凉。萬檜連陰一澗長。金殿老僧看已厭。閉門惟爇佛前香。</text>
<title>遣興一絶。書泂上人軸。</title>,<text>廢詩休酒自蕭然。收拾精神結凈緣。每夜臨溪頻潄口。倚龕明散佛燈烟。</text>
<title>在香山普賢寺</title>,<text>夢刀前夜是安州。此地他時定再遊。携手山僧勤有約。菊花同賞石崖秋。</text>
<title>偶成書留</title>,<text>寂寥禪榻凈無塵。滿殿香煙暖助春。戶外山光分曉色。老僧來禮古龕眞。</text>
<title>贈坦衍</title>,<text>塵埃紫陌抽身出。雲月靑山洗眼來。垂老欲酬淸凈債。石橋溪畔步蒼苔。</text>
<title>贈信玄。乃寓懷也。</title>,<text>洞壑春寒酷似秋。不敎瑤草漾溪流。傾筐脉脉坐終日。未寄相思空自愁。</text>
<title>和呈兩絶</title>,<text>長郊風勢襲人凉。古岸黃梅未吐香。江雨阻人行不得。解憐今日別離忙。又醮梅細柳媚春晴。鴨水無塵徹底淸。家世忠廉今屬子。報君終始致深誠。</text>
<title>思樊素</title>,<text>嬌容常助萬重心。膩粉餘香尙在衾。寂寂長天漫雪月。近來無鴈送鄕音。又他鄕誰解故鄕心。簷月分明照客衾。殘夢自驚還有待。小窓風紙似跫音。</text>
<title>聞僧語</title>,<text>烟火平生痼俗緣。至今迷路坐茫然。逢僧憫默山川說。未見金剛萬二千。</text>
<title>憶樊素</title>,<text>憶昨臨門遠別離。黯然相送問歸期。殷勤一夢長先往。客枕春情知未知。又憶昨辭家向北來。筭知歸日指庭梅。關河雪盡春風晩。香蘂如今開未開。</text>
<title>書齋卽事</title>,<text>世情浮薄本難憑。臨老交游是野僧。坐語終朝窓日凈。隔溪殘雪有層氷。又餘生行止向誰憑。閑是孤雲靜是僧。一病未能消素業。吟詩臨硯屢噓冰。又茅齋岑寂似僧廬。三四崖松繞屋踈。時與野人誇長物。滿房圖畫古今書。</text>
<title>感舊游四絶。步退憂令韻以呈。李廷馣</title>,<text>荷滿晴池月滿城。踏歌聲動露珠傾。當時行樂成陳迹。一味悲懷可再更。又少年携手步相聯。城月參差滿藥田。歸夢偶尋兵火地。一林巢燕吊風烟。又帳殿當前住翠華。受風旗角綵雲斜。材官赳赳軍容肅。追憶先朝富將家。又少日麁豪自信吾。栗林狡兎怯桑弧。那知衰老終無用。空作休官舊大夫。</text>
