<title>僧伽寺別贈待可學長 乙亥</title>,<text>故人信宿歸。落日千峯夕。悵望立空門。烟雲勞遠目。</text>
<title>次許 筬 功彦 號岳麓 夜坐聽雨韻</title>,<text>一室焚香坐。簷前細雨聲。孤懷還耿耿。形役愧浮生。附 原韻古寺僧初定。中宵聽雨聲。明朝後山色。春意看新生。</text>
<title>送見吉</title>,<text>摻手山前路。林花處處香。蕩春臺下水。爭似別懷長。</text>
<title>次功彦戱善應深夜讀書韻</title>,<text>坐對麟經筆。無端夜三更。山風如有意。吹送讀書聲。附 原韻一別多愁思。春宵度五更。山僧那識意。空聽讀書聲。</text>
<title>別晦父</title>,<text>識面今朝始。輸心晩契親。何須驚一別。西郭近芳隣。</text>
<title>送金 昌遠 赴任江陵 二首</title>,<text>君歸鏡浦上。相憶情何似。賴有東海波。雙鯉頻相寄。迢迢嶺海外。孤客惜離羣。洛浦春波濶。歸鴻那忍聞。</text>
<title>奉贈金都事</title>,<text>此公有大病。見客思一杯。一杯亦云足。但恐客思廻。</text>
<title>次金昌遠韻。奉別尹 英賢 彦聖。號晩村。卽松都四魁之一。</title>,<text>遲遲嶺上梅。不及送君杯。莫待窓前月。離懷恐未裁。</text>
<title>次李 廷龜 聖徵 號月沙 韻</title>,<text>文溪垂釣客。留醉夜三更。祗今頭已白。何日看昇平。</text>
<title>贈南 溟羽 九萬 丙午</title>,<text>願君主忠信。忠信外無他。此言如不信。吾請問丘軻。</text>
<title>壽席奉題 丁未</title>,<text>四世一堂中。人間更有幾。新年祝大慶。萬世長如是。</text>
<title>僧伽寺次功彦韻 乙亥</title>,<text>邂逅山門會。開襟笑語淸。詞垣驚峽倒。談屑劇風生。北望連雲海。南臨壯帝城。何如塵世役。終日事榮名。附 原韻凈界憐孤絶。逍遙僧磬淸。遙岑殘日赤。高樹晩風生。殿有羅時佛。山連帝里城。還應留勝迹。靑壁一題名。</text>
<title>次李而敬 順慶 夜坐有吟韻</title>,<text>皎皎雲間月。分明對影虛。英英塵外客。迢遞阻音書。石榻香殘後。禪房僧定初。床頭空輾轉。一夜夢魂踈。原韻寥落空山夜。懸燈丈室虛。頻驚三日別。未理十年書。古殿鐘鳴後。前峰月上初。迢迢何所思。春半故人踈。</text>
<title>次而敬懷功彦韻</title>,<text>客裏過寒食。懷君月滿山。燈前愁影獨。庭畔舞衣斑。耿耿三秋別。悠悠十載顔。何時重握手。一笑對松關。原韻悵憶巴陵子。何時返舊山。半春魂欲斷。一夜鬢成斑。獨立樓頭月。相看夢裏顔。佳期過寒食。呼釋啓松關。</text>
<title>路中偶吟</title>,<text>百轉緣溪路。山圍兩岸蒼。回頭歌伐木。濯足詠滄浪。巖有千年佛。花開一夜香。春風沂上意。此日思偏長。</text>
<title>次功彦劉 希慶 來後共登碑峯韻</title>,<text>不見廣陵久。離懷泰華峰。多情對落日。有意聽宮鐘。雲樹思千里。烟花意萬重。何時逢面日。豁我恨纏胷。原韻蕭寺逢詩伴。褰衣上碧峰。縈紆過雲棧。迢遞聽風鐘。日落湖光白。烟生壑影重。東山千古意。今夕盪吾胷。</text>
<title>訪下洞春色</title>,<text>客懷驚晩節。呼客下禪家。樹息扶孤杖。巖眠對落花。迎人鳥語亂。觸石水聲多。欲解春衫薄。前村酒可賖。</text>
<title>自城到僧伽。聞諸益登山有寄。</title>,<text>石門僧出道。諸客去登山。昨過文殊路。今留古峀間。投壺床畔靜。詩卷案中閑。此時元釋至。相對話層巒。</text>
<title>送許信仲還洛</title>,<text>雲外初傾盖。翻驚節候遒。尋花同躡屨。愛月共登樓。從政知君勞。投壺許我優。平生丈夫意。此日淚難收。</text>
<title>奉和御製次馬維銘詩 二首。萬曆戊子。吏曹正郞時。</title>,<text>聖作逢千載。葵傾貢赤誠。芝凾出漢闕。玉節度遼營。瑞世鳴崗鳳。遷喬咏谷鸎。陽春和一曲。車軌屬文明。鰈域神人痛。天高感至誠。秦庭初罷哭。燕塞遠臨營。喜氣傳新鴈。歸程遞曉鸎。詞臣含雨露。感涕對承明。</text>
<title>次書狀沙嶺舟行韻 甲午</title>,<text>輕風生夕浪。舟子語相喧。鴈起江涵影。沙明水落痕。東雲川路永。西日水程昏。近塞鄕情切。難招病客魂。</text>
<title>次夜入沙嶺韻</title>,<text>客意經秋急。鴉啼帶日還。喜過沙嶺水。况見海州山。征馬倦行色。僕夫多苦顔。鄕關近可懼。消息倘平安。</text>
<title>次海州衛途中韻</title>,<text>漸喜遼陽近。還愁消息眞。應廻關外駕。欲問卧中薪。天意存今日。時艱憶古人。丹心空一寸。灑血滿衣巾。</text>
<title>次鞍山韻</title>,<text>鞍山山下路。歸客惜征鞍。秋入冬初變。來非去日觀。長河流甚細。遠樹響多寒。已近遼陽界。覊懷轉不安。</text>
<title>次小雪韻</title>,<text>去悲雲北去。歸逐鴈南歸。遼左寒尙早。冬前雪欲霏。長呑少陵哭。頻灑老萊衣。故國猶風雨。浮生何所依。</text>
<title>高嶺驛雨中</title>,<text>碧海連天遠。陰風出塞多。雷聲近十月。雨意卷長河。寒薄征衣短。泥深去路賖。浮生蓬轉深。何處問吾家。</text>
<title>次滯雨韻</title>,<text>蕭蕭終夜雨。剪剪五更風。古驛人烟少。深秋木葉空。願聞烽火息。不見信書通。曉起臨寒鏡。衰顔减却紅。</text>
<title>又次滯雨韻</title>,<text>風雨空堂夜。覊懷枕未安。吾生已潦倒。萬事屬艱難。隣婦侵宵語。村鷄報曉寒。淸秋爲客苦。壯士易凋顔。</text>
<title>次韻</title>,<text>白日看雲淚。淸宵見月思。江南秋色老。湖外鴈行遲。蕭瑟登樓賦。悲凉陟岵詩。漁樵豈無計。衰謝戀明時。</text>
<title>次韻</title>,<text>皇極靑雲殿。淸風落日臺。傷心從此別。回首獨多哀。野曠天無盡。江空鴈不來。囊錢太羞澁。誰送破愁杯。</text>
<title>次韻</title>,<text>昨夕苦難待。今朝猶太遲。應緣困泥路。敢恨滯行期。愁極唯思睡。囊空未救飢。從來錦城樂。不及在家時。</text>
<title>次韻</title>,<text>留滯周南日。長懷水竹居。呼兒灌花塢。宿客剪春蔬。一別風塵裏。三秋鬢髮踈。遼河五月路。不得數行書。</text>
<title>山海關夜。偶吟得城字。追記足成。</title>,<text>山海當天險。藩維壯帝京。望夫姜女石。防虜呂秦城。白露三更夜。淸秋一鴈聲。茫茫今古意。遠客獨含情。</text>
