<title>陳田吟 己亥</title>,<text>可惜十年陳。一牛誠難起。吾心亦甚焉。幾沒淸明地。</text>
<title>立春有感 壬寅</title>,<text>又見三陽來。乾坤四序始。君子以之何。保養善端始。</text>
<title>出山吟</title>,<text>冒雨出山來。行行渡溪水。水淸山又深。這裏眞吾止。</text>
<title>飮舍弟希魯 處約號五梅亭 梅下</title>,<text>對酌小溪淸。梅花已謝雨。餘香在枝頭。可飮三杯酒。</text>
<title>聞寒岡先生將有苞山蓮浦之遊。與徐行甫及諸友登船至武溪津。被酒有吟。乙巳</title>,<text>長夏洛江遊。烟波處處好。舟中雜今古。此意知多少。</text>
<title>佳境吟 二首○壬子遊雲門時</title>,<text>漸入佳境裏。始知無盡藏。多探仁智樂。不覺道心長。南嶽酬詩日。龍門賞雪時。祝融知不遠。飛過浪吟詩。</text>
<title>次韻贈崔上舍康侯 興國號南溪</title>,<text>水北山南村。蕭灑雲間屋。只願歲寒時。看取風霜竹。</text>
<title>謝孫昌原景徵 起陽號聱漢 冒雨來訪</title>,<text>故人日夕來。握手話疇昔。此意已云勤。衣沾何足惜。次呈肝膽照如今。髭鬚獨異昔。那知日力竆。只覺年華惜。</text>
<title>張正甫 乃範 克明堂。次張旅軒德晦韻。</title>,<text>屈指曾經過。重來十載後。庭梧與梅竹。主人盟已久。久盟堅百年。肯顧翻覆手。</text>
<title>謝蔡汝榦 楨 雪中載梅來見 丁巳</title>,<text>玉人至日夕。騎驢灞橋雪。爲載後車來。處士西湖梅。却嫌靑蘂未全素。故敎頃刻花滿樹。孤芳忌皎潔。淸苦合幽獨。投我良有意。擬結歲寒契。守歲花正發。毋惜間關轄。</text>
<title>移植老梅。頗有生意喜吟。</title>,<text>古査新葉開。生意未消歇。保養方自玆。幾時吐佳實。</text>
<title>往省望思庵役處有感 歲在甲子暮春之初。與冠童五六。往省望思庵重刱之役。此庵經始於去癸丑。而今癸亥又重修。是亦數也歟。因感吟古詩體一篇。以貽同來。</title>,<text>古基久荒凉。我懷何由夷。如今始重營。先業庶可追。松楸落日時。怵惕心尤悲。何當成㟮屼。一卧吾神怡。</text>
<title>甘雨吟</title>,<text>甘雨以時來。萌芽多茁茁。我獨胡爲哉。善端何汩沒。神明已破屋。外寇誰敢遏。何當洗心源。寒水看秋月。</text>
<title>戲贈徐伯裕諸君。先行不待。</title>,<text>健步吾何羨。先迷躐等多。莫笑遲遲客。淸吟處處佳。</text>
<title>吟肴字韻</title>,<text>白粥山人味。靑魚野客肴。重斟昨夜酒。醉興更囂囂。</text>
<title>醉贈金通判晦仲 寭其大人惟吉有至行。卽余前妻外從也。</title>,<text>感舊情何極。思人淚自洏。傍人那識意。錯道老人癡。</text>
<title>大雪翌日。大陽𣌑之。</title>,<text>大陽明宇宙。俄頃雪便消。世事都如此。阿誰秉大調。</text>
<title>讀陶淵明責子詩</title>,<text>子之賢不肖。雖曰繫於天。父嚴師敎外。不學子之愆。</text>
<title>李可和 景培 庭草吟</title>,<text>可和庭前草。生意日日新。主人能體物。應識反諸身。</text>
<title>贈張姪慶遇 己巳。以李福守等事留旬餘。</title>,<text>骨肉逢時亂。相離問幾秋。傾家贖賤籍。欲雪二人羞。</text>
