<title>悠然堂夜坐</title>,<text>步葉迥山逕。川原欲夜時。宿禽啼殺盡。溪月石門移。</text>
<title>悠然堂。與鄭古玉 碏 同賦。</title>,<text>曉起茅簷坐。靑山几案齊。峯頭日欲上。天際霧還迷。雀亂秋田啄。虫寒草砌啼。冥然觀物理。愁思轉凄凄。</text>
<title>輓南原處士李活溪 世</title>,<text>一代南州士。高名振海漘。衿期本皎㓗。心學貫天人。華冕如看屣。蘿幃不動塵。少微今沒彩。悲淚卧床身。</text>
<title>大丘宣化堂題。次府使鄭愚伏 經世 韻。丁未冬監司時。</title>,<text>東南六十邑。控制倚公山。王化宜宣布。新營是達觀。民飢田野穢。盜恣道途難。愧我無毫補。衰顔把鏡看。</text>
<title>輓金相國 命元○四首</title>,<text>大姓前朝裔。高名一代英。桂枝攀妙歲。驥足展雲程。歷敭淸要煥。升沉器量宏。儒林推領袖。藩鎭識威聲。安石風流士。稚圭德望卿。文章盖餘事。斧鉞幾專征。位極三台貴。茅分五等榮。都身將與相。許國死兼生。事業姚崇少。勳名綠野輕。中年多喪患。萬事付深觥。筋力稀年迫。江湖晩興橫。鷗盟計未就。鷄夢事堪驚。天不遺元老。人嗟奠兩楹。迢迢送靈旆。欝欝閉佳城。小子將安放。哀詞只寓情。東流江漢左。獨立淚雙傾。</text>
<title>次板上韻。示金節度。太虗○爲慶尙道廵察使時</title>,<text>臺舘今雖設。繁華未見曾。興亡隨逝水。人世似風燈。愁鬂繁秋颯。危欄入夜憑。三忠一日死。童稚至今稱。金倡義千鎰，崔兵使慶會，黃兵使進。同守是城。賊逼城陷。遂不屈死時。癸巳六月二十九日也。今余來此。與金節度太虛令公。同議建廟。殺牲以享之。因感慨于懷。尾聯及之。</text>
<title>贈肅寧館謝恩使之行 壬寅○八韻 [五峰李好閔]</title>,<text>結交庚最密。傷別客偏深。路又燕京遠。歸應菊月臨。中年仍白首。苦意寫玄琴。世事看棋局。幽懷在竹林。可能拚舊會。空自憶同衾。麥穗長郊晩。棠花古驛陰。尊傾隔萬里。日望重千金。加抱元連境。山蹊倘得尋。</text>
<title>醉吟贈友人 乙巳季夏</title>,<text>君醉高歌我醉吟。小樓荷雨興難禁。如今往事渾成夢。霜鬂蕭蕭照舊心。</text>
<title>失鶴</title>,<text>三年呼喚若朋僚。此日飜飛向碧霄。獨坐秋堂無意况。一庭深鎖更寥寥。</text>
<title>憶鶴</title>,<text>軒昂狀貌常留眼。還恨從前着意深。碧水靑山歸去久。故林何不一來尋。</text>
<title>南原衙軒題詠 爲府使時</title>,<text>白首兵塵太不宜。到官三日已思歸。淸宵夢落江城月。竹外桃花褪一枝。</text>
<title>到任後作 龍城集云。鄭判書某。以大司憲。乙巳六月。南原到任後作。</title>,<text>楊元無膽不知兵。不守蛟龍守此城。漢師十萬同時死。寃入灘聲日夜鳴。</text>
<title>次李東野韻。贈趙雲野丈老。萬曆壬寅赴京時。次華人韻二首。</title>,<text>近啜淸晨粥一甌。扶衰養老勝膏腴。自從九日全饑後。瘦骨成稜落鬂鬚。九日全饑落鬂鬚。鬂鬚雖落氣還蘓。此時肯借丹財否。却恐殘年藥易枯。</text>
