<title>淸明呼韻</title>,<text>一雨淸明過。三山物色新。偶從江上路。尋得洞中春。</text>
<title>楊山</title>,<text>楊山在安嶽。金省菴守郡時。席上分題。愛爾楊山秀。更無山與儔。來從天北極。坐壓海西頭。暝色開新畫。晴陰落遠洲。欲看眞面目。秋雨暮煙收。</text>
<title>湯站口占 以下丁酉朝天錄</title>,<text>吟鞭已拂九連營。立馬湯村還有情。雨雪全埋松鶻岳。風煙半入鳳凰城。嚴程極目靑山斷。王事關心白髮生。何日破除狂賊了。江南萬里得閑行。</text>
<title>鳳凰山吟</title>,<text>鳳凰山鳳凰臺。白雲萬古常浮浮。雲中五色不可見。客子搔首空夷猶。飛鳴阿閣是何秊。能使六合春煕煕。玄囂之世表文明。舜簫初成亦來儀。岐山寂寂不復聞。嗚呼吾道其衰矣。尼父亦已歎不至。昌黎謾自傷有耳。飄飄高逝幾千仞。雖有矰繳焉能縶。飢鷹厲吻鴟鵂嚇。獨鶴栖晩林鴉集。天寒野陰風景暮。雪嶺蕭瑟邊聲哀。大明天子開明堂。越裳重譯䑯航來。融融禮樂動九霄。協和萬國延休祥。東吳季子觀國賓。徯爾一下鳴朝陽。</text>
<title>長嶺次使相韻</title>,<text>王事驅馳急。沉痾自不知。玉京看漸近。莫恨過江遅。</text>
<title>靑石嶺</title>,<text>靑靑山上石。千古恨難平。爲報山靈道。英䧺幾箇行。又帝德天同大。要荒地亦平。飛車運軍粟。高並日輪行。又痛哭當時事。中宵作不平。風塵一劒在。千里欲橫行。</text>
<title>沙河道中</title>,<text>雪塞關山氷合河。瓊瑤窟裡送靑騾。却疑身在淸都上。月出銀臺散玉珂。</text>
<title>發海州衛。使相落巾帽。有戱吟。遂依韻和之。</title>,<text>政是中唐三令節。勞勞行役在燕山。造物却嫌孤一醉。故吹烏帽落途間。絶塞玄氷客路難。馬蹄初過海州山。多少麗譙明粉堞。夕陽行色畫圖間。</text>
<title>三叉路中口號</title>,<text>行到三叉日已曛。塵沙吹面雪繽紛。天垂大野層陰合。樹接長河客路分。娘子廟荒傷往事。將軍亭古喜淸氛。春深故國無消息。立馬東風欲斷魂。淸氛卽亭名風掣征衣雪滿巾。沙村何處覔靑春。東君爲布陽和氣。慰倒藩邦白髮臣。高臺矗矗自遼陽。雉堞連雲入杳茫。萬里農桑邊警息。漢皇家業看休昌。右過烟臺有感而作</text>
<title>盤山路中次使相韻</title>,<text>風微沙路不生塵。詩到蹇驢覺有神。竣事歸時春更好。落花如雪草如茵。</text>
<title>道傍破虜碑閣</title>,<text>貞珉大字問誰鐫。過客摩挲髮悚然。願借將軍如虎力。削平炎海似當年。逶迤周道傍江開。行盡山東第幾臺。日暮五雲飛北極。側身天畔首空擡。</text>
<title>途中偶吟</title>,<text>數峯橫出塞雲間。知是幽州大黑山。寄語僕夫催驛騎。玉河關外怕花殘。</text>
