<title>春景 庚辰○十六歲時</title>,<text>春風散驟雨。城外百花樹。松窻一回首。煙捲斜陽暮。</text>
<title>偶吟</title>,<text>煙鎖江頭竹。風來野外松。黌窻終日詠。楓葉錦如紅。</text>
<title>在小寺作</title>,<text>寥朗風生谷。飄颻葉滿臺。吟詩松下卧。凉氣夕陽來。又水落輕沙露。秋深紅蓼開。無人賞淸景。寂寞獨吟懷。</text>
<title>西溪偶吟</title>,<text>世人誤傳說。西湖似武陵。人間未十里。漁子到何曾。</text>
<title>逢人</title>,<text>相逢坐野亭。日暮淸溪道。微微碧峀頭。時見炊煙早。</text>
<title>偶吟</title>,<text>細雨過春山。窻前生綠草。聲聲樹底鸎。時復喚春老。</text>
<title>孟子得味書次</title>,<text>綠水靑山計。淸風明月心。浩然天地外。無古亦無今。</text>
<title>智谷寺雨夜</title>,<text>遠客坐寒齋。三更愁細雨。山村月未生。漠漠雲籠樹。</text>
<title>澗邊</title>,<text>鳥囀蒼松裏。花紅古石巓。山村人未見。溪上有吟仙。</text>
<title>遊西溪</title>,<text>一逕繞孤村。野平江水外。冠童尋寂寞。步步胷襟大。又雲出靑天好。風歸野樹宜。渾忘去路晩。不覺坐來遲。</text>
<title>次河覺齋 沆 韻</title>,<text>長憶龍門拝。無端念仲秋。瓊音驚滿紙。聊慰夢中愁。</text>
<title>五月念間。天氣蒙霿。口占一絶。庚寅</title>,<text>雲氣噴䨪雨。沉沉久未開。乾坤渾似夜。日月幾時廻。</text>
<title>別後書懷。寄金而信。</title>,<text>別來三夜夢。眉目每森然。霜月空階轉。晨鍾古寺傳。</text>
<title>醉贈曺克休</title>,<text>山月初開面。蒹葭始起風。松醪三百盞。懷抱一千里。</text>
<title>渡漢江而南。別洪楫夫。</title>,<text>何以贈遊子。漢江多柳枝。春風難可恃。莫學萬條絲。</text>
<title>次權松溪應仁屛上八絶</title>,<text>黑暈全埋色。朽鱗半屈身。皮膚君莫笑。霜夜有天眞。右墨梅石根元正直。風脚但蕭蕭。蘇子能全節。陶潛未折腰。右風竹素質初經雪。孤標未遇塵。西湖千載後。耽翫更誰人。右老梅離離垂者實。翠葉又成陰。鸞鳳應經宿。鷦羣且莫侵。右叢竹紅蓼一江岸。身由意不由。悠悠雲海路。須與鳳凰謀。右江鷗飛去初無隊。浮來或作雙。小塘猶可樂。何事戀湖江。右池鳧翁是釣魚者。人言能釣周。風塵千古後。應愧首陽頭。右釣翁一下貧村樹。三年猶不移。人言能報喜。此地喜伊誰。右寒鵲</text>
<title>德山滯雨</title>,<text>春雨細蕭蕭。客窻三夜聽。故園一枝梅。想應花色靚。</text>
<title>夏秋亭。次盧敏甫，文甫韻。</title>,<text>與子相期處。靑靑歲暮松。羣芳零落後。獨立傲寒風。</text>
<title>智谷寺。次鄭克承韻。</title>,<text>蘭若竹爲閣。洞門雲自扃。幽人晝不起。日落林霏冥。又炎蒸困塵土。樹木澹孤淸。風靜竹無語。月生天有情。</text>
<title>秋懷</title>,<text>宋玉悲秋氣。今年吾亦然。愁來黃葉落。詩作夕陽天。</text>
<title>次李培逈之韻</title>,<text>落葉封深巷。黃花伴逐臣。柴門驚剝啄。一笑卽心親。又九月嚴霜曉。三杯送故人。天涯流落處。那得似君親。</text>
<title>月夜陪寒岡先生。遊秋月軒。辛巳○在昌山</title>,<text>潺湲流水入方塘。竹外輕風動國香。翫月不知歸去晩。樹梢藏露襲衣裳。</text>
<title>無題</title>,<text>在身須作眞男子。臨事無爲賤丈夫。料得一生皆素定。空多計較竟何趍。</text>
<title>晴後</title>,<text>陰雲將雨過山城。閒倚南樓賞晩晴。萬里風光眞活畫。一村煙色正淸明。</text>
<title>佛頭花</title>,<text>古庵西畔佛頭花。閒帶春風笑晩華。何似秋霜搖落後。一枝丹桂秀山阿。</text>
<title>寄李汝靜</title>,<text>前日相逢摠瞥然。寒齋幾許夢魂牽。無端春信還梅雪。知是思君已一年。</text>
<title>小盆菖蒲</title>,<text>無竆品物各生生。最愛菖蒲淡又淸。移種小盆看不盡。有難言處是幽情。</text>
<title>偶詠</title>,<text>高閣風歸日已斜。蛙聲閙亂小池多。無端會得閒中趣。物我心情妙莫加。</text>
<title>五月三日初昏。因所見以起興。</title>,<text>錦繡香轎照火明。家家兒女競登城。忽然春過無車馬。拍袂歸來半月生。自註此詩第一句。言富貴奢華之盛也。第二句。言街童市女蚩蚩無識。奔趍於耳目之觀美也。第三句。言榮華焉能久。過焉而皆空也。末句言馳逐俯仰者。亦已散去矣。竟無心得之樂。不觀夫太空之上滄海之角。有一物泂澈无塵而萬古光明者邪。</text>
<title>春氣</title>,<text>野有遊絲水有霞。山陰二月景光多。日暄小院人堪惱。知是東君弄太和。</text>
<title>春風</title>,<text>爲問春風底事吹。津津生意滿南枝。桃紅李白薔薇紫。分付天然也不知。</text>
<title>春雨</title>,<text>霢霢祈祈孰使然。乾坤生意自無邊。應知明日山城外。萬紫千紅摠似燃。</text>
<title>春山</title>,<text>今朝徐步上東山。花氣侵蒸翠壁顔。疊疊高低煙帶細。層層上下蝶飛閒。</text>
<title>春江</title>,<text>春江江外小人迴。江上孤檣盡日頹。落暮漁樵爭喚渡。春光幾許載歸來。</text>
<title>春花</title>,<text>後苑春深日氣和。梅花半謝杏花多。遊蜂閙亂尋春到。知是東皇住我家。</text>
<title>春鳥</title>,<text>何事間關盡日啼。音如孤笛 缺 還低。春山無限高低色。飛去飛來巧品題。</text>
<title>春遊</title>,<text>終日行行不自休。煙花楊柳一江頭。西郊多小芳菲景。盡入詩囊半日收。</text>
