<title>栢川醉吟</title>,<text>逢場卽盡懽。豈必傷遲暮。岸柳與汀花。蹁躚共我舞。</text>
<title>冬至日。次氷溪韻。已下九首。壬寅朝天時作。</title>,<text>今年至日逢於此。天末孤臣去國情。坐到五更眠不得。隣雞唱送兩三聲。</text>
<title>再次前韻</title>,<text>朱欄寂寂羅幃掩。脉脉相思無限情。何處月明人弄笛。好風吹送斷腸聲。</text>
<title>九龍淵</title>,<text>欲探奇事償生平。偏向龍灣兩眼明。誰道遠遊多感慨。便敎豪氣十分生。其二小槎如斗坐來平。歌吹喧空畵燭明。氷滑雪殘人去疾。腋邊還訝羽翰生。其三城下荒蕪極目平。江中氷合鏡新明。登臨三國橫分地。日暮炊煙處處生。其四宴罷歸來小榻平。枕邊燈火向人明。城西一望三千里。歲月催吾白髮生。</text>
<title>遼陽途中</title>,<text>萬堞層城繚半天。昔人蹤迹去茫然。荒墟古柱餘三尺。千載空傳化鶴僊。</text>
<title>次九龍淵韻</title>,<text>脩野茫茫一望平。海天無際夕陽明。陰山咫尺看如斗。不斬樓蘭不願生。</text>
<title>酬上使李月沙聖徵 廷龜 見寄</title>,<text>明庭鳴珮共朝天。周歲聯鑣豈少緣。江畔草堂寥落處。夜燈明滅不成眠。</text>
<title>通津農舍。和韓默翁敬甫 頊 詩。</title>,<text>年年佳節病中來。不管黃花爛熳開。幾處龍山落帽會。玉顔紅袖好傳杯。其二誰托新詩寄我來。瓊琚入手病眸開。明朝始覺重陽節。驚起呼兒覓酒杯。其三西峰蒼翠入簷來。日夕窓櫳病未開。坐想寒山舊隱在。幾時歸去且杯。其四送盡韶華老復來。病懷孤寂向誰開。人生草草隨朝露。未死須傾有限杯。</text>
<title>朴亭筵上。次敬甫韻。已下六首。赤壁船遊時作。</title>,<text>五十年來頭似雪。風流豪氣竟何之。劉郞漫興雖消盡。猶願樽中漲綠漪。</text>
<title>次人韻</title>,<text>淸和佳節燕呢喃。海色茫茫接蔚藍。把酒高亭今日會。醉忘江北與江南。</text>
<title>石串待船漫吟 雜軆</title>,<text>日欲暮兮風更起。余欲濟兮舟不來。佳辰幾何兮胡不樂。歌鼓喧空兮絃管催。</text>
<title>臨津</title>,<text>鶯語關關燕語頻。汀花落盡又靑蘋。扁舟載酒歸何處。欲向漁人問去津。</text>
<title>題成家槐樹</title>,<text>主人占得江山勝。淸趣還嫌過客知。如許風光不出戶。庭前楊柳等閑垂。其二古槐新柳掩人家。活計雖貧景物多。惆悵主翁何處去。夕陽歸客朗吟過。</text>
<title>次崔子謙 鳴吉 見寄接枝韻</title>,<text>移根未若移花妙。多謝郞君一掬枝。要使滿園紅間碧。免敎秋菊擅東籬。送紅碧桃枝。故云。其二辛勤種藝無虗歲。初爲耽閑不爲花。待得湖村春欲暮。滿庭紅綠亦堪誇。</text>
<title>題甑山舘閣壁上</title>,<text>臺觀傾頹落日紅。山川依舊井閭同。遺民尙記當時事。惠澤今猶頌我公。其二憶昔園花滿樹紅。高堂無𧏮弟兄同。今來酒盡盈襟血。不是牛山泣景公。右詩議政公。曾宰甑山縣時。公年幼陪往矣。癸亥。以八道都元帥。出鎭關西。廵到此縣。想古感傷。仍成短句。懸板于舘閣云。</text>
<title>次李尙中 忔 韻</title>,<text>官棠無主傍階開。曾是雲翁手自栽。昨夜狂風吹落盡。滿庭香玉踏成埃。其二江南春日正花開。處處名園得意廻。珍重光山賢太守。一枝留待故人來。其三海陽佳麗古名區。雄擅全湖號大都。萬代金湯開積累。一番灰燼不須臾。其四荒原暑雨飄香玉。廢榭薰風長綠蕪。舞影歌聲渾寂寞。老娼空說舊時娛。</text>
<title>統軍亭 已下五首。壬寅朝天時作。</title>,<text>鑾輿西狩地。民物尙含恩。城枕黃沙磧。樓臨玉塞門。窮陰連朔漠。積雪遍川原。眺望偏傷暮。秋霜兩鬢繁。其二才慚充副价。辭拙乞皇恩。寸舌徒憑軾。偏親久倚門。脩程接遼海。落日下平原。遙想東歸路。梨花滿樹繁。</text>
<title>用前韻。錄呈月沙。</title>,<text>鵷路聯雙璧。鑾坡沐聖恩。謝家誇寶樹。于氏要高門。餘事耽詩句。平居篤行原。善人天必佑。流慶子孫繁。其二菲薄銜新命。絲毫捴聖恩。追隨叨驥尾。容接忝龍門。世態雲翻手。危機火燎原。平生題柱志。潦倒客愁繁。</text>
<title>遼廣途中</title>,<text>遼廣防胡地。幽燕壯帝州。門臨山海闢。水自鳳凰流。匣裏延陵劒。身邊杜老裘。休言萬里苦。行役共君侯。</text>
<title>花石亭 已下四首。赤壁船遊時作。</title>,<text>倦客停歸棹。沉吟倚桂橈。空餘隔世慕。欲薦一杯椒。晩響哀山鳥。寒聲聽海潮。西風無限意。舟子謾招招。</text>
