<title>種竹</title>,<text>手種窓前竹。春來長玉竿。相將期歲暮。天地北風寒。</text>
<title>風雨夜</title>,<text>夜深天地黑。茅屋紙窓明。凮雨打簷急。遠村鷄數聲。</text>
<title>望雲</title>,<text>爲寄浮雲語。何無澤物心。時時風欲雨。漠漠蔽天陰。</text>
<title>偶題</title>,<text>寄語南來雲。爾行何太勤。廻西西不受。東去只紛紛。</text>
<title>次金淸陰 尙憲 詩 元韵附</title>,<text>蒼蒼冬嶺松。風雪力能折。根到九泉下。龍蟠金石骨。庭前有老松。枝幹自摧折。莫使螻蟻侵。風霜到香骨。淸陰</text>
<title>題南溟曺先生 植 集</title>,<text>夫子今猶在。儀形景仰中。頭流冬雪霽。秀色聳靑空。</text>
<title>示金季鷹</title>,<text>莫道蒼蠅亂。奔忙摠一場。霜寒梧竹盡。何處鳳孤翔。</text>
<title>泣廢母 光海戊午。廢仁穆王妃。幽于西宮。</title>,<text>天上三光暗。人間萬事非。孤臣中夜淚。濕盡弊麻衣。</text>
<title>癘疫</title>,<text>癘疫家家遍。晨昏連哭聲。天偏東土禍。何罪可哀氓。</text>
<title>奉別寒岡鄭先生 逑</title>,<text>血泣三年哭。波淸萬里行。相逢一杯酒。木落錦江城。</text>
<title>無題</title>,<text>瀝血寫爲字。寄將萬里親。書去魂亦去。兀然空此身。</text>
<title>次李澤堂 植 詩 三首</title>,<text>誰知塵世上。有此武陵居。面面開新畫。靑山曉日餘。睡起憑危檻。澄瀾唾碧虛。笑看求一飽。蘆渚鷺窺魚。山水松林靜。主人李澤堂。淸凮明月伴。二字缺 在中央。</text>
<title>春暮</title>,<text>春歸人不歸。歸心如逝水。水流無靜時。時作風瀾起。</text>
<title>秋暮</title>,<text>一夜嚴霜降。千山草木黃。可憐時已暮。蘭蕙更芬芳。</text>
<title>和金愼獨齋 集 詩 二首</title>,<text>莫言身是我。謂我還疑非。身我皆虛幻。何關人刺譏。休言平地穩。忽起萬重瀾。幾許舟翻覆。古來行路難。</text>
<title>古意</title>,<text>古井深千尺。淸泉冷似氷。酌之薦宗廟。世泰安黎蒸。引手欲有汲。綆短無由憑。</text>
<title>石上菊</title>,<text>石角艱難活。纔成數寸長。根芳凌少皥。花發趁重陽。無酒酬佳節。倚墻含晩香。爾生憐不早。寒日饒淸霜。</text>
<title>李生 慶先 挽</title>,<text>霜落春階重。蘭芽未老摧。誰憐慈母怨。共結弟兄哀。自是天生美。如何鬼見猜。千秋先令尹。含痛日長開。</text>
<title>洪上舍 宇慶 挽</title>,<text>系赫南陽閥。心全天賦淳。孝親而友悌。睦族更仁鄰。外默夷崖岸。中貞凜松筠。風儀眞長者。志行範鄕民。</text>
<title>踰鷗峴</title>,<text>此路何時平。念來頭雪盈。溪坑心畜惡。石棧面生獰。峽險猿爭捷。林深鳥亂鳴。停車長太息。浮世若爲寧。</text>
<title>別金叔度 淸陰字</title>,<text>可惜浮生事。長趍逆旅中。離懷開未了。懽意轉成空。此去向何處。歸程迷所終。形骸留宇宙。徒自羡冥鴻。</text>
