<title>錦江舟中 與公牧宋興周，都事高仁紀。同泛錦江。</title>,<text>醉裏玄黃亂。人間是非多。吾將散髮去。寧逐范蠡舸。</text>
<title>次康遠</title>,<text>柴門遠客至。殘日半山啣。停盃說舊事。忘却在江南。</text>
<title>卽事</title>,<text>壁色千秊古。潭心百丈淸。琴歌留北客。盡日話深情。</text>
<title>山中卽事</title>,<text>日沉夜色黑。林暝洞雲平。病起下庭除。扶兒看月明。</text>
<title>送別</title>,<text>不忍遽分袂。相携到日斜。送行無別物。持贈一枝花。</text>
<title>田舍卽事</title>,<text>野外秋光晩。黃雲在處屯。斜陽無客到。獨立倚柴門。</text>
<title>贈金夢良</title>,<text>鵬翮初摶海。南溟九萬長。會看雲路濶。騰上入帝鄕。</text>
<title>贈靈訔</title>,<text>剃髮離親戚。奉身歸法王。欲探無價寶。惟在自家莊。</text>
<title>贈堅上人</title>,<text>已悟無生理。心空似太虛。誰知楓岳裏。高峙兩毗盧。</text>
<title>次安淸之 澤 韻</title>,<text>莫嗟言無味。吾心凈雪白。孤琴彈一曲。此外寧肯學。</text>
<title>宿普贒寺地藏院</title>,<text>蕭寺三更夜。燒香木佛前。胷中倘念惡。九地可無愆。</text>
<title>示同舟諸君 宋興周，高仁紀 求和</title>,<text>旗尾翩翩疊浪生。海雲如墨日初傾。憑君愼莫蘭舟放。極浦風多未可行。</text>
<title>贈人</title>,<text>幾歲殊方費夢思。相逢驚喜又相悲。紅顔已改霜毛白。不道姓名應不知。</text>
<title>拱北樓次韻</title>,<text>江雨蕭蕭風滿樓。酒酣乘興倚欄頭。神京北望知何處。惟見寒波繫小舟。</text>
<title>題梅月堂影</title>,<text>心事夷齊足可方。只將形迹着禪房。不須寫影留身後。應有芳名萬古揚。</text>
<title>寧海志感</title>,<text>當時高會共追陪。軒舘如今化草萊。怊悵無人論往事。可憐遼鶴獨飛來。首句一作當時軒館盡成頹。滿目蕭然只草萊。</text>
<title>洪州田舍卧病</title>,<text>家世朝鮮九代昌。及吾尤荷聖明王。君寵國恩猶未報。可憐多病卧洪陽。</text>
<title>偶吟</title>,<text>日日勞神簿領間。手揮朱墨未蹔閒。雨餘山氣朝來爽。何處王郞拄笏看。其二病餘出尹甄萱國。雲物依然習俗訛。政術未能敷大化。臨民何忍獨催科。</text>
<title>次德山太守 兪善曾 韻</title>,<text>珍重華軒昨夜來。看花擬上水西臺。那堪獨抱河魚疾。不共羣公竹葉杯。</text>
<title>贈宋公牧 興周</title>,<text>一心齋沐致精禋。香火熊津祭瀆神。甘雨旱餘千里足。天公應感使君仁。</text>
<title>贈沈重卿 詻</title>,<text>吾人莫道鬂如銀。淪謫而今已十春。不有知音論舊素。天涯何處見心眞。</text>
<title>示從孫 行進</title>,<text>雲埋華嶽千家雨。水漲南渠九陌泥。政好小堂成鼎足。一尊相對話心期。</text>
<title>挽申澈</title>,<text>人生塵露草頭棲。逝者如川不復西。最是攀輀長慟處。阿翁鶴髮叫兒啼。其二從來福善理難竆。天道茫茫太不中。鶴髮在堂身便死。也應精魄泣幽宮。</text>
<title>觀碁</title>,<text>欲知兵事盍觀碁。勝敗由來本不期。驕將未應能善後。石頭終見竪降旗。</text>
<title>曺使君 挺立 見邀。病不赴。</title>,<text>五馬遙臨鏡水頭。綺筵高敞郡西樓。老夫政抱相如病。未赴榮招謾坐愁。</text>
<title>謫裏偶吟</title>,<text>溽暑如酲惱殺儂。土窩長日睡方濃。夢中好事憑誰道。覺後盤桓獨撫松。</text>
<title>偶吟</title>,<text>湖上柴門晝不開。日斜村路斷人來。翛然獨立篁林下。閒數新筍逬綠苔。其二浮世悠悠任病身。一生匏繫愧尋津。神京北望山重阻。經歲難逢故國人。</text>
<title>贈白秀才 源發</title>,<text>士多才藝可經綸。竆阨何曾在一身。天下蒼生皆有命。莫言羇客獨悲辛。</text>
<title>詠梅贈申 義濟</title>,<text>梅神祟我到君家。芳意盈盈欲吐花。縱欠暗香浮月下。籬邊斜影亦堪誇。</text>
<title>鏡浦臺</title>,<text>斜陽扶病獨登臺。遷客羇懷鬱未開。北望神京何處在。亂山無數碧崔嵬。</text>
<title>野梅</title>,<text>玉砌端宜近美人。託根何事寄叢榛。樵童豈解調羹用。且莫尋常第一春。</text>
<title>遊申 義濟 槐陰下。效山谷體。示同遊。</title>,<text>讓功旣是異馮異。習禮還非畏向魋。移牀却趁淸陰卧。爛夢槐安日未頹。</text>
<title>卽事</title>,<text>北風吹疾樹號寒。城上烏啼夜已殘。歲暮孤村隣幷少。雪蹊無迹卧袁安。</text>
<title>夢後</title>,<text>聖恩如海荷生全。竄逐長沙感涕連。夢裏龍顔叨奉引。自憐誠切五雲邊。</text>
<title>立春</title>,<text>御出金宮黼扆臨。賀春鵷鷺簇冠簪。江湖亦有思君念。華祝長勤捧聖心。</text>
<title>春感</title>,<text>紫陌紛紛橫復縱。幾多冠盖趁晨鐘。世間閒味吾全飽。日午山窓睡正濃。</text>
<title>贈山僧 余從舍兄在江華逢師。今已十年矣。家兄旣卒。當時舊遊安敎官行曁山人神會。亦皆化去。不勝感歎之懷。書以與之。</title>,<text>蓮寺相逢已十秊。楚雲湘月夢長懸。邇來人事偏多感。說着當時已惘然。</text>
<title>回自朴肅夫家。有感。</title>,<text>沔北初迴尋友駕。廣川今復赴佳期。湖山獨飽無能味。正是先生得意時。</text>
<title>示友人</title>,<text>詩非古調皆陳語。琴到無絃有別聲。此意何人能認取。不逢知己竟難明。</text>
<title>鏡湖見曺使君出遊</title>,<text>春晴花柳正芳菲。鏡水無風自滿磯。莫唱菱歌臨曲渚。沙頭驚起睡䲶飛。</text>
<title>贈程守備 宗元華人</title>,<text>海山雲物雨餘新。芳草城邊感旅人。奉餉一盃君勿却。異鄕非我更誰親。</text>
<title>次連谷壁上韻</title>,<text>神京幾歲得歸哉。戀闕愁腸輒九回。西朢雲山遮萬疊。更無人自日邊來。</text>
<title>羽溪迎使相</title>,<text>皁盖將臨候吏報。遙聞騎吹繞林頭。迎賓郊館知何事。遠憶淵明却自羞。</text>
<title>設養老宴</title>,<text>春氣煦煦日載陽。東風吹綻百花香。臨瀛壽會循前俗。白髮蒼顔盡醉鄕。</text>
<title>次草堂韻</title>,<text>人靜白沙鷗入扉。露泫蒼樹鶴翻衣。晩來扶杖庭前立。時見烟波釣艇歸。</text>
<title>次漢陰相公贈海天韻</title>,<text>長恨履霜昧戒冰。至今驕虜尙侵凌。圖存却敵知何術。還羨山中粥飯僧。</text>
<title>鄭佃鑑湖</title>,<text>湖上紅亭景象淸。水光山色滿前榮。金章紫綬欺人甚。閒却鷗盟入帝城。</text>
<title>少人嶺。贈許明老 啓。</title>,<text>重霧昏霏不見山。山靈倘亦借吾看。須臾風捲芙蓉出。方信南衡解識韓。</text>
<title>題江閣</title>,<text>槐陰凌亂落寒墻。荷葉參差覆小塘。吏散空庭無訟牒。卧看乳燕引雛忙。</text>
<title>次使相韻 附元韻</title>,<text>病肺痟中畏酒風。金尊敢與使華同。歸來獨向平陵路。樓上淸遊一夢空。次凝碧軒韻。上溟州使君。徙倚危欄若馭風。遠遊還與故人同。悤悤告別知何意。瀛海尊前萬事空。李重卿</text>
<title>戱贈李重卿 顯英</title>,<text>燕寢凝香錦帳垂。佳人奉袂展嬌眉。風流不用羊羔酒。只許龍團玉手持。</text>
<title>公餘</title>,<text>斜日庭中半已陰。歸烏畢逋滿寒林。公餘太守無閒事。徙倚南窓費短吟。</text>
<title>廣文遊內延山。以長篇示之。不敢孤盛意。輒以絶句酬之。</title>,<text>古湫蒼壁瀉銀潢。雲影山光可夕陽。知子遠來遊賞遍。新詩摸寫當奚囊。</text>
<title>寄大載</title>,<text>秋盡寒城草木凋。鄕音難寄動離愁。可憐北地隨陽鴈。肯爲傳書得少留。</text>
<title>偶吟</title>,<text>官居寥落類村塢。烟樹微凉草自蕪。人斷古城山日暮。岸巾閒步數歸烏。</text>
<title>臨瀛書懷</title>,<text>霜落山城樹葉稀。客心無賴悵多違。何時得遂思歸志。春晩巴村掩竹扉。其二山城秋盡冷雲飛。水落沙寒鴈亦稀。多病使君無好况。黃堂深處夢柴扉。其三諫掖未聞陳讜議。塞垣無復掃胡鋒。可憐白首江陵宰。淸夜無眠到曉鐘。</text>
<title>卽事</title>,<text>玄威寒峭水生凘。霜結元央夜正遲。最好朝來陽厚處。鹿裘欹枕夢軒羲。其二烟羃踈林烏鵲飛。雪塡山路吏民稀。公庭冷落如田舍。盡日寒城晝掩扉。其三春還嶺海雪仍飛。三月原頭芳草稀。老守病攣長縮首。悵望雲衢憶郊扉。其四三月溟州雪滿山。梅花無眼柳枝寒。春光猶在淸尊裏。只喚吾徒醉爛熳。其五山雲漠漠雨紛紛。芳草城頭細欲分。漢水終南知幾許。丹心長拱聖明君。其六臨瀛自是極天東。節譬王城太不中。三月四圍山雪白。墻頭初見杏花紅。其七參差花柳滿城東。積雪山頭玉撑空。風土較來天下別。靑陽玄景一時中。其八海邦風氣異中州。二月芳菲尙未抽。猶有小桃眞性在。獨占春色倚墻頭。</text>
<title>次淸之韻</title>,<text>籃輿臺上蹔經行。風急波寒野水生。客去微吟仍獨返。滿湖惟聽白鷗聲。</text>
