<title>除夜</title>,<text>國步危如線。竆陰逼歲除。孤臣渾不寐。倚壁聽晨雞。</text>
<title>水淸池塘</title>,<text>池水漾新綠。寒梅送暗香。向來歌舞地。今日獨呼觴。</text>
<title>次鄭參奉尙古韻 名。海南人。壬申謫海南時。</title>,<text>地僻跫音斷。身閒午夢遲。思君不可見。愁絶夕陽時。其二鳥聲和夢斷。花影下簾遲。閉戶攪愁緖。綠楊三月時。其三風細花飛穩。泥乾燕語遲。光陰如箭疾。又屬餞春時。其四老去春無力。慵眠欲起遲。夢中成一笑。重見太平時。其五地盡江南客。天傾杞國憂。堪憐瘴海外。消息又經秋。其六故國家千里。天涯身百憂。夢魂渾欲斷。寥落不宜秋。其七寂坐聊收視。哦詩欲寫憂。別來心正苦。一日當三秋。其八衝風挾雨聲。山岳勢疑傾。不恨三重捲。翻愁虜陣成。</text>
<title>醉後寄尙古</title>,<text>西風驅朔氣。秋露承新釀。醉後各分散。朝來成惘悵。其二君有會心人。寒葅與美釀。卽此歸山阿。對之空惘悵。</text>
<title>壬申春祝</title>,<text>諸孫不復辨。衆婦恭爲職。五福百年間。朝朝聞唱喏。</text>
<title>甲戌春祝</title>,<text>眼暗休看字。筋駑懶下床。新春無別語。客至酒盈觴。</text>
<title>庚辰春祝</title>,<text>鶴駕龍樓曉。皇威漠北伸。老臣無職守。閒臥過庚辰。</text>
<title>庚辰世子東還時。嶺南散官。會于明禮洞。</title>,<text>聞說烏頭白。歸來集國門。遂令明禮洞。仍號嶺南村。</text>
<title>贈惠輪師</title>,<text>山外疑無地。雲間別有天。聞渠栖隱趣。吾亦欲參禪。</text>
<title>雙溪唱酬</title>,<text>山深人不眠。萬籟共寥絶。菴禪莫催燈。天晴山有月。附韻仙歸餘故山。地與人世絶。淸遊亦佳辰。正當秋八月。成浮査 汝信秋風方丈山。遊賞政淸絶。終宵宜且談。中庭又好月。李蘆坡 屹洞僻宿雲歸。林深人跡絶。松風亦有情。噓送晴巒月。河滄洲 憕千古孤雲仙。一去消息絶。我亦象外客。淸溪弄明月。朴凌虛 敏地是孤雲栖。飄然烟火絶。吾輩辦佳遊。好得淸秋月。趙鳳岡 㻩名區多故人。此遊誠奇絶。團團一片心。共指中天月。吳思湖 長興與山共深。山外歸心絶。山中復何有。團團巖上月。河松臺 璿佳節雙溪會。勝遊千古絶。夜久興轉淸。醉倒松窓月。林林谷 眞怤浮嵐影有無。寒鍾聲接絶。終宵淸不眠。共含盃中月。許滄洲 燉溪淸山更深。禪家轉幽絶。相看皆好人。話到三更月。韓釣隱 夢參方丈三韓外。烟霞擅奇絶。淸遊天借否。溪樓來霽月。成疆齋 好正一躡神仙窟。蕭然塵慮絶。淸風八詠樓。共賞雙溪月。文梅村 弘運身如入淸都。幽興何時絶。把盃却相吟。中天又皓月。河謙齋 弘度萬象渾寂寥。淸溪聲不絶。襟懷轉颯爽。坐對西峯月。趙澗松 任道楓桂丹如錦。秋高景益絶。禪臺淸可話。不妨下山月。鄭秋潭 頠萬壑皆白雲。塵烟自隔絶。夜話不用燭。多意前峯月。東山 克亮</text>
<title>送朴學士貶赴咸平</title>,<text>白雪誰相和。孤芳衆所疑。但令心不怍。便是士當爲。湖海多風浪。庭闈遠別離。至尊憂社稷。宣室未應遲。</text>
<title>黃澗駕鶴樓</title>,<text>湖嶺分襟地。名留駕鶴仙。客來成一笑。鶴去已千年。雪點欺征袂。溪聲閙午眠。飛仙何處在。且得凈塵緣。</text>
<title>龍門 載陜川誌</title>,<text>劈破山千仞。中間一水通。東南無禹跡。疏鑿是誰功。白石皆堪坐。霜峯各自雄。平生憾慨意。醉後更臨風。</text>
<title>午後戒駕投山齋旋止</title>,<text>命駕方頹 缺。佳期負碧山。衰遲任潦倒。悵望倦躋攀。洗竹仍成趣。蒔花剩得閒。自然無外累。何用叩雲關。</text>
<title>家北十里許。有所謂栗寺者。四面多楓樹。每歲霜節。招提一境。化爲錦繡。歲歲往賞焉。今秋適臥病負債。仍成一律。</title>,<text>夢入招提境。霜楓滿意酣。病來孤勝賞。魂去莫懷慚。深院泉通井。遙岑氣霽嵐。蘧然一枕罷。雞漏報籌三。</text>
<title>次崔承宣 有淵 在蟾江寄贈韻</title>,<text>湖海機心靜。沙鷗故狎人。一官成白首。兩袖閟經綸。靑鶴巢猶在。碧桃春又新。衰翁須計腳。三入跡空陳。</text>
<title>聞從弟 濬 罷歸作</title>,<text>世道今如此。遙憐令弟還。不聞民失所。那使吏爲姦。湖海征徭急。鄕山水石閒。歸來逃世網。白日掩松關。</text>
<title>山僧以詩軸示余求次。首篇卽五峯手蹟。因次。</title>,<text>峯老歸泉裏。詞壇跡已非。逢迎方外客。惆悵卷中詩。契活長鑱在。行藏短筮違。朝來意未愜。對爾一伸眉。</text>
<title>苦旱詠懷</title>,<text>不雨連三月。黃塵漲夏畦。王言聞惻怛。天意愛黔黎。水旱疑關數。堯湯苦不齊。孤臣憂進退。注目望雲霓。</text>
<title>聞虜兵西搶。示鄭參奉尙古。</title>,<text>靑海聞傳箭。長城殺氣昏。三年仍帶醉。萬馬不聞喧。大國無中策。何人鎖北門。天崩憂杞婦。愁緖共誰論。</text>
<title>雨夜用前韻偶吟</title>,<text>支頤成獨坐。海色又黃昏。漁火穿林逈。溪聲帶雨喧。呼燈看細字。掃榻掩重門。疾病仍吾分。生涯不必論。其二客心不自得。暑雨又長昏。風拖斜飛急。簾虛亂滴喧。瀑流懸井隧。苔色上柴門。此日難忘酒。非君誰與論。其三愁人侵曉起。雨意更霏昏。遠樹嵐烟濕。孤城鼔角喧。有時開蠧簡。盡日掩蓬門。隨處安吾分。陰晴不足論。</text>
<title>頒赦後。用前韻賦懷。</title>,<text>淸曉高天仗。荒城豁祲昏。星馳雙闕慶。䨓解萬人喧。臣罪應投裔。君恩肯到門。全生已感激。懲咎更堪論。其二竟夕仍慵起。空庭暮色昏。自然耽獨坐。不是避人喧。寂寂花開樹。寥寥犬吠門。靜中聊得趣。不愧養生論。</text>
<title>用前韻詠靑蠅</title>,<text>適從何處至。客睡正昏昏。最喜當眉集。那堪傍耳喧。橫行如布陣。亂撲似爭門。三復歐陽賦。吟成縯緖論。其二撲面復盈睫。令人意思昏。夜凉稍屛息。日出轉囂喧。性急思揮劒。神疲獨掩門。忽然成頓悟。齊物有莊論。其三乍去還來集。營營到夕昏。背燈緣屋穩。趁曉隔簾喧。揮箑纔離案。尋香亂入門。昆虫無等輩。止棘有餘論。</text>
<title>鄭尙古適來。値兵使行卽去。</title>,<text>忽聞佳客至。微露洗眵昏。竹榻芝眉展。元戎小隊喧。仍妨成小話。重肯款柴門。蕭寺遲前約。幽懷待討論。</text>
<title>苦雨用前韻</title>,<text>重霖彌一月。今日又氛昏。宿霧藏林暗。鳴蛙隔樹喧。農功或失望。愁緖轉多門。連歲民無食。軍需底處論。</text>
<title>病後追次</title>,<text>竆海逢炎暑。連旬雨氣昏。誰能問生死。仍得謝塵喧。㫌旆衝泥道。盃觴轉席門。頭風帶宿酲。負債不堪論。</text>
<title>久雨得晴</title>,<text>今朝喜小霽。旭日洗氛昏。出峀孤雲捲。辭林衆鳥喧。呼童課剪草。有客到衡門。霖雨鄕書絶。歡悰不可論。</text>
