<title>廣陵口占 乙卯春。送鄭花山澤雷謫南海。而來廣陵別業。</title>,<text>十里秋山裏。深深有酒杯。衣巾藏古篋。恐或襲塵埃。</text>
<title>戱贈申子長</title>,<text>梧桐葉落鴈初過。昨夜西齋秋氣多。惆悵故人爲客久。神仙富貴兩蹉跎。</text>
<title>將發配潭州。次洪海峯 命元 韻。</title>,<text>唱斷哀歌澈碧霄。三更孤月旅魂消。誰憐別意偏蕭索。東出潭州路更遙。[附原韻]憐君高義薄層霄。斗下寃氛欝未消。一棹春風海雲暮。嗚呼孤島望中遙。原韻</text>
<title>行次求禮。見村舍空虗。歎而有詩。</title>,<text>誰家籬落夕陽中。十室蕭條九已空。何事年豐民散盡。縣官威令急雷風。</text>
<title>行次谷城。聞主倅未還。</title>,<text>平明驅馬發潭州。落日荒山行未休。古邑蕭條人不在。滿天風雪向頭流。</text>
<title>將往秋山。走筆寄大匏 朴𥶇 學士。</title>,<text>永日茅齋酣着碁。黃昏辜負美人期。朝來更向秋山去。住馬街頭有所思。</text>
<title>送鄭下叔 斗源 歸京 時戊午。鄭公蒙宥歸京。公遷于海。故次鶴谷楸島韻。贈別。</title>,<text>蘆山驛路接雲霄。昨夜東風磵雪消。同作逐臣君獨返。孤舟南去海門遙。</text>
<title>次息機軒韻 癸亥八月。在潭州。聞賜環命故云。</title>,<text>消融衆欲此心淸。天地恢恢日月明。不是息機機自息。都緣無物誘中情。</text>
<title>本倅聞宥召。乘馹。率妓樂來饋。</title>,<text>殘雪新陽勢不容。江南春事已催農。行人正結還鄕夢。寶瑟休彈風入松。得意非關失意時。暮堂歌舞客歸遅。東風古道延梅雨。不許街頭折柳枝。</text>
<title>發原城。將向渡口値雨。</title>,<text>江楓葉赤鴈南飛。九月關中客未歸。欲向興源尋小艇。西風吹雨暮霏霏。</text>
<title>登朱崖山有感 壬辰秋。避兵于此山。故云。</title>,<text>滿目村墟非昔時。碧峰千疊夕陽遅。傍人莫說壬辰事。此日餘生雙鬢絲。</text>
