<title>暮春漫興</title>,<text>夜雨朝來歇。山村照日初。不知春已盡。芳草滿庭除。</text>
<title>乘月渡錦江。次韻。壬子春。</title>,<text>客渡錦江水。長程又日新。日新。地名。 春泥自沒膝。夜月卽通津。</text>
<title>丙寅。以活人署別坐赴朝。餞席次韻。</title>,<text>濟世吾何敢。微官稱活人。却辭棲隱處。晩作漢廷臣。</text>
<title>見鄕書</title>,<text>水閣橋邊夢。三奇亭畔飛。今朝有鄕信。千里寄朝衣。</text>
<title>祈雨</title>,<text>雨澤非臣力。天恩又賜弓。百年思報答。只是有微躬。</text>
<title>秋夕</title>,<text>八月十五夜。月從今夜明。鄕心自不耐。南鴈復秋聲。</text>
<title>偶吟</title>,<text>靑雲無器業。白髮有因緣。旅枕長安夜。歸心路幾千。</text>
<title>長安夜雨</title>,<text>六月長安雨。三更客思多。故園雲水外。千里正吟哦。</text>
<title>得鄕信</title>,<text>夢繞江南樹。書傳漢北秋。忽聞燀也病。燀。從弟名。 添却客中愁。</text>
<title>還鄕</title>,<text>素乏調羹手。難堪司䆃官。提携妻與子。千里向雲山。</text>
<title>公山道上。戱贈同行少年。</title>,<text>紫闥文圍近。靑坡香夢遙。客遊金已盡。歸路葉蕭蕭。</text>
<title>秋夜。憶京口。</title>,<text>秋夢飛千里。寒蛩盡五更。故鄕還似客。何處慰餘生。</text>
<title>遊楓嶽。至龍溪。贈惠遠師。</title>,<text>楓岳眞廬岳。龍溪卽乕溪。慇懃三笑後。腸斷白猿啼。</text>
<title>次權生汝守 大業 韻</title>,<text>煑芹無可口。炊麥失前肥。萬事惟高枕。山風雨滿扉。其二蛙亂頻驚睡。蛇繁畏下床。不緣詩遣興。可耐日初長。</text>
<title>詠梔花</title>,<text>白蝶飛難見。朝陽照未華。回頭笑桃李。不恨晩開花。</text>
<title>醉吟</title>,<text>近日春寒重。梅花凍不開。草堂還索寞。客至但傾杯。</text>
<title>燕兔吟 時畜兔逃去。新燕尋巢。</title>,<text>燕欲棲簷裡。兔應歸月中。愛憎無彼此。去就理難窮。</text>
<title>感物 戊寅復職。臨發作。</title>,<text>樹有傷根色。鶯傳出谷聲。樹鶯間自處。千里若爲情。</text>
<title>留別家姪</title>,<text>君有一池蓴。年年持送人。慇懃知此意。羞入洛陽塵。</text>
<title>聞邊報送軒兒下鄕</title>,<text>父子不相保。舊聞今見之。淸秋漢水北。可耐日斜時。</text>
<title>己卯寒食</title>,<text>寒食大風夜。雨聲添客愁。故驚孤枕夢。不得到芳洲。其二柳色新經雨。泉聲已解氷。如何好時節。爲客病相仍。</text>
<title>庚辰休暇還鄕</title>,<text>故國三年別。新秋匹馬歸。入門懽意足。童稚競牽衣。</text>
<title>秋懷</title>,<text>黃葉重陽節。靑楓細雨天。此時無一盞。何以慰殘年。</text>
<title>題七事紙尾 辛巳二月二十一日。遷懷仁。政吏書呈七事。因題一絶。</title>,<text>讀律誠宜熟。分憂恐不堪。霜㙜無寸效。薄縣理還甘。</text>
<title>感遇</title>,<text>縣薄來迎少。官淸送餞稀。傷心漢江水。欲渡更依依。</text>
