<title>得失</title>,<text>得失皆前定。悲欣都是空。誰能知此理。塞上有閒翁。</text>
<title>安危</title>,<text>居安卽思危。可以此身保。於人尙如斯。而况爲治道。</text>
<title>悲喜</title>,<text>悲來且莫悲。喜至不須喜。喜歸悲更來。悲喜相終始。</text>
<title>榮辱</title>,<text>有榮必有辱。榮辱定須均。誰能脫榮辱。惟有無名人。</text>
<title>禍福</title>,<text>禍與福相逐。從來理固然。無以禍爲戒。吾知福可全。</text>
<title>貴賤</title>,<text>惡賤而喜貴。人情所共然。使吾擇二者。居賤是安全。</text>
<title>幽居</title>,<text>占得寬閒地。誅茅結數椽。翁收園後葉。妻汲戶前泉。</text>
<title>次雲壑趙丈 平 韻</title>,<text>梅柳殘春別。令人強酒盃。明朝却相望。山疊水重回。</text>
<title>送太守崔兄 蘊 歸龍城</title>,<text>垂老別堪悲。况玆垂老別。分知兩地心。只有中天月。</text>
<title>次崔直卿 勁 卜居韵</title>,<text>白石淸沙浦。漁村問幾家。遙知𩿨鷺侶。夜夜宿蘆花。</text>
<title>挽白水使 善男</title>,<text>主辱臣當死。公能此義知。龍仁與雙嶺。魂氣正相隨。</text>
<title>春意</title>,<text>扶杖徐行倚小池。花明柳綠摠天姿。箇中自有無窮意。說與傍人人不知。</text>
<title>夏景</title>,<text>紅稀綠暗淸和節。客散樽空薄暮時。獨自沉吟不歸去。更携餘興欲成詩。</text>
<title>秋興</title>,<text>沙川水落小魚肥。童僕西疇負䵚歸。病裏始能成一餉。近來秋興在柴扉。</text>
<title>冬事</title>,<text>頑雲漠漠掩斜暉。飢鳥投林凍不飛。忽聞人語喧前路。認得官家納米歸。</text>
<title>作詩</title>,<text>我不能詩強作詩。作詩非是要詩奇。自然情性憑詩瀉。詩到成時樂在斯。</text>
<title>詠詩</title>,<text>獨立蒼茫自詠詩。詠詩聊爾暢幽思。近來看着人間事。摠是傷心欲哭時。</text>
<title>貧居歎</title>,<text>家家禾黍已登塲。我屋凄凉只着霜。淸曉忽聞寒杵動。老妻應苦備朝粮。病與窮愁作戰塲。布衾無絮㥘晨霜。身寒未了兼憂口。歲晩何人許借粮。坐看飢鳥下空塲。物色蕭條帶晩霜。正値官租催納日。家人又報夕無粮。五十年光夢一塲。鬢毛贏得鏡中霜。平生不識田家樂。愧殺山僧送乞粮。</text>
<title>貧居樂</title>,<text>不愁終日困寒飢。且喜柴門免盜窺。本是淸貧無一物。元非五女在房闈。三間茅屋是新搆。數畒荒田自昔耕。名姓何曾登訟牒。也無一物與人爭。</text>
<title>過沙溪先生舊居</title>,<text>當時凾丈被恩私。今日凄凉過古基。惟有淸沙與白石。依俙憶得杖藜時。秋來無睡夜如年。靜念平生積罪愆。孤負先生珍重語。異時何面拜黃泉。</text>
