<title>白雲洞次李汝純 希音 韻 癸丑○寓榮川葛山時</title>,<text>境幽人不到。還與鹿爲羣。盡日時牕掩。方知臥白雲。</text>
<title>金烏書院。敬次旅軒先生韻。</title>,<text>長夜日星煥。狂瀾砥柱高。遺編跪讀地。猶足會遙遙。原韻竹有當年碧。山依昔日高。淸風猶豎髮。不覺古人遙。</text>
<title>謹次冶隱先生集中韻</title>,<text>栗里田園老此生。儻來軒冕不爲榮。一身扶植三綱重。東土千年永有聲。</text>
<title>謹次趙龍門 昱 贈別先王考韻。奉餞趙上舍殷輅 軾 世兄。</title>,<text>朔雪暗前途。迢迢驚遠別。心期在歲寒。離恨那須說。</text>
<title>敬次仲氏 晩悟公 韻</title>,<text>書劒功名兩不成。恨無奇策答昇平。靑海久聞傳虜箭。天山誰復血胡兵。光陰鼎鼎隙中駟。心緖搖搖風裏旌。雪滿竆廬無酒勸。不知何計破愁城。</text>
<title>以歲晩何以黔吾突。分韻詠懷。奉呈伯 虎溪公，仲氏求和。庚申</title>,<text>白屋一寒士。中宵獨流涕。獰風吹虐雪。九野玄陰閉。無衣又無食。卒歲將何計。方知米似玉。更覺薪如桂。長年任寒飢。三十有二歲。吾將上怨天。九萬何悠遠。吾將下尤人。此心誰度忖。悶默不敢言。於心卒自反。流光疾如梭。逝水無由返。只恐此心衰。不恨功名晩。太平竟何時。四海多干戈。王師二十萬。魂骨委風沙。元戎亦解甲。烈哉金應河。蒼生未蘇息。賦役仍煩苛。天運固如此。吾將柰爾何。國事日已非。謨訏者誰子。妖星芒角長。天變固有意。年饑又兵革。盜賊四方起。朝廷尙虛文。可笑賑恤使。黎民盡顚壑。爾來將何以。冬夜苦未央。霜月入茅簷。起來獨惆悵。有淚衣襟霑。謀生太疎闊。不能繼米鹽。吏胥曉經過。督責官令嚴。租稅從何出。歎息彼黎黔。人皆謂我愚。我亦知我愚。人皆謂我迂。我亦知我迂。愚迂自天性。四海一棄儒。無聞近四十。陋竆命矣夫。平生多感慨。白髮先知吾。出門何所適。北風吹不歇。遂令南山巓。松柏半摧折。已驚屋茅卷。又見高岡裂。鶉衣露兩肘。豈免凍死骨。輾轉不能寐。終宵臥寒突。</text>
<title>奉次金荷潭 時讓 見寄韻 二首</title>,<text>邊關近日虜塵驚。禦侮何人似衛靑。西浦胷中藏萬甲。要須一起作干城。西風昨夜動寒聲。一樹庭梧半殺靑。惆悵故人今不見。可堪秋雨暗空城。</text>
<title>到陶巖舊庄。感懷有作。呈伯仲氏。辛酉</title>,<text>孤露年來尙此身。鬢邊贏得雪華新。庭闈依舊音容隔。獨立斜陽淚滿巾。</text>
<title>偕任李諸友遊冰溪</title>,<text>千山錦步障。一水玉鏘鳴。邂逅逢佳處。悠然却忘行。</text>
<title>綠野亭。次金東籬 允安 韻。壬戌</title>,<text>斷岸登臨處。長江一望賖。汀楓初下葉。野菊尙餘花。把酒秋光晩。憑欄夕照斜。斯遊眞盛事。聊且寄吟哦。</text>
<title>次金藏菴 昌祖 韻</title>,<text>霞佩鏘然刮病眸。忽驚黃色兩眉浮。溫醇氣度崑岡玉。灑落胷襟湖海樓。半夜論懷成夙願。三盃遣興滌閒愁。煩君且莫憂時事。時事聞來欲白頭。</text>
<title>次金以直 光岳 韻</title>,<text>霏霏新雨滿空來。暗暗淸香一樹梅。送君此日魂銷盡。寂寞柴扉晝不開。</text>
<title>奉呈金忘窩 榮祖 丹城覲行</title>,<text>此別何須苦斷腸。應知歡意溢萱堂。頭流萬疊行看盡。贏得瓊琚滿錦囊。</text>
<title>贈別金孝徵 應祖 赴洛</title>,<text>握手離亭欲暮天。三盃酒盡一悽然。君門要獻三千字。尺劒行裝指日邊。</text>
<title>輓宗丈梧峯公 之悌○甲子</title>,<text>光嶽千年淑氣鍾。斗南人傑是吾公。靑春冠冕聲名重。白首丘園譽望隆。聽履未登金殿裏。驂鸞遽上玉京中。大德誰敎位不滿。悠悠無路問蒼穹。門庭拜謁自髫童。承誨平生擊我蒙。孝友有光先祖烈。淸修無讓古人風。蘭摧蕙槁嗟何及。虎逝龍亡運已竆。先友卽今零落盡。解敎悲淚滿雙瞳。</text>
<title>輓洪西潭 瑋</title>,<text>小少提杖屨。于今卅餘春。葭莩情義密。鞭策訓誨頻。宿德今無在。斯文便長湮。誰敎位不滿。無路問蒼旻。</text>
