<title>暮春有感</title>,<text>峽裏春將盡。風光惱客懷。不堪歸興促。推案步前階。</text>
<title>庚辰。余自自如丞。轉拜尙方郞。李景含 再煜。贈以一律。次韻卻寄。</title>,<text>花山春色問何如。鴈盡江南不見書。日日歸心千里外。星星衰鬢十年餘。情朋戀處傷春樹。稚子懷時倚暮閭。夢罷旅䆫樑月白。丈夫雙淚自霑裾。</text>
<title>甲申夏。聞杜鵑聲。有感。吟示沈君沃 。○君沃時爲懷德倅。</title>,<text>愁繁無夢正冠衣。挑盡殘燈待曙暉。惟有子規能解意。終宵喚我不如歸。</text>
<title>乙酉秋自仁山。受由還鄕。村童皆走避。戱吟。</title>,<text>役役風塵裏。三年始返家。兒童驚走避。應怪鬢絲華。</text>
<title>夜坐書懷 四首</title>,<text>皁蓋銅章朢亦過。終宵何事苦吟哦。重泉漠漠恩情斷。隻影凉凉感慨多。有盡人生能幾許。無端衰淚自滂沱。最憐兩稚候門久。深鎖雕籠柰爾何。永夜寒齋獨擁衾。無端愁與病相侵。欲叩莊盆歌一曲。其如凄斷不成音。紛紛時事日艱危。生不須榮死不悲。半世恩情如未斷。他年龍劒定相隨。偕老平生願。鱞居此日情。中宵無夢寐。欹枕到天明。</text>
<title>燈下看書偶吟</title>,<text>雞呼䆫外三更月。人對燈前一部書。逐句尋行妨老眼。少年勤苦揔成虛。</text>
<title>中夜獨坐。鄕思益苦。吟此以遣懷。</title>,<text>悄然無語坐深更。半壁殘燈滅復明。萬事由來有何興。不如歸對故山靑。</text>
<title>偶吟</title>,<text>風波世路行身窄。雲雨人情托契難。浩浩悲歌燕市立。半天斜日下西山。</text>
<title>夢見兩兒</title>,<text>夢裏分明見兩兒。牽衣前後問歸遲。覺來依舊鈴齋下。月滿空庭雪滿籬。</text>
<title>思鄕</title>,<text>家山東朢路迢迢。欲寄音書鴈影遙。寂寞空齋愁獨立。洞門深鎖雨蕭蕭。</text>
<title>壬午春。以金吾郞。受由下鄕。將還朝。君定贈行以一律。有曰。跛鱉龜村曲。摶鵬漢水濱。相思知幾日。會面未多辰。已遂金吾志。還爲玉汝身。秋風南海路。何處五袴民。丙戌自仁山。投紱歸路中。忽憶其詩。有感次韻。時二月二十六日。</title>,<text>花晩離山下。莎靑錦水濱。仁山有江。乃錦水上流。 歸途迤嶺外。時序屬芳辰。自笑踈迂性。誰憐老病身。不妨松菊裏。長作一閒民。時呈病至三。而方伯不肯聽。朋友亦多以凶年投紱爲迂。故第三聯云云。</text>
<title>次李太古韻</title>,<text>衰慵無意賞春光。酒後頹然卧夕陽。傍人莫笑山翁醉。萬事如今髮已黃。</text>
<title>臨歸。留贈李皥如。時皥如往溫陽未還。留一書以叙別意。仍贈此。</title>,<text>仁山四載爲監務。此日行裝斗米三。要使此心無所怍。丈夫何必寶貪婪。歸糧只三斗。故云云。</text>
<title>挽金生員子擧 是杠</title>,<text>西嶽張燈話。追思尙宛然。日纔凋數莢。人已隔重泉。勝景誰同賞。深杯不復傳。傷心最何處。殘月屋樑邊。</text>
<title>挽權汝謙</title>,<text>去歲南行日。停驂問弊廬。慇懃一夜話。倏忽兩年餘。弱草輕塵散。浮生短夢虛。題詩欲相紼。哽咽不堪書。</text>
<title>次韻。贈李皥如。</title>,<text>多君憐我獨無聊。時寄瓊琚慰寂寥。直道可堪登館閣。高材豈合老漁樵。旌弓佇待招賢士。劒履行看賁聖朝。只恐西山風雪裏。蒼髯難保後寒凋。</text>
<title>次韻。贈李太古。</title>,<text>風塵十載苦奔忙。所得何能補所亡。茅屋數椽都已破。石田三畒半成荒。稚兒書報啼飢病。嬌女人傳哭母傷。大丈夫心雖似鐵。那堪到此割中腸。</text>
<title>乙酉春。余在仁山。李皥如以詠棃花一絶見寄。今年春。䆫外棃花盛發。忽憶皥如詩。追步其韻。以寓相思之意。</title>,<text>每見庭棃發。翻思李皥如。遙知今日白。應似昔年虛。別恨詩難寫。離憂酒豈除。依然樑上月。千里夢尋餘。皥如詩。有排黃烟郭暮生。白夜䆫虛之句。故第二聯云云。</text>
<title>挽李景顯 莘逸</title>,<text>東國簪纓冑。南州禮法門。十倫誠愨盡。三族睦婣敦。健筆非觀劒。雄詞豈弄斤。才高宜世用。道否柰時屯。夢斷雲鵬路。盟尋海鳥羣。秋聲生竹塢。春色動梅園。幽興詩千首。閒情酒一樽。優游窮歲月。談笑送朝昏。榮辱心何累。簞瓢樂亦存。善家寧坎坷。賢嗣果騰騫。丹桂花纔綻。靈春颶已掀。彼蒼焉可必。此理不須論。顧我謀身拙。多君稟性溫。猥將瓜葛好。幾襲蕙蘭薰。生死交堪托。幽明路忽分。驚呼腸欲裂。痛哭涕雙翻。視德年雖嗇。論仁後必蕃。諸孫基福祿。一室疊璵璠。卽日佳城閉。何年永夜暾。觀魚臺上醉。追憶倍消魂。</text>
<title>丙戌秋。下第而歸。至鳥嶺馬上口號。</title>,<text>落魄歸來千里外。巉巖鳥道接天脩。獨鞭羸馬催過峽。萬壑風烟欲暮秋。</text>
<title>挽李皥如</title>,<text>白首人間故舊稀。那堪此日送君歸。名隨遺愛留桐邑。魂逐飛旌返竹闈。黃野有田寧種穫。靑山無主是憑依。一聯閒詠還成讖。欲說其如淚滿衣。公之自永來也。路中得一聯曰。黃野有田耕可食。靑山無主死堪埋。不十日而竟爲詩讖。故第三聯反其語以傷之。</text>
<title>挽權別坐 宏</title>,<text>白兎玄蛇間一年。兩難何恙遽陞仙。當時聯壁稱中外。此日修文繼後先。薄俗吹毛那忍說。荒山埋玉最堪憐。爲公長抱云亡痛。不獨從前眷遇偏。巢翁退老徒。有弟揔聯珠。不及庭中雪。常憐屋上烏。金風凋玉樹。白日閉黃壚。效德將何所。臨詞轉向隅。</text>
<title>次柳德栽 仁培 韻</title>,<text>松川一曲數間廬。高卧閒人賦遂初。髮短何嫌身已老。心長猶惜歲將除。新詩不屑雕蟲㨾。拙句還慚畫虎如。瓜報瓊琚堪可笑。臨書還輟輟還書。</text>
<title>挽金直孺 黯</title>,<text>傾蓋初年已許心。儒宮隨處幾連衾。黌齋風雨同辛苦。廬阜烟花共嘯吟。豈料王公仍閉篋。終敎牙氏遽投琴。浮生離合非無數。靑眼重期九地深。千里西程冐雪行。綈袍深感故人情。蘧然一夢成陳迹。回首臨川涕自橫。</text>
<title>戊子春。南行至慶山縣。曉枕。偶吟以寓懷。</title>,<text>雞聲驚蝶夢。曉月當䆫白。美人不可見。悵朢空相憶。</text>
<title>題鶴駕山人煕信軸</title>,<text>手一靑藜頭一巾。名山隨處鶴同羣。爲余出示囊中軸。猶帶當時筆下雲。</text>
<title>挽張進士泰來 慶遇</title>,<text>率履齋中上舍生。西山門下一時英。君民致力初年計。詩酒藏名晩歲情。福履傳家膺善報。兒孫盈室擅文聲。悠然乘化公何憾。世路艱危死亦榮。</text>
<title>次柳德栽韻 幷序</title>,<text>辱惠律絶數首。謹以拙語次呈。而語意與來敎相反。偏見之難回。有如是邪。嘗聞朱夫子之言曰。公之不能使我爲公。猶我之不能使公爲我。論議之矛盾。在聖賢猶然。况吾儕乎。舍己從人。君子所貴。至理所在。誰敢堅執。願老兄。勿以賤劣爲固滯。而更賜鐫誨則幸甚。迂儒身計不如農。四壁蕭然甔石空。蓬鬢新添今日白。塵冠猶帶昔年紅。紛紛唇舌何嫌外。赧赧情懷實自中。滿紙瓊琚皆藥石。多君高義爲人忠。遠見不如近見親。今人那及古時人。閑爭口舌終無益。須向靈臺撿此身。</text>
