<title>龍頭夕望</title>,<text>磯影危沙際。波痕露石洲。夕陽無限景。漁笛一聲幽。</text>
<title>參禮驛舍。臨別聯句。聘岳生員楊時益。趙平號雲壑。察訪。</title>,<text>班荊人四五。聘岳。 立馬路西東。主人。 落日歸程遠。趙平。 沙頭起夕風。主人。</text>
<title>宿秣馬洞</title>,<text>峽口行人絶。山頭夜火明。遙尋孤店處。投宿到三更。</text>
<title>次睦府伯韻 名長欽。號孤石。文參判。</title>,<text>已聞虎渡河。政化到雞犬。東閣又春風。桃花開滿縣。</text>
<title>次梁上庠 振翮 韻</title>,<text>飽飯人皆是。扶顚孰更存。乾坤入搔首。獨立向黃昏。</text>
<title>簡隣友</title>,<text>花開昨夜雨。人病一年春。白竹扉長掩。日看庭草新。</text>
<title>醉中走草。奉別蔡府伯。名裕後。號湖洲。文湖堂吏參。</title>,<text>一樽酒將空。別意天欲暮。去去水東流。悠悠山北路。</text>
<title>道中</title>,<text>草織回春岸。雲籠欲雨山。扁舟催渡水。風急暮江寬。</text>
<title>九日。次金萬頃 灦 韻。</title>,<text>漠漠秋天逈。蕭蕭寒雨來。何將一盃酒。相對菊花開。</text>
<title>別姓族 瑛</title>,<text>吾家昔全盛。衰替至於斯。作別仍多感。春風涕淚垂。</text>
<title>記夢詩 歲在己丑六月初十日夜。夢見宋司馬涑水先生。先生題請數首。夢中了然。覺後茫然不知。余亦題三首。而秪記一首。乃是哭仁祖大王詩也。仍窃念去宋今已七百餘年。地之去又數萬餘里。而端凝嚴毅之狀。宛然如昨日。此豈無所感而然耶。抑皇天祐我東方。將孕出如涑水先生者。而先有徵於夢寐耶。未可知也。噫。未可知也已。</title>,<text>赫然我聖上。登御卄七霜。白首小臣在。天涯淚滿裳。</text>
<title>次夢詩</title>,<text>猗歟新聖王。恩雨倂威霜。倘得溫公佐。從看補舜裳。</text>
<title>下風谷寺聯句</title>,<text>望極疑山盡。主人。 林踈見野村。浩然。 日暮同歸興。主人。 平原亂鳥喧。浩然。</text>
<title>渡麥峽橋</title>,<text>峽束江流急。崖高石路長。可憐橋下水。幾日到昭陽。</text>
<title>甲山留別謫客</title>,<text>遠客且有別。天涯無限愁。夕陽山萬疊。回首北城樓。</text>
<title>沙里德嶺 端川地</title>,<text>蜀道曾聞險。爭如此路艱。不由三甲地。誰識北關難。</text>
<title>咸興夢亡兒</title>,<text>絶塞是何地。孤魂來入夢。相逢宛平昔。覺後方知 或作成 慟。</text>
<title>贈申汝章 翊全</title>,<text>歲晩托知音。峨洋三尺琴。風流江海志。詩酒百年心。</text>
<title>全州曉路</title>,<text>沙岸起人語。行人催曉程。遠山看漸近。迷路喜分明。</text>
<title>走草寄別許橄 官縣監</title>,<text>南方三丈雪。豈是北行時。白首天涯裏。長懷獨自悲。</text>
<title>南北諸公。期會于山寺。有故未赴。追次崔金堤韻。</title>,<text>雨歇客方散。山深僧獨歸。春期知不遠。出洞更依依。</text>
<title>次柳生 復一 韻</title>,<text>要他學有力。須愼道爲尊。心性相傳法。聞諸孔孟云。</text>
<title>夢中。得荊布韻。猶記鸞字。</title>,<text>露濕瑤空桂影寒。夢驚中夜叫靑鸞。虛窓悄悄無人語。獨抱孤琴爲一彈。</text>
<title>夜發孝家村。歷投草浦。有感。</title>,<text>子夜揮鞭向草浦。倦眠童僕厭催行。非緣久客貪歸路。不忍平明過魯城。</text>
<title>無盡藏有懷</title>,<text>沙洲水落露磯頭。渡口寒叢繫小舟。湖閣寂然人獨立。白𩿨飛帶暮江秋。</text>
<title>次睦府伯韻</title>,<text>朝野多年想太平。至今孤負白鷗盟。東江舊屬東山望。肯向湖亭送此生。</text>
<title>次梁霽湖 慶遇 韻。呈睦府伯。</title>,<text>南國春先惱客情。廣寒花月幾回明。政閑琴閣眠初熟。野寺踈鐘夢裏聲。</text>
<title>途中聞子䂓</title>,<text>桃花未落別鄕園。柳絮初飛出國門。節物可堪遊子恨。杜鵑今又客中聞。</text>
<title>次崔子有 攸之 韻留別</title>,<text>離合行藏固有數。男兒一別不須愁。安知吏部懷書日。政是草堂獻賦秋。</text>
<title>放烏</title>,<text>落日竆山放爾歸。也從生處好因依。分明黑白元相別。莫向江天雪裏飛。</text>
<title>龍頭口占</title>,<text>霏微溪雨夜來晴。水面浮鷗箇箇輕。扶杖強尋沙渚路。一年春意滿江城。</text>
<title>次隣友韻</title>,<text>靑春偏惜野人多。不必風光爲綺羅。花塢睡餘幽興足。晩來垂釣下滄波。</text>
<title>卽景口占</title>,<text>葡萄架下掩孤扉。步拾靑梅露滴衣。春盡小園山日暮。數聲黃鳥一人歸。</text>
<title>九秋偶吟</title>,<text>九秋佳節近重陽。籬下黃花帶雨香。怊悵馬卿多病後。竹扉寥寂掩寒塘。</text>
<title>贈館奴禮國</title>,<text>亂後相逢千里人。天涯物色倍傷神。紛紛胡虜何時定。無處山林着一身。</text>
<title>自金陵齋所。往謁高陽先塋。而大憲祖考墓無表碣。遍山尋之。終不得。感歎有句。</title>,<text>斜陽揮淚出山村。殘雪寒雲捴斷魂。安得千金營短碣。至今遺恨在兒孫。</text>
<title>次崔星灣 葕 韻</title>,<text>氣宇溫溫德益尊。光輝此日播人言。從敎座上春風滿。紅粉叢中兩壯元。戊寅庭試甲科慶筵。地主閔光勳，參判崔葕並臨。地主閔亦甲科故云。</text>
<title>次兒輩晴沙紅蓼韻</title>,<text>小溪凉雨暗催秋。紅蓼參差十里洲。日暮蒼烟迷遠眺。分明數點起沙鷗。</text>
<title>次兒輩刈禾韻</title>,<text>田父年年自課耕。秋來無計樂西成。邊需萬里方催運。頭白腰鎌趁晩晴。</text>
<title>次尹秀才 時敏 韻</title>,<text>秋風病客劫寒霜。閑對孤燈覺夜長。門掩竹聲山月白。臥聽紅葉落盈床。</text>
<title>歷吊尹伯奮 元擧。其大人以弼善入江都自决。</title>,<text>歷盡川原到僻村。滿山松檜掩柴門。弔哀兼有傷時淚。哭向寒雲日欲昏。</text>
<title>過錦江望北渚</title>,<text>丞相高亭壓水頭。可憐松竹自春秋。元來富貴終招損。何不當年早退休。</text>
<title>弓院溪邊。有具氏草堂頹廢。</title>,<text>依巖粉壁小溪頭。絲管能令過客留。簾幕寂然春又去。可憐無復舊風流。</text>
<title>重被白簡。南歸途中作。</title>,<text>萬事人間好覆翻。東西南北更何論。曉天雪月明如晝。匹馬悠悠指故園。</text>
<title>聞尹汝堅往棲龜尾寺。寄贈。</title>,<text>江上孤菴亂樹間。舊遊回首但蒼山。沙頭雪漲無舟楫。落日泥途匹馬還。</text>
<title>次韻</title>,<text>雨餘池草碧纖纖。一樹梨花映小簷。春到此翁還少暇。却將詩酒日相兼。</text>
