<title>暮春</title>,<text>春盡花園裏。流年一半空。山禽亦解惜。啼過小溪風。</text>
<title>唐橋路上。奉寄安君泰和 道徵。</title>,<text>之子今安否。分離浹二朞。臨風無別語。一字報相思。</text>
<title>遞官還鄕</title>,<text>千里思家客。今朝始拂衣。浮名何足戀。遙望白雲歸。</text>
<title>留別鄭禮卿 自固</title>,<text>珍重鄭禮卿。臨行不忍別。春來儻相尋。須及山花發。</text>
<title>送李秀才 任 歸甲山 任。甲山人。庚午春。負笈而來。辛未夏告歸。</title>,<text>好去嗟吾友。天涯歸路脩。斜陽下關樹。別恨正悠悠。</text>
<title>福川謫路 甲戌</title>,<text>謫路三千遠。殘年八十垂。靑門人不見。風動綠楊枝。</text>
<title>題弇州集 二首○幷序</title>,<text>纍翁在洛時。倩寫弇文若而篇。置箱簏中。及南遷。始取而閱之。其書宏放瑰奇。自成一家。且其崎𡼲牢落之跡。差類吾平生。令人有曠世之感也。昔蘇長公嘗於謫裏。日對陶柳遺集。消遣羇懷。而目之曰南遷二友。然則是書也。亦豈非纍翁一友也耶。但念長公文章。優入陶柳之室。若纍翁則於作者藩域。未能窺其一斑。而乃敢竊附於古人。不亦僭且濫哉。書畢一笑。二絶羇懷難自寫。日日對弇文。好是南遷友。蘇云我亦云。何以消長夏。陳編信手繙。沈吟不絶口。勝與俗人言。</text>
<title>滌愁樓留別主丞</title>,<text>燭盡郵亭夜向分。霜空如水月紛紛。舊愁未滌新愁接。一曲驪歌又別君。</text>
<title>落淵釣魚</title>,<text>一竿斜日下漁磯。澤國風輕柳絮飛。寄語沙鷗須莫擧。老夫心上久忘機。</text>
<title>贈李廈卿 惟樟○壬寅</title>,<text>昨日人來未得書。龍門模範近何如。別懷多少言難了。一字慇懃問起居。</text>
<title>暮過興元倉。舟中口占。</title>,<text>興元倉下縱歸舟。極目平湖瀉綠油。今夜不知何處宿。長風引棹下驪州。</text>
<title>次李勉餘 䫝 送別韻</title>,<text>一出都門西復西。西關此去里千餘。懸知別後音塵闊。莫惜秋風一鴈書。</text>
<title>過松都</title>,<text>王氣千年挽不迴。古宮頹盡但荒臺。憑誰認得興亡事。松嶺蕭蕭落日催。</text>
<title>題鳳山寺待鳳樓</title>,<text>巨橋之北碧山隈。誰創高軒待鳳來。鳳鳥不來軒已古。只看斜日燕低迴。</text>
<title>到黃州宣化堂</title>,<text>獨立孤城落照前。關西千里一吟鞭。吟成不覺增怊悵。回首神京縹緲邊。</text>
<title>題成川降仙樓</title>,<text>霽後江山拂眼明。移舟催向鏡中行。希仁不是無詩思。莫笑層崖只記名。</text>
<title>登浮碧樓。東望故園。</title>,<text>醉倚危欄日欲西。倦遊心事正悽悽。夜來縱有還家夢。水遠山長半路迷。</text>
<title>再次李勉餘送別韻</title>,<text>阿誰送我小門西。交道平生李勉餘。句語丁寧君記否。別來三月未看書。</text>
<title>又寄一絶</title>,<text>莫把行留便惘然。風花從古各隨緣。丈夫肝膽知無隔。萬里山河卽一筵。</text>
<title>客館逢小雨思鄕</title>,<text>雨後那堪更聽蟬。故山回首路三千。不知斜日前江畔。倚櫂何人管釣船。</text>
<title>又題降仙樓</title>,<text>仙樓斜日卸吟鞍。樓外靑山點點鬟。誰遣行雲將暮雨。暫時飛灑碧欄干。</text>
