<title>與權皆玉 瑎 講心經。曉起書贈。</title>,<text>歲暮終南下。端居晝揜門。欲將冲靜趣。相對共忘言。</text>
<title>書懷贈權皆玉</title>,<text>儒林玉樹姿。英爽超等夷。少奉鯉庭訓。蚤折蟾宮枝。我在嶺之南。北學來京師。求友昧其人。幾歲泣路歧。試采泮水芹。初識紫芝眉。繼聯槐院席。投契通襟期。假舘近門牆。遺音聽朱絲。閉戶閱書史。鑽硏不知疲。吾衰百無用。蟄藏固其宜。子少富經濟。云何效我癡。男兒天地間。抱負本不貲。小技何足道。事業要及時。熊魚辨取舍。舜蹠分毫釐。求之則在此。聖訓不我欺。顧惟名利府。擧世之所馳。苟不聞大道。倀倀空何爲。精金絶瑕纇。白玉謝磷緇。更勉高堅志。毋爲俗子嗤。</text>
<title>次朴公耳 仁基 雨中韻</title>,<text>空齋寥落雨聲幽。默念平生意轉悠。卅載光陰渾似夢。九回腸曲更緣愁。多君對榻三餘樂。愧我離羣一例遊。直待天晴潦水落。各將心緖穩相抽。</text>
<title>觀辥文淸公讀書錄有感</title>,<text>起滅之私亂我心。幾年科臼困淪沈。河津幸指橫渠訣。濯舊來新誓自今。</text>
<title>瓢隱先生將向黃池。余欲陪行而未果。謹述所懷。伏呈行史。</title>,<text>洛水源頭日月閒。別區形勝隔塵寰。山根太白仙都近。地接眞珠鳥道艱。鶴洞雲深春尙蚤。蓮峯雨濕雪應殘。此行直爲尋眞境。非是吟詩玩景還。</text>
<title>次愚川鄭丈 侙 長浩吟</title>,<text>爲問長浩橋。幾箇英豪渡。往者如過鳥。白石但皓皓。少年壯節已題柱。筆下千羣期獨掃。丈夫何能一戰霸。明年更尋長安道。</text>
<title>諸友皆會一處開樽。伻邀關雨未赴。仍感吟以呈求和。</title>,<text>光陰逐節改年華。千里逢春倍憶家。歸夢似雲迷八極。閒愁如雨亂千麻。詩書舊業難尋理。樽酒淸遊任鬼魔。堪笑此生今幾歲。滿簪華髮已鬖髿。</text>
<title>輓百拙庵柳公 㮨</title>,<text>美質溫溫琢玉成。蚤年南國擅芳名。閒中半世詩書樂。林下平生道義榮。去歲菁莪三月別。今宵雞絮百年情。草堂惟有盆梅樹。依舊精神雪月淸。</text>
<title>甲辰五月初二日。拜賜繡枕一部。前冬大王大妃殿未寧時。以假注書出入藥房。故有是恩。</title>,<text>降自東朝及遠方。氤氳猶帶御爐香。少臣拜賜將何報。魂夢時時繞建章。</text>
<title>久旱得雨。次杜草堂喜雨韻。</title>,<text>南國頻年旱。黎民盡膏血。今春又不雨。閭巷久騷屑。草木盡焦枯。田疇龜背裂。豐熟猶可期。去冬已積雪。陰雲昨夜合。霈澤豈終滅。河嶽感矦誠。天地解凝結。麥秋雖未及。西成望未絶。懸知九重內。一心恒對越。</text>
<title>五悔歌</title>,<text>甲辰五月十二日。與諸友期會蕭寺。乘醉縱謔。歸來省愆。若無所容。仍念平素悔尤山積。而年光荏苒。倐忽半生。撫事興喟。尤不自定。遂撮其大者得五條。信筆書之。以爲私自激勵之地云。其一我所悔兮在何許。少時愚騃無與比。十歲猶不辨魯魚。十五亦未知拜跪。蒙旣失學長益浮。顚倒身心甘自棄。父敎師訓摠不承。一向措躳誕妄地。荏苒歲月不我與。三十春秋若流水。如今雖欲改前轍。舊習已痼腔子裏。掣肘矛盾不相入。朝悔其行暮復爾。雖然一端尙未梏。牛山之木嘗美矣。君看紫陽或問辨。聖學初從敬字始。此道專在日用熟。轉腳回頭期自此。其二我所悔兮在何許。生我恩深天罔極。撫我育我敎誨我。日夜慇懃情愛篤。兒生不肖性又嬾。膝下幾貽嚴顔戚。家貧未負子路米。病臥又闕庾公藥。荒迷復昧聖經訓。葬祭焉能以禮則。平生罪惡到此極。天地茫茫難自贖。餘生孤露尙不滅。幸承遺蔭忝科目。翻思昔日望立揚。百端悲感徒增激。况今家業日陵替。孑遺人間懼不克。一失其身是辱親。嗟爾小子曷不勖。其三我所悔兮在何許。口是樞機當愼旃。興戎常多出好少。古來聖訓何昭然。我生賦性放且誕。太陽餘證苦難痊。狂躁半世迷不悟。墮此科臼今幾年。忿懥常帶文字發。勝氣多從論議偏。紛囂幾遭外舌煩。閙熱自覺吾心煎。潛思厥理點檢過。病根分明在目前。心爲形役氣動志。毫釐之差謬以千。沈靜自然見道原。搖攘何必勞心田。千言不如一默當。請君看取金人鐫。其四我所悔兮在何許。酒是狂藥非佳味。迷心喪性摠由此。敗家亡身儘可畏。我昔少年氣頗麤。耽飮不覺翻腸胃。年來汩沒轉深痼。到底如泥尙不止。僊僊豈徒亂我籩。聒聒屢被傍人誹。虧儀喪德也不恤。快意喧呼空自恣。酩酊自矜任淸狂。名敎焉知有樂地。先人晩歲有遺歌。至訓丁寧猶在耳。胡然今日莫之省。忍使麴糱戕眞氣。德將無醉永誓心。余所否者非人子。其五我所悔兮在何許。少小許身一何愚。棲山竊比巢與由。學道將窺程與朱。人間不趨名利場。物外長占煙霞區。閒中活計書千卷。靜裏生涯酒一壺。年來事業邯鄲步。環顧初心堪一吁。京華旅食十載餘。千尺紅塵驚滿鬚。歸來今日多忸怩。一味江湖心鬱紆。浮名半世知己已。嬾計平生卻區區。藥山之東落淵西。依舊仙庵不負吾。從今擬尋遂初賦。爲報山靈知也無。</text>
