<title>次成之正 時夏</title>,<text>投之以木果。豈朢瓊琚報。感子意殷勤。吟詩敦世好。</text>
<title>挽金都事 萬柱</title>,<text>昔時同學友。三秀撫庭蘭。摧折悲風急。長吁宇宙間。</text>
<title>挽金 晟</title>,<text>八十人間事。偏傷故舊稀。西山風雪裏。又報送君歸。</text>
<title>次孤山李君則 東標 韻</title>,<text>憶向孤山山下過。松壇棲鶴砌交花。知君分深西湖老。戱假風流占一家。竊喜高居淸致。强所不能而欲托名其間。無爲玉色霜毛之玷邪。</text>
<title>呈柳聖沃 世霖 梅案</title>,<text>吳柳二老。近以梅詠酬唱。以花開早晩。互爲題品。而各出機軸。一時立意。雖各自有致。然梅之早晩。皆當大冬嚴雪。要不可以差殊。高下其標格。而况柳老之序。恐不免有推說太過處。聊以一絶解嘲。未知二老以爲如何。花開先後必冬嚴。揔是風霜不畏侵。題品不須論早晩。從來廵遠一般心。</text>
<title>見長松偶吟</title>,<text>落落長松蘭若邊。參雲黛色幾千年。兒童亦識爲樑棟。莫遣風聲出洞天。</text>
<title>觀漲 雲谷書堂前。有中流砥柱。名曰水籠巖。詩意蓋指此也。</title>,<text>汹湧狂濤怒氣奔。濶呑平野欲無坤。屹然惟有中流柱。獨立頹波勢益尊。</text>
<title>陶齋月夜。對庭前栢有感。</title>,<text>故院沉沉老栢森。中天明月半庭陰。圖書滿室絃歌寂。不寐中宵感慨深。</text>
<title>登天淵臺</title>,<text>蒼茫落日寒郊外。寥落殘雲遠峀邊。獨上高臺良久立。鳶魚飛躍古今天。</text>
<title>春祝</title>,<text>一年春信此宵回。生意氤氳滿九垓。天道不應偏養育。佇看黎庶陟春臺。</text>
<title>淨水庵。贈同遊諸君。</title>,<text>童丱相隨過此遊。㝡憐才格出凡流。欲酬佳句慚才拙。夜久寒蟾度嶺頭。</text>
<title>將遊新寺。邀柳廷彥 世斗。○丙戌。</title>,<text>新寺之集。其初率爾爲之。今爲之之久。而近山諸老稍稍而來。雖聞有早晩。來有先後。而今盡爲會中人。獨吾丈在山下不遠。而不在會中。玆以一詩要之。若杖屨一出。晩紅軟綠。和風暖日。所以供燕談而暢堙鬱者。天餉已甚厚矣。會日則魯野，載叔。必能爲丈報知也。爲報沙川柳丈知。山南高處一庵奇。諸公近欲携藜往。共踏層雲獨可遲。</text>
<title>次從兄 諱琫 韻</title>,<text>風送飛花片片斜。一番光景浩無涯。陪遊正好窮朝夕。何待前山長蕨芽。</text>
<title>蕭寺門會時。次參奉族兄任卿 柱南 韻。</title>,<text>雲雷閣上集羣賢。鶴髮童顔揔地仙。自是同源分一氣。許令卑幼侍同筵。</text>
<title>挽南進士 尙召○二首</title>,<text>不計衰翁越險艱。中間願對舊時顔。從今一會期何處。遼海千秋鶴不還。曾感妹言夢裏詳。新阡移共舊時藏。海天今夜魂應怨。兄弟無人在爾傍。</text>
<title>挽朴 烚</title>,<text>三樂高標古宅空。先遊往事幾春風。世間孤露同心地。又遣鸞驂閬苑中。</text>
<title>挽柳 後燁</title>,<text>長途逸駕夙心違。三十生涯一夢非。柴血未乾萱影暮。雪山何處獨長歸。</text>
<title>挽黃 雲瑞</title>,<text>優游田畒此身閒。不識名途一味酸。剩得人間安且樂。六旬長逝不須潸。</text>
<title>挽柳 世達</title>,<text>龍門舊響聽無人。牢落乾坤感慨新。喬木寒烟空谷裏。春風又報玉埋塵。</text>
<title>廣興寺諸老庚會。敬次金進士 ▣▣ 韻。</title>,<text>出門聞盛會。到寺俗塵稀。難得人間樂。何嫌行逕微。相隨杖屨處。共著老萊衣。無限臨歧意。不妨趁暮歸。</text>
<title>挽鄭 基祚</title>,<text>自哭愚川老。偏傷小子情。文章千古事。風月一溪亭。繼述常憐汝。芝蘭種滿庭。方將餘慶賀。死別復呑聲。</text>
<title>挽裵秀才 晉龜</title>,<text>與善如天意。君應福壽全。孝思宜永錫。愷悌享遐年。調藥終媒疾。牙琴遽斷絃。歲寒求挽日。矯首欲呼天。</text>
<title>挽金參判 </title>,<text>翰墨推宗匠。官聯近鼎台。風雲欲際會。時運任低迴。溪塢春粧柳。山䆫月映梅。歸來杖屨地。永負一遊陪。</text>
<title>挽金監司 聲久</title>,<text>考德宜崇秩。明時反隱淪。論思違近密。獻納遠星辰。專靜心多妙。餘波善有鄰。方憂殄瘁日。又復失斯人。</text>
