<title>答太白山僧 少時携季氏進士公。讀書太白山中。有僧呈一絶曰世上雙才子。山中一老吾。誰知儒與釋。今日反吾徒云云。</title>,<text>虛無寂滅汝。明德新民吾。今日雖同席。吾徒豈汝徒。</text>
<title>竹嶺 癸丑</title>,<text>大嶺撑空立。遊人行路艱。歸雲擁馬首。踈雨過前山。白茯宜療病。黃精亦駐顔。如何舍此去。投袂向塵寰。白茯，黃精皆此山所産。</text>
<title>首山驛</title>,<text>秣馬淸溪畔。秋山錦繡明。僕夫醒我夢。催向日邊行。</text>
<title>登智藏峴。用地名戱成一絶。</title>,<text>智藏惟所願。聞達豈余求。困志成何事。忘憂酒滿甌。智藏峴，聞達院，困志巖，忘憂里。皆道途所經之地。</text>
<title>雙嶺</title>,<text>忍說當年事。興亡四十春。生靈嗟不幸。師命奈非人。白骨應無主。冤魂自作隣。平生有壯志。今日倍傷神。</text>
<title>利孚峴</title>,<text>客路餘千里。天時近九秋。終南遙入眼。西望意悠悠。</text>
<title>挽裴都事 幼華</title>,<text>風流文雅出羣英。詩禮傳家繼舊聲。脩短固知元有命。榮枯不是滯歸情。三秋旅舘同歡戚。千里殊鄕異死生。哭送丹㫌遝故道。也應行路亦沾纓。</text>
<title>健元陵爐冶所。次壁上韵。甲寅○時顯廟賓天。先生以刑曹正郞差爐冶所郞廳。敦事于健元陵。</title>,<text>爲敦匠務滯江村。秋雨霏霏野氣昏。追想去年今日事。不堪哀淚自成痕。癸丑九月二十九日。寧陵破舊塋時。臣以兼春秋入侍。成服于思賢閣前庭。偶然念至。乃此日也。不覺潸然。吟成一絶。以寓哀痛之懷。</text>
<title>咏懷 三首</title>,<text>湖山薄暮客懷悠。一曠晨昏歲已周。終日小窓無語坐。爲看天際白雲浮。已將身世付虛舟。擬掛塵冠趁晩秋。痛哭先王弓釰遠。微誠惟欲效珠丘。人言世路似羊膓。我說羊膓是坦場。多少險艱經歷盡。故山歸興入秋忙。</text>
<title>陵所有感</title>,<text>四聖喬山揔接塋。英靈應不異幽明。誰知數疊靑巒裏。鎖却三韓罔極情。</text>
<title>挽柳鎭安 元之</title>,<text>良玉溫溫絶點塵。相公門下稱家人。謙恭孝友遺風在。詩禮忠貞舊業新。半世功名非素樂。一區煙月送餘春。樑摧此日吾安放。涕淚難堪哭寢辰。</text>
