<title>偶吟 甲寅。余受大學于伯氏洞虛齋獻徵。讀三百遍後。靜坐持敬三月有餘。一朝怳然若有契悟。卽賦一絶。伯氏見而喜之曰。粗見其體用。</title>,<text>無上亦無下。無始亦無終。若人問此物。萬殊一源通。</text>
<title>贈覺敏上人 辛酉</title>,<text>湖海淸遊客。雲山靜養禪。相逢談性地。缺 月照秋天。</text>
<title>次李仲貢 端賜 韻 辛未</title>,<text>並馬雙溪路。相分百濟城。中閒大江水。何似淺深情。</text>
<title>與朴 成晩，李 挺宇 遊安陰猿鶴洞。至金陵相別。有感時事而贈。</title>,<text>立馬金陵路。秋風日暮時。縱無兒女淚。猶有丈夫悲。葉落山容瘦。霜繁蕙質萎。慇懃鶴洞約。臨別更爲期。</text>
<title>挽全咸昌 克泰○丙子</title>,<text>憶曾黃馬歲。吾道付滄洲。孰不思伸卞。公先倡士流。義聲懸北斗。賢路屈南州。忽報山陽笛。傷心泣暮秋。</text>
<title>挽宋進士 殷徵○丁丑</title>,<text>早歲文章晩采蓮。忽驚丹旐出林泉。秋風落日傷心客。來哭空山孝子阡。</text>
<title>挽申參奉 命龜○戊寅</title>,<text>昔我太白路。始拜龐床前。寒霜正摧芳。時物屬迍邅。飮余細傾酒。坐余嘉客氈。旣許兩世交。復敎一心堅。款款多小說。摠依古經篇。江閣月蒼凉。夜深猶不眠。明朝辭杖屨。歸來意茫然。方知今世間。亦有古人賢。內明外自晦。誰能爭福田。風塵笑宦子。平地作神仙。每思尋前途。共泛秋江船。波澄上下天。淸誨開蒙顓。賷誠未及遂。忽驚臯音傳。世孰知其貴。我獨涕泗漣。南州高士傳。屬之誰手編。從聞菊潭上。孝子營新阡。淳厚長者風。已矣隔重泉。春山臥病蹤。雞絮嗟無緣。存沒百年恨。暗逐丹旌翩。含情寫哀詞。悲風送暮天。</text>
<title>看心經偶吟</title>,<text>讀罷心經默契眞。靜中光景自生春。怡然步出荊扉外。雨後靑山一樣新。</text>
<title>謹次遂菴權先生 尙夏 韻</title>,<text>動如流水靜如山。後學何人覺這般。江閣夜深聞至理。離家十日尙忘還。原韻羸驂穿出幾重山。相對書牕味一般。吾道祇今孤益甚。不堪秋日送君還。</text>
<title>更以一韻呈先生</title>,<text>寒水齋中自在閒。心千古聖賢間。傍人莫道都無事。月窟天根往復還。</text>
<title>夢中續次先生韻</title>,<text>洞天寥廓遠名韁。松月蒼蒼鶴夢長。忽聽巖扃聲剝啄。君王分送御廚香。</text>
<title>次鄭攀桂仲淳 澔 韻</title>,<text>靑雲聲譽費芳年。晩興林泉始灑然。生死路頭幾可辨。利名關外道方全。箇中妙用誠眞樂。天下男兒孰肯先。學到於斯休 缺 說。疑冰驚雪摠招諐。</text>
<title>挽鄭英陽 錫僑○庚辰</title>,<text>先生之道皎如星。有是曾孫載典型。南國忽驚辰歲夢。北堂誰乞太君榮。百年人事雙行淚。一片哀章四世情。天道本來明禍福。應知餘慶屬寧馨。</text>
<title>挽南都事 極杓○辛巳</title>,<text>想君奇志迥超羣。義理分明有所存。千里旅官非素願。十年鄕夢繞衡門。方期皁蓋辭秦樹。豈意丹旌度嶺雲。長老儒風今寂寞。爲將靑束哭新墳。</text>
<title>與朴 鶴齡，李 廣澤 會善山水多寺。</title>,<text>春服初成後。江山麗景中。出門思勝賞。攜友上禪宮。天霽淸明雨。樓迎花信風。城南千載興。今日意無竆。</text>
<title>敬次先生韻 壬午</title>,<text>聖賢遺緖杳難尋。靜裏工夫苦覓心。今受顯微無間訣。迺知虛度舊光陰。原韻寒天匹馬遠相尋。炯炯冰壺一片心。秖今吾道何寥落。努力工夫惜寸陰。</text>
<title>次權幼晦 煜 贈別韻</title>,<text>唱罷陽春曲。靑山雪已消。相歡不可久。把酒動歸謠。原韻未見思如惄。相逢吝卻消。年年分手際。空詠白駒謠。</text>
<title>寒水齋贈韓德昭 元震</title>,<text>塵寰醉夢裏。誰是獨醒人。霽月明寒水。同君契性眞。</text>
<title>挽金丈 兌輝</title>,<text>天道茫茫不可知。有才無命㝡堪悲。詞鋒永屈屠龍志。花甲空催化鶴期。地下如今藏偉器。世間何處覓男兒。顓蒙久託忘年契。忍寫哀章涕自垂。</text>
<title>遊俗離山述行</title>,<text>一脫塵緣世意輕。俗離山色望中靑。孤峯隱士 具爾天 開樽話。雲谷賢朋 宋康錫 掃榻迎。曉洞雨添前渡水。夕陽風送遠鍾聲。斯行信息誰能識。應有高僧候佛扃。</text>
<title>登文壯臺</title>,<text>日月頭邊近。山河眼底空。憑臺聊遠望。直欲駕長風。</text>
<title>別李周卿 世奭 燕行 二首</title>,<text>北征苦未已。之子又張旃。跡似觀周札。心同蹈海連。堯封悲禹轍。燕市感高鉛。歎息題詩別。秋霜映塞天。莫歎星軺萬里遙。三韓正氣未全消。燕山必有高人遯。爲說華陽奉舊朝。</text>
<title>有感 見李世奭星槎錄。有外面氣勢全盛等語。愀然不樂。仍詠朱夫子太歲乘蛇已應期之句而作。</title>,<text>正喜旄頭夜隕光。誰傳胡馬尙猖狂。愀然不樂空書怪。更詠朱翁太歲章。</text>
<title>仙巖菴。陪先生講河圖洛書。癸未</title>,<text>仙洞深深絶世緣。白雲紅樹覆淸泉。從容聽罷圖書旨。思入羲皇未畫前。</text>
<title>陪先生。遊丹丘紫霞洞。</title>,<text>玉立山千疊。銀流水萬回。紫霞迷去路。坐待牧童來。</text>
<title>敬次先生韻</title>,<text>德性元非有減加。只緣塵垢未硏磨。幸聞此日單傳訣。方覺從前說更多。原韻持敬工夫靜夜加。靈臺泂澈鏡新磨。邇來此樂人誰識。得我良朋警益多。</text>
<title>守一菴。次先生韻。</title>,<text>丹丘眞境實天開。鬼護神慳度劫灰。佛窟誰將仙窟換。陶翁留贈遂翁來。閒中日月明三逕。象外螺鬟翠萬堆。講罷羲經無物事。一川寒碧自縈回。原韻漠漠高山梵宇開。燒香默坐萬緣灰。佳期講到先天學。妙旨尋從太昊來。一水縈回明似鏡。千峯環擁翠成堆。暮年計活斯爲足。肯向人間浪首回。</text>
<title>登餐霞臺</title>,<text>攜筇朝上餐霞臺。岳色川光襯酒杯。欲遇眞仙論不死。亂峯雲外翠成堆。</text>
<title>次龜巖韻</title>,<text>穿雲度水入靈丘。剩得浮生象外遊。直到龜潭奇絶處。卻辭鞍馬更登舟。</text>
<title>敬次先生韻。贈古里洞權公。</title>,<text>邂逅丹山鶴髮翁。雪襟霞貌帶高風。平生慣識仙區路。遊賞年年杖屨同。</text>
<title>元朝自警 甲申</title>,<text>念我生衰季。何緣學聖人。笑談親俗子。莊敬立天君。路廣車方正。山高境是眞。一心無繫累。任看萬殊分。</text>
