<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>十四遊終南。夏夜作。</title>,<text>露頂灑松風。回首▣地空。長呤風景興。正掛碧雲中。</text>
<title>十四時作上句。忘下句。故偶續成之。</title>,<text>夜深骨泠覺身輕。回首乹坤遍雨聲。朝起晴窓開遠望。萬家春樹揔敷榮。</text>
<title>次唐音 自註。庚申九月。陪本生父母寓居麻浦。</title>,<text>家近桃花洞。林間細路斜。蕭蕭江上雨。𩿨鷺占寒沙。</text>
<title>暮還</title>,<text>長安此去何許。日暮荒郊獨還。漁篴一聲長浦。行人十里靑山。</text>
<title>赴雲山。過天麻山。詠四韻。</title>,<text>萬疊天麻衆嶽長。大名終古冠吾東。含弘包括江河壯。嵂𡵉撑支宇宙䧺。三角登龍纔大丈。牧丹冠岳是諸童。中間百丈飛流瀑。直倒銀河化白虹。</text>
<title>己巳三月。適往於義洞季父主宅。座上次韻。</title>,<text>浮生百歲未爲多。奔走年年是欲何。道在乹坤樂在我。世之名利任之他。江山何地好盟在。得失於吾春夢過。莫道津瀾從此靜。風從起處自生波。</text>
<title>再從兄白鵞堂家題</title>,<text>月出天界靜。幽人自去來。葉間微風動。樹陰合又開。</text>
<title>見南山雲黑。又有雷聲。又見鳶戾于天。上下來去如意。</title>,<text>濕雲在南山。雷聲遠聞之。鳶飛盤遠勢。來去將何止。</text>
<title>又見南山側虹隮。其時適濯足。因述焉。</title>,<text>雙虹東南隮。光耀空中射。蒸炎熏我身。呼童洗熱足。</text>
<title>朝坐見鳶</title>,<text>朝日微風生。長空鳶高下。回回入杳然。出沒隨其意。</text>
<title>宿仲舒道兄家。夜深群動寂然。月色明朗。天氣淸和。望見群木欝然。忽有光風浩然而至。二人正對坐論懷。不勝其樂。乃皷琴而歌以寓興。因作聯句以寫其懷。詩不能盡道此時景像。可勝惜哉。</title>,<text>月來羣木定。琴淸人意開。仲舒。 遠近浩氣發。微風從虗來。澄之。 精神却澄淸。盛炎安在哉。仲舒。 對坐講古道。相敬無相猜。澄之。 最是無心處。浮雲去復廻。仲舒。</text>
<title>夜坐謾吟</title>,<text>定後羣動息。乹坤寂無聲。琴歇一堂靜。蟋蟀近人鳴。</text>
<title>喜雨</title>,<text>喜雨連日來。乹坤和氣中。羣動氣少蘓。草樹舞和風。</text>
<title>晨坐彈琴</title>,<text>淸晨開窓坐。前山雲霧深。冲靜心方曲。琴能識我心。又彈琴聲靜和。黃雀下庭食。寶鷄知時刻。微風動樹葉。又 自註。懷仲舒。心敬琴自定。心和琴亦和。此意難可解。吾友今在何。</text>
<title>變界調</title>,<text>中數心方曲。滿室溫和風。徐變界面調。冲靜更肅雍。</text>
