<title>與安明彦，辛至叔 致復 登三角。歸路作。</title>,<text>回顧昨登處。駐筇靑澗隈。滿山烟霧裏。何處白雲㙜。</text>
<title>李㙉死後作</title>,<text>咫尺村前路。今來不忍行。李生遺宅在。風竹送悲聲。</text>
<title>贈趾侄兄弟</title>,<text>易慮除浮氣。潛心讀五車。聊將詩卄字。用代伏波書。</text>
<title>船遊口占</title>,<text>浩浩滄江裏。棹歌日暮時。此間無限興。惟有白鷗知。</text>
<title>謁先妣山所。志感。</title>,<text>慈顔違幾歲。灑淚白楊䕺。山鳥亦何事。哀鳴曉露中。</text>
<title>偶吟</title>,<text>乾坤豈不大。無處着吾犂。至月茅簷下。已聞索飯啼。</text>
<title>憶鳳子</title>,<text>鳳子桐林下。琅玕飽也無。何當成羽翼。飛向舜庭隅。</text>
<title>仲氏行次湖庄。將還錄呈。四首</title>,<text>世路儘多力。挽我北上轅。荊花各兩地。世事欲三翻。紫霞洞北路。靡日不神馳。頳鱗與蒼鴈。空自寄相思。早年失萊戱。餘事慕姜衾。素計終虛負。離亭涕不禁。去去行程遠。紛紛暮雪寒。單僮兼匹馬。歸稅庶其安。</text>
<title>嶺路感吟</title>,<text>世情看已熟。歸來舊靑山。想得還家日。螺鬟露好顔。</text>
<title>閒中記實</title>,<text>半世成何事。今日又已秋。多慚東逝水。滚滚不停流。</text>
<title>次趾侄韻</title>,<text>披書坐永日。倦卽步花階。日日如斯止。何曾事係懷。</text>
<title>偶占</title>,<text>活計書千卷。襟期竹數䕺。優遊聊自適。寂寞春齋空。</text>
<title>詠白雲</title>,<text>結廬在山下。愛看白雲飛。白雲亦多意。故繞小庭歸。</text>
<title>贈金復初 得性</title>,<text>方寸虛明地。兩儀未判時。只宜存主熟。莫謾好吟詩。</text>
<title>贈別蔡君範 之洪</title>,<text>臨別倍怊悵。相見復何時。及此同衰暮。沉吟晦老詩。</text>
<title>初度日。感吟。</title>,<text>父母劬勞日。兒童歡喜辰。盃樽亦何樂。孤露感懷新。</text>
<title>李生東赫，朴生重命來尋。用文谷集韻同賦。</title>,<text>暫晤還成別。難爲此日心。何時書數篋。重與會桐林。</text>
<title>將下鄕。留別族侄學古 明行。</title>,<text>此地相分恨豈堪。君車才北我車南。他時對討知難事。更把遺經仔細談。</text>
<title>田家春興</title>,<text>階花風送滿堂香。地僻山深興更長。布穀一聲春欲暮。萬家耒耟雨中忙。</text>
<title>暮過正谷。忙甚未討柳雲卿 雲瑞。悵然而作。</title>,<text>怱怱未暇叩山扉。悵望幽庄信馬歸。却恠山人猶火食。正郞峰下夕烟霏。</text>
<title>衿川。留別李天卿兄弟。</title>,<text>歸路西湖二百里。離情雪月兩三人。分明他日重來約。只在沉疴祛後辰。</text>
<title>李生東爀，朴生重命來尋。用文谷集韻。同賦。二首</title>,<text>空山喜聽丁丁音。迎坐蒲團共吐心。怊悵講齋分散後。幾回歸夢繞東林。知君詞賦慕相如。早晩明庭試子虛。更把一言加勉勵。三冬須讀滿床書。</text>
<title>李東煥來訪。病不迎接。悵然寄贈。</title>,<text>病卧深齋掩小扉。門前來客幾虛歸。最歎如玉靑衿士。凈几晴窓一笑違。</text>
<title>李東煥，洪胄晠，金養命來訪。夜話興敎菴。次唐詩韻。</title>,<text>洞門僧掃六花開。層壁盡頭小院回。却是騷人團會地。䕺林仍借好樓㙜。</text>
<title>復次前韻。送諸生。</title>,<text>半年離抱一宵開。可耐靑山去袖回。不盡春風分手恨。斜陽獨上最高臺。</text>
<title>和尹美伯 得休 寄示韻</title>,<text>嘉訓洋洋暎千春。誰將詩句發揮新。雖然口耳終無賴。何似工夫喚主人。</text>
<title>次趙燕歧 汝郁 別伯氏韻</title>,<text>全家今日向西秦。愁作他鄕獨滯人。怊悵離懷寬不得。只宜沈醉甕頭春。</text>
<title>朴君咸 致煕 兄弟。携酒餞別。賦此以贈。</title>,<text>離亭落葉賦新詩。賴爾深盃慰我悲。飮罷孤蹤無所向。靑眸猶是涑溪湄。</text>
<title>贈景侄</title>,<text>越鳥由來思舊條。谷鶯端合早遷喬。今君此去眞良計。其奈離懷不自聊。</text>
<title>伯氏將歸京第。出宿宋坪。夜間風雪。不得發程。賦此仰呈。</title>,<text>風打疎欞雪滿除。行人臨發更躕躇。天公似解分離恨。留得征驂一日餘。</text>
<title>遊華陽洞。寄呈岳丈。</title>,<text>興不盡時定不還。還期應在下旬間。手中自有松枝杖。不必蹇驢送入山。</text>
<title>讀書應天寺。與祐上人。</title>,<text>蓮宇交情爾最深。三旬對話滌塵衿。飛泉百尺流寒玉。不及吾師皎㓗心。</text>
<title>謾詠</title>,<text>詞客酒徒懶去尋。一生靑眼是幽岑。開軒細浥烟霞氣。牽興時時費獨吟。</text>
<title>次學徒韻</title>,<text>塵外靑山一室靜。不嫌蕭寺少佳景。箇中閑趣知如何。時向天心翫月影。</text>
<title>將還鄕。臨行走草。留別鄭用晦 昌河。</title>,<text>臨分且欲留新篇。立馬門前坐霎然。僮僕不須催去路。日斜猶得到黔川。</text>
<title>次族侄信仲 正行 寄示韻</title>,<text>嚶嚶春鳥不堪聞。林外雙飛解喚羣。無奈吾人徒感物。鄕心遙寄北歸雲。</text>
<title>素沙路聞鶴唳 二首</title>,<text>雙雙戛玉自淸奇。颯颯仙風吹路歧。若使此聲隨處在。也應行役亦忘疲。淸唳忽然入耳豪。却訝仙客下平臯。尋眞便欲揮鞭去。飛上雲霄萬里高。</text>
<title>前年上元。李太素 絢 與其兩侄携酒而來。共宿興敎菴。臨別期花時再會。而各牽事故。終未如約。太素授示一律。而亦未和報。今三月卄二。卽英侄婚日也。宴席。遂吟一絶。</title>,<text>金池才子共翩翩。疇昔相逢月照筵。圓缺中天看幾度。生明十五又如弦。</text>
<title>次李聖治 德敏 見投韻</title>,<text>淵源未溯洛濂濱。鄕里過呼遯世民。時向靈㙜加點檢。堪羞悍馬走荊榛。</text>
<title>寄韓老泉 潗</title>,<text>客歸虛堂氣蕭蕭。落日西風意自飄。想得蹇驢岸巾處。野橋殘雪入詩料。</text>
<title>西原路上</title>,<text>馬上琢詩久未諧。不妨還舍更安排。野中四騁雙眸子。領略風烟細細皆。</text>
<title>卽事</title>,<text>如烟如霧半天昏。近峀濛濛遠峀呑。一陣風鳴山葉動。片時凉意滿高軒。</text>
<title>贈宋甥必俊讀書菩薩寺</title>,<text>孤寺淸遊十載前。送君今日思依然。居僧若問疎慵事。爲說殘生已白顚。</text>
<title>自黔陽。入京偶吟。</title>,<text>南望家何處。覊遊已兩旬。馬頭白岳峀。衣上素沙塵。豈不愁行役。還堪任苦辛。我年三十二。尙作醉中人。</text>
<title>山齋偶吟</title>,<text>幽齋少塵事。曉起天氣淸。雨後茅方吐。山間路不成。鷄聲自活潑。月色轉虛明。分付丹田宰。冦來卽蕩平。</text>
<title>甲午冬。以痘患遭弟婦喪。時家眷皆在西原。伯氏諱痘。余以治喪之故。不得還聚。栖遑諸寺。備甞艱苦。口占遣懷。</title>,<text>雪宿村窓破。風趍寺逕危。隨身惟一僕。入夢是三兒。衣綻從僧補。囊空只自飢。悄然成獨坐。覊抱說伊誰。</text>
<title>寄族弟遺民 逸謙</title>,<text>溪邊一茅屋。世念此中輕。詩興花間發。道心丌上生。共誰論妙理。有弟費懷情。悵望西天外。愁聽鳥和鳴。</text>
<title>地主成使君 僴。出示其外祖許滄海。寄王考韻。謹和以呈。</title>,<text>去國同王粲。二天得冀州。荊扉春意藹。琴閣鴈行遊。話舊揮雙涕。開樽减百憂。元非趍勢利。蓬戶視官樓。</text>
<title>金大哉 鼎和，朴君咸來訪。仍同上興敎菴。陪伯氏。與柳文若，柳士澄 湜，黃汝九諸益夜話。</title>,<text>重陽佳節近。騷客幸來尋。罷酒携餘興。飛筇上遠岑。霜楓粧錦壁。蕭寺暎晴林。不覺幽情動。溪流復好音。</text>
