<title>咸安大寺洞口</title>,<text>石路雲深處。苔留宿雨痕。靑驢慵不去。山色已黃昏。</text>
<title>龍華山。訪趙建叔 景建 不遇。</title>,<text>江漢相思後。龍華此日尋。山空人不見。啼鳥一般心。</text>
<title>宿勝山茅房寺</title>,<text>竹院僧初靜。殘燈到曉明。山空人倚戶。明月有松聲。陰壑生靈籟。雲窓客未眠。千峯長短影。隨月倒前川。</text>
<title>宿梧谷書齋</title>,<text>落葉蕭蕭響。微生洞樹間。淸宵山月白。有客宿秋山。</text>
<title>宿茅房寺。憶趙大呂 重世。</title>,<text>昔時遊跡已悠悠。歲月人間一十秋。誰識滿山風雨夜。獨携雲衲宿層樓。</text>
<title>觀海</title>,<text>滄溟萬里濶。落日倚孤舟。浪白沉雲黑。天長一鴈秋。</text>
<title>昭君㤪</title>,<text>昨夜昭陽夢裏朝。覺來紅淚濕靑綃。無心彈作琵琶曲。唯見陰山漢月高。</text>
<title>詠鴈</title>,<text>月黑繁雲重。寒空一鴈來。吳山與楚水。孤影蹔徘徊。</text>
<title>次韻鄭君弼</title>,<text>仙旆南來爲暫停。百年佳景足斯亭。禽隨暖日鳴幽壑。春逐香梅入小庭。已喜今辰留好客。應知前夜動文星。携君安得分山半。瀟灑林泉送暮齡。</text>
<title>龍巖松壇。憶郭萬通 在會 有感。</title>,<text>同遊蹤跡宛然存。感舊無端拭淚痕。溪水潺潺山寂寂。獨留巖月照黃昏。</text>
<title>濂江</title>,<text>石壁臨江屹。湖山落木秋。蘇仙千載後。今夜又孤舟。</text>
<title>登天王峯</title>,<text>自從開闢隔人烟。特立䧺盤碧海前。矗峀入雲曦馭側。老巖排壑斗墟懸。身超宇宙山河上。目極扶桑日月邊。四海無竆看不盡。一團天勢接茫然。</text>
<title>贈別趙進士伯賓 明觀</title>,<text>人言仙旆駐丹丘。不憚南來數日遊。人世偶然萍水會。天時又是菊花秋。論文華榻奎光射。携酒晴窓夜色幽。此地還成千里別。岸篁汀柳亦含愁。</text>
<title>入德門</title>,<text>語汝前驅僕。仙區幾里餘。風光如許好。不必策征驢。</text>
<title>幽居</title>,<text>浮生蝴蝶夢。萬事足悲傷。焉用千鍾粟。有餘一草堂。登盤春菜綠。滿酌濁醪香。富貴何如物。醉眠竹榻凉。</text>
<title>南江</title>,<text>斜日江南花滿城。柳陰濃處亂鸎鳴。汀邊少婦誰家女。洴澼春羅纖手輕。</text>
<title>登天王峯</title>,<text>䧺壓東溟淑氣融。架嵒築石極神工。屹然頭戴靑天立。雨雪千年不變容。</text>
<title>訪趙无庵史汝 壄</title>,<text>一路穿層壁。瘦驢步步危。鳥聲晴雨後。山色半秋時。峽束川流急。林深日影遅。何須灞橋上。淸景雪中奇。</text>
<title>撻嶺</title>,<text>手折萬年枯躑躅。扶登撻嶺天中石。千巖壁立又如飛。楓葉濃霜紅欲滴。</text>
<title>詠懷</title>,<text>深棲丘壑此身閒。千古羲皇夢想間。於世自知無用處。一生惟合管雲山。靜裏安身是萬全。凌虛何必學神仙。不知山外奔忙事。滿壑松雲抱膝眠。</text>
<title>宿佛日庵</title>,<text>百年三入此名區。樹老星壇舊跡留。夜寂松窓僧有月。血添楓葉鶴多秋。巖鳴雪瀑驚人夢。壁掛雲梯喚客愁。世外情緣消已盡。佛燈淸話是仙遊。</text>
<title>送酒四無齋族兄 楫</title>,<text>謀婦聊存酒一壺。却思吾伯忽忘吾。寒厨縱欠黃鷄煑。佳節何須綠蟻無。猶勝茶湯情則欵。更烹薇蕨拜而輸。所嗟不得躬親酌。也是嘉山一髮孤。瀟灑胷中萬慮刪。飄然仙鶴下塵寰。江湖閑事忘魚鳥。宦海功名歎蜀蠻。歲月消長床上局。巖花開落杖邊山。分明昨夜莊園夢。忽逐羲皇自往還。高卧山堂絶世緣。暮年淸福一何全。吾看道氣元非俗。誰謂人間不有仙。獨自吟詩塘草外。幾番回首杏花邊。瓦樽白酒聊相送。沽渴應無別聖賢。</text>
<title>閑居</title>,<text>裏無塵事。雲林草屋幽。巖花開又落。猶得識春秋。</text>
<title>夏至日</title>,<text>梨花落盡杏花頹。一夜春心上綠槐。峽屋鳩鳴淸晝永。煖風飛蝶過墻來。</text>
<title>偶吟</title>,<text>牢卧雲林數十春。性同猿鶴孰能馴。耳聞流水眠松戶。手折叢篁掃榻塵。山欲藏蹤深萬疊。月憐無伴動孤輪。溪童野叟如相愛。時向幽居指點頻。</text>
<title>從軍行</title>,<text>將軍投甲血痕斑。不斬樓蘭誓不還。酒後悲歌提釰出。塞天秋色滿燕山。征馬蕭蕭日欲殘。塞雲迢遞角聲寒。邊城半夜歌嗚咽。非爲佳人泣別難。</text>
<title>塞下曲</title>,<text>上將腰間不解刀。自言䧺畧勝驃驍。銕衣夜卧陰山雪。夢罷三更瀚海潮。</text>
<title>香山上院。第一瀑㳍。</title>,<text>靈壑曾經禹斧開。石層千疊玉成㙜。三淸昨夜多雲雨。一派銀潢汎濫來。</text>
<title>第二瀑布</title>,<text>噴月漱星漏玉津。雲峯霧壑貯精神。如何不作人間雨。快洗山河北虜塵。</text>
<title>第三瀑布</title>,<text>分明銀漢倒爭流。漱月漂星勢不休。飛波響亂三淸畔。仙夢應醒白玉樓。</text>
<title>戊午十二月初三日夜夢作</title>,<text>物外身仍老。靑山白屋愁。風塵知己小。江月買漁舟。</text>
<title>過召南江</title>,<text>萬古無窮水。千年不變山。吾生生有限。何惜去來閒。</text>
<title>涵碧樓</title>,<text>十里沙如雪。孤嵒架小樓。烟生日欲暮。楓落鴈呼秋。</text>
<title>梧谷書齋</title>,<text>洞僻雲侵榻。天寒葉下山。三淸今夜夢。無復向人間。</text>
<title>三山有感</title>,<text>南來舊客暫停軺。月下林扉掩寂寥。多少當年談笑事。半庭踈葉下蕭蕭。</text>
<title>記夢</title>,<text>親將詩禮付微躬。万里雲梯駕碧空。繼往開來安可得。敢承天語感吾衷。</text>
