author  file                     total  gold  flagged   other   rate%
최경창     0216.고죽유고.txt              245    11       75     234  32.05
박상      0104.눌재집.txt              1202    10      276    1192  23.15
정두경     0349.동명집.txt              1215    14      556    1201  46.29
권필      0294.석주집.txt               866     7      296     859  34.46
유몽인     0265.어우집.txt              1009    19      371     990  37.47
차천로     0258.오산집.txt              1007     2      581    1005  57.81
백광훈     0206.옥봉집.txt               506     2      119     504  23.61
이행      0109.용재집.txt              1932     8      434    1924  22.56
임제      0243.임백호집.txt              704    35      302     669  45.14
이수광     0273.지봉집.txt              1659    10      549    1649  33.29
황정욱     0192.지천집.txt               224     5       69     219  31.51
조위한     0288.현곡집.txt               744    25      265     719  36.86
