char	운목	평측	세부성조
風	東	평	上平
中	東	평	上平
空	東	평	上平
紅	東	평	上平
東	東	평	上平
同	東	평	上平
翁	東	평	上平
公	東	평	上平
宮	東	평	上平
通	東	평	上平
窮	東	평	上平
竆	東	평	上平
功	東	평	上平
雄	東	평	上平
工	東	평	上平
鴻	東	평	上平
叢	東	평	上平
蓬	東	평	上平
終	東	평	上平
融	東	평	上平
濛	東	평	上平
虹	東	평	上平
童	東	평	上平
桐	東	평	上平
蟲	東	평	上平
匆	東	평	上平
弓	東	평	上平
蒙	東	평	上平
戎	東	평	上平
忠	東	평	上平
瓏	東	평	上平
豐	東	평	上平
豊	東	평	上平
怱	東	평	上平
隆	東	평	上平
崇	東	평	上平
穹	東	평	上平
櫳	東	평	上平
篷	東	평	上平
躬	東	평	上平
攻	東	평	上平
驄	東	평	上平
騘	東	평	上平
蔥	東	평	上平
衷	東	평	上平
筒	東	평	上平
籠	東	평	上平
瞳	東	평	上平
楓	東	평	上平
聾	東	평	上平
銅	東	평	上平
聰	東	평	上平
充	東	평	上平
朧	東	평	上平
熊	東	평	上平
洪	東	평	上平
逢	東	평	上平
峒	東	평	上平
嵩	東	평	上平
忡	東	평	上平
烘	東	평	上平
礱	東	평	上平
窿	東	평	上平
曨	東	평	上平
菘	東	평	上平
僮	東	평	上平
沖	東	평	上平
癃	東	평	上平
幪	東	평	上平
茸	東	평	上平
嵷	東	평	上平
芃	東	평	上平
曈	東	평	上平
恫	東	평	上平
仝	東	평	上平
盅	東	평	上平
悤	東	평	上平
崧	東	평	上平
筩	東	평	上平
矇	東	평	上平
馮	東	평	上平
瀜	東	평	上平
夢	東	평	上平
絨	東	평	上平
䓗	東	평	上平
葱	東	평	上平
騣	東	평	上平
璁	東	평	上平
朦	東	평	上平
訌	東	평	上平
蘢	東	평	上平
艟	東	평	上平
衝	東	평	上平
螽	東	평	上平
潨	東	평	上平
瞢	東	평	上平
嚨	東	평	上平
狨	東	평	上平
谼	東	평	上平
侗	東	평	上平
翀	東	평	上平
藭	東	평	上平
棕	東	평	上平
霳	東	평	上平
潼	東	평	上平
葒	東	평	上平
鬉	東	평	上平
葓	東	평	上平
渢	東	평	上平
懵	東	평	上平
雺	東	평	上平
氃	東	평	上平
蠓	東	평	上平
豵	東	평	上平
豅	東	평	上平
潀	東	평	上平
攏	東	평	上平
䧺	東	평	上平
痌	東	평	上平
爞	東	평	上平
穜	東	평	上平
瘋	東	평	上平
罿	東	평	上平
烽	東	평	上平
酆	東	평	上平
巃	東	평	上平
種	東	평	上平
饛	東	평	上平
朣	東	평	上平
韸	東	평	上平
嵏	東	평	上平
艨	東	평	上平
芎	東	평	上平
螉	東	평	上平
總	東	평	上平
瀧	東	평	上平
曚	東	평	上平
崆	東	평	上平
蝀	東	평	上平
酮	東	평	上平
髳	東	평	上平
灃	東	평	上平
哄	東	평	上平
髼	東	평	上平
蚣	東	평	上平
駥	東	평	上平
葼	東	평	上平
篊	東	평	上平
逄	東	평	上平
獞	東	평	上平
漴	東	평	上平
肜	東	평	上平
硿	東	평	上平
悾	東	평	上平
娀	東	평	上平
珫	東	평	上平
茙	東	평	上平
犝	東	평	上平
渱	東	평	上平
玒	東	평	上平
緵	東	평	上平
堫	東	평	上平
汎	東	평	上平
懜	東	평	上平
鼨	東	평	上平
蓊	東	평	上平
衕	東	평	上平
菶	東	평	上平
涷	東	평	上平
烔	東	평	上平
鬷	東	평	上平
箜	東	평	上平
匑	東	평	上平
稯	東	평	上平
洚	東	평	上平
氋	東	평	上平
茼	東	평	上平
惾	東	평	上平
麷	東	평	上平
鍐	東	평	上平
愡	東	평	上平
靀	東	평	上平
鯼	東	평	上平
膧	東	평	上平
釭	東	평	上平
