id	제목	제안분류	확신도	구간정밀도	근거	비고
P00246	和離騷經	애상(sympathy)	45	27%	term	
P00247	和愁陽春賦	애상(sympathy)	49	27%	term	
P00248	和悲淸秋賦	애상(sympathy)	52	38%	term	
P00249	和感春賦	애상(sympathy)	42	27%	term	
P00250	登樓賦 用仲宣韻。壬辰夏。寓雪城。登主人家樓作。	건물(structure)	60	52%	title, term	
P00251	和歸去來辭	송별(farewell)	57	38%	title, term	악부/제영(확신↓)
P00252	聞杜鵑賦	애상(sympathy)	57	38%	term	
P00253	聞鸚賦	한적(tranquility)	42	27%	term	
P00254	氷賦 癸巳夏。擬雪賦作。	애상(sympathy)	45	27%	term	
P00255	木賦	천문(astro)	25	16%	term	
P00256	二妃祠賦 幷序。題此。令予賦之。所製不佳。鷄曉。臥而口號。㴒也執燭而請書之。其辭曰。	회고(reminiscence)	51	38%	term	
P00257	續擬恨賦 幷序	애상(sympathy)	54	38%	term	
P00258	哀三良賦	애상(sympathy)	45	27%	term	
P00259	夜氣賦	애상(sympathy)	52	38%	term	
P00260	擬招隱士 幷序	회고(reminiscence)	43	27%	term	
P00261	以居南征。遂卜地于驪江元亨里。敍事三十韻。	애상(sympathy)	45	27%	term	
P00262	古風	회방(meet)	41	27%	term	
P00263	謝羅牧金仁卿 益壽 寄橘	기증(donate)	97	94%	title	
P00264	次首韻。書嶺海錄後。	애상(sympathy)	37	14%	term	
P00265	仲冬夜雨。書懷。	천문(astro)	60	52%	title, term	
P00266	閑中偶吟	한적(tranquility)	36	14%	term	악부/제영(확신↓)
P00267	御題洞庭 幸宣陵後御濟川亭應製	건물(structure)	72	82%	title	악부/제영(확신↓)
P00268	送妻兄仲虛氏出宰靈光郡	송별(farewell)	89	94%	title, term	
P00269	得錦山舅氏書。喜田園事諧。	산악(mountain)	61	52%	title	
P00270	東湖契會圖	강해(water)	61	52%	title	
P00271	家貧。遣妾。戲書。	건물(structure)	53	38%	title	
P00272	挽宗室伊城君	애상(sympathy)	93	94%	title	
P00273	新皇帝卽位。喜聞遼薊無梗。	회고(reminiscence)	49	27%	term	
P00274	家因病癘。久滯城中。適値冬暖。江水無氷。思得歸船而作。	송별(farewell)	60	52%	title	
P00275	除日立春	계절(season)	72	82%	title, term	
P00276	夏日睡罷。因閱蘇軾午窓晝睡詩。意有所適。用其韻。戲賦。	회고(reminiscence)	66	52%	title	
P00277	挽金判府事 安國	애상(sympathy)	96	94%	title	
P00278	詠新構院樓	건물(structure)	70	82%	title	
P00279	春遊神勒寺 一名甓寺	유람(travel)	76	82%	title, term	
P00280	奉次梨湖相國韻	강해(water)	70	82%	title, term	
P00281	和答	애상(sympathy)	44	27%	term	
P00282	趙君 彥國 以盆梅見寄。詩以謝之。	기증(donate)	95	94%	title	
P00283	挽申參議 復淳	애상(sympathy)	78	82%	title	
P00284	挽尹將軍 俔	애상(sympathy)	86	94%	title, term	
P00285	自余明農。頗關意陰晴。家貧。又無酒。因偶吟邵子燮理經綸之句。戲作一絶。	유람(travel)	68	52%	title	
P00286	有寒女歌而行乞。莫辨調曲。	유람(travel)	61	52%	title	
P00287	種竹	천문(astro)	29	16%	term	
P00288	種菊	계절(season)	15	17%	term	
P00289	種蓮	천문(astro)	22	16%	term	
P00290	種蓮 其二	천문(astro)	28	16%	term	
P00291	卽景	산악(mountain)	45	27%	term	
P00292	次東皐相公韻。書陳氏逸眞堂。二律。	건물(structure)	61	52%	title	
P00293	次東皐相公韻。書陳氏逸眞堂。二律。 其二	애상(sympathy)	45	27%	term	
P00294	九月十七日。陪省洞先生。觴于龍頭岡。	유람(travel)	71	82%	title	
P00295	挽成上舍妻氏	애상(sympathy)	96	94%	title	
P00296	哭李隣丈	애상(sympathy)	41	27%	term	
P00297	夜聞犬吠。黃公叔貢。自嶺南行過陰竹。以詩相問。呼燈簡復。黃公。卽孝獻。	유람(travel)	85	94%	title, term	
