id	제목	제안분류	확신도	구간정밀도	근거	비고
P01956	黃鍾賦	불교(buddhism)	39	14%	term	
P01957	登泰山小天下賦	한적(tranquility)	44	27%	term	
P01958	擬自悼賦 幷序	애상(sympathy)	72	82%	title, term	
P01959	止石歌	변새(frontier)	41	27%	term	악부/제영(확신↓)
P01960	希剛相公奉使京師 昌世在潭州 遙贈三十三韻 希剛 李琴齋長坤	기증(donate)	97	94%	title	
P01961	宣傳官契軸	불교(buddhism)	39	14%	term	
P01962	奉酬石川 林億齡大樹 韻	송별(farewell)	39	14%	term	
P01963	和適菴韻 前者 鄭生 傳疊八詩 多故未答 今時及之 故少發於數句云 適菴曺叔奮伸	유람(travel)	88	94%	title	
P01964	八音歌 遺張檢詳玉 鄭翰林萬鍾	애상(sympathy)	53	38%	term	
P01965	八音歌 遺張檢詳玉 鄭翰林萬鍾 其二	애상(sympathy)	36	14%	term	
P01966	藥名體 遺張檢詳玉子剛父	애상(sympathy)	55	38%	term	
P01967	古風 十韻	송별(farewell)	41	27%	term	
P01968	送星山李進士入國學	송별(farewell)	91	94%	title	
P01969	客況無聊 偶成古風二十五韻 錄似崔詞伯子眞 兼簡和之 求和	기타(others)	75	82%	title	
P01970	和尹亨仲求題申元亮墨竹韻 亨仲尹橘亭衢	건물(structure)	79	82%	title	
P01971	國家倣古制 置牧場於諸路 皆在洋中 每三歲 遣朝臣 點閱其數 籍以藏之太僕 今年秋 星山李孝叔甫 受是命 巡湖南右界 入海島 逾半月 吾州之別乘愼斯立 以監牧隨行 備言菅蒯之危 遂作古風一首 粗敍其事 仰慰征懷 仍求和敎	송별(farewell)	82	94%	title	
P01972	奉和石川韻 容非正韻 敢改之	애상(sympathy)	42	27%	term	
P01973	送祖煕入山 用孟浩韻	송별(farewell)	94	94%	title	
P01974	奉和適菴	송별(farewell)	43	27%	term	
P01975	奉和適菴 其二	유람(travel)	44	27%	term	
P01976	詮次兒問答 奉酬適菴婦言篇	불교(buddhism)	50	38%	title	
P01977	詮次兒問答 奉酬適菴婦言篇 其二	불교(buddhism)	57	38%	title, term	
P01978	詮次兒問答 奉酬適菴婦言篇 其三	불교(buddhism)	50	38%	title	
P01979	詮次兒問答 奉酬適菴婦言篇 其四	불교(buddhism)	50	38%	title	
P01980	詮次兒問答 奉酬適菴婦言篇 其五	불교(buddhism)	50	38%	title	
P01981	賞梅	애상(sympathy)	49	27%	term	
P01982	夾谷悼三歌	애상(sympathy)	72	82%	title, term	악부/제영(확신↓)
P01983	夾谷悼三歌 其二	애상(sympathy)	81	94%	title, term	
P01984	夾谷悼三歌 其三	애상(sympathy)	86	94%	title	
P01985	秋病嘆	애상(sympathy)	24	16%	term	
P01986	奉和欽之詩	천문(astro)	28	16%	term	
P01987	和欽之先生季子益恂韻 欽詩 有薦細膩語 故詩中微發其意	유람(travel)	89	94%	title	
P01988	啓彥至昌平 再馳箋 卽書十韻爲答	애상(sympathy)	26	16%	term	
P01989	錦江謠	애상(sympathy)	45	27%	term	악부/제영(확신↓)
P01990	錦江吟	한적(tranquility)	39	14%	term	악부/제영(확신↓)
P01991	錦江吟 其二	유람(travel)	41	27%	term	
P01992	驪江長短歌 贈玄穆上人歸彌勒寺	기증(donate)	97	94%	title	
P01993	題李晉州兄弟榮親圖	도화(picture)	57	38%	title	
P01994	明淸歌	인물(person)	38	14%	term	악부/제영(확신↓)
P01995	草蕪徑歌	애상(sympathy)	40	27%	term	악부/제영(확신↓)
P01996	送權質正景信父隨聖節使如京師行	송별(farewell)	73	82%	title, term	악부/제영(확신↓)
P01997	宣川紫石硯歌	변새(frontier)	42	27%	term	악부/제영(확신↓)
P01998	苦熱行 弘文館月課	계절(season)	55	38%	title	
P01999	錦南贈仲野行 二十韻	기증(donate)	97	94%	title	
P02000	送正朝使黃同樞獻之父	송별(farewell)	84	94%	title	
P02001	古風一首二十韻	애상(sympathy)	54	38%	term	
P02002	題愛蓮軒	도화(picture)	54	38%	title	
