id	제목	제안분류	확신도	구간정밀도	근거	비고
P03158	塞下曲	변새(frontier)	67	52%	title, term	악부/제영(확신↓)
P03159	襄陽曲	산악(mountain)	17	17%	term	악부/제영(확신↓)
P03160	玉階怨 二首	애상(sympathy)	47	27%	term	
P03161	玉階怨 二首 其二	애상(sympathy)	49	27%	term	
P03162	樹中草	송별(farewell)	43	27%	term	
P03163	相逢行	송별(farewell)	63	52%	title, term	악부/제영(확신↓)
P03164	江南曲	강해(water)	15	17%	term	악부/제영(확신↓)
P03165	採蓮曲	산악(mountain)	36	14%	term	악부/제영(확신↓)
P03166	擬越女別西施	송별(farewell)	96	94%	title	
P03167	閨怨	애상(sympathy)	53	38%	term	
P03168	送權侙子敬從軍	송별(farewell)	92	94%	title, term	
P03169	詠李兔山皥三白堂	건물(structure)	61	52%	title	
P03170	詠扇畫梅	도화(picture)	61	52%	title	
P03171	登磨天嶺	천문(astro)	26	16%	term	
P03172	望潮	유람(travel)	27	16%	term	
P03173	送丹丘沈使君慣	송별(farewell)	88	94%	title	
P03174	閑居卽事 十五首	기타(others)	81	94%	title, term	
P03175	閑居卽事 十五首 其二	기타(others)	79	82%	title	
P03176	閑居卽事 十五首 其三	기타(others)	79	82%	title	
P03177	閑居卽事 十五首 其四	기타(others)	79	82%	title	
P03178	閑居卽事 十五首 其五	기타(others)	79	82%	title	
P03179	閑居卽事 十五首 其六	기타(others)	77	82%	title	
P03180	閑居卽事 十五首 其七	기타(others)	91	94%	title	
P03181	閑居卽事 十五首 其八	기타(others)	77	82%	title	
P03182	閑居卽事 十五首 其九	기타(others)	91	94%	title	
P03183	閑居卽事 十五首 其十	기타(others)	79	82%	title	
P03184	閑居卽事 十五首 其十一	기타(others)	73	82%	title	
P03185	閑居卽事 十五首 其十二	기타(others)	79	82%	title	
P03186	閑居卽事 十五首 其十三	기타(others)	78	82%	title	
P03187	閑居卽事 十五首 其十四	기타(others)	83	94%	title	
P03188	閑居卽事 十五首 其十五	기타(others)	91	94%	title	
P03189	送全都事德古克恒	송별(farewell)	97	94%	title, term	
P03190	送崔知禮	송별(farewell)	97	94%	title	
P03191	與李子封兄弟夜飮	송별(farewell)	45	27%	term	
P03192	江村偶吟 二首	송별(farewell)	23	16%	term	
P03193	江村偶吟 二首 其二	한적(tranquility)	52	38%	term	
P03194	詠猿	애상(sympathy)	73	82%	term	
P03195	題愼家畫壁	도화(picture)	72	82%	title	
P03196	畫竹	도화(picture)	71	82%	title	
P03197	曺留守文秀子實送酒	송별(farewell)	97	94%	title	
P03198	送柳弟汝一下重試還官	송별(farewell)	97	94%	title	
P03199	賀吳翮逸少登第	애상(sympathy)	45	27%	term	
P03200	醉作	한적(tranquility)	52	38%	term	
P03201	題徐勉仲貞履畫帖 四首	도화(picture)	65	52%	title	
P03202	題徐勉仲貞履畫帖 四首 其二	도화(picture)	76	82%	title	
P03203	題徐勉仲貞履畫帖 四首 其三	도화(picture)	80	94%	title	
P03204	題徐勉仲貞履畫帖 四首 其四	도화(picture)	63	52%	title	
P03205	送楓岳悟山人。兼寄李通川國耳重國 二首。	송별(farewell)	63	52%	title	
P03206	送楓岳悟山人。兼寄李通川國耳重國 二首。 其二	송별(farewell)	64	52%	title, term	
P03207	對菊。寄朴仲久長遠。	기증(donate)	94	94%	title	
P03208	送姜淸風叔久柏年	송별(farewell)	94	94%	title	
P03209	閔仲集酒席作	애상(sympathy)	47	27%	term	
P03210	寄朴三陟德一吉應	기증(donate)	94	94%	title	
P03211	寄白軒謪所 二首	기증(donate)	96	94%	title	
P03212	寄白軒謪所 二首 其二	기증(donate)	96	94%	title	
P03213	別趙胤之謪去 二首	송별(farewell)	95	94%	title, term	
P03214	別趙胤之謪去 二首 其二	송별(farewell)	89	94%	title, term	
P03215	醉題趙員外壁	도화(picture)	61	52%	title	
P03216	別姜全義汝受弘益	송별(farewell)	97	94%	title, term	
P03217	白軒求海棠寄數叢。仍次其韻。	건물(structure)	57	38%	title, term	차운(제목 donate 무시)
P03218	重陽泛菊酒杯	유람(travel)	81	94%	title	
P03219	題扇寄胤之謪去	기증(donate)	87	94%	title	
P03220	送任察訪翰伯	송별(farewell)	97	94%	title, term	
P03221	寄朴高城日省	기증(donate)	96	94%	title	
P03222	送張京叔應一還鄕	송별(farewell)	97	94%	title	
P03223	題畫帖	도화(picture)	68	52%	title	
P03224	別姜公獻瑜出宰江界	송별(farewell)	97	94%	title	
P03225	題朴李兩生書齋	도화(picture)	61	52%	title	
P03226	題僧軸	불교(buddhism)	83	94%	title	
P03227	鷺梁上。對李使君後膺飮。	강해(water)	42	27%	term	
P03228	送崔康津攸之	송별(farewell)	97	94%	title	
P03229	奉贈同春宋判書明甫 幷序	기증(donate)	97	94%	title	
P03230	題李進士先慶琴	도화(picture)	60	52%	title	
P03231	題徐勉仲貞履畫帖	도화(picture)	82	94%	title	
P03232	送李通川國耳重國	송별(farewell)	97	94%	title	
P03233	次崔有淵聖止見贈	기증(donate)	97	94%	title	
P03234	送睦達夫兼善之燕	송별(farewell)	97	94%	title	
P03235	塞上曲	천문(astro)	18	17%	term	악부/제영(확신↓)
P03236	塞下曲	변새(frontier)	55	38%	title	악부/제영(확신↓)
P03237	靑樓曲	건물(structure)	50	38%	title	악부/제영(확신↓)
P03238	結襪子	변새(frontier)	45	27%	term	
P03239	楚宮詞 七首	변새(frontier)	55	38%	term	
P03240	楚宮詞 七首 其二	강해(water)	41	27%	term	
P03241	楚宮詞 七首 其三	천문(astro)	22	16%	term	
P03242	楚宮詞 七首 其四	계절(season)	39	14%	term	
P03243	楚宮詞 七首 其五	건물(structure)	43	27%	term	
P03244	楚宮詞 七首 其六	애상(sympathy)	51	38%	term	
P03245	楚宮詞 七首 其七	산악(mountain)	39	14%	term	
P03246	少年行	유람(travel)	52	38%	title	악부/제영(확신↓)
P03247	從軍行	변새(frontier)	42	27%	term	악부/제영(확신↓)
P03248	閨怨 四首	천문(astro)	42	27%	term	
P03249	閨怨 四首 其二	산악(mountain)	23	16%	term	
P03250	閨怨 四首 其三	회방(meet)	25	16%	term	
P03251	閨怨 四首 其四	애상(sympathy)	53	38%	term	
P03252	明妃怨 七首	변새(frontier)	38	14%	term	
P03253	明妃怨 七首 其二	애상(sympathy)	44	27%	term	
P03254	明妃怨 七首 其三	한적(tranquility)	47	27%	term	
P03255	明妃怨 七首 其四	현달(prosper)	36	14%	term	
P03256	明妃怨 七首 其五	변새(frontier)	67	52%	term	
P03257	明妃怨 七首 其六	애상(sympathy)	55	38%	term	
P03258	明妃怨 七首 其七	애상(sympathy)	46	27%	term	
P03259	宮怨	계절(season)	41	27%	term	
P03260	俠客行 七首	유람(travel)	61	52%	title	
P03261	俠客行 七首 其二	유람(travel)	68	52%	title, term	
P03262	俠客行 七首 其三	유람(travel)	53	38%	title	
P03263	俠客行 七首 其四	유람(travel)	52	38%	title	
P03264	俠客行 七首 其五	유람(travel)	78	82%	title	
