id	제목	제안분류	확신도	구간정밀도	근거	비고
P09883	登廣遠樓	(작업자 기입)	-	-	-	-
P09884	西京道中	(작업자 기입)	-	-	-	-
P09885	客夜記事	(작업자 기입)	-	-	-	-
P09886	百祥樓	(작업자 기입)	-	-	-	-
P09887	控江亭	(작업자 기입)	-	-	-	-
P09888	定州道中	(작업자 기입)	-	-	-	-
P09889	宣川	(작업자 기입)	-	-	-	-
P09890	車輦館	(작업자 기입)	-	-	-	-
P09891	登箭門嶺	(작업자 기입)	-	-	-	-
P09892	義州	(작업자 기입)	-	-	-	-
P09893	渡江作	(작업자 기입)	-	-	-	-
P09894	頭關站	(작업자 기입)	-	-	-	-
P09895	懷遠關	(작업자 기입)	-	-	-	-
P09896	駐蹕山歌	(작업자 기입)	-	-	-	-
P09897	高平	(작업자 기입)	-	-	-	-
P09898	廣寧	(작업자 기입)	-	-	-	-
P09899	壯鎭堡關王廟	(작업자 기입)	-	-	-	-
P09900	入寧遠城記見	(작업자 기입)	-	-	-	-
P09901	杏山	(작업자 기입)	-	-	-	-
P09902	山海關	(작업자 기입)	-	-	-	-
P09903	山海關 其二	(작업자 기입)	-	-	-	-
P09904	永平府	(작업자 기입)	-	-	-	-
P09905	夷齊廟。次使相韻。	(작업자 기입)	-	-	-	-
P09906	薊州	(작업자 기입)	-	-	-	-
P09907	通州	(작업자 기입)	-	-	-	-
P09908	帝都	(작업자 기입)	-	-	-	-
P09909	十五夜。使示以五言絶句七篇。用一年明月今宵多爲韻。仍奉和。	(작업자 기입)	-	-	-	-
P09910	聞本國水兵統制元均及水使李億麒，崔湖渰死。	(작업자 기입)	-	-	-	-
P09911	聞南原陷。楊元走還。	(작업자 기입)	-	-	-	-
P09912	還到薊州。聞李副摠獲虜酋。	(작업자 기입)	-	-	-	-
P09913	到山海關。聞楊經理直到京城。賊到稷山敗回。	(작업자 기입)	-	-	-	-
P09914	出關作	(작업자 기입)	-	-	-	-
P09915	閭陽	(작업자 기입)	-	-	-	-
P09916	三岔河聞虜警。	(작업자 기입)	-	-	-	-
P09917	海州衛記見	(작업자 기입)	-	-	-	-
P09918	至遼東。見家書。	(작업자 기입)	-	-	-	-
P09919	鎭江。望統軍亭。	(작업자 기입)	-	-	-	-
P09920	鎭山江道上偶吟	(작업자 기입)	-	-	-	-
P09921	宿宣城	(작업자 기입)	-	-	-	-
P09922	車輦卽事	(작업자 기입)	-	-	-	-
P09923	良策	(작업자 기입)	-	-	-	-
P09924	古津江詠柳	(작업자 기입)	-	-	-	-
P09925	義州	(작업자 기입)	-	-	-	-
P09926	汝仁偶作	(작업자 기입)	-	-	-	-
P09927	戲用尹以述韻	(작업자 기입)	-	-	-	-
P09928	戲用尹以述韻 其二	(작업자 기입)	-	-	-	-
P09929	戲用尹以述韻 其三	(작업자 기입)	-	-	-	-
P09930	戲用尹以述韻 其四	(작업자 기입)	-	-	-	-
P09931	幕府無事。用于鱗閣夜韻自遣	(작업자 기입)	-	-	-	-
P09932	幕府無事。用于鱗閣夜韻自遣其二	(작업자 기입)	-	-	-	-
P09933	幕府無事。用于鱗閣夜韻自遣其三	(작업자 기입)	-	-	-	-
P09934	幕府無事。用于鱗閣夜韻自遣。其四	(작업자 기입)	-	-	-	-
P09935	無題	(작업자 기입)	-	-	-	-
P09936	留別	(작업자 기입)	-	-	-	-
P09937	宿林畔村舍	(작업자 기입)	-	-	-	-
P09938	定州	(작업자 기입)	-	-	-	-
P09939	守歲	(작업자 기입)	-	-	-	-
P09940	嘉平館。逢立春。	(작업자 기입)	-	-	-	-
P09941	嘉平館。逢立春。 其二	(작업자 기입)	-	-	-	-
P09942	肅寧人日	(작업자 기입)	-	-	-	-
P09943	西京穀日	(작업자 기입)	-	-	-	-
P09944	黃叔正悼亡帖。用五峯韻。	(작업자 기입)	-	-	-	-
P09945	中和阻潦	(작업자 기입)	-	-	-	-
P09946	平壤旅夜	(작업자 기입)	-	-	-	-
P09947	百祥樓	(작업자 기입)	-	-	-	-
P09948	太定江作	(작업자 기입)	-	-	-	-
P09949	新安	(작업자 기입)	-	-	-	-
P09950	郭山東廂	(작업자 기입)	-	-	-	-
P09951	向林畔道中作	(작업자 기입)	-	-	-	-
P09952	渡鐵山江	(작업자 기입)	-	-	-	-
P09953	古津江	(작업자 기입)	-	-	-	-
P09954	義州	(작업자 기입)	-	-	-	-
P09955	大尹席。	(작업자 기입)	-	-	-	-
P09956	話舊	(작업자 기입)	-	-	-	-
P09957	話舊 其二	(작업자 기입)	-	-	-	-
P09958	旅懷	(작업자 기입)	-	-	-	-
P09959	回至嘉平。主倅享以甘醴	(작업자 기입)	-	-	-	-
P09960	安州戲題	(작업자 기입)	-	-	-	-
P09961	從徐黃門。登浮碧樓幄房。	(작업자 기입)	-	-	-	-
P09962	從徐黃門。登浮碧樓幄房。 其二	(작업자 기입)	-	-	-	-
P09963	松京謝四耐	(작업자 기입)	-	-	-	-
P09964	過圃隱舊宅歌	(작업자 기입)	-	-	-	-
P09965	道中	(작업자 기입)	-	-	-	-
P09966	海州	(작업자 기입)	-	-	-	-
P09967	小讌贈主牧	(작업자 기입)	-	-	-	-
P09968	神光寺	(작업자 기입)	-	-	-	-
P09969	題僧卷用西潭韻	(작업자 기입)	-	-	-	-
P09970	金沙寺	(작업자 기입)	-	-	-	-
P09971	白沙汀	(작업자 기입)	-	-	-	-
P09972	阿郞浦	(작업자 기입)	-	-	-	-
P09973	豐川道中	(작업자 기입)	-	-	-	-
P09974	松禾重九逢雨	(작업자 기입)	-	-	-	-
P09975	道中作	(작업자 기입)	-	-	-	-
P09976	修證寺	(작업자 기입)	-	-	-	-
P09977	修證寺 其二	(작업자 기입)	-	-	-	-
P09978	九月山檀君祠	(작업자 기입)	-	-	-	-
P09979	龍淵	(작업자 기입)	-	-	-	-
P09980	望海菴	(작업자 기입)	-	-	-	-
P09981	楊山	(작업자 기입)	-	-	-	-
P09982	楊山 其二	(작업자 기입)	-	-	-	-
P09983	小酌南墅	(작업자 기입)	-	-	-	-
P09984	迎赦文。邀差員洪直長。小酌廣遠樓。名鸞祥。履祥之弟。	(작업자 기입)	-	-	-	-
P09985	黃州艶曲	(작업자 기입)	-	-	-	-
P09986	玉溜泉	(작업자 기입)	-	-	-	-
P09987	平山山城	(작업자 기입)	-	-	-	-
P09988	書懷	(작업자 기입)	-	-	-	-
P09989	分韻得山字	(작업자 기입)	-	-	-	-
P09990	除夕	(작업자 기입)	-	-	-	-
P09991	有懷 二	(작업자 기입)	-	-	-	-
P09992	以大祝祠宗廟	(작업자 기입)	-	-	-	-
P09993	仕長生殿	(작업자 기입)	-	-	-	-
P09994	九日	(작업자 기입)	-	-	-	-
P09995	上陵作	(작업자 기입)	-	-	-	-
P09996	適陵所	(작업자 기입)	-	-	-	-
P09997	戲題春帖	(작업자 기입)	-	-	-	-
P09998	寓懷	(작업자 기입)	-	-	-	-
P09999	小桃	(작업자 기입)	-	-	-	-
P10000	送李子敏朝天	(작업자 기입)	-	-	-	-
P10001	城東沈墅	(작업자 기입)	-	-	-	-
P10002	僚友泛舟東湖晩歸	(작업자 기입)	-	-	-	-
P10003	寄朴亞判年兄乞漕官	(작업자 기입)	-	-	-	-
P10004	自歎	(작업자 기입)	-	-	-	-
P10005	以試士將向湖南。辭朝有作。	(작업자 기입)	-	-	-	-
P10006	早發板橋院	(작업자 기입)	-	-	-	-
P10007	自戲	(작업자 기입)	-	-	-	-
P10008	早向天安	(작업자 기입)	-	-	-	-
P10009	礪山逢尹止中	(작업자 기입)	-	-	-	-
P10010	礪山逢尹止中 其二	(작업자 기입)	-	-	-	-
P10011	全州	(작업자 기입)	-	-	-	-
P10012	養眞堂	(작업자 기입)	-	-	-	-
P10013	將向古長城	(작업자 기입)	-	-	-	-
P10014	光州書事	(작업자 기입)	-	-	-	-
P10015	綾陽試院。逢慶靈光 具錦山 同入棘中。	(작업자 기입)	-	-	-	-
P10016	曉坐試院	(작업자 기입)	-	-	-	-
P10017	出榜日飮中解諸生作	(작업자 기입)	-	-	-	-
P10018	寓邸漫書	(작업자 기입)	-	-	-	-
P10019	寓邸漫書 其二	(작업자 기입)	-	-	-	-
P10020	崔正言家小酌	(작업자 기입)	-	-	-	-
P10021	金靈光家戲題	(작업자 기입)	-	-	-	-
P10022	向南平道中	(작업자 기입)	-	-	-	-
P10023	南平客夜	(작업자 기입)	-	-	-	-
P10024	海陽記懷	(작업자 기입)	-	-	-	-
P10025	海陽記懷 其二	애상(sympathy)	54	38%	term	
P10026	宴尹莊	(작업자 기입)	-	-	-	-
P10027	潭陽雨夜	(작업자 기입)	-	-	-	-
P10028	昌平逢林子昇	(작업자 기입)	-	-	-	-
P10029	昌平逢林子昇 其二	송별(farewell)	58	38%	title	
P10030	入東堂作	(작업자 기입)	-	-	-	-
P10031	長城別朴甥	(작업자 기입)	-	-	-	-
P10032	扶安。見閔尉仁佶。	(작업자 기입)	-	-	-	-
P10033	德恩館獨坐	(작업자 기입)	-	-	-	-
P10034	渡錦江	(작업자 기입)	-	-	-	-
P10035	留松京	(작업자 기입)	-	-	-	-
P10036	黃州道中	애상(sympathy)	45	27%	term	
P10037	平壤道中	(작업자 기입)	-	-	-	-
P10038	百祥樓	(작업자 기입)	-	-	-	-
P10039	迎薰樓	(작업자 기입)	-	-	-	-
P10040	板門嶺	(작업자 기입)	-	-	-	-
P10041	冕服誥命頒勑禮罷有作	(작업자 기입)	-	-	-	-
P10042	送成則生茂長	(작업자 기입)	-	-	-	-
P10043	訪子正於金吾	(작업자 기입)	-	-	-	-
P10044	訪子正於金吾其二	애상(sympathy)	24	16%	term	
P10045	訪子正於金吾其三	(작업자 기입)	-	-	-	-
P10046	訪子正於金吾 其四	(작업자 기입)	-	-	-	-
P10047	省中	(작업자 기입)	-	-	-	-
P10048	省中 其二	(작업자 기입)	-	-	-	-
P10049	騎省初秋	(작업자 기입)	-	-	-	-
P10050	出郊	(작업자 기입)	-	-	-	-
P10051	得書	(작업자 기입)	-	-	-	-
P10052	拜太僕有作	(작업자 기입)	-	-	-	-
P10053	冬雨	(작업자 기입)	-	-	-	-
P10054	戲答子正	(작업자 기입)	-	-	-	-
P10055	偶懷	(작업자 기입)	-	-	-	-
P10056	小集叔正許	(작업자 기입)	-	-	-	-
P10057	次而述見贈韻	(작업자 기입)	-	-	-	-
