id	제목	제안분류	확신도	구간정밀도	근거	비고
P10453	續續杞菊賦	인물(person)	37	14%	term	
P10454	孝悌賦	현달(prosper)	37	14%	term	
P10455	三字符賦	애상(sympathy)	43	27%	term	
P10456	安奇驛按此下七十一首。係己亥遊山錄。○四月十八日乙卯。發京指楓岳。宿安奇驛。是日。終風暮雨。此一首在丙辰。	유람(travel)	95	94%	title	
P10457	孤石亭丁巳	건물(structure)	95	94%	title	
P10458	循溪釣魚己未	한적(tranquility)	63	52%	title	
P10459	亡題 庚申	도화(picture)	63	52%	title	
P10460	次板上韻 辛酉	송별(farewell)	45	27%	term	
P10461	次板遣悶	애상(sympathy)	54	38%	term	
P10462	鄕人乞詩 癸亥	송별(farewell)	44	27%	term	
P10463	逢蔡大述甲子	송별(farewell)	59	38%	title, term	
P10464	通口驛縣 乙丑	유람(travel)	62	52%	title, term	
P10465	登斷髮嶺丁卯	산악(mountain)	42	27%	term	
P10466	又題	도화(picture)	62	52%	title	
P10467	鳴潭五月戊辰	산악(mountain)	20	16%	term	
P10468	又坐	유람(travel)	60	52%	term	
P10469	普賢庵	불교(buddhism)	50	38%	term	
P10470	香爐峯	변새(frontier)	50	38%	term	
P10471	奇奇庵	애상(sympathy)	52	38%	term	
P10472	修善庵	한적(tranquility)	39	14%	term	
P10473	普德窟己巳	애상(sympathy)	24	16%	term	
P10474	坐石	유람(travel)	42	27%	term	
P10475	和贈慧休庚午	기증(donate)	97	94%	title	
P10476	沙彌峯	천문(astro)	34	14%	term	
P10477	放光庵次韻 辛未	유람(travel)	38	14%	term	
P10478	三臺感興養仁臺，安心臺，開心臺。	건물(structure)	62	52%	title	
P10479	四庵臺吟 天眞臺庵，天德庵，妙德庵，圓通庵。庵邊有柏臺。	불교(buddhism)	44	27%	term	
P10480	須彌庵壬申	유람(travel)	42	27%	term	
P10481	暮入摩訶衍	유람(travel)	56	38%	title	
P10482	鴈門午飯 癸酉	동물(animal)	56	38%	title	
P10483	望海上鴈門岾	동물(animal)	78	82%	title	
P10484	次韻題環軸	도화(picture)	59	38%	title	
P10485	宿大藏巖	유람(travel)	88	94%	title	
P10486	繼祖窟	불교(buddhism)	69	52%	term	
P10487	上上開心庵	애상(sympathy)	34	14%	term	
P10488	九井峯有感 甲戌	애상(sympathy)	55	38%	title	
P10489	寂滅臺書	건물(structure)	52	38%	title	
P10490	佛貞庵	불교(buddhism)	58	38%	term	
P10491	臺上	건물(structure)	56	38%	title	
P10492	題峻上人卷 丙子	불교(buddhism)	58	38%	title, term	
P10493	又題	도화(picture)	63	52%	title	
P10494	楡岾寺	불교(buddhism)	52	38%	title	
P10495	次板韻贈祥長老	불교(buddhism)	40	27%	term	차운(제목 donate 무시)
P10496	跨馬	애상(sympathy)	47	27%	term	
P10497	復入長安寺	유람(travel)	54	38%	title	
P10498	拜岾	산악(mountain)	17	17%	term	
P10499	表訓寺讀書 己卯	불교(buddhism)	55	38%	title	
P10500	楓嶽三十韻 白頭山，東海，鐵嶺，毗盧峯，拜岾石，鷹峯，石馬峯，日出峯，月出峯，天燈峯，香爐峯，衆香城等名。	산악(mountain)	63	52%	title	
P10501	宿大松蘿庵	유람(travel)	95	94%	title	
P10502	正陽寺對月 甲申○戱言白有酒無山。予有山無酒。酒與山孰愈。	산악(mountain)	57	38%	title, term	
P10503	贈峻師乙酉	기증(donate)	97	94%	title	
P10504	次韻贈智峯	한적(tranquility)	38	14%	term	차운(제목 donate 무시)
P10505	次韻贈信戒 庚寅	기타(others)	38	14%	term	차운(제목 donate 무시)
P10506	贈靈隱二詩 壬辰	기증(donate)	97	94%	title	
P10507	贈靈隱二詩 壬辰 其二	기증(donate)	97	94%	title	
P10508	次韻贈智熙甲午	산악(mountain)	17	17%	term	차운(제목 donate 무시)
P10509	喜雨乙末	천문(astro)	61	52%	title	
P10510	贈道圓丙申	기증(donate)	97	94%	title	
P10511	普賢大書六月丁酉○官人且至。去上普賢庵。	불교(buddhism)	47	27%	term	
P10512	庵前有溪	한적(tranquility)	57	38%	term	
P10513	新浴 戊戌	송별(farewell)	23	16%	term	
P10514	還表訓	한적(tranquility)	38	14%	term	
P10515	五賢窟己亥	불교(buddhism)	21	16%	term	
P10516	利嚴窟	불교(buddhism)	24	16%	term	
P10517	望鶴 庚子	동물(animal)	57	38%	title	
P10518	復登金剛臺	건물(structure)	56	38%	title	
P10519	得家信	건물(structure)	55	38%	title	
P10520	馬上謔言 癸卯	회고(reminiscence)	38	14%	term	
P10521	復登斷髮嶺	애상(sympathy)	42	27%	term	
P10522	都叱所溪上	애상(sympathy)	62	52%	term	
P10523	昌道別從僧祖淡甲辰	송별(farewell)	68	52%	title	
P10524	萬歲橋 飯川秣橋宿安奇	유람(travel)	95	94%	title	
P10525	普濟院十一日丁未晴。午秣院。夕入城。○按遊山錄止此。	유람(travel)	73	82%	title, term	
P10526	仁宗大王挽詞二首○乙巳十月	애상(sympathy)	97	94%	title	
P10527	仁宗大王挽詞二首○乙巳十月 其二	애상(sympathy)	97	94%	title	
P10528	別舍弟	송별(farewell)	91	94%	title	
P10529	宿珠峴	유람(travel)	86	94%	title	
P10530	黑石吟	변새(frontier)	51	38%	term	악부/제영(확신↓)
P10531	口占	회방(meet)	17	17%	term	
P10532	水靑亭里夜坐	건물(structure)	95	94%	title	
P10533	憶弟	회고(reminiscence)	88	94%	title	
P10534	遠川按遠川利生院。俱先生祖塋所在。	도화(picture)	38	14%	term	
P10535	卒哭日	회고(reminiscence)	58	38%	term	
P10536	夢與弟遊戱	유람(travel)	77	82%	title	
P10537	鄕黨持酒取尉 十一月	유람(travel)	16	17%	term	
P10538	舍弟自京來會	애상(sympathy)	43	27%	term	
P10539	謁利生院時弟與俱	애상(sympathy)	42	27%	term	
P10540	偶成	기타(others)	73	82%	title	
P10541	至日掃墳遠川。示弟。四百字。	애상(sympathy)	45	27%	term	
P10542	中宗大王練日。在水落庵。十一月十五日	한적(tranquility)	38	14%	term	
P10543	宿上草幕。次南軒先生方廣寺韻。	유람(travel)	87	94%	title	
P10544	積水菴贈靈雲。二律。	기증(donate)	97	94%	title	
P10545	積水菴贈靈雲。二律。 其二	기증(donate)	97	94%	title	
P10546	思勁詩軸。讀休菴所賜次韻。慨然有感。輒復和題。	도화(picture)	57	38%	title	
P10547	衲思默披軸。示余丙申所題。繼有休菴賜次。詠之憮然。仍再和。遣且塞師求。	도화(picture)	57	38%	title	
P10548	題淸順軸	불교(buddhism)	46	27%	term	
P10549	慧洽。舊知也。乞詩甚苛。仍寄數語。	기증(donate)	84	94%	title	
P10550	家君生辰。在觀音寺。十二月	계절(season)	50	38%	title	
P10551	贈僧道全	기증(donate)	87	94%	title	
P10552	贈信明上人	기증(donate)	97	94%	title	
P10553	奉寄康君 三十韻	기증(donate)	82	94%	title	
P10554	出觀音寺示弟	불교(buddhism)	52	38%	title	
P10555	立春詠懷	계절(season)	62	52%	title	
P10556	臘月卄八日夜遣懷	애상(sympathy)	53	38%	title	
P10557	聞驅儺有感	애상(sympathy)	77	82%	title	
P10558	賦蘇軾三首○丙午正月	회방(meet)	37	14%	term	
P10559	賦蘇軾三首○丙午正月 其二	애상(sympathy)	36	14%	term	
P10560	賦蘇軾三首○丙午正月 其三	회방(meet)	52	38%	term	
P10561	別弟曉書	송별(farewell)	96	94%	title	
P10562	又贈無悔	기증(donate)	97	94%	title	
P10563	別無悔。醉後作。	송별(farewell)	97	94%	title	
P10564	弟行六夜。餘寒更劇。念而有作。	유람(travel)	60	52%	title, term	
P10565	遣興 五首○二月	한적(tranquility)	61	52%	title	
P10566	遣興 五首○二月 其二	한적(tranquility)	61	52%	title	
P10567	遣興 五首○二月 其三	한적(tranquility)	62	52%	title	
P10568	遣興 五首○二月 其四	애상(sympathy)	42	27%	term	
P10569	遣興 五首○二月 其五	한적(tranquility)	60	52%	title	
P10570	詠梅十二絶	식물(plant)	56	38%	title	
P10571	詠梅十二絶 其二	강해(water)	39	14%	term	
P10572	詠梅十二絶 其三	애상(sympathy)	46	27%	term	
P10573	詠梅十二絶 其四	식물(plant)	68	52%	title	
P10574	詠梅十二絶 其五	식물(plant)	58	38%	title	
P10575	詠梅十二絶 其六	식물(plant)	68	52%	title	
P10576	詠梅十二絶 其七	식물(plant)	53	38%	title	
P10577	詠梅十二絶 其八	식물(plant)	82	94%	title	
P10578	詠梅十二絶 其九	식물(plant)	68	52%	title	
P10579	詠梅十二絶 其十	애상(sympathy)	39	14%	term	
P10580	詠梅十二絶 其十一	식물(plant)	58	38%	title	
P10581	詠梅十二絶 其十二	한적(tranquility)	40	27%	term	
P10582	紅梅	식물(plant)	52	38%	title	
P10583	晩雨	천문(astro)	62	52%	title	
P10584	仁宗大王練日。隨家君在遠川廬。前冬○中宗練日有作。記吟慟甚。仍用其韻。敍兩朝之眷以自遣○按七月初一日也。	유람(travel)	60	52%	title	
P10585	謝紙贈元上人	기증(donate)	97	94%	title, term	
P10586	次韻答學敬勤意	회방(meet)	37	14%	term	
P10587	書恩重經後。僧玉蟾有請。	불교(buddhism)	89	94%	title	
P10588	發沙谷五首○十月	유람(travel)	91	94%	title	
P10589	藏巖	한적(tranquility)	41	27%	term	
P10590	兜率	애상(sympathy)	54	38%	term	
P10591	甆店	애상(sympathy)	25	16%	term	
P10592	黑石	천문(astro)	32	14%	term	
P10593	迎陪北堂泊金灘。灘上留宿。蓋有待也。時舍弟亦在。夜間口占。十一月	유람(travel)	82	94%	title	
P10594	宿仁山驛里。短述示弟無悔。	유람(travel)	90	94%	title	
P10595	奉寄金和叔公金時權句催科	기증(donate)	97	94%	title	
P10596	立春丁未正月	계절(season)	67	52%	title	
P10597	喜聞康元叔還自一善。聊短述二首錄奉。	애상(sympathy)	47	27%	term	
P10598	喜聞康元叔還自一善。聊短述二首錄奉。 其二	유람(travel)	64	52%	title	
P10599	元叔有約不至。仍寄短律。	기증(donate)	97	94%	title	
P10600	歲己亥。遊楓岳。僧祖淡從焉。別時有贈。今遠訪相示。爲之三歎。遂次其韻。	송별(farewell)	62	52%	title	차운(제목 donate 무시)
P10601	元叔誦慶老乙巳春之句。相與憮然。輒用其韻撥悶。按慶老。金禧年字。	송별(farewell)	45	27%	term	
P10602	是春。元叔同有和作。今再次韻寄懷。	강해(water)	41	27%	term	차운(제목 donate 무시)
P10603	是春。元叔同有和作。今再次韻寄懷。 其二	회고(reminiscence)	50	38%	title	차운(제목 donate 무시)
P10604	宅卿先君挽詞二月	애상(sympathy)	95	94%	title	
P10605	宿率面人家。阻雨一日。	유람(travel)	79	82%	title	
P10606	道望花山	산악(mountain)	56	38%	title	
P10607	暮樓	계절(season)	56	38%	title, term	
P10608	和寄還珠韻 按還珠。丁舍人熿號。	한적(tranquility)	38	14%	term	차운(제목 donate 무시)
P10609	庭前老梅。三月始葩。亦其土性風氣然也。三月	식물(plant)	53	38%	title	
