id	제목	제안분류	확신도	구간정밀도	근거	비고
P11982	斑竹怨	(작업자 기입)	-	-	-	-
P11983	采菱曲
      	(작업자 기입)	-	-	-	-
P11984	尋崔孤竹坡山莊	(작업자 기입)	-	-	-	-
P11985	夜懷詠韻	(작업자 기입)	-	-	-	-
P11986	降仙樓。次泥丸韻。	(작업자 기입)	-	-	-	-
P11987	淮陽府。簡寄楊蓬萊。	(작업자 기입)	-	-	-	-
P11988	夜來聞雨。留坐忘使君別。	(작업자 기입)	-	-	-	-
P11989	詠韓石峯五松亭	(작업자 기입)	-	-	-	-
P11990	錄示李使君巨容	(작업자 기입)	-	-	-	-
P11991	錄示李使君巨容 其2	(작업자 기입)	-	-	-	-
P11992	憶昔行。贈申正郞渫。	(작업자 기입)	-	-	-	-
P11993	漫浪舞歌	(작업자 기입)	-	-	-	-
P11994	柳摠戎紫騮馬歌	변새(frontier)	62	52%	term	악부/제영(확신↓)
P11995	新知樂。贈申施甫德濬。	(작업자 기입)	-	-	-	-
P11996	百祥樓	(작업자 기입)	-	-	-	-
P11997	關山月	(작업자 기입)	-	-	-	-
P11998	三五七言	(작업자 기입)	-	-	-	-
P11999	丘山驛	(작업자 기입)	-	-	-	-
P12000	鏡湖。次崔內翰大中韻。	(작업자 기입)	-	-	-	-
P12001	贈鑑上人	(작업자 기입)	-	-	-	-
P12002	經廢寺	(작업자 기입)	-	-	-	-
P12003	次允上人軸	(작업자 기입)	-	-	-	-
P12004	送崔時中之京	(작업자 기입)	-	-	-	-
P12005	東閣尋梅	(작업자 기입)	-	-	-	-
P12006	題孝里堂	(작업자 기입)	-	-	-	-
P12007	贈性行上人	(작업자 기입)	-	-	-	-
P12008	端川九日	(작업자 기입)	-	-	-	-
P12009	建登山	(작업자 기입)	-	-	-	-
P12010	寧越道中	(작업자 기입)	-	-	-	-
P12011	次旌善郡板上韻	(작업자 기입)	-	-	-	-
P12012	夜泊大灘	(작업자 기입)	-	-	-	-
P12013	次盧相國韻。題甓寺僧軸。	(작업자 기입)	-	-	-	-
P12014	別李季獻之京	(작업자 기입)	-	-	-	-
P12015	上思菴相公	(작업자 기입)	-	-	-	-
P12016	肅州道中	(작업자 기입)	-	-	-	-
P12017		(작업자 기입)	-	-	-	-
P12018		애상(sympathy)	27	16%	term	
