id	제목	제안분류	확신도	구간정밀도	근거	비고
P12351	襄陽途中	유람(travel)	96	94%	title	
P12352	淸澗亭	건물(structure)	89	94%	title	
P12353	題三河主人壁上	인물(person)	57	38%	title, term	
P12354	玉河舘三月三日。次前韻。同尹，韓，辛，吳，金 信元 集燕。	애상(sympathy)	49	27%	term	
P12355	玉河舘三月三日。次前韻。同尹，韓，辛，吳，金 信元 集燕。	애상(sympathy)	38	14%	term	
P12356	玉河舘三月三日。次前韻。同尹，韓，辛，吳，金 信元 集燕。	한적(tranquility)	55	38%	term	
P12357	玉河舘三月三日。次前韻。同尹，韓，辛，吳，金 信元 集燕。	한적(tranquility)	42	27%	term	
P12358	送陳奏使韓 先歸	송별(farewell)	97	94%	title	
P12359	奉東宮命。暗行過寶城遇進士愼汝訓	유람(travel)	77	82%	title	
P12360	洪州奉東宮値苦熱處窄室。作簡黃司書	계절(season)	57	38%	title, term	
P12361	敬復牛溪成先生	애상(sympathy)	47	27%	term	
P12362	敬復牛溪成先生 二首 其二	현달(prosper)	49	27%	term	
P12363	贈慶州妓月仙	기증(donate)	97	94%	title	
P12364	抱川	인물(person)	40	27%	term	
P12365	抱川	유람(travel)	41	27%	term	
P12366	金城	애상(sympathy)	41	27%	term	
P12367	淮陽	산악(mountain)	44	27%	term	
P12368	題德源客舍	도화(picture)	67	52%	title	
P12369	文川東軒	회고(reminiscence)	41	27%	term	
P12370	次永興韻	변새(frontier)	41	27%	term	
P12371	咸興	인물(person)	36	14%	term	
P12372	吉州。由磨雲嶺。越磨天嶺。	산악(mountain)	52	38%	title	
P12373	贈李實之 春英 向磨天嶺	기증(donate)	97	94%	title	
P12374	七寶山	산악(mountain)	61	52%	title	
P12375	咸慶南道別營。次壁上朴 韻。	송별(farewell)	97	94%	title	
P12376	甲山龍湫	인물(person)	40	27%	term	
P12377	甲山龍湫	애상(sympathy)	41	27%	term	
P12378	次富寧懸板韻	기몽(dream)	22	16%	term	
P12379	次富寧懸板韻	산악(mountain)	36	14%	term	
P12380	次慶源舘舍韻	계절(season)	39	14%	term	
P12381	遊元帥㙜。醉中奉呈尹書記 宖，崔督郵 東式，辛通判成己。欲以直釣取璜。	기증(donate)	81	94%	title	
P12382	北關有所思。八詠	애상(sympathy)	36	14%	term	
P12383	北關有所思。八詠。	애상(sympathy)	52	38%	term	
P12384	北關有所思八詠	계절(season)	19	17%	term	
P12385	北關有所思。八詠	애상(sympathy)	43	27%	term	
P12386	北關有所思。八詠	송별(farewell)	23	16%	term	
P12387	北關有所思。八詠。 其六	회방(meet)	37	14%	term	
P12388	北關有所思。八詠	애상(sympathy)	50	38%	term	
P12389	北關有所思。八詠	애상(sympathy)	40	27%	term	
P12390	丁酉冬。避亂高原。贈御史柳景休	기증(donate)	97	94%	title	
P12391	平壤。次許篈韻。贈四耐翁安。	애상(sympathy)	41	27%	term	차운(제목 donate 무시)
P12392	平壤。次許篈韻。贈四耐翁安。	불교(buddhism)	50	38%	term	차운(제목 donate 무시)
P12393	平壤。次許篈韻。贈四耐翁安。	애상(sympathy)	39	14%	term	차운(제목 donate 무시)
P12394	次德川東軒韻	애상(sympathy)	49	27%	term	
P12395	价川次東軒韻	애상(sympathy)	44	27%	term	
P12396	孟山次韻	산악(mountain)	57	38%	title	
P12397	孟山次韻	애상(sympathy)	45	27%	term	
P12398	題陽德達覺山村	도화(picture)	53	38%	title	
P12399	中央院次韻	변새(frontier)	52	38%	term	
P12400	登麻訖嶺	도교(taoism)	39	14%	term	
P12401	次醇煕院韻	회고(reminiscence)	36	14%	term	
P12402	題醇煕院	도화(picture)	53	38%	title	
P12403	通引潭	산악(mountain)	19	17%	term	
P12404	次成川降仙樓韻	애상(sympathy)	47	27%	term	
P12405	次成川降仙樓韻	한적(tranquility)	41	27%	term	
P12406	次成川降仙樓韻	건물(structure)	55	38%	title	
P12407	又次七言排律六韻	한적(tranquility)	39	14%	term	
P12408	題溫井院	도화(picture)	64	52%	title	
P12409	見鰒魚羹有感	애상(sympathy)	65	52%	title, term	
P12410	次祥原山亭韻	건물(structure)	84	94%	title	
P12411	題古三登江村	도화(picture)	54	38%	title	
P12412	咸從次韻	변새(frontier)	50	38%	term	
P12413	咸從次韻	애상(sympathy)	55	38%	term	
P12414	次郭山韻	애상(sympathy)	48	27%	term	
P12415	次郭山韻	산악(mountain)	59	38%	title	
P12416	順安旅舍	유람(travel)	46	27%	term	
P12417	贈雪英上人	기증(donate)	97	94%	title	
P12418	贈雪英上人	기증(donate)	97	94%	title	
P12419	路上	유람(travel)	61	52%	title, term	
P12420	發成川	유람(travel)	88	94%	title	
P12421	陽德途中	유람(travel)	93	94%	title	
P12422	孟山卽事	기타(others)	71	82%	title	
P12423	德川	유람(travel)	52	38%	term	
P12424	煕川。次東軒韻。	건물(structure)	54	38%	title	
P12425	江界神光院次韻	변새(frontier)	48	27%	term	
P12426	江界神光院次韻	변새(frontier)	44	27%	term	
P12427	江界神光院次韻	변새(frontier)	60	52%	term	
P12428	次江界東軒韻	변새(frontier)	52	38%	term	
P12429	次江界仁風樓韻	애상(sympathy)	44	27%	term	
P12430	次江界仁風樓韻	애상(sympathy)	51	38%	term	
P12431	渭原路上	유람(travel)	55	38%	title, term	
P12432	理山郡	애상(sympathy)	42	27%	term	
P12433	自理山乘船下碧潼	유람(travel)	58	38%	title	
P12434	理山乘船下碧潼	변새(frontier)	41	27%	term	
P12435	理山乘船下碧潼	애상(sympathy)	46	27%	term	
P12436	得遲字	애상(sympathy)	47	27%	term	
P12437	次碧潼客舍韻。遣憫。	애상(sympathy)	26	16%	term	
P12438	碧團途中	유람(travel)	80	94%	title, term	
P12439	昌洲舘。書懷。	회고(reminiscence)	66	52%	title	
P12440	次韻昌城	변새(frontier)	57	38%	term	
P12441	龍川。別尹書狀赴京	송별(farewell)	83	94%	title, term	
P12442	龍川。別尹書狀 暉 赴京。	송별(farewell)	85	94%	title	
P12443	信美堂。次主人李德言韻。	변새(frontier)	44	27%	term	
P12444	分司御史。雨渡朔氏津。	천문(astro)	53	38%	title	
P12445	譴瘧鬼	애상(sympathy)	62	52%	term	
P12446	次僧寶訔詩軸高霽峰韻	불교(buddhism)	82	94%	title	
P12447	又用前韻。與鄭進士天錫。	애상(sympathy)	47	27%	term	
P12448	次養眞，壺峯，晩翠，金秀才四賢韻。	애상(sympathy)	46	27%	term	
P12449	次養眞，壺峯，晩翠，金秀才四賢韻。	인물(person)	53	38%	title	
P12450	次養眞，壺峯，晩翠，金秀才四賢韻。	인물(person)	56	38%	title	
P12451	次養眞，壺峯，晩翠，金秀才四賢韻。	인물(person)	52	38%	title	
P12452	次養眞，壺峯，晩翠，金秀才四賢韻。	애상(sympathy)	40	27%	term	
P12453	次鄭天錫韻	천문(astro)	27	16%	term	
P12454	偶吟	한적(tranquility)	37	14%	term	악부/제영(확신↓)
P12455	寄趙君浹	기증(donate)	84	94%	title	
P12456	寄趙君浹	기증(donate)	97	94%	title	
P12457	寄趙君浹	기증(donate)	97	94%	title	
P12458	寫懷	회고(reminiscence)	85	94%	title, term	
P12459	次南善初詩卷崔韻	한적(tranquility)	37	14%	term	
P12460	任鶴齡女子挽	애상(sympathy)	93	94%	title	
P12461	次天使韻	한적(tranquility)	45	27%	term	
