id	제목	제안분류	확신도	구간정밀도	근거	비고
P13360	木奴賦	변새(frontier)	47	27%	term	
P13361	橘中對碁	한적(tranquility)	60	52%	title, term	
P13362	願作冷秋菰	계절(season)	60	52%	title, term	
P13363	上天朝楊御史應製	변새(frontier)	57	38%	term	악부/제영(확신↓)
P13364	次駕鶴樓韻	건물(structure)	70	82%	title, term	
P13365	感君恩引贈石峯	기증(donate)	97	94%	title	
P13366	龍梭	천문(astro)	56	38%	term	
P13367	題韓石峯所藏龍虎障子歌	도화(picture)	57	38%	title	악부/제영(확신↓)
P13368	敬憲公祠宇詩	회고(reminiscence)	47	27%	term	
P13369	書畫板	도화(picture)	57	38%	title	
P13370	喜逢文生舊知醉贈	기증(donate)	97	94%	title	
P13371	文生遠寄和詩。因用其韻寄將。	애상(sympathy)	50	38%	term	차운(제목 donate 무시)
P13372	次春曉韻	계절(season)	56	38%	title	
P13373	六月十二日午飮	천문(astro)	34	14%	term	
P13374	書贈山人雪鑒	기증(donate)	97	94%	title	
P13375	秋思	애상(sympathy)	49	27%	term	
P13376	醉吟	한적(tranquility)	38	14%	term	악부/제영(확신↓)
P13377	醉吟 二首 其二	애상(sympathy)	44	27%	term	
P13378	九月四日朝起	계절(season)	43	27%	term	
P13379	有所思	애상(sympathy)	58	38%	term	
P13380	邊雁	변새(frontier)	65	52%	term	
P13381	九月九日。奉寄沈學士。	기증(donate)	97	94%	title	
P13382	蹔憩文殊寺	애상(sympathy)	51	38%	term	
P13383	再逢	애상(sympathy)	46	27%	term	
P13384	大殿元日迎祥詩	건물(structure)	78	82%	title	
P13385	用龍灣舊韻。奉呈月沙相公。	현달(prosper)	36	14%	term	차운(제목 donate 무시)
P13386	二月二十日。以開氷之漢上。	강해(water)	48	27%	term	
P13387	遣興示通津倅	한적(tranquility)	72	82%	title, term	
P13388	大殿春帖子	건물(structure)	58	38%	title	
P13389	靑莎牧笛	천문(astro)	32	14%	term	
P13390	次石洲韻	한적(tranquility)	40	27%	term	
P13391	贈楓岳上人	기증(donate)	97	94%	title	
P13392	立春帖子及迎祥詩居首。蒙賜黑角弓二張。	계절(season)	67	52%	title	
P13393	夜吟	불교(buddhism)	38	14%	term	악부/제영(확신↓)
P13394	夜吟	애상(sympathy)	52	38%	term	악부/제영(확신↓)
P13395	追次李子敏韻	애상(sympathy)	56	38%	term	
P13396	追次李子敏韻	애상(sympathy)	27	16%	term	
P13397	遣懷	애상(sympathy)	52	38%	title	
P13398	追次五峯秋字韻	계절(season)	56	38%	title	
P13399	追次五峯秋字韻	애상(sympathy)	53	38%	term	
P13400	金陵道中	유람(travel)	62	52%	title	
P13401	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	48	27%	term	
P13402	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	24	16%	term	
P13403	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	25	16%	term	
P13404	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	49	27%	term	
P13405	八月十七日晨坐。用老杜秦州雜詩韻。	천문(astro)	21	16%	term	
P13406	八月十七日晨坐。用老杜秦州雜詩韻。	천문(astro)	24	16%	term	
P13407	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	38	14%	term	
P13408	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	37	14%	term	
P13409	八月十七日晨坐。用老杜秦州雜詩韻。	산악(mountain)	17	17%	term	
P13410	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	55	38%	term	
P13411	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	59	38%	term	
P13412	八月十七日晨坐。用老杜秦州雜詩韻。	회고(reminiscence)	54	38%	term	
P13413	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	34	14%	term	
P13414	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	45	27%	term	
P13415	八月十七日晨坐。用老杜秦州雜詩韻。	애상(sympathy)	55	38%	term	
P13416	與淅人張龍同舟	산악(mountain)	25	16%	term	
P13417	客懷	송별(farewell)	43	27%	term	
P13418	夜讀	애상(sympathy)	51	38%	term	
P13419	春帖子	변새(frontier)	58	38%	term	
P13420	駕鶴樓次五峯韻	동물(animal)	50	38%	title	
P13421	九日。與諸君登後峯。	계절(season)	52	38%	title	
P13422	大殿春帖子	건물(structure)	63	52%	title	
P13423	大殿迎祥詩	건물(structure)	78	82%	title	
P13424	中殿春帖子	천문(astro)	31	14%	term	
P13425	大行王妃挽	애상(sympathy)	93	94%	title, term	
P13426	大行王妃挽 二首○代述 其二	애상(sympathy)	92	94%	title	
P13427	尋李正郞幽居	한적(tranquility)	41	27%	term	
P13428	偶題	기타(others)	60	52%	title	
P13429	健元陵	불교(buddhism)	43	27%	term	
P13430	昇天府晩渡	유람(travel)	63	52%	title	
P13431	客懷奉示沈太守	애상(sympathy)	56	38%	term	
P13432	春雪	천문(astro)	68	52%	title	
P13433	上文殊寺	불교(buddhism)	70	82%	title, term	
P13434	挽人	애상(sympathy)	96	94%	title, term	
P13435	奉謝芝峯詞伯見枉闕展對	기증(donate)	60	52%	title	
P13436	南復始見過求詩	유람(travel)	74	82%	title	
P13437	奉次芝峯辱贈韻	애상(sympathy)	24	16%	term	차운(제목 donate 무시)
P13438	奉次芝峯辱贈韻	변새(frontier)	40	27%	term	차운(제목 donate 무시)
P13439	再疊	유람(travel)	20	16%	term	
P13440	再疊	변새(frontier)	52	38%	term	
P13441	遣懷	애상(sympathy)	67	52%	title, term	
P13442	次贈羅子升	기증(donate)	97	94%	title	
P13443	次贈羅子升	기증(donate)	97	94%	title	
P13444	贈五臺山上院寺僧	기증(donate)	86	94%	title	
P13445	獨吟	인물(person)	54	38%	term	악부/제영(확신↓)
P13446	錦溪君大夫人挽 二首	애상(sympathy)	96	94%	title	
P13447	錦溪君大夫人挽	애상(sympathy)	90	94%	title, term	
P13448	奉呈芝峯	기증(donate)	91	94%	title	
P13449	奉呈芝峯	기증(donate)	97	94%	title	
P13450	再疊前韻奉呈芝峯	기증(donate)	83	94%	title	
P13451	次熊天使漢江韻	강해(water)	62	52%	title	
P13452	奉呈芝峯	기증(donate)	92	94%	title	
P13453	挽鄭秀才	애상(sympathy)	93	94%	title	
P13454	奉答芝峯	천문(astro)	27	16%	term	
P13455	奉答芝峯	애상(sympathy)	50	38%	term	
P13456	奉答芝峯 二首 附次	애상(sympathy)	24	16%	term	
P13457	奉答芝峯 二首 附次	애상(sympathy)	24	16%	term	
P13458	醉題李公悠然亭	건물(structure)	79	82%	title	
P13459	宣陵有感。書奉孫正字。	애상(sympathy)	63	52%	title, term	
P13460	奉贈奏請書狀官赴京	기증(donate)	97	94%	title	
P13461	奉贈奏請書狀官赴京	기증(donate)	97	94%	title	
P13462	奉贈奏請書狀官赴京	기증(donate)	97	94%	title	
P13463	奉贈奏請書狀官赴京	기증(donate)	97	94%	title	
P13464	漢江藏氷。舍弟萬里爲監其役。余乘間往遊。因以淹留。至除夕設小酌。武夫二人。乃以部將得與其役。故與之同醉。醉後乞詩。賦以贈之。	기증(donate)	97	94%	title	
P13465	奉贈金承旨赴洪州牧	기증(donate)	97	94%	title	
P13466	奉次芝峯先生見視韻	천문(astro)	24	16%	term	
P13467	奉次芝峯先生見視韻	인물(person)	50	38%	term	
P13468	奉次芝峯先生見視韻 二首 附原韻	변새(frontier)	54	38%	term	
P13469	奉贈權雲卿令公赴襄陽	기증(donate)	97	94%	title	
P13470	奉贈權雲卿令公赴襄陽	기증(donate)	97	94%	title	
P13471	送李子敏赴潭陽	송별(farewell)	92	94%	title, term	
P13472	送李子敏赴潭陽	송별(farewell)	97	94%	title	
P13473	送李子敏赴潭陽	송별(farewell)	96	94%	title	
P13474	送李子敏赴潭陽	송별(farewell)	97	94%	title, term	
P13475	送李子敏赴潭陽	송별(farewell)	92	94%	title	
P13476	送李子敏赴潭陽	송별(farewell)	92	94%	title	
P13477	送李子敏赴潭陽	송별(farewell)	85	94%	title	
P13478	送子敏赴潭陽	송별(farewell)	97	94%	title	
P13479	送李子敏赴潭陽	송별(farewell)	96	94%	title	
P13480	奉次芝峯辱贈韻	기타(others)	39	14%	term	차운(제목 donate 무시)
P13481	奉次芝峯辱贈韻	변새(frontier)	38	14%	term	차운(제목 donate 무시)
P13482	靑塚	애상(sympathy)	23	16%	term	
P13483	㸑下桐	애상(sympathy)	23	16%	term	
P13484	奉呈完山相公	기증(donate)	97	94%	title	
P13485	奉呈完山相公	기증(donate)	97	94%	title	
P13486	奉呈完山相公	기증(donate)	90	94%	title	
P13487	扣寂有作。奉似芝峯。	인물(person)	38	14%	term	
P13488	再呈芝峯	기증(donate)	77	82%	title	
P13489	奉次芝峯辱和韻	애상(sympathy)	23	16%	term	
P13490	奉次芝峯辱和韻 附次韻 芝峯	회고(reminiscence)	50	38%	term	
P13491	再用韻贈尹	한적(tranquility)	39	14%	term	차운(제목 donate 무시)
P13492	再用韻贈尹	애상(sympathy)	44	27%	term	차운(제목 donate 무시)
P13493	送千秋書狀金公	송별(farewell)	97	94%	title, term	
P13494	奉謝芝峯令公雨中見過	유람(travel)	72	82%	title	
P13495	奉謝芝峯令公雨中見過	유람(travel)	77	82%	title	
P13496	社稷陪祭。芝峯有詩。謹次其韻。	도교(taoism)	37	14%	term	
P13497	社稷祭後。賜飮福宴。次芝峯韻。	천문(astro)	29	16%	term	
P13498	飯筒投水	애상(sympathy)	64	52%	term	
P13499	奉贈冬至賀使兪公	기증(donate)	97	94%	title	
P13500	奉贈冬至賀使兪公	기증(donate)	97	94%	title	
P13501	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13502	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13503	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13504	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13505	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13506	贈趙棐仲赴嶺南佐幕	기증(donate)	97	94%	title	
P13507	送謝恩書狀趙正郞 赴燕都	송별(farewell)	97	94%	title, term	
P13508	送冬至使兪公	송별(farewell)	91	94%	title	
P13509	漫興奉視朴都事	한적(tranquility)	71	82%	title, term	
P13510	戲吟	애상(sympathy)	49	27%	term	악부/제영(확신↓)
P13511	大殿春帖子	건물(structure)	78	82%	title	
P13512	大殿元日帖子	건물(structure)	63	52%	title	
P13513	留別廣州牧使羅	송별(farewell)	97	94%	title, term	
P13514	海山亭	건물(structure)	84	94%	title	
P13515	曹公友仁以桑木敬差官。將歷遍關東。送牋求詩。爲賦此律。	송별(farewell)	90	94%	title	
P13516	石峯之子韓見訪。醉贈一律。	기증(donate)	97	94%	title	
P13517	送李提督	송별(farewell)	97	94%	title	
P13518	送李提督	송별(farewell)	97	94%	title	
P13519	送李提督	송별(farewell)	87	94%	title	
P13520	送李提督	송별(farewell)	97	94%	title	
P13521	送李提督	송별(farewell)	84	94%	title	
P13522	送李提督	송별(farewell)	93	94%	title	
P13523	送李提督	송별(farewell)	97	94%	title	
P13524	送李提督	송별(farewell)	93	94%	title	
P13525	送李提督	송별(farewell)	95	94%	title	
P13526	送李提督	송별(farewell)	87	94%	title	
P13527	送李提督	송별(farewell)	87	94%	title, term	
P13528	送李提督	송별(farewell)	90	94%	title	
P13529	送李提督	송별(farewell)	88	94%	title	
P13530	送李提督	송별(farewell)	87	94%	title	
P13531	送李提督	송별(farewell)	97	94%	title	
P13532	送李提督	송별(farewell)	97	94%	title	
P13533	送李提督	송별(farewell)	97	94%	title	
P13534	送李提督	송별(farewell)	97	94%	title	
P13535	送李提督	송별(farewell)	97	94%	title	
P13536	送李提督	송별(farewell)	97	94%	title	
P13537	送李提督	송별(farewell)	97	94%	title	
P13538	送李提督	송별(farewell)	97	94%	title	
P13539	送李提督	송별(farewell)	88	94%	title, term	
P13540	送李提督	송별(farewell)	85	94%	title	
P13541	送李提督	송별(farewell)	97	94%	title	
P13542	送李提督	송별(farewell)	97	94%	title	
P13543	送李提督	송별(farewell)	97	94%	title	
P13544	送李提督	송별(farewell)	97	94%	title	
P13545	送李提督	송별(farewell)	97	94%	title	
P13546	送李提督	송별(farewell)	90	94%	title	
P13547	送李提督	송별(farewell)	97	94%	title	
P13548	送李提督	송별(farewell)	97	94%	title	
P13549	送李提督	송별(farewell)	85	94%	title	
P13550	送李提督	송별(farewell)	97	94%	title	
P13551	送李提督	송별(farewell)	89	94%	title	
P13552	送李提督	송별(farewell)	97	94%	title	
P13553	送李提督	송별(farewell)	94	94%	title	
P13554	送李提督	송별(farewell)	97	94%	title	
P13555	送李提督	송별(farewell)	97	94%	title	
P13556	送李提督	송별(farewell)	94	94%	title	
P13557	送李提督	송별(farewell)	95	94%	title	
P13558	送李提督	송별(farewell)	97	94%	title	
P13559	送李提督	송별(farewell)	97	94%	title	
P13560	送李提督	송별(farewell)	97	94%	title	
P13561	送李提督	송별(farewell)	88	94%	title, term	
P13562	送李提督	송별(farewell)	90	94%	title	
P13563	送李提督	송별(farewell)	97	94%	title	
P13564	送李提督	송별(farewell)	97	94%	title	
P13565	送李提督	송별(farewell)	90	94%	title	
P13566	送李提督	송별(farewell)	94	94%	title	
P13567	送李提督 百首 其五十一	송별(farewell)	97	94%	title	
P13568	送李提督	송별(farewell)	97	94%	title	
P13569	送李提督	송별(farewell)	97	94%	title	
P13570	送李提督	송별(farewell)	90	94%	title	
P13571	送李提督	송별(farewell)	90	94%	title	
P13572	送李提督	송별(farewell)	87	94%	title	
P13573	送李提督	송별(farewell)	93	94%	title	
P13574	送李提督	송별(farewell)	92	94%	title	
P13575	送李提督	송별(farewell)	97	94%	title	
P13576	送李提督	송별(farewell)	97	94%	title	
P13577	送李提督	송별(farewell)	97	94%	title	
P13578	送李提督	송별(farewell)	94	94%	title	
P13579	送李提督	송별(farewell)	97	94%	title	
P13580	送李提督	송별(farewell)	97	94%	title	
P13581	送李提督	송별(farewell)	97	94%	title	
P13582	送李提督	송별(farewell)	97	94%	title	
P13583	送李提督	송별(farewell)	94	94%	title	
P13584	送李提督	송별(farewell)	97	94%	title	
P13585	送李提督	송별(farewell)	97	94%	title	
P13586	送李提督	송별(farewell)	95	94%	title	
P13587	送李提督	송별(farewell)	91	94%	title	
P13588	送李提督	송별(farewell)	97	94%	title	
P13589	送李提督	송별(farewell)	97	94%	title	
P13590	送李提督	송별(farewell)	97	94%	title	
P13591	送李提督	송별(farewell)	97	94%	title	
P13592	送李提督	송별(farewell)	97	94%	title	
P13593	送李提督	송별(farewell)	97	94%	title	
P13594	送李提督	송별(farewell)	97	94%	title	
P13595	送李提督	송별(farewell)	85	94%	title	
