id	제목	제안분류	확신도	구간정밀도	근거	비고
P14367	弘慶寺	애상(sympathy)	45	27%	term	
P14368	陵霄臺下聞笛	건물(structure)	56	38%	title	
P14369	新居得石井	계절(season)	38	14%	term	
P14370	題楊通判應遇靑溪障	도화(picture)	59	38%	title	
P14371	贈思峻上人	기증(donate)	97	94%	title	
P14372	寄友	기증(donate)	92	94%	title	
P14373	寄友 其二	기증(donate)	83	94%	title	
P14374	寄鄭兄景綏	기증(donate)	82	94%	title	
P14375	寄梁天維	기증(donate)	97	94%	title	
P14376	贈尹而栗	기증(donate)	97	94%	title	
P14377	過寶林寺	유람(travel)	68	52%	title	
P14378	富春別墅	송별(farewell)	95	94%	title	
P14379	題金季綏畫八幅	도화(picture)	69	52%	title	
P14380	題金季綏畫八幅 其二	도화(picture)	68	52%	title	
P14381	題金季綏畫八幅 其三	도화(picture)	79	82%	title	
P14382	題金季綏畫八幅 其四	도화(picture)	77	82%	title	
P14383	題金季綏畫八幅 其五	도화(picture)	76	82%	title	
P14384	題金季綏畫八幅 其六	도화(picture)	64	52%	title	
P14385	題金季綏畫八幅 其七	도화(picture)	69	52%	title	
P14386	題金季綏畫八幅 其八	도화(picture)	85	94%	title	
P14387	李伯生鷄山別業	송별(farewell)	96	94%	title, term	
P14388	懷崔嘉運	회고(reminiscence)	64	52%	title	
P14389	題鶴林守墨竹	도화(picture)	55	38%	title	
P14390	題鶴林守墨竹 其二	도화(picture)	61	52%	title	
P14391	題鶴林守墨竹 其三	도화(picture)	61	52%	title	
P14392	題鶴林守墨竹 其四	도화(picture)	61	52%	title	
P14393	哭蘇澳	애상(sympathy)	48	27%	term	
P14394	哀淨源	애상(sympathy)	63	52%	term	
P14395	哀淨源 其二	불교(buddhism)	45	27%	term	
P14396	汭上路醉後	유람(travel)	52	38%	title	
P14397	題畫梅	도화(picture)	72	82%	title	
P14398	雙溪園	산악(mountain)	23	16%	term	
P14399	醉題金仲皓衣	도화(picture)	67	52%	title	
P14400	題徐上舍別業	송별(farewell)	88	94%	title, term	
P14401	留別雙溪翁	송별(farewell)	97	94%	title	
P14402	病後	애상(sympathy)	52	38%	term	
P14403	寶林寺贈別	송별(farewell)	74	82%	title	제목보정
P14404	自寶林下西溪	유람(travel)	69	52%	title	
P14405	寄文舜擧	기증(donate)	97	94%	title	
P14406	春城別	송별(farewell)	86	94%	title	
P14407	三月晦。別金季義	송별(farewell)	96	94%	title, term	
P14408	過雙溪舊居	유람(travel)	76	82%	title	
P14409	溪堂雨後	건물(structure)	56	38%	title	
P14410	前江	송별(farewell)	29	16%	term	
P14411	江南詞	강해(water)	51	38%	term	
P14412	爲鄭明府情人戲題	도화(picture)	61	52%	title	
P14413	贈太尙上人	기증(donate)	97	94%	title	
P14414	寶林寺	불교(buddhism)	59	38%	title	
P14415	贈義衍師	기증(donate)	97	94%	title	
P14416	白蓮社。題性元上人房。	불교(buddhism)	63	52%	title, term	
P14417	過趙景元	유람(travel)	79	82%	title	
P14418	重投景元家	유람(travel)	45	27%	term	
P14419	寄謝思峻	기증(donate)	97	94%	title	
P14420	寄謝思峻 其二	기증(donate)	95	94%	title	
P14421	龍淵醉別	송별(farewell)	97	94%	title	
P14422	秋齋夜吟	계절(season)	53	38%	title	악부/제영(확신↓)
P14423	挽	애상(sympathy)	96	94%	title	
P14424	挽 其二	애상(sympathy)	96	94%	title	
P14425	贈友南還	기증(donate)	97	94%	title	
P14426	長城道中	유람(travel)	62	52%	title	
P14427	贈朴無競	기증(donate)	97	94%	title	
P14428	贈友	기증(donate)	97	94%	title	
P14429	鄭淸源谷口堂	건물(structure)	53	38%	title	
P14430	鄭淸源谷口堂 其二	건물(structure)	66	52%	title	
P14431	夢贈李學士汝受	기증(donate)	97	94%	title	
P14432	寶林寺	불교(buddhism)	73	82%	title, term	
P14433	謝天維	한적(tranquility)	41	27%	term	
P14434	謝天維 其二	기증(donate)	55	38%	title	
P14435	送僧遊雙溪	송별(farewell)	68	52%	title	
P14436	送僧向嶺左	송별(farewell)	68	52%	title	
P14437	贈別	송별(farewell)	75	82%	title	제목보정
P14438	錦城贈友	기증(donate)	97	94%	title	
P14439	寄季涵直省	기증(donate)	88	94%	title	
P14440	病中。次孤竹韻。	애상(sympathy)	85	94%	title	
P14441	病中。寄諸公宴集。	기증(donate)	79	82%	title	
P14442	頭輪北庵。寄尙山人。	기증(donate)	83	94%	title	
P14443	贈魏而栗	기증(donate)	97	94%	title	
P14444	江上	한적(tranquility)	58	38%	term	
P14445	與萬竹京口別	송별(farewell)	97	94%	title	
P14446	過仲皓家有感	유람(travel)	72	82%	title	
P14447	贈友	기증(donate)	97	94%	title	
P14448	寄楊應遇	기증(donate)	91	94%	title	
