id	제목	제안분류	확신도	구간정밀도	근거	비고
P14873	聞盅齋得止亭盆松。用二十絶爲報。	건물(structure)	95	94%	title	
P14874	聞盅齋得止亭盆松。用二十絶爲報。 其二	건물(structure)	95	94%	title	
P14875	聞盅齋得止亭盆松。用二十絶爲報。 其三	건물(structure)	95	94%	title	
P14876	聞盅齋得止亭盆松。用二十絶爲報。 其四	건물(structure)	93	94%	title	
P14877	聞盅齋得止亭盆松。用二十絶爲報。 其五	건물(structure)	95	94%	title	
P14878	聞盅齋得止亭盆松。用二十絶爲報。 其六	건물(structure)	95	94%	title	
P14879	聞盅齋得止亭盆松。用二十絶爲報。 其七	건물(structure)	95	94%	title	
P14880	聞盅齋得止亭盆松。用二十絶爲報。 其八	건물(structure)	93	94%	title	
P14881	聞盅齋得止亭盆松。用二十絶爲報。 其九	건물(structure)	95	94%	title	
P14882	聞盅齋得止亭盆松。用二十絶爲報。 其十	건물(structure)	95	94%	title	
P14883	聞盅齋得止亭盆松。用二十絶爲報。 其十一	건물(structure)	95	94%	title	
P14884	聞盅齋得止亭盆松。用二十絶爲報。 其十二	건물(structure)	95	94%	title	
P14885	聞盅齋得止亭盆松。用二十絶爲報。 其十三	건물(structure)	95	94%	title	
P14886	聞盅齋得止亭盆松。用二十絶爲報。 其十四	건물(structure)	93	94%	title	
P14887	聞盅齋得止亭盆松。用二十絶爲報。 其十五	건물(structure)	95	94%	title	
P14888	聞盅齋得止亭盆松。用二十絶爲報。 其十六	건물(structure)	95	94%	title	
P14889	聞盅齋得止亭盆松。用二十絶爲報。 其十七	건물(structure)	95	94%	title	
P14890	聞盅齋得止亭盆松。用二十絶爲報。 其十八	건물(structure)	95	94%	title	
P14891	聞盅齋得止亭盆松。用二十絶爲報。 其十九	건물(structure)	95	94%	title	
P14892	聞盅齋得止亭盆松。用二十絶爲報。 其二十	건물(structure)	95	94%	title	
P14893	奉次止亭用盅齋矮松韻二十絶。謹呈。	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14894	奉次止亭用盅齋矮松韻二十絶。謹呈。 其二	건물(structure)	65	52%	title	차운(제목 donate 무시)
P14895	奉次止亭用盅齋矮松韻二十絶。謹呈。 其三	건물(structure)	93	94%	title	차운(제목 donate 무시)
P14896	奉次止亭用盅齋矮松韻二十絶。謹呈。 其四	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14897	奉次止亭用盅齋矮松韻二十絶。謹呈。 其五	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14898	奉次止亭用盅齋矮松韻二十絶。謹呈。 其六	건물(structure)	85	94%	title	차운(제목 donate 무시)
P14899	奉次止亭用盅齋矮松韻二十絶。謹呈。 其七	건물(structure)	85	94%	title	차운(제목 donate 무시)
P14900	奉次止亭用盅齋矮松韻二十絶。謹呈。 其八	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14901	奉次止亭用盅齋矮松韻二十絶。謹呈。 其九	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14902	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十	건물(structure)	88	94%	title	차운(제목 donate 무시)
P14903	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十一	건물(structure)	86	94%	title	차운(제목 donate 무시)
P14904	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十二	건물(structure)	78	82%	title	차운(제목 donate 무시)
P14905	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十三	건물(structure)	86	94%	title	차운(제목 donate 무시)
P14906	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十四	건물(structure)	88	94%	title	차운(제목 donate 무시)
P14907	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十五	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14908	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十六	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14909	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十七	건물(structure)	73	82%	title	차운(제목 donate 무시)
P14910	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十八	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14911	奉次止亭用盅齋矮松韻二十絶。謹呈。 其十九	건물(structure)	95	94%	title	차운(제목 donate 무시)
P14912	奉次止亭用盅齋矮松韻二十絶。謹呈。 其二十	건물(structure)	95	94%	title	차운(제목 donate 무시)
