id	제목	제안분류	확신도	구간정밀도	근거	비고
P16805	次李白惜餘春賦	애상(sympathy)	51	38%	term	
P16806	呈止亭	기증(donate)	70	82%	title	
P16807	韓退之詩曰求觀衆丘小必上泰山岑分韻爲詩送李擇之朝燕之行	송별(farewell)	89	94%	title	악부/제영(확신↓)
P16808	韓退之詩曰求觀衆丘小必上泰山岑分韻爲詩送李擇之朝燕之行其二	송별(farewell)	97	94%	title	
P16809	韓退之詩曰求觀衆丘小必上泰山岑分韻爲詩送李擇之朝燕之行其三	송별(farewell)	96	94%	title	
P16810	韓退之詩曰求觀衆丘小必上泰山岑分韻爲詩送李擇之朝燕之行其四	송별(farewell)	90	94%	title	
P16811	韓退之詩曰求觀衆丘小必上泰山岑分韻爲詩送李擇之朝燕之行其五	송별(farewell)	97	94%	title	
P16812	送安善之以質正官朝燕	송별(farewell)	88	94%	title, term	
P16813	用擇之前寄詩韻。以記昨日之事呈士華。兼示擇之求和敎。今在閑散。庭戶寥落。無一事相關。唯有詩史可娛。可能數引吾輩。以諷詠心懷乎。	회고(reminiscence)	53	38%	title, term	차운(제목 donate 무시)
P16814	奉和止亭先生	건물(structure)	81	94%	title	
P16815	次韻題中朝鄕貢進士張定庵宗魯和別安善之詩後邀士華擇之同賦	송별(farewell)	89	94%	title, term	
P16816	和擇之	애상(sympathy)	58	38%	term	
P16817	金藏窟途中用擇之韻	유람(travel)	92	94%	title	
P16818	宿金藏窟	유람(travel)	74	82%	title	
P16819	靈通寺記興	불교(buddhism)	55	38%	title, term	
P16820	知足庵	애상(sympathy)	50	38%	term	
P16821	曉起性海窟追記昨日之事	회고(reminiscence)	45	27%	term	
P16822	登普賢峯用擇之韻	회고(reminiscence)	45	27%	term	
P16823	哲師欲還作詩寄雄首座	기증(donate)	78	82%	title	
P16824	辛亥自可興移舟	유람(travel)	70	82%	title, term	
P16825	舟過黎浦風雨暴至急棹過惡灘泊舟	유람(travel)	68	52%	title	
P16826	癸丑移舟	산악(mountain)	42	27%	term	
P16827	癸丑移舟其二	강해(water)	26	16%	term	
P16828	雨止風勢猶怒不可解纜泊豆彌	애상(sympathy)	46	27%	term	
P16829	甲寅解纜	애상(sympathy)	50	38%	term	
P16830	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示	애상(sympathy)	68	52%	title, term	
P16831	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其2	천문(astro)	56	38%	title	
P16832	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其3	회고(reminiscence)	68	52%	title, term	
P16833	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其4	애상(sympathy)	63	52%	title, term	
P16834	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其5	천문(astro)	59	38%	title, term	
P16835	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其6	애상(sympathy)	65	52%	title, term	
P16836	霖雨十日門無來客悄悄有感於懷取舊雨來今雨不來爲韻投擇之乞和示 其7	애상(sympathy)	52	38%	title	
P16837	七月旣望與士華擇之泛舟蠶頭下占語韻各賦	천문(astro)	45	27%	term	
P16838	前年六月廿一日夜擇之與僕同直玉堂有聯句數篇今年七月同遊蠶頭還以聯句藁爲寄兼長句還和其韻	유람(travel)	57	38%	title, term	차운(제목 donate 무시)
P16839	藏魚寺橋上中秋翫月用擇之韻	천문(astro)	41	27%	term	
P16840	十月之望與擇之復遊蠶頭下占霽韻各賦	유람(travel)	60	52%	title, term	
P16841	二十五日風雪甚惡閉戶獨臥山陰之興不可禦也而無騎難以自致又未有酒醪可以自慰間承擇之遺詩相要亦末如之何悒悒不樂家人忽謀酒來日已昏矣挑燈獨酌甁空乃已醉中爲詩用記一時契闊之語非君不堪相示也	천문(astro)	59	38%	title	
P16842	正月十九日與擇之飮止亭明日爲詩戲贈止亭兼奉容齋	기증(donate)	88	94%	title	
P16843	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠	(작업자 기입)	-	-	-	-
P16844	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其二	(작업자 기입)	-	-	-	-
P16845	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其三	(작업자 기입)	-	-	-	-
P16846	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其四	(작업자 기입)	-	-	-	-
P16847	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其五	(작업자 기입)	-	-	-	-
P16848	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其六	(작업자 기입)	-	-	-	-
P16849	昨飮萬里瀨劇談古今事扶醉而還夜半酒醒懷抱耿耿吟成古體詩七首呼燈書之明日投容齋以答前日七篇之惠 其七	(작업자 기입)	-	-	-	-
P16850	二十七日泛興陽浦晩登亭縱飮	건물(structure)	73	82%	title	
P16851	二十七日泛興陽浦晩登亭縱飮 其二	(작업자 기입)	-	-	-	-
P16852	二十九日出獵	(작업자 기입)	-	-	-	-
P16853	九月生明之夜與誠之飮翠軒忽披容齋稿見第三詩有欲廢詩酒之語感而作詩因幷和其三詩囑誠之把筆書之時誠之失解	(작업자 기입)	-	-	-	-
P16854	九月生明之夜與誠之飮翠軒忽披容齋稿見第三詩有欲廢詩酒之語感而作詩因幷和其三詩囑誠之把筆書之時誠之失解 其二	(작업자 기입)	-	-	-	-
P16855	九月生明之夜與誠之飮翠軒忽披容齋稿見第三詩有欲廢詩酒之語感而作詩因幷和其三詩囑誠之把筆書之時誠之失解 其三	(작업자 기입)	-	-	-	-
P16856	秋來與擇之相見益不數尙能與村巷故人爲菊花飮泥醉旬日甚可樂也夜中醉臥頗憶容齋學士感歎之間吟發成韻取燈書之	(작업자 기입)	-	-	-	-
