id	제목	제안분류	확신도	구간정밀도	근거	비고
P17768	題畫屛	도화(picture)	79	82%	title	
P17769	題畫屛 其二	도화(picture)	79	82%	title	
P17770	題畫屛 其三	도화(picture)	69	52%	title	
P17771	題畫屛 其四	도화(picture)	79	82%	title	
P17772	直夜記夢	기몽(dream)	60	52%	term	
P17773	題靑山白雲圖	도화(picture)	64	52%	title	
P17774	雪後	천문(astro)	76	82%	title, term	
P17775	平沙落雁	천문(astro)	31	14%	term	
P17776	遠浦歸帆	천문(astro)	46	27%	term	
P17777	瀟湘夜雨	천문(astro)	64	52%	title	
P17778	洞庭秋月	계절(season)	61	52%	title	
P17779	山市晴嵐	산악(mountain)	70	82%	title	
P17780	江天暮雪	천문(astro)	69	52%	title	
P17781	漁村落照	유람(travel)	18	17%	term	
P17782	煙寺晩鐘	불교(buddhism)	86	94%	title, term	
P17783	七月初一日大驟雨	천문(astro)	70	82%	title, term	
P17784	漫遣	한적(tranquility)	26	16%	term	
P17785	十一月十七日雪中卽事	기타(others)	62	52%	title	
P17786	對南山	산악(mountain)	61	52%	title	
P17787	挽沈生	애상(sympathy)	96	94%	title, term	
P17788	雪後	천문(astro)	70	82%	title	
P17789	臘梅	천문(astro)	43	27%	term	
P17790	春曉	계절(season)	57	38%	title, term	
P17791	風水亭	건물(structure)	90	94%	title	
P17792	古意	회고(reminiscence)	55	38%	title	
P17793	古意 其二	송별(farewell)	46	27%	term	
P17794	奩體	염정(desire)	91	94%	title	
P17795	奩體 其二	염정(desire)	91	94%	title	
P17796	白雪曲	천문(astro)	74	82%	title, term	악부/제영(확신↓)
P17797	詠雪	천문(astro)	74	82%	title, term	
P17798	練光亭	건물(structure)	95	94%	title	
P17799	征婦詞	애상(sympathy)	39	14%	term	
P17800	詠雁	한적(tranquility)	38	14%	term	
P17801	果川道中	유람(travel)	66	52%	title	
P17802	雙松亭十詠。爲安 而藎 作。	건물(structure)	95	94%	title	
P17803	雙松亭十詠。爲安 而藎 作。 其二	건물(structure)	94	94%	title	
P17804	雙松亭十詠。爲安 而藎 作。 其三	건물(structure)	89	94%	title, term	
P17805	雙松亭十詠。爲安 而藎 作。 其四	건물(structure)	94	94%	title	
P17806	雙松亭十詠。爲安 而藎 作。 其五	건물(structure)	89	94%	title	
P17807	雙松亭十詠。爲安 而藎 作。 其六	건물(structure)	94	94%	title, term	
P17808	雙松亭十詠。爲安 而藎 作。 其七	건물(structure)	94	94%	title	
P17809	雙松亭十詠。爲安 而藎 作。 其八	건물(structure)	85	94%	title	
P17810	雙松亭十詠。爲安 而藎 作。 其九	건물(structure)	94	94%	title	
P17811	雙松亭十詠。爲安 而藎 作。 其十	건물(structure)	92	94%	title, term	
P17812	江南曲 順天號小江南	강해(water)	45	27%	term	
P17813	江南曲 順天號小江南 其二	강해(water)	40	27%	term	
P17814	擬古	천문(astro)	25	16%	term	
P17815	擬古 其二	천문(astro)	26	16%	term	
P17816	盆梅詞	식물(plant)	64	52%	title, term	
P17817	海翁亭八詠	건물(structure)	91	94%	title	
P17818	海翁亭八詠 其二	건물(structure)	90	94%	title	
P17819	海翁亭八詠 其三	건물(structure)	93	94%	title	
P17820	海翁亭八詠 其四	건물(structure)	95	94%	title	
P17821	海翁亭八詠 其五	건물(structure)	90	94%	title	
P17822	海翁亭八詠 其六	건물(structure)	94	94%	title	
P17823	海翁亭八詠 其七	건물(structure)	93	94%	title	
P17824	海翁亭八詠 其八	건물(structure)	92	94%	title	
P17825	村莊卽事	기타(others)	68	52%	title	
P17826	雪後	천문(astro)	69	52%	title	
P17827	庇雨堂八詠	건물(structure)	56	38%	title	
P17828	庇雨堂八詠 其二	건물(structure)	60	52%	title	
P17829	庇雨堂八詠 其三	건물(structure)	58	38%	title	
P17830	庇雨堂八詠 其四	애상(sympathy)	43	27%	term	
P17831	庇雨堂八詠 其五	건물(structure)	56	38%	title	
P17832	庇雨堂八詠 其六	건물(structure)	59	38%	title	
P17833	庇雨堂八詠 其七	건물(structure)	61	52%	title	
P17834	庇雨堂八詠 其八	건물(structure)	61	52%	title	
P17835	病後	한적(tranquility)	50	38%	term	
P17836	春怨	애상(sympathy)	55	38%	term	
P17837	古意	천문(astro)	24	16%	term	
P17838	閨情。次古樂府。	애상(sympathy)	48	27%	term	
P17839	惜春	송별(farewell)	38	14%	term	
P17840	送客	송별(farewell)	97	94%	title, term	
