id	제목	제안분류	확신도	구간정밀도	근거	비고
P19425	敬次先祖翼成公寧越懸板韻	(작업자 기입)	-	-	-	-
P19426	寄李叔獻	(작업자 기입)	-	-	-	-
P19427	箭灘經營小築偶吟示內姪趙生	(작업자 기입)	-	-	-	-
P19428	淸水院贈四耐翁	(작업자 기입)	-	-	-	-
P19429	謝李生翼來訪	(작업자 기입)	-	-	-	-
P19430	題僧軸	(작업자 기입)	-	-	-	-
P19431	閑居偶吟	(작업자 기입)	-	-	-	-
P19432	別伯氏敬次嚴韻	(작업자 기입)	-	-	-	-
P19433	花月喚起崔復初興源	(작업자 기입)	-	-	-	-
P19434	高山寺次尹子仰斗壽子固根壽韻 三首	(작업자 기입)	-	-	-	-
P19435	高山寺次尹子仰斗壽子固根壽韻 三首	(작업자 기입)	-	-	-	-
P19436	高山寺次尹子仰斗壽子固根壽韻 三首	(작업자 기입)	-	-	-	-
P19437	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻	불교(buddhism)	61	52%	title, term	
P19438	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻 其二	송별(farewell)	48	27%	term	
P19439	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻 其三	애상(sympathy)	41	27%	term	
P19440	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻 其四	송별(farewell)	56	38%	term	
P19441	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻 其五	산악(mountain)	50	38%	title	
P19442	高山寺。次尹子仰 斗，壽 子固 根壽 韻。三首。 附元韻 其六	불교(buddhism)	56	38%	title, term	
P19443	在芝上題天然軸	(작업자 기입)	-	-	-	-
P19444	次李伯生純仁詠玉堂小桃	(작업자 기입)	-	-	-	-
P19445	題雲水軸	(작업자 기입)	-	-	-	-
P19446	題漢江二首	(작업자 기입)	-	-	-	-
P19447	題漢江二首 其二	(작업자 기입)	-	-	-	-
P19448	孫敬輿折送松枝以邀之 詩以謝之	(작업자 기입)	-	-	-	-
P19449	和金彭齡田家韻	(작업자 기입)	-	-	-	-
P19450	題玉生香帖	(작업자 기입)	-	-	-	-
P19451	題樂歸亭 在永平芝川上	(작업자 기입)	-	-	-	-
P19452	自芝上回 途中逢雨 蹔憩人家偶吟	(작업자 기입)	-	-	-	-
P19453	贈敬上人	(작업자 기입)	-	-	-	-
P19454	偶占錄示梁廣文	(작업자 기입)	-	-	-	-
P19455	明廟忌辰追憶往事嗚咽以書	(작업자 기입)	-	-	-	-
P19456	哭金德源白富寧李先達戰死二首	(작업자 기입)	-	-	-	-
P19457	哭金德源白富寧李先達戰死二首其二	(작업자 기입)	-	-	-	-
P19458	贈金世英	(작업자 기입)	-	-	-	-
P19459	贈七寶山人	(작업자 기입)	-	-	-	-
P19460	吉州八詠	(작업자 기입)	-	-	-	-
P19461		(작업자 기입)	-	-	-	-
P19462		(작업자 기입)	-	-	-	-
P19463		(작업자 기입)	-	-	-	-
P19464		(작업자 기입)	-	-	-	-
P19465		(작업자 기입)	-	-	-	-
P19466		(작업자 기입)	-	-	-	-
P19467		(작업자 기입)	-	-	-	-
P19468	送主牧領兵南征	(작업자 기입)	-	-	-	-
P19469	題贈黃亞使敏中幷序	(작업자 기입)	-	-	-	-
P19470	謝七寶山人惠諸葛菜五味子二首	(작업자 기입)	-	-	-	-
P19471	謝七寶山人惠諸葛菜五味子二首其二	(작업자 기입)	-	-	-	-
P19472	寄李大恕	(작업자 기입)	-	-	-	-
P19473	寄方伯宋言愼	(작업자 기입)	-	-	-	-
P19474	贈山人靈修二首	(작업자 기입)	-	-	-	-
P19475	贈山人靈修二首 其二	(작업자 기입)	-	-	-	-
P19476	謝義嚴惠白花席	(작업자 기입)	-	-	-	-
P19477	賀李生得子	(작업자 기입)	-	-	-	-
P19478	妙陰寺贈僧	(작업자 기입)	-	-	-	-
P19479	贈山人法聰仍奉楊山太守俾作先容	(작업자 기입)	-	-	-	-
P19480	贈山人法聰仍奉楊山太守俾作先容	(작업자 기입)	-	-	-	-
P19481	贈居停主人舊吏金珍	(작업자 기입)	-	-	-	-
P19482	贈李士祐尙吉謫豐海	(작업자 기입)	-	-	-	-
P19483	題麥秋亭	(작업자 기입)	-	-	-	-
P19484	寄謝野老饋杏子	(작업자 기입)	-	-	-	-
P19485	送人赴遂安郡	(작업자 기입)	-	-	-	-
P19486	送人赴遂安郡	(작업자 기입)	-	-	-	-
P19487	贈洽上人	(작업자 기입)	-	-	-	-
P19488	次贈成質夫	(작업자 기입)	-	-	-	-
P19489	金蠅山下聽杜鵑有感	(작업자 기입)	-	-	-	-
P19490	將卜居馬灘贈黃生穎男	(작업자 기입)	-	-	-	-
P19491	送居山察訪鄭泗	(작업자 기입)	-	-	-	-
P19492	送成晉善赴高城	(작업자 기입)	-	-	-	-
P19493	挽尹僉知祁	(작업자 기입)	-	-	-	-
P19494	李宜仲義健送松蕈云是鐵原山所産率占	(작업자 기입)	-	-	-	-
P19495	率占寄鄕中諸秀孝	(작업자 기입)	-	-	-	-
P19496	挽李同知澳	(작업자 기입)	-	-	-	-
P19497	寄池宗漢	(작업자 기입)	-	-	-	-
P19498	擬卜大橋上	(작업자 기입)	-	-	-	-
P19499	兔山龍巖先祖翼成公舊基也華人見而奇之曰中原亦無此異必生大賢人也	(작업자 기입)	-	-	-	-
P19500	寄沈閣老一松喜壽借藥	(작업자 기입)	-	-	-	-
P19501	戲贈碧桃香幷序	(작업자 기입)	-	-	-	-
P19502	自金浦登舟泊鷺梁寄尹子固李宜仲	(작업자 기입)	-	-	-	-
P19503	耆老所諸大人惠酒饌詩以謝之	(작업자 기입)	-	-	-	-
P19504	余寓鷺江僧熙彦來訪書此以贈	(작업자 기입)	-	-	-	-
P19505	挽李僉知壽俊	(작업자 기입)	-	-	-	-
P19506	挽李僉知壽俊	(작업자 기입)	-	-	-	-
P19507	挽李僉知壽俊	(작업자 기입)	-	-	-	-
P19508	挽李僉知壽俊	(작업자 기입)	-	-	-	-
P19509	李石城德言自普恩寺夜泊鷺梁饋送生魚率占却寄	(작업자 기입)	-	-	-	-
P19510	題志溫軸	(작업자 기입)	-	-	-	-
P19511	題志溫軸 附崔立之岦和韻	도화(picture)	78	82%	title	
P19512	題畫梅	(작업자 기입)	-	-	-	-
P19513	修理孝陵次蘇齋韻	(작업자 기입)	-	-	-	-
P19514		(작업자 기입)	-	-	-	-
P19515		(작업자 기입)	-	-	-	-
P19516		(작업자 기입)	-	-	-	-
P19517		(작업자 기입)	-	-	-	-
P19518		(작업자 기입)	-	-	-	-
P19519	挽外祖母夫人	(작업자 기입)	-	-	-	-
P19520	登浩然亭次栗谷韻	(작업자 기입)	-	-	-	-
P19521		(작업자 기입)	-	-	-	-
P19522		(작업자 기입)	-	-	-	-
P19523	挽李德川碩明	(작업자 기입)	-	-	-	-
P19524	挽李河陽長胤	(작업자 기입)	-	-	-	-
P19525	送李夢應濟臣赴北道節度使	(작업자 기입)	-	-	-	-
P19526	題龍湫亭	(작업자 기입)	-	-	-	-
P19527	謝禹景善性傳來訪	(작업자 기입)	-	-	-	-
P19528	和題邀月堂	(작업자 기입)	-	-	-	-
P19529	遊白馬江	(작업자 기입)	-	-	-	-
P19530	挽栗谷	(작업자 기입)	-	-	-	-
P19531	贈別松江南歸	(작업자 기입)	-	-	-	-
P19532	寄題平遠堂用子仰韻	(작업자 기입)	-	-	-	-
P19533	李監牧有慶來訪於吉州臨別贈此	(작업자 기입)	-	-	-	-
P19534		(작업자 기입)	-	-	-	-
P19535	題麥秋亭	(작업자 기입)	-	-	-	-
P19536	贈華山申劉池三老	(작업자 기입)	-	-	-	-
P19537	白川如意社新築小舍題曰八達亭	(작업자 기입)	-	-	-	-
P19538	次贈李察訪渭賓	(작업자 기입)	-	-	-	-
P19539	夜坐偶占示內姪趙生	(작업자 기입)	-	-	-	-
P19540	贈金浦沈明府	(작업자 기입)	-	-	-	-
P19541	次寄李宜仲	(작업자 기입)	-	-	-	-
P19542		(작업자 기입)	-	-	-	-
P19543	贈安演兄弟	(작업자 기입)	-	-	-	-
