id	제목	제안분류	확신도	구간정밀도	근거	비고
P19649	次歸去來辭	송별(farewell)	56	38%	title, term	악부/제영(확신↓)
P19650	挽仙源金相國 尙容 夫人遷葬辭	애상(sympathy)	81	94%	title, term	악부/제영(확신↓)
P19651	河圖賦	애상(sympathy)	51	38%	term	
P19652	海大魚賦	회고(reminiscence)	37	14%	term	
P19653	逸者人君之大戒賦	애상(sympathy)	47	27%	term	
P19654	除夕吟寄東岳李子敏	기증(donate)	84	94%	title	
P19655	除夕吟寄東岳李子敏 其二	기증(donate)	94	94%	title	
P19656	除夕吟寄東岳李子敏 附次韻	애상(sympathy)	38	14%	term	차운(제목 donate 무시)
P19657	除夕吟寄東岳李子敏 安訥 二首 附次韻 其二	애상(sympathy)	41	27%	term	차운(제목 donate 무시)
P19658	監刈自嘲寄東皐崔令公 仍示石洲權汝	기증(donate)	87	94%	title	
P19659	監刈自嘲寄東皐崔令公仍示石洲權汝韠附次韻	유람(travel)	53	38%	title	차운(제목 donate 무시)
P19660	監刈自嘲寄東皐崔令公仍示石洲權汝韠附次韻	유람(travel)	53	38%	title	차운(제목 donate 무시)
P19661	鴨島述懷	애상(sympathy)	71	82%	title, term	
P19662	哭芝川黃相公	애상(sympathy)	67	52%	term	
P19663	次鳴皐任寬甫古劍篇韻	애상(sympathy)	42	27%	term	
P19664	送人尹義州	송별(farewell)	96	94%	title, term	
P19665	次舍弟善述用山谷韻贈梁子漸	애상(sympathy)	40	27%	term	차운(제목 donate 무시)
P19666	待漏院夢舊居	애상(sympathy)	49	27%	term	
P19667	哭任寬甫	한적(tranquility)	39	14%	term	
P19668	遊雙溪寺	유람(travel)	62	52%	title, term	
P19669	醉贈浴川崔使君	기증(donate)	97	94%	title	
P19670	次邊子餘韻	애상(sympathy)	48	27%	term	
P19671	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首	기증(donate)	79	82%	title	
P19672	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其二	기증(donate)	94	94%	title	
P19673	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其三	기증(donate)	86	94%	title	
P19674	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其四	기증(donate)	93	94%	title	
P19675	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其五	기증(donate)	94	94%	title	
P19676	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其六	기증(donate)	90	94%	title	
P19677	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其七	기증(donate)	91	94%	title	
P19678	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其八	기증(donate)	89	94%	title	
P19679	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其九	기증(donate)	81	94%	title	
P19680	閱子漸詩帖見畸菴鄭詩以計拙無衣食途窮仗友生爲韻蓋效山谷體也辭極悽惋令人淚出卽以故舊誰憐我平生鄭與蘇爲韻寄子容十首其十	기증(donate)	89	94%	title	
P19681	擬古飮馬長城窟行	변새(frontier)	56	38%	term	악부/제영(확신↓)
P19682	次宋珍山子深見寄韻	한적(tranquility)	44	27%	term	차운(제목 donate 무시)
P19683	次宋珍山子深見寄韻附元韻	산악(mountain)	53	38%	title	차운(제목 donate 무시)
P19684	挽李之茂	애상(sympathy)	88	94%	title, term	
P19685	次芚菴韻	불교(buddhism)	50	38%	title	
P19686	次芚菴韻 附元韻芚菴	불교(buddhism)	50	38%	title	
P19687	龍梭	송별(farewell)	44	27%	term	
P19688	憶昔行贈別吳肅羽	송별(farewell)	74	82%	title, term	제목보정
P19689	挽權汝明	애상(sympathy)	96	94%	title, term	
P19690	挽李贊成	애상(sympathy)	89	94%	title, term	
P19691	哭東岳李子敏	애상(sympathy)	53	38%	term	
P19692	挽石洲內子	애상(sympathy)	86	94%	title, term	
P19693	挽韓三嘉	애상(sympathy)	88	94%	title, term	
P19694	悼亡	애상(sympathy)	84	94%	title	
