id	제목	제안분류	확신도	구간정밀도	근거	비고
P20393	憎蒼蠅	애상(sympathy)	51	38%	term	
P20394	欲哭 二首	애상(sympathy)	69	52%	term	
P20395	欲哭 二首 其2	애상(sympathy)	59	38%	term	
P20396	次鳴皐古劍篇韻 任錪	송별(farewell)	23	16%	term	
P20397	用山谷贈翠巖禪師韻。贈梁子漸 慶遇。	산악(mountain)	50	38%	title	차운(제목 donate 무시)
P20398	贈別戚兄羅秀才之南中	송별(farewell)	73	82%	title, term	제목보정
P20399	守宮行 以假注守宮時。戲吟。	유람(travel)	53	38%	title	
P20400	長氷坂	유람(travel)	46	27%	term	
P20401	寄贈東岳李安訥 ○選體	기증(donate)	97	94%	title	
P20402	楊御史畫像	변새(frontier)	44	27%	term	
P20403	坦腹江亭 課製	건물(structure)	84	94%	title	
P20404	苦寒行 二首	애상(sympathy)	61	52%	title, term	
P20405	苦寒行 二首 其2	애상(sympathy)	58	38%	title	
P20406	贈趙怡叔 希逸	기증(donate)	97	94%	title	
P20407	待漏院假寐。夢江東舊居。代課	애상(sympathy)	34	14%	term	
P20408	挽任鳴皐	애상(sympathy)	96	94%	title	
P20409	挽蘇子實 光震	애상(sympathy)	96	94%	title	
P20410	贈李昌期	기증(donate)	97	94%	title	
P20411	戲贈尹景悅團扇歌 光啓○臨紙戲走調景悅不出	기증(donate)	97	94%	title, term	
P20412	願作冷秋菰 課製	애상(sympathy)	45	27%	term	
P20413	悼女	애상(sympathy)	86	94%	title, term	
P20414	投龍巖 癸丑。重陽。遊月出山。	유람(travel)	60	52%	title	
P20415	投九井峯	도교(taoism)	42	27%	term	
P20416	自龍巖投道岬	산악(mountain)	54	38%	title, term	
P20417	橘中對棋 課製	애상(sympathy)	43	27%	term	
P20418	哀荊軻 課製	변새(frontier)	46	27%	term	
P20419	集靈臺 課製	건물(structure)	58	38%	title	
P20420	美酒無曲巷 課製	한적(tranquility)	39	14%	term	
P20421	五噫歌 課製	애상(sympathy)	54	38%	term	
P20422	題圯下取履圖 課製	도화(picture)	59	38%	title	
P20423	急灘	한적(tranquility)	46	27%	term	
P20424	曠遊篇	유람(travel)	66	52%	title, term	
P20425	長安寺。次使相韻。崔晛	불교(buddhism)	55	38%	title	
P20426	觀獵雉	기타(others)	56	38%	title	
P20427	邊山歌	산악(mountain)	52	38%	title	악부/제영(확신↓)
P20428	混沌歌	애상(sympathy)	52	38%	term	악부/제영(확신↓)
P20429	大雪	애상(sympathy)	51	38%	term	
P20430	朴淵歌	도교(taoism)	41	27%	term	악부/제영(확신↓)
P20431	登挾仙樓歌 在縣同福	건물(structure)	54	38%	title, term	
P20432	贈姜太初 沆	기증(donate)	93	94%	title	
P20433	送金亨獻之海南 振南	송별(farewell)	81	94%	title	
P20434	種樹行	유람(travel)	51	38%	title	악부/제영(확신↓)
P20435	鼠偸卵	식물(plant)	45	27%	term	
