id	제목	제안분류	확신도	구간정밀도	근거	비고
P21024	直玉堂紀懷錄奉孝仲元友兩內相	(작업자 기입)	-	-	-	-
P21025	直玉堂紀懷錄奉孝仲元友兩內相其二	(작업자 기입)	-	-	-	-
P21026	邇來觸興有作輒棄不收輳得五首錄奉孝仲求和	(작업자 기입)	-	-	-	-
P21027	邇來觸興有作輒棄不收輳得五首錄奉孝仲求和 其二	(작업자 기입)	-	-	-	-
P21028	邇來觸興有作輒棄不收輳得五首錄奉孝仲求和 其三	(작업자 기입)	-	-	-	-
P21029	邇來觸興有作輒棄不收輳得五首錄奉孝仲求和 其四	(작업자 기입)	-	-	-	-
P21030	邇來觸興有作輒棄不收輳得五首錄奉孝仲求和其五	(작업자 기입)	-	-	-	-
P21031	送李子賀赴西塞	(작업자 기입)	-	-	-	-
P21032	送李子賀赴西塞 其二	(작업자 기입)	-	-	-	-
P21033	送李子賀赴西塞 其三	(작업자 기입)	-	-	-	-
P21034	謝開城閔經歷耆伯寄氈帽	(작업자 기입)	-	-	-	-
P21035	和蘇元友內相見寄韻	(작업자 기입)	-	-	-	-
P21036	和蘇元友內相見寄韻 其二	(작업자 기입)	-	-	-	-
P21037	送潘節使公父赴咸鏡南道	(작업자 기입)	-	-	-	-
P21038	送潘節使公父赴咸鏡南道 其二	(작업자 기입)	-	-	-	-
P21039	送潘節使公父赴咸鏡南道 其三	(작업자 기입)	-	-	-	-
P21040	送潘節使公父赴咸鏡南道 其四	(작업자 기입)	-	-	-	-
P21041	答元友內相	(작업자 기입)	-	-	-	-
P21042	答元友內相 其二	(작업자 기입)	-	-	-	-
P21043	答元友內相 其三	(작업자 기입)	-	-	-	-
P21044	酬元友內相韻	(작업자 기입)	-	-	-	-
P21045	酬元友內相韻 其二	(작업자 기입)	-	-	-	-
P21046	酬元友內相韻 其三	(작업자 기입)	-	-	-	-
P21047	酬元友內相韻 其四	(작업자 기입)	-	-	-	-
P21048	酬元友內相韻 其五	(작업자 기입)	-	-	-	-
P21049	酬元友內相韻 其六	(작업자 기입)	-	-	-	-
P21050	送孝仲內相寧覲嶺南	(작업자 기입)	-	-	-	-
P21051	送孝仲內相寧覲嶺南 其二	(작업자 기입)	-	-	-	-
P21052	奉別成之寅長按關西	(작업자 기입)	-	-	-	-
P21053	奉別成之寅長按關西 其二	(작업자 기입)	-	-	-	-
P21054	奉別成之寅長按關西 其三	(작업자 기입)	-	-	-	-
P21055	酬元友內相見寄之韻	(작업자 기입)	-	-	-	-
P21056	酬元友內相見寄之韻 其二	(작업자 기입)	-	-	-	-
P21057	酬元友內相見寄之韻 其三	(작업자 기입)	-	-	-	-
P21058	酬元友內相見寄之韻 其四	(작업자 기입)	-	-	-	-
P21059	偶紀懷。錄奉灌圃堂丈人求敎。	(작업자 기입)	-	-	-	-
P21060	偶紀懷。錄奉灌圃堂丈人求敎。 其二	(작업자 기입)	-	-	-	-
P21061	偶紀懷。錄奉灌圃堂丈人求敎。 其三	(작업자 기입)	-	-	-	-
P21062	偶紀懷。錄奉灌圃堂丈人求敎。 其四	(작업자 기입)	-	-	-	-
P21063	偶紀懷。錄奉灌圃堂丈人求敎。 其五	(작업자 기입)	-	-	-	-
P21064	依韻答困庵內相	(작업자 기입)	-	-	-	-
P21065	依韻答困庵內相 其二	(작업자 기입)	-	-	-	-
P21066	依韻答困庵內相 其三	(작업자 기입)	-	-	-	-
P21067	依韻答困庵內相 其四	(작업자 기입)	-	-	-	-
P21068	依韻答困庵內相 其五	(작업자 기입)	-	-	-	-
P21069	疊前韻。酬困庵。	(작업자 기입)	-	-	-	-
P21070	疊前韻。酬困庵。 其二	(작업자 기입)	-	-	-	-
